submission_pk,User,AP,AP IoU=.50,AP IoU=.75,AP small,AP medium,AP large,AR max=1,AR max=10,AR max=100,AR small,AR medium,AR large
449303,ividal,0.300 (57),0.449 (66),0.331 (50),0.098 (62),0.324 (54),0.465 (40),0.258 (51),0.348 (63),0.350 (66),0.112 (67),0.373 (66),0.556 (63),
388967,endernewton,0.297 (58),0.504 (55),0.312 (56),0.128 (55),0.325 (53),0.421 (53),0.272 (46),0.399 (55),0.409 (58),0.187 (55),0.451 (57),0.591 (56),
407574,kbChen,0.294 (59),0.487 (59),0.298 (59),0.085 (66),0.310 (57),0.472 (37),0.269 (49),0.433 (46),0.472 (44),0.186 (56),0.520 (43),0.705 (30),
436721,chenkunpeng,0.294 (59),0.486 (60),0.298 (59),0.085 (66),0.310 (57),0.472 (37),0.269 (49),0.433 (46),0.473 (43),0.187 (55),0.521 (42),0.706 (29),
447004,navaneethbodla,0.290 (60),0.490 (58),0.306 (57),0.132 (53),0.309 (58),0.397 (60),0.269 (49),0.461 (39),0.524 (30),0.314 (31),0.555 (35),0.685 (32),
341041,lwbiosoft,0.288 (61),0.485 (61),0.303 (58),0.109 (59),0.318 (55),0.435 (50),0.261 (50),0.395 (57),0.420 (55),0.165 (59),0.466 (56),0.608 (52),
466597,two_yang,0.286 (62),0.500 (56),0.296 (60),0.103 (60),0.311 (56),0.437 (48),0.271 (47),0.398 (56),0.407 (59),0.181 (57),0.451 (57),0.613 (51),
480093,ChunlinChen,0.278 (63),0.472 (62),0.290 (62),0.090 (64),0.295 (60),0.431 (52),0.254 (52),0.378 (59),0.395 (61),0.143 (63),0.433 (60),0.592 (55),
477325,aintelligence,0.267 (64),0.423 (69),0.293 (61),0.109 (59),0.301 (59),0.379 (64),0.274 (44),0.416 (52),0.424 (53),0.194 (54),0.499 (46),0.605 (53),
383207,hengcherkeng,0.259 (65),0.456 (64),0.261 (66),0.087 (65),0.275 (62),0.401 (57),0.249 (53),0.374 (60),0.387 (62),0.152 (61),0.430 (61),0.596 (54),
423363,csljxing,0.257 (66),0.451 (65),0.264 (64),0.084 (67),0.279 (61),0.383 (63),0.242 (54),0.342 (65),0.348 (67),0.116 (65),0.387 (65),0.536 (65),
468232,sricci,0.252 (67),0.413 (71),0.268 (63),0.071 (69),0.270 (63),0.403 (56),0.229 (58),0.318 (67),0.321 (69),0.086 (69),0.336 (69),0.534 (66),
469954,luozhaohui,0.252 (67),0.428 (68),0.262 (65),0.065 (70),0.261 (64),0.410 (55),0.235 (57),0.347 (64),0.368 (65),0.114 (66),0.397 (64),0.571 (61),
461101,Amor,0.246 (68),0.464 (63),0.235 (68),0.093 (63),0.279 (61),0.364 (65),0.241 (55),0.361 (61),0.370 (64),0.150 (62),0.428 (62),0.556 (63),
470068,IvanMarzhanovskij,0.243 (69),0.417 (70),0.250 (67),0.065 (70),0.255 (65),0.399 (58),0.237 (56),0.353 (62),0.377 (63),0.124 (64),0.410 (63),0.579 (59),
423919,l739808683,0.232 (70),0.445 (67),0.220 (70),0.073 (68),0.245 (66),0.363 (66),0.226 (59),0.316 (68),0.320 (70),0.105 (68),0.347 (68),0.513 (67),
447476,robert2017,0.224 (71),0.382 (72),0.229 (69),0.040 (72),0.209 (67),0.393 (62),0.219 (60),0.322 (66),0.341 (68),0.082 (70),0.352 (67),0.573 (60),
445999,Gyoung-yoon-Ryoo,0.198 (72),0.339 (73),0.204 (71),0.044 (71),0.202 (68),0.337 (67),0.185 (61),0.249 (69),0.251 (71),0.056 (71),0.244 (70),0.442 (68),
451160,suguliwei,0.167 (73),0.278 (74),0.179 (72),0.006 (73),0.139 (69),0.330 (68),0.165 (62),0.206 (70),0.207 (72),0.007 (72),0.166 (71),0.425 (69),
469219,jokerlclc,0.005 (74),0.008 (75),0.005 (73),0.002 (74),0.006 (70),0.008 (69),0.002 (63),0.006 (71),0.006 (74),0.004 (73),0.008 (72),0.009 (71),
380495,shize.lb,0.000 (75),0.000 (76),0.000 (74),0.000 (75),0.000 (71),0.000 (70),0.000 (65),0.000 (72),0.000 (75),0.000 (74),0.000 (74),0.000 (72),
445032,zengarden,0.000 (75),0.000 (76),0.000 (74),0.000 (75),0.000 (71),0.000 (70),0.001 (64),0.006 (71),0.009 (73),0.000 (74),0.001 (73),0.023 (70),
