submission_pk,User,b'Overall',b'J',b'F'
481288,blackdragontea,0.579 (49),0.566 (48),0.592 (51),
170099,jianglau,0.578 (50),0.549 (62),0.608 (45),
454422,asfasfsdfh,0.578 (51),0.561 (50),0.596 (50),
485057,radishbb,0.573 (52),0.560 (51),0.586 (53),
492424,ink,0.572 (53),0.559 (52),0.586 (52),
476377,qiqi77,0.569 (54),0.557 (53),0.580 (57),
455522,oops_comp,0.568 (55),0.555 (55),0.581 (56),
491650,fraise,0.567 (56),0.552 (58),0.582 (54),
472296,refprompt,0.566 (57),0.552 (59),0.580 (58),
455523,mingfei,0.566 (58),0.554 (56),0.578 (59),
235706,lev1khachatryan,0.566 (59),0.556 (54),0.576 (60),
258858,leonnnop,0.565 (60),0.548 (63),0.581 (55),
221385,kyh,0.563 (61),0.553 (57),0.573 (64),
491479,ranchen,0.562 (62),0.549 (61),0.575 (62),
456465,SQL,0.560 (63),0.550 (60),0.570 (65),
454259,WWWWWWWWW,0.558 (64),0.540 (68),0.576 (61),
338610,xwt,0.558 (65),0.540 (69),0.575 (63),
131086,duni,0.556 (66),0.547 (64),0.565 (67),
329620,j7991,0.554 (67),0.544 (65),0.565 (69),
231608,whq,0.553 (68),0.540 (67),0.567 (66),
84184,zhulinxiaohai,0.552 (69),0.542 (66),0.563 (70),
406184,ycxiao_1,0.551 (70),0.537 (71),0.565 (68),
337209,UUUUUUsername,0.548 (71),0.533 (73),0.563 (71),
400721,SAMSTAYREAL,0.545 (72),0.538 (70),0.551 (73),
365631,weic,0.542 (73),0.533 (72),0.552 (72),
485259,Tone,0.530 (74),0.528 (74),0.532 (81),
492090,byd9528,0.528 (75),0.517 (77),0.539 (77),
398468,qiangqiang.k,0.528 (76),0.518 (76),0.537 (78),
487896,chenran,0.527 (77),0.518 (75),0.535 (79),
392041,renmou,0.526 (78),0.510 (80),0.543 (76),
165222,zhenghaoChenney,0.523 (79),0.514 (78),0.531 (82),
478358,liyonglin,0.522 (80),0.499 (82),0.545 (74),
492419,rongfu,0.517 (81),0.500 (81),0.534 (80),
454974,asdq2,0.514 (82),0.510 (79),0.518 (84),
493557,wwwwzr409,0.512 (83),0.494 (84),0.531 (83),
165816,Chenney,0.508 (84),0.499 (83),0.517 (85),
454167,dhaisjbdnoikjas,0.496 (85),0.489 (87),0.504 (87),
404442,jaymei,0.495 (86),0.491 (85),0.498 (91),
306886,ang9867,0.494 (87),0.490 (86),0.497 (92),
454625,XXXXX,0.489 (88),0.478 (88),0.501 (89),
70784,seonguk,0.489 (89),0.470 (91),0.508 (86),
139252,hhh_,0.489 (90),0.476 (89),0.502 (88),
444150,leeseunghoon,0.483 (91),0.467 (92),0.499 (90),
455206,asfasdgdsg,0.476 (92),0.466 (93),0.486 (94),
493658,spris,0.475 (93),0.405 (101),0.545 (75),
199309,modesty,0.474 (94),0.462 (94),0.486 (93),
343432,fly7777,0.472 (95),0.459 (95),0.484 (95),
126072,wwk,0.471 (96),0.471 (90),0.471 (99),
176793,mhan,0.468 (97),0.453 (98),0.483 (96),
454177,zhaowangbo,0.468 (98),0.456 (96),0.479 (97),
425498,JQK,0.465 (99),0.454 (97),0.476 (98),
346557,e094fee9db8d,0.453 (100),0.447 (99),0.458 (100),
389511,mjkim,0.420 (101),0.431 (100),0.410 (105),
374954,renginx,0.411 (102),0.403 (103),0.420 (101),
460528,goggy,0.411 (103),0.403 (102),0.418 (102),
468882,ID4,0.403 (104),0.396 (104),0.410 (104),
267858,zitongz3,0.388 (105),0.361 (106),0.414 (103),
139610,JQBIU,0.378 (106),0.374 (105),0.381 (107),
239604,xueyanzou,0.366 (107),0.348 (107),0.384 (106),
133507,zhaoyuzhong,0.355 (108),0.342 (108),0.367 (109),
137162,weijia,0.351 (109),0.322 (109),0.379 (108),
147906,lazerx,0.272 (110),0.280 (110),0.264 (111),
332860,ZZLab,0.070 (111),0.070 (112),0.070 (112),
473564,hydragon516,- (112),NaN (113),NaN (113),
365174,USSTIMI-LAB,- (112),NaN (113),NaN (113),
359773,weiya_89,- (112),NaN (113),NaN (113),
276530,wenjing,- (112),NaN (113),NaN (113),
239240,joshua_,- (112),0.273 (111),0.301 (110),
