submission_pk,User,b'Accuracy',b'Wish F1 Score',b'Another F1 Score',b'Comfortably F1 Score',b'Money F1 Score',b'Breathe F1 Score',b'Time F1 Score',b'Brain F1 Score',b'Echoes F1 Score',b'Wearing F1 Score',b'Sorrow F1 Score',b'Hey F1 Score',b'Shine F1 Score'
273850,oscararagon,0.7444 (21),0.3404 (52),0.6165 (144),0.9465 (55),0.5617 (91),0.1277 (100),0.4776 (28),0.8598 (61),0.4444 (9),0.9753 (7),0.8027 (8),0.9515 (14),0.1463 (139),
274248,dconsole,0.7444 (21),0.4571 (20),0.6667 (63),0.9438 (61),0.5693 (70),0.0000 (151),0.3860 (185),0.8665 (45),0.4127 (34),0.9747 (9),0.8097 (4),0.9167 (38),0.1538 (136),
274661,Br1,0.7444 (21),0.3448 (50),0.6533 (78),0.9341 (94),0.5872 (35),0.2545 (26),0.4706 (40),0.8915 (9),0.3188 (110),0.9548 (26),0.7932 (33),0.8723 (74),0.4082 (14),
275767,ericamartinetti,0.7444 (21),0.5000 (8),0.6755 (53),0.9382 (80),0.5948 (23),0.2000 (55),0.4536 (67),0.8380 (129),0.3947 (46),0.9620 (19),0.8014 (12),0.9485 (17),0.3077 (61),
274149,nicola.landini,0.7432 (22),0.3784 (41),0.6184 (140),0.9692 (7),0.5902 (31),0.3607 (2),0.4174 (129),0.8704 (36),0.4146 (32),0.9560 (24),0.7989 (18),0.9346 (25),0.3704 (26),
274251,noe_manzo,0.7425 (23),0.5263 (5),0.6575 (72),0.9543 (32),0.5606 (94),0.0000 (151),0.4048 (149),0.8671 (43),0.2545 (155),0.9682 (14),0.8046 (7),0.9293 (29),0.1860 (123),
274917,Alessandro,0.7425 (23),0.3448 (50),0.6515 (81),0.9489 (51),0.5966 (21),0.0909 (120),0.4554 (64),0.8486 (97),0.4471 (8),0.9677 (15),0.7935 (32),0.9505 (15),0.2222 (106),
274222,leonardo,0.7419 (24),0.4667 (17),0.6755 (53),0.9605 (16),0.5957 (22),0.1538 (83),0.4277 (111),0.8747 (30),0.3548 (78),0.9686 (13),0.7688 (182),0.9400 (22),0.4151 (13),
273889,LorenzoCutrupi,0.7413 (25),0.3871 (39),0.6538 (76),0.9521 (40),0.6004 (17),0.1667 (77),0.4382 (95),0.8465 (103),0.2373 (167),0.9747 (9),0.7850 (75),0.9143 (40),0.3846 (22),
274152,miah,0.7413 (25),0.3750 (42),0.6986 (19),0.9551 (29),0.5540 (120),0.1091 (110),0.4809 (24),0.8455 (107),0.4267 (23),0.9448 (37),0.8014 (13),0.9278 (30),0.1778 (125),
275664,AliNoshad,0.7413 (25),0.2857 (66),0.7020 (17),0.9665 (9),0.5650 (82),0.0000 (151),0.4552 (65),0.8559 (71),0.0833 (223),0.9620 (19),0.7790 (105),0.9388 (23),0.4186 (10),
275710,kia_rz,0.7413 (25),0.2857 (66),0.7020 (17),0.9665 (9),0.5650 (82),0.0000 (151),0.4552 (65),0.8559 (71),0.0833 (223),0.9620 (19),0.7790 (105),0.9388 (23),0.4186 (10),
275923,ashkanical,0.7413 (25),0.2857 (66),0.7020 (17),0.9665 (9),0.5650 (82),0.0000 (151),0.4552 (65),0.8559 (71),0.0833 (223),0.9620 (19),0.7790 (105),0.9388 (23),0.4186 (10),
276074,Tricks,0.7413 (25),0.4000 (34),0.6846 (38),0.9518 (41),0.6008 (16),0.1538 (83),0.4946 (9),0.8344 (149),0.3457 (84),0.9548 (26),0.7891 (53),0.9600 (10),0.2174 (108),
273780,ubersandro_,0.7407 (26),0.3889 (38),0.6761 (50),0.9551 (29),0.5455 (148),0.0000 (151),0.4485 (76),0.8571 (67),0.4118 (35),0.9689 (12),0.7880 (58),0.9600 (10),0.1818 (124),
274160,xegoniccolo,0.7407 (26),0.3636 (45),0.6980 (20),0.9551 (29),0.5372 (174),0.0377 (146),0.5059 (4),0.8525 (86),0.4156 (31),0.9506 (30),0.7990 (17),0.9167 (38),0.1860 (123),
275762,roberta_troilo,0.7400 (27),0.5000 (8),0.6892 (31),0.9405 (73),0.5929 (27),0.1250 (102),0.4352 (101),0.8353 (142),0.3733 (64),0.9620 (19),0.7950 (29),0.9592 (11),0.3019 (65),
275958,ploki99,0.7400 (27),0.3226 (55),0.6759 (51),0.9421 (69),0.5589 (102),0.0000 (151),0.4024 (153),0.8964 (3),0.1633 (206),0.9873 (3),0.7852 (74),0.9167 (38),0.0556 (164),
273815,giovanni.chiurco,0.7394 (28),0.3333 (53),0.6443 (93),0.9244 (128),0.5869 (36),0.2466 (29),0.3590 (241),0.8873 (13),0.4000 (44),0.9744 (10),0.7931 (34),0.9072 (45),0.2979 (67),
276024,teobucci,0.7394 (28),0.2759 (68),0.6714 (57),0.9366 (87),0.5785 (51),0.0000 (151),0.3875 (179),0.8816 (22),0.1224 (215),0.9620 (19),0.7847 (77),0.9072 (45),0.0571 (163),
276099,atif_javed23,0.7388 (29),0.3529 (49),0.6806 (41),0.9714 (6),0.5861 (37),0.1600 (80),0.4536 (67),0.8617 (57),0.4359 (15),0.9811 (5),0.7768 (126),0.9333 (26),0.3111 (58),
274275,aletierno,0.7382 (30),0.5455 (2),0.6711 (59),0.9524 (39),0.5846 (43),0.1569 (82),0.4358 (100),0.8578 (66),0.3662 (70),0.9811 (5),0.7621 (224),0.9804 (4),0.3704 (26),
273834,riccardo_donati,0.7376 (31),0.4242 (28),0.6803 (42),0.9538 (33),0.5415 (158),0.0444 (139),0.4108 (137),0.8489 (94),0.3729 (65),0.9814 (4),0.7937 (31),0.9709 (5),0.2979 (67),
