submission_pk,User,b'MainScore',b'Pearson',b'Spearman',b'FR [1] / NR [0]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
78715,JustTryTry,1.41 (11),0.73 (11),0.68 (14),0.00 (1),0.00 (2),0.00 (2),
78716,yangsd21,1.43 (4),0.74 (4),0.70 (3),0.00 (1),0.00 (2),0.00 (2),
78706,mdc,1.42 (8),0.73 (8),0.69 (10),0.00 (1),0.00 (2),0.00 (2),
78701,ssw,1.43 (6),0.73 (6),0.70 (5),0.00 (1),0.00 (2),0.00 (2),
78630,mtl,1.40 (14),0.72 (13),0.68 (16),0.00 (1),0.00 (2),0.00 (2),
78605,wanghao1003,1.39 (21),0.72 (17),0.67 (22),0.00 (1),0.00 (2),0.00 (2),
78570,hsva,1.43 (7),0.73 (7),0.70 (6),0.00 (1),0.00 (2),0.00 (2),
78569,Hodor,1.37 (28),0.70 (29),0.67 (23),0.00 (1),0.00 (2),0.00 (2),
78510,Stephen08,1.41 (12),0.72 (12),0.68 (13),0.00 (1),0.00 (2),0.00 (2),
78481,Howie_Wong,1.31 (33),0.67 (35),0.64 (32),0.00 (1),0.00 (2),0.00 (2),
78409,crystal,1.36 (29),0.70 (28),0.66 (29),0.00 (1),0.00 (2),0.00 (2),
78265,threebody,1.39 (20),0.72 (18),0.67 (21),0.00 (1),0.00 (2),0.00 (2),
78224,yiyiyihahaha,1.24 (39),0.64 (39),0.59 (39),0.00 (1),0.00 (2),0.00 (2),
78133,juheon,1.12 (46),0.58 (47),0.54 (46),0.00 (1),0.00 (2),0.00 (2),
77905,burchim,1.03 (54),0.54 (53),0.49 (55),0.00 (1),0.00 (2),0.00 (2),
77878,FaceMan_LuoJi,1.41 (9),0.73 (9),0.69 (8),0.00 (1),0.00 (2),0.00 (2),
77861,zhouzn,0.44 (61),0.23 (62),0.21 (60),0.00 (1),1.00 (1),0.00 (2),
77594,battlepants,1.36 (29),0.70 (28),0.66 (29),0.00 (1),0.00 (2),0.00 (2),
77455,lgg,1.38 (23),0.71 (26),0.68 (18),0.00 (1),0.00 (2),0.00 (2),
77418,Kangnayeon,1.06 (50),0.54 (50),0.52 (50),0.00 (1),0.00 (2),0.00 (2),
77249,Sicks,1.33 (32),0.69 (30),0.65 (31),0.00 (1),0.00 (2),0.00 (2),
77145,EZ_kor,1.00 (56),0.52 (55),0.47 (56),0.00 (1),0.00 (2),0.00 (2),
77016,LiSiheng,1.38 (26),0.71 (25),0.67 (24),0.00 (1),0.00 (2),0.00 (2),
76739,crazydog,1.40 (15),0.72 (16),0.68 (12),0.00 (1),0.00 (2),0.00 (2),
76564,zrofungLim,0.97 (57),0.50 (57),0.47 (57),0.00 (1),0.00 (2),0.00 (2),
76558,wth_test,1.40 (18),0.72 (15),0.68 (20),0.00 (1),0.00 (2),0.00 (2),
76515,caixukun,1.40 (16),0.72 (19),0.68 (11),0.00 (1),0.00 (2),0.00 (2),
76495,Ze1da,1.28 (37),0.66 (37),0.62 (36),0.00 (1),0.00 (2),0.00 (2),
76472,cmd,1.29 (36),0.67 (36),0.62 (35),0.00 (1),0.00 (2),0.00 (2),
76466,yuyangxianyi,1.37 (27),0.71 (27),0.66 (26),0.00 (1),0.00 (2),0.00 (2),
76418,crazycat,1.41 (10),0.72 (14),0.69 (9),0.00 (1),0.00 (2),0.00 (2),
76331,mrchang87,1.11 (48),0.58 (46),0.53 (48),0.00 (1),0.00 (2),0.00 (2),
76194,Fury,1.26 (38),0.65 (38),0.60 (38),0.00 (1),0.00 (2),0.00 (2),
75879,cmd_test,1.39 (22),0.71 (23),0.68 (17),0.00 (1),0.00 (2),0.00 (2),
75642,lgd_magnus,0.45 (60),0.27 (60),0.18 (61),0.00 (1),0.00 (2),0.00 (2),
75533,hwscut,1.14 (44),0.59 (45),0.56 (44),0.00 (1),0.00 (2),0.00 (2),
75264,su,1.04 (52),0.54 (52),0.50 (54),0.00 (1),0.00 (2),0.00 (2),
74750,MinsuKwon,1.18 (41),0.61 (40),0.58 (42),0.00 (1),0.00 (2),0.00 (2),
74720,Snow,1.29 (35),0.67 (33),0.62 (37),0.00 (1),0.00 (2),0.00 (2),
74012,CongHeng,1.05 (51),0.54 (51),0.51 (51),0.00 (1),0.00 (2),0.00 (2),
73958,DTVQ2,1.30 (34),0.67 (34),0.63 (33),0.00 (1),0.00 (2),0.00 (2),
73448,HNWu,0.37 (63),0.22 (63),0.15 (64),0.00 (1),1.00 (1),0.00 (2),
