submission_pk,User,b'mIoU',b'accuracy',b'Ground',b'High Vegetation',b'Buildings',b'Walls',b'Bridge',b'Parking',b'Rail',b'traffic Roads',b'Street Furniture',b'Cars',b'Footpath',b'Bikes',b'Water'
181954,zzzzzj,0.6540 (11),0.9390 (6),0.8560 (10),0.9890 (3),0.9640 (5),0.7770 (5),0.5890 (11),0.5470 (24),0.5280 (8),0.6450 (8),0.5770 (10),0.8630 (8),0.3900 (26),0.0000 (21),0.7780 (22),
188539,haoshengjia,0.6530 (12),0.9390 (6),0.8560 (10),0.9890 (3),0.9640 (5),0.7760 (6),0.5800 (14),0.5440 (25),0.5280 (8),0.6440 (9),0.5760 (11),0.8660 (5),0.3870 (28),0.0000 (21),0.7760 (23),
197577,lidartp,0.6490 (13),0.9380 (7),0.8520 (12),0.9890 (3),0.9640 (5),0.7780 (4),0.5730 (16),0.5360 (26),0.5310 (7),0.6440 (9),0.5770 (10),0.8660 (5),0.3640 (35),0.0000 (21),0.7640 (25),
464128,CUGGG,0.6480 (14),0.9330 (8),0.8640 (6),0.9850 (5),0.9540 (10),0.6370 (22),0.6800 (4),0.6210 (7),0.3460 (24),0.6130 (17),0.4580 (22),0.8230 (16),0.4500 (11),0.2030 (10),0.7870 (19),
425980,twocoola,0.6440 (15),0.9330 (8),0.8610 (8),0.9860 (4),0.9540 (10),0.6220 (26),0.6170 (7),0.5880 (16),0.4110 (20),0.6260 (13),0.4850 (17),0.8290 (14),0.4520 (9),0.1300 (14),0.8050 (12),
228032,Zhanwenxiao,0.6310 (16),0.9240 (15),0.8580 (9),0.9860 (4),0.9480 (15),0.6250 (24),0.5160 (21),0.5100 (32),0.3860 (22),0.5600 (28),0.4900 (15),0.8270 (15),0.3950 (25),0.2630 (7),0.8440 (6),
195420,zengziyin,0.6280 (17),0.9300 (11),0.8520 (12),0.9860 (4),0.9500 (13),0.6820 (14),0.5360 (20),0.6040 (10),0.3680 (23),0.6400 (10),0.4890 (16),0.8490 (11),0.4510 (10),0.0000 (21),0.7620 (26),
394748,f0120,0.6250 (18),0.9250 (14),0.8490 (15),0.9850 (5),0.9510 (12),0.6540 (17),0.5490 (19),0.5480 (23),0.4190 (19),0.5820 (23),0.4460 (24),0.7950 (26),0.4090 (23),0.2020 (11),0.7310 (30),
181818,orthotest,0.6130 (19),0.9070 (24),0.7730 (30),0.9090 (16),0.9340 (23),0.6400 (21),0.3550 (30),0.5750 (19),0.4700 (16),0.6350 (12),0.4450 (25),0.7840 (31),0.4420 (14),0.1620 (12),0.8390 (8),
298351,feifei,0.6050 (20),0.9280 (13),0.8540 (11),0.9850 (5),0.9530 (11),0.6050 (30),0.5800 (14),0.5480 (23),0.1600 (29),0.5890 (21),0.4780 (19),0.8190 (17),0.4410 (15),0.1310 (13),0.7260 (32),
198005,zzhdtc,0.6020 (21),0.8950 (28),0.7620 (31),0.8970 (17),0.9120 (27),0.6430 (20),0.4330 (25),0.5330 (27),0.5110 (10),0.5940 (20),0.4820 (18),0.8010 (23),0.4540 (8),0.0000 (21),0.8030 (13),
223594,ortho_ucas,0.5990 (22),0.9160 (21),0.8040 (28),0.9360 (14),0.9410 (20),0.6450 (19),0.2650 (37),0.5630 (21),0.4790 (15),0.6180 (15),0.4710 (20),0.8030 (22),0.4330 (19),0.0000 (21),0.8330 (10),
374016,hcj,0.5980 (23),0.9210 (18),0.8440 (17),0.9840 (6),0.9470 (16),0.5850 (36),0.5090 (22),0.5230 (29),0.3310 (25),0.5630 (27),0.4240 (27),0.8120 (21),0.3810 (32),0.1160 (15),0.7580 (27),
225072,James0,0.5980 (23),0.9170 (20),0.8070 (27),0.9360 (14),0.9420 (19),0.6530 (18),0.2890 (34),0.5950 (14),0.4820 (14),0.6140 (16),0.4400 (26),0.7980 (24),0.4210 (21),0.0000 (21),0.7960 (15),
191134,sanweidianyun,0.5970 (24),0.9220 (17),0.8410 (19),0.9830 (7),0.9470 (16),0.6240 (25),0.5810 (13),0.5330 (27),0.1370 (32),0.5990 (19),0.4660 (21),0.8350 (13),0.4190 (22),0.0000 (21),0.7950 (16),
224422,ortho_ia,0.5970 (24),0.9160 (21),0.8040 (28),0.9350 (15),0.9400 (21),0.6570 (16),0.2740 (36),0.6100 (8),0.5020 (13),0.6190 (14),0.4240 (27),0.7970 (25),0.3970 (24),0.0000 (21),0.8020 (14),
193603,jacobyoo,0.5950 (25),0.9290 (12),0.8630 (7),0.9830 (7),0.9560 (8),0.6130 (28),0.5830 (12),0.5840 (18),0.1410 (31),0.5750 (24),0.4480 (23),0.8160 (19),0.4350 (18),0.0070 (20),0.7240 (33),
282986,ChenJQ,0.5940 (26),0.9240 (15),0.8540 (11),0.9840 (6),0.9480 (15),0.6180 (27),0.6160 (8),0.5600 (22),0.1770 (28),0.5700 (25),0.4210 (28),0.7980 (24),0.3950 (25),0.0210 (19),0.7550 (28),
329728,lihuchen,0.5940 (26),0.9330 (8),0.8510 (13),0.9850 (5),0.9590 (7),0.6660 (15),0.5750 (15),0.5270 (28),0.0000 (39),0.6190 (14),0.4970 (14),0.8180 (18),0.4390 (16),0.0000 (21),0.7820 (20),
196921,iou_maker,0.5900 (27),0.8890 (29),0.7520 (32),0.8940 (18),0.9070 (28),0.6180 (27),0.4560 (24),0.5150 (30),0.5020 (13),0.5840 (22),0.4460 (24),0.7780 (33),0.4260 (20),0.0000 (21),0.7940 (17),
441948,JiHao,0.5880 (28),0.9230 (16),0.8460 (16),0.9820 (8),0.9460 (17),0.5830 (37),0.6500 (6),0.5970 (13),0.1450 (30),0.5670 (26),0.4080 (30),0.8130 (20),0.3890 (27),0.0000 (21),0.7160 (34),
409633,kukdo,0.5820 (29),0.9210 (18),0.8370 (20),0.9830 (7),0.9480 (15),0.5910 (33),0.6120 (9),0.5980 (12),0.1200 (33),0.5750 (24),0.4020 (31),0.7910 (27),0.3860 (29),0.0000 (21),0.7290 (31),
310682,alerkarte,0.5600 (30),0.9130 (22),0.8500 (14),0.9840 (6),0.9490 (14),0.6110 (29),0.4050 (26),0.3540 (37),0.3010 (26),0.4890 (35),0.4110 (29),0.7850 (30),0.3700 (34),0.0220 (18),0.7460 (29),
292279,LPF,0.5560 (31),0.9170 (20),0.8440 (17),0.9830 (7),0.9420 (19),0.5870 (35),0.3470 (31),0.5120 (31),0.1120 (34),0.5420 (29),0.3980 (32),0.7980 (24),0.3830 (31),0.0000 (21),0.7810 (21),
186255,yunpengb,0.5350 (32),0.9190 (19),0.8430 (18),0.9850 (5),0.9430 (18),0.5890 (34),0.0440 (41),0.4930 (33),0.3990 (21),0.5330 (30),0.3710 (33),0.7420 (36),0.3560 (36),0.0000 (21),0.6520 (39),
241250,sight,0.5320 (33),0.9040 (27),0.8220 (25),0.9810 (9),0.9120 (27),0.5770 (39),0.4770 (23),0.4460 (35),0.0330 (38),0.5110 (33),0.3670 (34),0.7870 (29),0.3420 (37),0.0000 (21),0.6610 (37),
220323,a18346014866,0.5290 (34),0.9060 (25),0.8320 (22),0.9830 (7),0.9360 (22),0.5950 (32),0.2620 (38),0.4250 (36),0.1920 (27),0.4910 (34),0.3560 (37),0.7720 (34),0.3360 (40),0.0000 (21),0.6910 (35),
240690,yisheng,0.5260 (35),0.9080 (23),0.8340 (21),0.9810 (9),0.9340 (23),0.5800 (38),0.3420 (32),0.4640 (34),0.0560 (37),0.5140 (32),0.3650 (35),0.7890 (28),0.3400 (38),0.0000 (21),0.6400 (40),
202592,Saver,0.5230 (36),0.9050 (26),0.8300 (23),0.9800 (10),0.9330 (24),0.5620 (41),0.2750 (35),0.4460 (35),0.1600 (29),0.4790 (36),0.3600 (36),0.7850 (30),0.3380 (39),0.0000 (21),0.6570 (38),
202565,liuyaowen,0.4970 (37),0.8950 (28),0.8270 (24),0.9810 (9),0.9290 (25),0.5720 (40),0.2060 (39),0.2600 (38),0.0950 (35),0.4480 (37),0.3530 (38),0.7790 (32),0.3320 (41),0.0000 (21),0.6740 (36),
186136,zhh6,0.4970 (37),0.9130 (22),0.8210 (26),0.9840 (6),0.9360 (22),0.6020 (31),0.0000 (42),0.4460 (35),0.0880 (36),0.5290 (31),0.3330 (39),0.7490 (35),0.3750 (33),0.0000 (21),0.6040 (41),
341202,Yst,0.3960 (38),0.8700 (30),0.8010 (29),0.9770 (11),0.9150 (26),0.5020 (42),0.1380 (40),0.0000 (39),0.0000 (39),0.3340 (38),0.2620 (40),0.7300 (37),0.0100 (42),0.0000 (21),0.4780 (42),
471924,Jingyi,0.0190 (39),0.2440 (31),0.2440 (33),0.0000 (19),0.0000 (29),0.0000 (43),0.0000 (42),0.0000 (39),0.0000 (39),0.0000 (39),0.0000 (41),0.0000 (38),0.0000 (43),0.0000 (21),0.0000 (43),
