submission_pk,User,b'EvaluationScore'
221820,Anunay,0.74 (53),
231478,awaernsaeter,0.74 (54),
219174,ashenoi,0.74 (55),
227653,Marsmaennchen,0.74 (56),
233220,twdent,0.73 (57),
214996,sa_li,0.73 (58),
210153,Yuanxin_Pan,0.73 (59),
211792,koehleto,0.73 (60),
213957,cici,0.73 (61),
221686,mgroepl,0.73 (62),
228817,markuenz,0.73 (63),
300909,AngQiXuan,0.73 (64),
228802,lukaschu,0.73 (65),
220280,liblaser,0.73 (66),
283030,dennisag,0.73 (67),
215137,Yoyoyo,0.73 (68),
277474,greinema,0.73 (69),
238074,zherud,0.73 (70),
272692,mdecke,0.73 (71),
260137,changyan,0.73 (72),
270600,wangjo,0.73 (73),
207884,Tobias,0.73 (74),
277332,sgeisser,0.73 (75),
209304,appiusa,0.73 (75),
233166,rosieber,0.73 (76),
241766,cdeceuninck,0.73 (77),
221786,rsanness,0.73 (78),
228938,oliverbr,0.73 (79),
270980,bierian,0.73 (80),
222733,Thiemo,0.73 (81),
237337,taskins,0.73 (82),
276929,ssssshuhu,0.73 (83),
221785,xumeng,0.73 (83),
215026,meryan,0.73 (83),
251375,graberp,0.73 (84),
254047,KVr,0.73 (85),
251203,matvogel,0.73 (86),
293241,marcmi,0.73 (87),
262976,Gronaldo,0.73 (88),
243089,nargran,0.73 (88),
209519,knillm,0.73 (89),
229062,Ssirya,0.73 (90),
211615,passutte,0.73 (91),
278456,sastocke,0.73 (92),
277325,Francesco_Casucci,0.73 (92),
233209,ssteam,0.73 (92),
237311,pp,0.73 (93),
210465,ecorey,0.73 (94),
249307,zjehan,0.73 (95),
228956,efunke,0.73 (96),
216740,luiten,0.73 (96),
240011,lijzou,0.72 (97),
213056,Bibean,0.72 (98),
221819,rcasamitjana,0.72 (99),
255338,javier,0.72 (100),
207891,jaegeseb,0.72 (101),
215960,tonglu,0.72 (102),
251793,heerdam,0.72 (103),
250426,rorobe,0.72 (104),
216234,zaBuka,0.72 (105),
263862,Yuan_XU,0.72 (106),
229064,jullrich,0.72 (107),
209339,stewidmer,0.72 (108),
248177,debaumann,0.72 (109),
208899,dmuehlema,0.72 (110),
209649,liangx,0.72 (111),
210483,isalee,0.72 (112),
277281,mpreisig,0.72 (113),
212586,simmlert,0.72 (114),
270404,DogEgg,0.72 (115),
223505,cmerk,0.72 (116),
246073,lukashol,0.72 (117),
222470,jbuerge,0.72 (118),
214828,mskogli,0.72 (119),
209557,severinf,0.72 (120),
303780,Aron,0.71 (121),
224110,vbrevig,0.71 (122),
220184,wuxiny,0.71 (123),
228664,mi_pana_disecado,0.71 (124),
209687,jmatt,0.71 (125),
215248,ecetin,0.71 (126),
231021,traceelement,0.71 (127),
237744,cdurrer_,0.71 (128),
221947,kmosle,0.71 (129),
251604,_esplanade,0.70 (130),
221833,Laura,0.70 (131),
276025,Tous_gigi_tous_rourou,0.70 (132),
251021,ekracik,0.70 (133),
236444,Koala99,0.70 (134),
241774,gcuccorese,0.70 (135),
216053,esfalameh01,0.70 (136),
252393,smontorfani,0.69 (137),
214702,Batu_Arda_Duzgun,0.69 (138),
250415,Yulomja,0.69 (139),
222545,lspecht,0.69 (140),
237800,pafloria,0.69 (141),
255404,epalma,0.69 (142),
220959,jaristegui,0.69 (143),
222548,Felicien,0.69 (144),
227095,mglasder,0.68 (145),
259923,KondiK,0.68 (146),
223469,carafael,0.68 (147),
230864,Anthony_Eid,0.68 (148),
221951,natanael_hirzel,0.68 (149),
217727,timgros,0.68 (150),
276482,bergar,0.68 (151),
282035,jbagajo,0.68 (152),
255198,nchromec,0.68 (153),
238419,jgaber,0.68 (154),
261995,doerk,0.68 (155),
303351,alyelhakie,0.68 (156),
300096,cl,0.67 (157),
211160,azuerrer,0.67 (158),
284894,appppppp,0.67 (159),
219527,rjelitto,0.67 (160),
261949,ullip,0.67 (161),
217775,tshpakov,0.67 (162),
209591,varulchelvan,0.67 (163),
218997,wenkelj,0.67 (164),
257349,flaviosc,0.66 (165),
262652,psiegel,0.66 (166),
230049,omr100,0.66 (167),
274607,kehpan,0.66 (168),
222500,Arno,0.66 (169),
284081,marsimon,0.66 (170),
274202,Max313,0.65 (171),
213964,twilhelm,0.65 (172),
303736,fabmuel,0.65 (173),
218868,tstreule,0.65 (174),
264257,ocernin,0.65 (175),
304138,zhatang,0.65 (176),
215160,aliyucekaleli,0.65 (177),
255202,lehnpa,0.65 (178),
265541,pblascof,0.65 (179),
299050,dawalter,0.64 (180),
223472,csvision,0.64 (181),
209686,aletop,0.64 (182),
221674,aubingazhibo,0.64 (183),
262591,cehmke,0.64 (184),
247821,user_123,0.63 (185),
205136,IACV_BASELINE,0.63 (186),
298502,mflong,0.61 (187),
205195,brunnerg,0.50 (188),
