submission_pk,User,b'Total',b'Test 1',b'Test 2',b'Test 3'
348839,zihaoxu20010109,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348795,alexanderrobles,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348577,kevinlavelle,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348628,rdharmaji,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348574,michaelyang,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348538,danielrose,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348488,MuMuKow,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348457,justincao,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348462,collinqian,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348412,csirlin,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348405,vidit,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348322,kylekumar,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348314,khamada,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348304,taeseongkim,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
347776,robertodoumet,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348294,randle,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
347698,sanjanashankar,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348191,vaishnavihimakunthala,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
348177,aditiphatak,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
347639,tianyi_lin,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
347647,Lawrence_chen,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
347494,rishabh_poikayil,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
347421,brandon_lee,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
347352,caleb_lee,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
347303,winbert,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
347164,simonyu,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
346996,haroldmo,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
346342,briankang,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
346244,isaacchin,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
346066,huntermassey,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
346153,srijit,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
345872,brianozawaburns,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
345856,Matthewreddick,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
345854,cpmckim,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
345643,cherylstanley,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
344782,ericxu,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
344661,anoushka,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
344608,elintoverud,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
344583,rlnguyen,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
343426,zmarks,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
343376,cvanstralen,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
343214,cmfisher606,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
343189,npellegrin,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
343111,m_cabello,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
342275,kevinzhang421,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
342254,cbarrett,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
342114,jakegreenbaum,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
342130,jseong,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
341810,knw,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
341747,yqin,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
340904,paritoshjha,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
340412,d_wang,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
340380,anobunaga,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
339200,gttotev,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
337801,yongtak,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
337706,yunhaoluo,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
336775,cruttenden,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
336223,wesley_kam,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
335757,zglazewski,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
335531,mfletcher,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
330373,q_li,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
330253,teagan,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
329171,sophieguan,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
328544,Jameszhao,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
325566,ixw,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
317641,alexmeigz,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
