submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'Parameters',b'Extra Data [1] / No Extra Data [0]'
65970,AlexZou,28.96 (48),0.82 (48),0.10 (37),433448.00 (37),1.00 (1),
65569,chenjingyi,29.01 (21),0.82 (31),0.03 (13),3540821.00 (67),1.00 (1),
65567,ZTLIN,28.99 (42),0.82 (26),0.69 (53),433448.00 (37),1.00 (1),
65530,Alex_Huang,28.19 (82),0.80 (81),0.10 (37),893936.00 (57),1.00 (1),
65458,deepernewbie,29.02 (19),0.82 (25),0.12 (40),316552.00 (13),1.00 (1),
65445,stu_tools,29.02 (20),0.82 (18),0.07 (30),348648.00 (19),1.00 (1),
65364,csbhr,28.95 (50),0.82 (49),-1.00 (1),-1.00 (1),1.00 (1),
64471,cheeun,29.01 (26),0.82 (24),0.05 (25),272419.00 (11),1.00 (1),
64355,Golf,29.05 (9),0.82 (17),0.05 (25),414008.00 (30),1.00 (1),
64314,YuanfeiHuang,29.07 (7),0.82 (15),0.05 (26),446832.00 (40),1.00 (1),
64205,Jet,29.00 (37),0.82 (35),0.10 (37),893936.00 (57),1.00 (1),
63415,Alpan,29.03 (15),0.82 (12),0.08 (34),366000.00 (22),1.00 (1),
63064,Do,28.60 (75),0.81 (73),0.89 (55),266232.00 (10),1.00 (1),
63062,zzhanghengpeng,28.79 (67),0.81 (66),0.30 (50),343347.00 (18),1.00 (1),
62146,wyboooo,29.00 (28),0.82 (28),0.03 (11),402288.00 (28),1.00 (1),
62074,icandle,29.00 (30),0.82 (27),0.05 (22),376598.00 (25),1.00 (1),
61262,wangzheyuan,29.13 (5),0.82 (5),0.20 (45),893936.00 (57),1.00 (1),
60555,shermanlian,29.05 (8),0.82 (8),0.11 (39),583512.00 (49),1.00 (1),
60009,zzg,28.64 (72),0.81 (71),0.10 (37),433448.00 (37),1.00 (1),
59830,Sunder_ali,29.24 (1),0.83 (1),0.02 (7),197520.00 (7),1.00 (1),
58492,stillwaters,29.13 (5),0.82 (5),0.08 (35),893936.00 (57),1.00 (1),
58328,garasgaras,28.99 (43),0.82 (22),0.07 (30),460000.00 (45),1.00 (1),
57094,mingxi,29.00 (35),0.82 (32),0.10 (37),395000.00 (27),1.00 (1),
54938,clever_frog,28.97 (45),0.82 (42),0.05 (23),358256.00 (21),1.00 (1),
54818,whlzy,28.84 (66),0.82 (64),0.03 (15),433448.00 (37),1.00 (1),
52537,Jingzhu_Tang,29.04 (12),0.82 (10),-1.00 (1),338592.00 (16),1.00 (1),
51853,debut,29.04 (10),0.82 (11),0.06 (27),433448.00 (37),1.00 (1),
51826,NicolasGUO,28.45 (78),0.81 (77),0.02 (8),182568.00 (5),1.00 (1),
49862,Abhishek_SInha,27.23 (86),0.77 (85),0.05 (25),423404.00 (33),1.00 (1),
49842,leinao123,28.96 (49),0.82 (45),0.10 (37),893936.00 (57),1.00 (1),
49026,xiaozhazha,28.95 (52),0.82 (47),0.10 (37),893936.00 (57),1.00 (1),
48302,blurArmy,29.02 (18),0.82 (6),0.10 (37),430000.00 (34),1.00 (1),
45124,msc_1,29.01 (26),0.82 (24),0.05 (25),10000000.00 (68),1.00 (1),
45106,IMDN_baseline,29.13 (5),0.82 (5),0.10 (38),893936.00 (57),1.00 (1),
71921,hyunslee,28.57 (77),0.81 (76),0.02 (6),1528272.00 (65),0.00 (2),
71161,chuminglin,29.00 (33),0.82 (34),0.14 (41),433448.00 (37),0.00 (2),
70553,Una,28.28 (81),0.80 (79),0.69 (52),1111431.00 (62),0.00 (2),
69325,liuxunchenglxc,28.31 (80),0.80 (80),0.03 (16),93064.00 (2),0.00 (2),
68583,kkkls,29.00 (27),0.82 (38),-1.00 (1),-1.00 (1),0.00 (2),
65463,yyywxk,28.36 (79),0.80 (78),0.12 (40),433448.00 (37),0.00 (2),
64375,Gong_Jiali,28.60 (74),0.81 (72),0.17 (42),126663.00 (3),0.00 (2),
63454,lait,28.95 (52),0.82 (47),0.10 (37),715176.00 (53),0.00 (2),
63372,lianghy,28.95 (52),0.82 (47),0.10 (37),715176.00 (53),0.00 (2),
63003,XiaoPang,28.95 (51),0.82 (46),0.07 (30),433448.00 (37),0.00 (2),
61012,neonrocks,28.93 (55),0.82 (44),0.06 (29),453840.00 (44),0.00 (2),
59888,frederik,28.90 (61),0.82 (59),0.24 (48),689352.00 (51),0.00 (2),
59688,Zzy97,28.90 (62),0.82 (60),0.08 (32),710000.00 (52),0.00 (2),
59611,SamsungMSL,28.71 (69),0.81 (69),0.06 (27),420000.00 (32),0.00 (2),
57933,GomTeddyBear,25.83 (89),0.76 (87),0.21 (46),2276712.00 (66),0.00 (2),
57143,chenhao,29.02 (17),0.82 (20),0.03 (14),433447.00 (36),0.00 (2),
53324,xueqingfand,28.87 (64),0.82 (63),0.29 (49),893936.00 (57),0.00 (2),
52806,haowei,28.92 (58),0.82 (52),0.07 (30),1008102.00 (60),0.00 (2),
51337,Finn_zhang,26.65 (88),0.79 (82),1.80 (57),43089947.00 (69),0.00 (2),
51319,GWu,28.94 (54),0.82 (51),0.06 (28),715176.00 (53),0.00 (2),
51047,zhaozhichao,28.95 (52),0.82 (47),0.07 (31),715176.00 (53),0.00 (2),
49241,FuHailing,28.84 (65),0.82 (65),0.02 (7),433960.00 (38),0.00 (2),
47225,erick,27.77 (84),0.79 (83),0.03 (15),241172.00 (8),0.00 (2),
46338,mxjecho,28.58 (76),0.81 (75),0.02 (4),153800.00 (4),0.00 (2),
45020,tany0699,29.00 (32),0.82 (19),0.02 (5),758785.00 (55),0.00 (2),
70355,hhhfccz,27.09 (87),0.77 (86),-1.00 (1),-1.00 (1),-1.00 (3),
70263,murray,28.96 (46),0.82 (53),-1.00 (1),-1.00 (1),-1.00 (3),
68913,jr,28.62 (73),0.81 (74),-1.00 (1),-1.00 (1),-1.00 (3),
62410,lys200598,28.64 (71),0.81 (70),-1.00 (1),-1.00 (1),-1.00 (3),
52641,Layer,29.04 (13),0.82 (16),-1.00 (1),-1.00 (1),-1.00 (3),
52129,HaoqiangYang,29.03 (14),0.82 (9),-1.00 (1),-1.00 (1),-1.00 (3),
49531,kkp,28.71 (70),0.81 (68),-1.00 (1),-1.00 (1),-1.00 (3),
