submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
365603,xd163,21.37 (14),0.67 (41),1.00 (3),0.00 (2),0.00 (2),
362630,heiheiha,19.93 (56),0.64 (58),-1.00 (1),0.00 (2),0.00 (2),
361991,dong_24,21.47 (9),0.69 (20),0.00 (2),0.00 (2),0.00 (2),
360688,wakito,20.38 (49),0.61 (65),-1.00 (1),0.00 (2),0.00 (2),
360591,liyuyan,21.70 (2),0.70 (5),-1.00 (1),0.00 (2),0.00 (2),
360369,ZXCV,21.27 (18),0.68 (34),2.00 (4),0.00 (2),0.00 (2),
358531,nicai,20.98 (31),0.69 (12),-1.00 (1),0.00 (2),0.00 (2),
358523,liangyi,21.17 (22),0.69 (17),-1.00 (1),0.00 (2),0.00 (2),
357456,shishei,20.95 (34),0.69 (21),-1.00 (1),0.00 (2),0.00 (2),
357251,wuwu,21.37 (12),0.67 (44),-1.00 (1),0.00 (2),0.00 (2),
353969,ShawnDong98,21.65 (3),0.70 (7),-1.00 (1),0.00 (2),0.00 (2),
346155,eppark,20.48 (45),0.67 (45),2.00 (4),0.00 (2),0.00 (2),
345682,Stay_hungry,21.13 (25),0.67 (43),0.00 (2),0.00 (2),0.00 (2),
344840,dehazingmax,21.60 (4),0.69 (23),0.00 (2),0.00 (2),0.00 (2),
340729,Ray335,18.91 (65),0.65 (54),-1.00 (1),0.00 (2),0.00 (2),
331207,datascientistimage,20.96 (32),0.68 (36),-1.00 (1),0.00 (2),0.00 (2),
321936,YuGuo,17.44 (69),0.65 (55),-1.00 (1),0.00 (2),0.00 (2),
386861,eryuxiao,20.54 (42),0.69 (18),9.00 (12),0.00 (2),1.00 (3),
384046,ggc,21.38 (11),0.68 (32),9.00 (12),0.00 (2),1.00 (3),
373399,AnasM,20.91 (36),0.69 (16),12.00 (14),0.00 (2),1.00 (3),
368704,elesawy,14.01 (75),0.59 (68),30.00 (16),0.00 (2),1.00 (3),
368419,yan.wei,21.04 (30),0.66 (49),305.00 (18),1.00 (1),1.00 (3),
368225,z0303tw,21.53 (8),0.70 (4),-1.00 (1),0.00 (2),1.00 (3),
367979,mrchang87,21.37 (13),0.71 (2),-1.00 (1),0.00 (2),1.00 (3),
366886,CongXiaofeng,20.06 (55),0.64 (57),10.43 (13),0.00 (2),1.00 (3),
365853,monday21,21.04 (29),0.69 (9),8.89 (11),0.00 (2),1.00 (3),
365435,Dehazing_HR,21.35 (15),0.68 (28),-1.00 (1),0.00 (2),1.00 (3),
361355,lishuoshi1996,20.31 (51),0.65 (53),6.00 (8),1.00 (1),1.00 (3),
356727,Studetns,19.62 (59),0.67 (42),-1.00 (1),0.00 (2),1.00 (3),
355782,ir-sde,19.66 (58),0.61 (66),10.43 (13),1.00 (1),1.00 (3),
354145,LXer,19.07 (64),0.63 (62),-1.00 (1),0.00 (2),1.00 (3),
354061,gyc2000,19.76 (57),0.66 (48),-1.00 (1),0.00 (2),1.00 (3),
351508,bieyang,16.21 (72),0.62 (63),6.84 (9),1.00 (1),1.00 (3),
350841,bianhao,20.13 (54),0.69 (22),48.51 (17),0.00 (2),1.00 (3),
347260,xuanzhaoimg,20.20 (53),0.68 (24),10.43 (13),1.00 (1),1.00 (3),
345495,coco,19.26 (61),0.63 (61),3.47 (5),0.00 (2),1.00 (3),
339893,Qyw313,20.32 (50),0.68 (37),10.43 (13),1.00 (1),1.00 (3),
339038,RoyJiang,14.24 (74),0.51 (73),-1.00 (1),0.00 (2),1.00 (3),
334264,ZhijunTu,21.30 (17),0.69 (19),-1.00 (1),0.00 (2),1.00 (3),
324381,Sonwe1e,18.31 (68),0.59 (67),-1.00 (1),0.00 (2),1.00 (3),
323873,PengChengwei,14.41 (73),0.48 (74),5.00 (7),1.00 (1),1.00 (3),
322289,CVLG-NJUST,17.11 (70),0.44 (76),10.43 (13),0.00 (2),1.00 (3),
