submission_pk,User,b'mIoU',b'accuracy'
387413,kimbss470,59.6 (104),90.3 (97),
399489,spunet_enhance,59.4 (105),89.5 (119),
423173,YuanbinWang,59.4 (106),90.3 (99),
185038,bboote3,59.0 (107),89.7 (113),
384881,jieyun,58.7 (108),90.9 (71),
226007,Parkerfive,58.5 (109),89.1 (131),
306875,wangxuzhe,58.4 (110),90.0 (106),
336200,swift_dusk,58.4 (111),89.5 (117),
290764,KangKang,58.0 (112),90.7 (86),
442356,ni.le,57.9 (113),89.8 (109),
471261,jbwang1997_2,57.8 (114),89.6 (115),
291626,Eisbaer,57.7 (115),89.5 (116),
492677,dongzi,57.5 (116),89.8 (110),
288306,Agnes,57.5 (117),90.1 (102),
385558,FrederikH,57.1 (118),89.6 (114),
359258,yiningma,57.0 (119),88.4 (153),
457814,zengziyin,56.1 (120),89.5 (118),
456587,ZhouCe,56.1 (121),90.1 (103),
265469,alexandre.almin,56.0 (122),88.7 (146),
374881,user2021,55.9 (123),89.4 (123),
488031,kjwkch,55.7 (124),89.4 (122),
220604,shaoyuyuan1,55.7 (125),89.3 (125),
336991,lyxyxmpcss,55.3 (126),89.1 (133),
293964,wyhzsbjs,55.2 (127),89.7 (112),
443193,Sylva,54.9 (128),90.2 (101),
325433,sxk1012,54.8 (129),89.2 (129),
321506,hwpokya,54.6 (130),89.1 (134),
457969,mmw,54.6 (131),89.0 (138),
386380,zhangjd1213,54.6 (131),89.0 (138),
379258,QINLI,54.4 (132),88.9 (141),
249272,iskra,54.4 (133),89.2 (128),
221185,COMoER,54.4 (134),88.5 (150),
455040,sanweidianyun,54.3 (135),89.3 (126),
182321,fenfen18879810386,54.2 (136),88.9 (139),
380548,zhouxt,54.2 (137),89.3 (127),
268578,pokorsi1,53.9 (138),89.7 (111),
177165,tczyx,53.9 (139),88.8 (143),
348466,madh,53.8 (140),88.8 (144),
354685,kai_jin,53.6 (141),88.7 (148),
325790,KunJiang,53.4 (142),88.8 (142),
380417,LXX_SZU,53.3 (143),89.1 (130),
476071,Hairymoon,53.2 (144),88.7 (147),
407259,zouyanmei,53.1 (145),90.3 (98),
385602,LXX_TEST,53.0 (146),89.0 (136),
468209,Jingyi,52.9 (147),88.9 (140),
315614,dm3tq,52.6 (148),89.0 (137),
479642,ybc2201100044,52.3 (149),88.3 (154),
173721,RangeNet,52.2 (150),89.0 (135),
381089,prashantk,52.2 (151),88.6 (149),
353833,Yst,51.9 (152),88.4 (152),
205392,hxn,51.7 (153),88.7 (145),
180992,sugertouch,51.5 (154),86.1 (164),
268081,zengjt,51.4 (155),86.6 (158),
387011,f0120,51.4 (156),89.4 (121),
396157,as980307,51.3 (157),87.9 (156),
181215,zhoujunbao,50.6 (158),86.4 (161),
279702,techwalker,49.7 (159),88.1 (155),
340696,Wupengzez,49.2 (160),88.5 (151),
421966,CQUPT_HXJM,49.2 (161),87.6 (157),
223022,ShiHanyu,49.2 (162),86.4 (162),
318277,czh1371214566,49.1 (163),86.5 (159),
260991,wjx10210,45.7 (164),86.2 (163),
455756,Sp4n,45.1 (165),84.8 (167),
181272,mjlsuccess,45.1 (166),85.8 (165),
285545,ckSung,44.7 (167),86.5 (160),
493419,CCFormer,20.1 (168),43.5 (170),
235440,zihui,14.3 (169),43.7 (169),
415822,XLI10,13.4 (170),44.4 (168),
389988,bessabri,10.2 (171),31.6 (171),
198487,Dqqqqq,1.5 (172),4.8 (173),
452842,zhanlixin,0.4 (173),8.1 (172),
448636,xxd,0.0 (174),0.0 (174),
