submission_pk,User,b'AUC',b'MRR',b'nDCG@5',b'nDCG@10'
11083,NoParty4PR,0.6832 (34),0.3358 (32),0.3644 (37),0.4214 (35),
469611,dvesely,0.6828 (35),0.3349 (33),0.3654 (35),0.4227 (33),
23555,hieunm,0.6823 (36),0.3326 (37),0.3630 (39),0.4203 (37),
29501,group7-lopthaylinh,0.6807 (37),0.3338 (35),0.3634 (38),0.4206 (36),
296652,anhductn2001,0.6789 (38),0.3343 (34),0.3646 (36),0.4215 (34),
378171,teopapad92,0.6780 (39),0.3292 (40),0.3586 (43),0.4163 (41),
338179,lyw,0.6768 (40),0.3289 (41),0.3573 (44),0.4150 (42),
323086,KTH_CS3,0.6740 (41),0.3313 (39),0.3607 (42),0.4178 (39),
136237,whitepurple,0.6735 (42),0.3292 (40),0.3573 (44),0.4144 (43),
316687,vietpt,0.6733 (43),0.3264 (44),0.3549 (46),0.4120 (45),
178994,bboylyg,0.6709 (44),0.3266 (43),0.3546 (47),0.4117 (46),
323140,richard007,0.6693 (45),0.3283 (42),0.3572 (45),0.4141 (44),
322919,khuongvd2k,0.6693 (45),0.3283 (42),0.3572 (45),0.4141 (44),
331813,NamFam,0.6660 (46),0.3234 (46),0.3504 (49),0.4076 (48),
486322,dxdiag,0.6646 (47),0.3321 (38),0.3612 (41),0.4170 (40),
40285,testtest,0.6640 (48),0.3201 (48),0.3479 (51),0.4050 (50),
322077,Namngo,0.6638 (49),0.3242 (45),0.3522 (48),0.4093 (47),
210180,zhangy7738,0.6632 (50),0.3188 (51),0.3451 (54),0.4027 (53),
250654,AdarshMIND,0.6618 (51),0.3197 (50),0.3461 (53),0.4038 (51),
280364,phu.ict4138,0.6612 (52),0.3219 (47),0.3489 (50),0.4064 (49),
463424,wujie,0.6582 (53),0.3167 (52),0.3429 (55),0.4005 (54),
322881,khuong5trieu,0.6554 (54),0.3198 (49),0.3467 (52),0.4035 (52),
28911,TranAnhVuNhom7,0.6548 (55),0.3125 (53),0.3381 (56),0.3953 (55),
322836,huongnv,0.6451 (56),0.3069 (54),0.3306 (57),0.3883 (56),
415502,zxpyouming,0.6340 (57),0.3008 (55),0.3219 (58),0.3790 (57),
493806,Jyonn,0.6270 (58),0.2947 (56),0.3176 (59),0.3749 (58),
477284,zy0055,0.6243 (59),0.2901 (58),0.3093 (61),0.3669 (60),
11066,Lil.Forest,0.6172 (60),0.2910 (57),0.3126 (60),0.3699 (59),
262449,cmchen,0.5942 (61),0.2744 (59),0.2899 (62),0.3464 (61),
294034,a-borel,0.5221 (62),0.2319 (62),0.2373 (65),0.2930 (64),
450965,beckersense,0.5158 (63),0.2336 (60),0.2383 (64),0.2932 (63),
491642,Anis,0.5156 (64),0.2333 (61),0.2396 (63),0.2952 (62),
176958,JiangxuLin,0.5009 (65),0.2214 (66),0.2265 (70),0.2821 (68),
455458,doistha,0.5004 (66),0.2250 (63),0.2317 (66),0.2878 (65),
283544,KhuoVie,0.5003 (67),0.2238 (64),0.2293 (67),0.2847 (66),
278154,longtruongv,0.4988 (68),0.2232 (65),0.2289 (68),0.2845 (67),
220875,ali_c,0.4921 (69),0.2211 (67),0.2268 (69),0.2821 (68),
