submission_pk,User,b'UIoU',b'Average UIoU',b'IoU'
375795,dark2023_3_18_1,54.72 (38),54.72 (13),54.72 (53),
374731,dark2023_3_18_0,54.72 (38),54.72 (13),54.72 (53),
377487,dark2023_3_18_2,54.65 (39),54.65 (14),54.65 (54),
291010,dark-23-1-06-2,54.65 (39),54.65 (14),54.65 (54),
324095,qz_02_3_5,54.60 (40),54.60 (15),54.60 (56),
248172,lhoyer,54.57 (41),-100.00 (80),54.57 (57),
146986,zhaoxingc3,54.51 (42),-100.00 (80),54.51 (58),
345932,YanGdp,54.49 (43),-100.00 (80),54.49 (59),
347501,dark_3_2_01,54.44 (44),54.44 (16),54.44 (60),
458552,dark_2023_3_27_4,54.42 (45),54.42 (17),54.42 (61),
402260,pqliao-fgt,54.42 (45),54.42 (17),54.42 (61),
300835,pqliao,54.42 (45),54.42 (17),54.42 (61),
196729,zhangyu,54.36 (46),-100.00 (80),54.36 (62),
279991,dark_12_24_4,54.30 (47),54.30 (18),54.30 (63),
467309,fly111,54.29 (48),-100.00 (80),54.29 (64),
449677,dark_2023_3_27_1,54.26 (49),54.26 (19),54.26 (65),
467177,jk5689,54.22 (50),-100.00 (80),54.22 (66),
131464,Binhuixie,54.21 (51),-100.00 (80),54.21 (67),
458464,dark_2023_3_27_3,54.19 (52),54.19 (20),54.19 (68),
312823,Tybcyb,54.16 (53),-100.00 (80),54.16 (69),
449652,dark_2023_3_27_2,54.14 (54),54.14 (21),54.14 (70),
349977,OhfTlg,53.99 (55),-100.00 (80),53.99 (71),
259885,dark_2022_1127,53.90 (56),53.90 (22),53.90 (73),
259718,dark_2022_12_06_1,53.84 (57),53.84 (23),53.84 (74),
434109,Banana,53.83 (58),-100.00 (80),53.83 (75),
164867,DAFormer,53.76 (59),-100.00 (80),53.76 (76),
306941,dark_01_10_2,53.74 (60),53.74 (24),53.74 (77),
313528,dark_01_10_4,53.73 (61),53.73 (25),53.73 (78),
458728,flylove520,53.72 (62),-100.00 (80),53.72 (79),
366535,pqliao_jx,53.64 (63),53.64 (26),53.64 (80),
468548,fly112,53.56 (64),-100.00 (80),53.56 (81),
148950,zhaoxingc2,53.52 (65),-100.00 (80),53.52 (82),
359542,dark_3_2_02,53.48 (66),53.48 (27),53.48 (83),
362286,d_3_12_0,53.43 (67),53.43 (28),53.43 (84),
366007,d_3_12_2,53.41 (68),53.41 (29),53.41 (85),
494221,lyndlmu,53.30 (69),-100.00 (80),53.30 (88),
363354,d_3_12_1,53.30 (69),53.30 (30),53.30 (88),
318531,dark_4759_1,53.26 (70),53.26 (31),53.26 (90),
491301,rayeh,53.21 (71),-100.00 (80),53.21 (91),
279892,dark_12_24_2,53.15 (72),53.15 (32),53.15 (92),
367410,d_3_12_3,53.10 (73),53.10 (33),53.10 (94),
278593,dark_12_06_2,53.08 (74),53.08 (34),53.08 (95),
279782,dark_12_24,53.05 (75),53.05 (35),53.05 (96),
399620,dark_2023_3_27,53.04 (76),53.04 (36),53.04 (97),
397628,pqliao-hjf,52.99 (77),52.99 (37),52.99 (98),
329507,lpq-lpk,52.99 (77),52.99 (37),52.99 (98),
287092,dark_23_01_01,52.98 (78),52.98 (38),52.98 (99),
250299,wu_yd,52.91 (79),52.91 (39),52.91 (100),
468936,fly113,52.77 (80),-100.00 (80),52.77 (101),
456454,xinyuehuo,52.39 (81),-100.00 (80),52.39 (103),
313190,dark_01_10_3,52.25 (82),52.25 (40),52.25 (104),
397486,malesi7583,52.18 (83),-100.00 (80),52.18 (105),
279903,dark_12_24_3,52.18 (83),52.18 (41),52.18 (105),
405333,dark2013_3_18_3,52.07 (84),52.07 (42),52.07 (107),
385593,dark_2023_3_27_8,52.05 (85),52.05 (43),52.05 (108),
325306,CoMA,51.80 (86),-100.00 (80),51.80 (111),
239268,a_00_dark,51.73 (87),51.73 (44),51.73 (112),
283449,dark_12_24_5,51.56 (88),51.56 (45),51.56 (113),
311296,lpq-hqz,51.42 (89),51.42 (46),51.42 (114),
494102,star0,51.20 (90),-100.00 (80),51.20 (116),
152128,test1,51.12 (91),-100.00 (80),51.12 (117),
303896,lpq-hdx,51.07 (92),51.07 (47),51.07 (118),
229631,darkzurich_1,51.06 (93),51.06 (48),51.06 (119),
228085,darkZURICH_4,51.05 (94),51.05 (49),51.05 (120),
302579,pqliao-wzy,50.92 (95),50.92 (50),50.92 (121),
229450,darkzurich_2,50.85 (96),50.85 (51),50.85 (122),
215315,qi_yd,50.71 (97),50.71 (52),50.71 (123),
167783,zxc1,50.43 (98),-100.00 (80),50.43 (124),
250432,yueqi,50.42 (99),50.42 (53),50.42 (125),
485783,dark_2023_3_27_5,50.36 (100),50.36 (54),50.36 (126),
201097,xingc0,50.32 (101),-100.00 (80),50.32 (127),
221454,dark_4,50.27 (102),50.27 (55),50.27 (128),
313185,dark_01_10,50.21 (103),50.21 (56),50.21 (129),
136550,zhaoxing4,50.19 (104),-100.00 (80),50.19 (130),
140785,zhao.xingc,50.15 (105),-100.00 (80),50.15 (131),
454531,brstu,50.10 (106),-100.00 (80),50.10 (132),
244473,qq2022,49.96 (107),-100.00 (80),49.96 (133),
218436,ba_yd,49.76 (108),49.76 (57),49.76 (134),
320891,dark_4759_3,49.73 (109),49.73 (58),49.73 (135),
225092,DARKZURICH_6,48.73 (110),48.73 (59),48.73 (140),
304974,cipeni,48.26 (111),44.57 (64),45.08 (150),
432413,LMF4,48.16 (112),-100.00 (80),48.16 (142),
320769,dark_4759_2,47.69 (113),47.69 (60),47.69 (143),
298417,zcl,47.67 (114),41.90 (71),44.85 (151),
301788,zcla,46.77 (115),41.96 (70),44.58 (154),
182540,liu_yd,46.77 (115),46.77 (61),46.77 (144),
300582,zclg,46.61 (116),40.84 (72),44.83 (152),
320625,qz_02_3_4,46.47 (117),46.47 (62),46.47 (145),
305011,ridab,46.44 (118),42.06 (69),43.88 (159),
493885,mpeng1122,46.05 (119),-100.00 (80),46.05 (146),
301817,zclk,46.01 (120),42.62 (67),41.90 (166),
303813,tivij,45.91 (121),42.10 (68),43.39 (161),
421635,LMF3,45.78 (122),-100.00 (80),45.78 (147),
379598,win-win,45.74 (123),45.74 (63),45.74 (148),
407319,LMF2,45.46 (124),-100.00 (80),45.46 (149),
304312,mokal9,45.09 (125),39.15 (73),42.13 (164),
462151,sunforger,44.76 (126),-100.00 (80),44.76 (153),
130996,Zhangpeng,43.90 (127),-100.00 (80),43.90 (158),
178137,ell9,43.83 (128),43.83 (65),43.83 (160),
178127,ell8,42.74 (129),42.74 (66),42.74 (163),
394601,radero,42.03 (130),-100.00 (80),42.03 (165),
295742,charliez,41.44 (131),38.63 (74),40.92 (167),
261059,lwy2,40.92 (132),-100.00 (80),40.92 (167),
453843,RedFairyT3,40.15 (133),-100.00 (80),40.15 (168),
176944,RedFairy,39.25 (134),-100.00 (80),39.25 (169),
287925,clzhong,39.20 (135),35.95 (78),38.45 (170),
379637,kingW,37.92 (136),37.92 (75),37.92 (171),
184920,RedFairyO,37.76 (137),-100.00 (80),37.76 (172),
274818,codalab_test,37.28 (138),37.28 (76),37.28 (173),
181634,yuechu,36.96 (139),36.96 (77),36.96 (174),
180483,RedFairyTaT,35.50 (140),-100.00 (80),35.50 (175),
396270,LMF,35.00 (141),-100.00 (80),35.00 (176),
210888,RedFairyT,34.41 (142),-100.00 (80),34.41 (178),
351524,RedFairyT2,33.82 (143),-100.00 (80),33.82 (179),
148712,DIP_hj,30.85 (144),30.85 (79),30.85 (181),
209947,ceshicsip,30.08 (145),-100.00 (80),30.08 (182),
161495,wangsen,28.35 (146),-100.00 (80),28.35 (183),
198851,RedFairy123,26.40 (147),-100.00 (80),26.40 (184),
423919,tom,22.41 (148),-100.00 (80),22.41 (185),
493302,g10410131,-100.00 (149),-100.00 (80),55.80 (40),
491004,ami,-100.00 (149),-100.00 (80),60.44 (18),
487159,flappy_cat,-100.00 (149),-100.00 (80),61.74 (14),
487145,flappy_ele,-100.00 (149),-100.00 (80),62.70 (11),
481526,cixiao,-100.00 (149),-100.00 (80),-100.00 (187),
480564,GingerGinger,-100.00 (149),-100.00 (80),-100.00 (187),
476983,sshhuu,-100.00 (149),-100.00 (80),49.23 (138),
475785,sh_hs,-100.00 (149),-100.00 (80),51.99 (110),
474327,liuyunan,-100.00 (149),-100.00 (80),15.29 (186),
471098,sh_uu,-100.00 (149),-100.00 (80),59.27 (22),
470046,lfh,-100.00 (149),-100.00 (80),57.08 (32),
468649,Cusyoung03,-100.00 (149),-100.00 (80),-100.00 (187),
468627,Cusyoung02,-100.00 (149),-100.00 (80),-100.00 (187),
468591,Cusyoung,-100.00 (149),-100.00 (80),-100.00 (187),
468240,devinxzhang,-100.00 (149),-100.00 (80),-100.00 (187),
467809,dmcv,-100.00 (149),-100.00 (80),53.27 (89),
465496,s_h_u,-100.00 (149),-100.00 (80),52.15 (106),
464426,pu,-100.00 (149),-100.00 (80),56.94 (33),
461397,SH_KU,-100.00 (149),-100.00 (80),49.59 (136),
457224,sang,-100.00 (149),-100.00 (80),48.66 (141),
455289,YuKaiChen8NTUST,-100.00 (149),-100.00 (80),-100.00 (187),
452986,shushu,-100.00 (149),-100.00 (80),54.72 (53),
432268,Angelina123456,-100.00 (149),-100.00 (80),62.92 (7),
431827,Angelina123,-100.00 (149),-100.00 (80),64.25 (3),
428594,RGong,-100.00 (149),-100.00 (80),47.69 (143),
426767,Niugan3,-100.00 (149),-100.00 (80),49.44 (137),
411319,shush,-100.00 (149),-100.00 (80),51.39 (115),
407206,dakongtou,-100.00 (149),-100.00 (80),53.11 (93),
390443,star0811,-100.00 (149),-100.00 (80),-100.00 (187),
388155,chefcurry3011,-100.00 (149),-100.00 (80),-100.00 (187),
382631,shu_,-100.00 (149),-100.00 (80),48.76 (139),
380943,lp5,-100.00 (149),-100.00 (80),49.44 (137),
380054,seg20233,-100.00 (149),-100.00 (80),44.56 (155),
316236,Niugan2,-100.00 (149),-100.00 (80),53.94 (72),
311955,Niugan,-100.00 (149),-100.00 (80),54.63 (55),
303673,RedFairyT1,-100.00 (149),-100.00 (80),-100.00 (187),
301304,gbug,-100.00 (149),-100.00 (80),58.23 (28),
296929,MFX,-100.00 (149),-100.00 (80),44.24 (157),
296131,MFXu,-100.00 (149),-100.00 (80),-100.00 (187),
288630,dch2,-100.00 (149),-100.00 (80),57.49 (30),
265357,cc123,-100.00 (149),-100.00 (80),44.55 (156),
264023,cc1234,-100.00 (149),-100.00 (80),43.21 (162),
257567,mumu,-100.00 (149),-100.00 (80),-100.00 (187),
248424,Ryan_qr,-100.00 (149),-100.00 (80),-100.00 (187),
237251,youbing,-100.00 (149),-100.00 (80),52.91 (100),
237212,jil,-100.00 (149),-100.00 (80),53.39 (86),
235451,lijiaoil,-100.00 (149),-100.00 (80),52.00 (109),
234051,Angelina8065,-100.00 (149),-100.00 (80),54.76 (52),
233287,atanac,-100.00 (149),-100.00 (80),-100.00 (187),
231893,Angelina751,-100.00 (149),-100.00 (80),62.80 (9),
228425,anton1994,-100.00 (149),-100.00 (80),-100.00 (187),
227548,hkustvgd,-100.00 (149),-100.00 (80),53.34 (87),
225847,TAD_anton,-100.00 (149),-100.00 (80),-100.00 (187),
224285,kaihong,-100.00 (149),-100.00 (80),52.58 (102),
176553,san_dan,-100.00 (149),-100.00 (80),-100.00 (187),
172177,yangdan_dameinv,-100.00 (149),-100.00 (80),-100.00 (187),
170837,zhengziqiang,-100.00 (149),-100.00 (80),62.88 (8),
147084,justsoso,-100.00 (149),-100.00 (80),-100.00 (187),
116685,pranav9999,-100.00 (149),-100.00 (80),34.97 (177),
85406,cx,-100.00 (149),-100.00 (80),33.14 (180),
