submission_pk,User,b'MainScore',b'Pearson',b'Spearman',b'FR [1] / NR [0]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
67051,battlepants,1.00 (45),0.50 (44),0.50 (46),0.00 (1),0.00 (2),0.00 (2),
67018,pku-aimia,1.02 (42),0.52 (41),0.50 (44),0.00 (1),0.00 (2),0.00 (2),
64218,XuhuiLi,1.01 (43),0.51 (43),0.50 (45),0.00 (1),0.00 (2),0.00 (2),
63503,Harshit,0.27 (72),0.13 (71),0.14 (72),0.00 (1),0.00 (2),0.00 (2),
63428,ChuanchuanZheng,1.23 (24),0.63 (23),0.60 (24),0.00 (1),0.00 (2),0.00 (2),
63354,Howie_Wong,1.04 (40),0.54 (39),0.51 (41),0.00 (1),0.00 (2),0.00 (2),
61243,johnhan00,0.43 (66),0.21 (66),0.22 (66),0.00 (1),0.00 (2),0.00 (2),
60715,crystal,1.02 (41),0.51 (42),0.51 (40),0.00 (1),0.00 (2),0.00 (2),
60376,mtl,1.32 (14),0.67 (14),0.65 (14),0.00 (1),0.00 (2),0.00 (2),
57975,mrc,0.51 (64),0.26 (64),0.25 (64),0.00 (1),0.00 (2),0.00 (2),
56939,so_what,0.86 (55),0.43 (56),0.43 (55),0.00 (1),0.00 (2),0.00 (2),
56146,JustTryTry,1.17 (30),0.59 (28),0.57 (30),0.00 (1),0.00 (2),0.00 (2),
55650,NewBee,1.14 (32),0.58 (31),0.56 (34),0.00 (1),0.00 (2),0.00 (2),
55634,hsva,0.91 (53),0.46 (53),0.45 (53),0.00 (1),0.00 (2),0.00 (2),
54836,lgg,1.28 (18),0.66 (18),0.62 (19),0.00 (1),0.00 (2),0.00 (2),
54389,tensorcat,0.49 (65),0.24 (65),0.25 (65),0.00 (1),1.00 (1),0.00 (2),
53489,LiSiheng,0.88 (54),0.45 (54),0.43 (54),0.00 (1),0.00 (2),0.00 (2),
51943,k-zha14,1.20 (26),0.62 (25),0.59 (28),0.00 (1),0.00 (2),0.00 (2),
47670,Justones,0.93 (52),0.46 (52),0.47 (51),0.00 (1),0.00 (2),0.00 (2),
46102,a80d0f,0.39 (67),0.19 (69),0.20 (67),0.00 (1),0.00 (2),0.00 (2),
