submission_pk,User,b'F1 Stance Detection',b'F1 Premise Classification'
413618,AlexeyKotcov,0.5105 (56),0.5858 (32),
87415,NikitaBaramiia,0.5102 (57),0.5396 (46),
420374,Emalk,0.5082 (58),0.5033 (62),
408226,UyenVo,0.5080 (59),0.5014 (63),
231466,ra4wv2,0.5078 (60),0.4803 (78),
86381,Max_Pak,0.5071 (61),0.5148 (54),
232153,OksTseg,0.5059 (62),0.4667 (84),
232199,maksmerben,0.5032 (63),0.4995 (66),
87430,georgeMK,0.5023 (64),0.4518 (105),
87461,Katerina_k,0.5018 (65),0.4649 (89),
87417,poliik,0.5010 (66),0.5040 (61),
416870,SereginMihail,0.5006 (67),0.5332 (49),
231194,ustera,0.5004 (68),0.5005 (65),
232175,DariaZaitseva,0.4983 (69),0.4995 (67),
87427,zlatamaria,0.4983 (70),0.4845 (76),
232285,PoliKo,0.4976 (71),0.4666 (85),
86806,nokiroki,0.4941 (72),0.4248 (119),
79508,FD,0.4933 (73),0.4577 (96),
234491,ks_lykova,0.4931 (74),0.4663 (86),
232303,mefeoss,0.4931 (74),0.4663 (86),
223382,valbunt,0.4931 (74),0.4696 (81),
87727,SergeyPetrakov,0.4931 (74),0.4663 (86),
231959,yykhudina,0.4907 (75),0.4313 (115),
87228,lina.bashaeva,0.4900 (76),0.4645 (90),
86859,EvgeniyGarsiya,0.4900 (76),0.4645 (90),
63510,vavabramov,0.4897 (77),0.5012 (64),
232691,ancheveleva,0.4884 (78),0.3626 (125),
230925,tokubetsu,0.4860 (79),0.4924 (71),
232223,knapweedss,0.4854 (80),0.4516 (106),
230895,asyakarysheva,0.4824 (81),0.4963 (68),
71374,innpei,0.4820 (82),0.5125 (56),
72699,gschernikova,0.4816 (83),0.4831 (77),
409237,LA,0.4796 (84),0.5365 (47),
86886,petr_sokerin,0.4796 (84),0.5365 (47),
454871,volkal,0.4787 (85),0.5316 (50),
64930,Sergei_Garshin,0.4780 (86),0.4630 (92),
232282,matarraa,0.4774 (87),0.4494 (108),
88419,IrinaPolevanova,0.4771 (88),0.4535 (101),
410684,wkpn,0.4768 (89),0.4662 (87),
281108,tarassment,0.4765 (90),0.4438 (112),
413348,MarcoOffidani,0.4753 (91),0.5040 (60),
409924,Bari,0.4752 (92),0.4485 (110),
87412,Nikita_Fedyashin,0.4727 (93),0.4618 (94),
86902,TimofeyGrinev,0.4712 (94),0.4267 (116),
225388,marcz,0.4710 (95),0.4789 (79),
408844,Mekan,0.4702 (96),0.4718 (80),
87335,polly_tarants,0.4693 (97),0.4854 (75),
230017,zinabudi,0.4692 (98),0.4523 (103),
231005,lightcarrieson,0.4686 (99),0.4540 (100),
87081,elizacc,0.4685 (100),0.4494 (107),
79383,NShmigelskaya,0.4670 (101),0.4521 (104),
79354,snipercapt,0.4668 (102),0.4579 (95),
87317,hle2000,0.4657 (103),0.4490 (109),
87441,pkrajput7,0.4652 (104),0.4576 (97),
63498,Karina,0.4636 (105),0.4620 (93),
87315,Ivan,0.4621 (106),0.4634 (91),
87616,anastasia_archangelskaya,0.4619 (107),0.4258 (117),
232128,cigoreta,0.4607 (108),0.4922 (72),
87099,isya,0.4476 (109),0.4549 (99),
85952,Ivan777,0.4453 (110),0.4564 (98),
83592,sayankotor,0.4452 (111),0.4533 (102),
64141,loml,0.4451 (112),0.4676 (83),
408888,sudarut,0.4443 (113),0.4103 (120),
69791,BillBeenieWeenie,0.4366 (114),0.4441 (111),
93821,regibezh,0.4359 (115),0.4858 (74),
71048,lobachev,0.4339 (116),0.4027 (121),
87164,Nerkan,0.4338 (117),0.4652 (88),
70957,kraussann,0.4304 (118),0.4248 (118),
95405,roguLINA,0.4280 (119),0.3880 (122),
95455,orlova_j,0.4258 (120),0.4677 (82),
87281,RuS2m,0.4232 (121),0.3119 (129),
281565,zoja.butenko,0.4217 (122),0.3505 (126),
232234,BunnyNoBugs,0.4204 (123),0.4427 (113),
71636,lilaspourpre,0.4180 (124),0.4355 (114),
90111,mind_blaze,0.3876 (125),0.3726 (124),
79476,Penchekrak,0.3876 (126),0.3125 (128),
415772,alexander_stepikin,0.3686 (127),0.3171 (127),
406313,n9,0.3620 (128),0.3756 (123),
232002,annmartyn,0.3037 (129),0.3077 (130),
410482,fiesta_xxl,0.1547 (130),0.1833 (131),
414841,ziongo,0.0430 (131),0.0522 (132),
