submission_pk,User,b'mAP',b'AP50',b'AP75',b'AR1',b'AR10'
209145,KaiNing-Ying,0.465 (24),0.671 (26),0.503 (25),0.401 (27),0.553 (21),
215125,lkeab_ust,0.463 (25),0.735 (15),0.513 (23),0.398 (28),0.526 (29),
493340,ksks,0.463 (26),0.658 (32),0.508 (24),0.410 (21),0.548 (24),
336415,Chenney12345,0.459 (27),0.698 (22),0.484 (27),0.413 (17),0.559 (18),
339682,XiangtaiLi,0.457 (28),0.666 (30),0.474 (31),0.397 (29),0.523 (31),
224036,visioneve,0.446 (29),0.676 (24),0.474 (32),0.401 (26),0.528 (28),
474830,fanghaook,0.440 (30),0.637 (35),0.479 (29),0.408 (23),0.533 (27),
263500,Dan_Hill,0.431 (31),0.671 (27),0.480 (28),0.376 (37),0.498 (35),
336853,paf1,0.428 (32),0.668 (28),0.458 (34),0.395 (31),0.518 (32),
415068,zenoc,0.424 (33),0.646 (34),0.460 (33),0.374 (39),0.485 (39),
446017,zfonemore,0.420 (34),0.662 (31),0.478 (30),0.367 (41),0.484 (40),
450739,Hansul,0.416 (35),0.656 (33),0.441 (35),0.388 (33),0.492 (36),
286917,wonjulee,0.404 (36),0.616 (42),0.431 (39),0.348 (48),0.451 (47),
353409,l412198735,0.404 (37),0.620 (40),0.434 (37),0.392 (32),0.505 (34),
457531,jiney,0.397 (38),0.628 (38),0.431 (38),0.382 (35),0.491 (38),
462205,paf,0.395 (39),0.630 (36),0.411 (41),0.357 (44),0.461 (45),
486585,Colin95,0.390 (40),0.598 (44),0.435 (36),0.360 (42),0.471 (41),
348111,Tanveer81,0.383 (41),0.583 (46),0.429 (40),0.354 (45),0.469 (44),
346352,zhenghaoChenney,0.382 (42),0.615 (43),0.404 (43),0.384 (34),0.513 (33),
322098,wangyuqing94,0.378 (43),0.629 (37),0.405 (42),0.350 (46),0.447 (49),
492616,garvinxxx,0.378 (44),0.623 (39),0.395 (45),0.369 (40),0.470 (42),
486549,kimhi,0.374 (45),0.575 (47),0.393 (46),0.375 (38),0.492 (37),
444613,Antinis,0.372 (46),0.571 (49),0.385 (47),0.360 (43),0.442 (50),
377626,Kenkun,0.369 (47),0.584 (45),0.404 (44),0.338 (49),0.460 (46),
493819,userkkk,0.357 (48),0.619 (41),0.378 (48),0.322 (51),0.430 (51),
332046,nanami17,0.351 (49),0.550 (50),0.360 (51),0.310 (54),0.404 (54),
491553,htong,0.345 (50),0.520 (53),0.363 (50),0.329 (50),0.448 (48),
452978,maverickRen,0.338 (51),0.572 (48),0.357 (52),0.314 (53),0.412 (52),
259327,xdwang-ucb,0.334 (52),0.538 (52),0.363 (49),0.349 (47),0.470 (43),
487004,liuu,0.333 (53),0.492 (55),0.356 (53),0.382 (36),0.525 (30),
399869,m43,0.320 (54),0.482 (59),0.348 (54),0.322 (52),0.405 (53),
444473,Sandy,0.312 (55),0.499 (54),0.343 (55),0.263 (59),0.356 (59),
475404,grid,0.303 (56),0.541 (51),0.305 (57),0.291 (58),0.379 (55),
188676,yfan,0.288 (57),0.490 (56),0.305 (56),0.263 (60),0.342 (60),
338358,Asaliya_,0.285 (58),0.483 (57),0.297 (58),0.297 (56),0.361 (58),
458215,Cynthiacode,0.283 (59),0.482 (58),0.293 (59),0.292 (57),0.374 (56),
362359,Cyn,0.277 (60),0.464 (60),0.280 (60),0.306 (55),0.374 (57),
280273,xulin,0.247 (61),0.457 (61),0.246 (61),0.232 (61),0.304 (61),
493080,wanghc,0.163 (62),0.284 (62),0.170 (62),0.196 (62),0.268 (62),
273904,Darin,0.133 (63),0.247 (64),0.127 (63),0.170 (64),0.196 (63),
463195,hyeonkang,0.101 (64),0.149 (65),0.109 (64),0.176 (63),0.191 (64),
440654,Zzsf123,0.082 (65),0.139 (66),0.080 (65),0.129 (65),0.160 (65),
387010,NingYuanxiang,0.073 (66),0.258 (63),0.018 (67),0.083 (66),0.117 (66),
458245,happyresearch,0.019 (67),0.069 (67),0.005 (69),0.037 (67),0.048 (67),
348830,peiyunc1989,0.017 (68),0.019 (68),0.019 (66),0.015 (68),0.019 (68),
353513,xdwang-ucb-3,0.004 (69),0.006 (69),0.005 (68),0.014 (69),0.018 (69),
410705,nsupreeth5,0.001 (70),0.001 (70),0.001 (70),0.011 (70),0.011 (70),
220547,lipengxiang,0.000 (71),0.000 (71),0.000 (71),0.006 (71),0.006 (71),
492994,ksks2,0.000 (72),0.000 (74),0.000 (73),0.002 (75),0.002 (75),
430025,dignal_,0.000 (73),0.000 (72),0.000 (72),0.003 (73),0.003 (73),
459487,lsh5688,0.000 (74),0.000 (75),0.000 (74),0.003 (72),0.003 (72),
337558,HarborY,0.000 (75),0.000 (73),0.000 (75),0.002 (74),0.002 (74),
480481,goodboy,0.000 (76),0.000 (76),0.000 (75),0.000 (76),0.000 (76),
330599,Chenney,0.000 (76),0.000 (76),0.000 (75),0.000 (76),0.000 (76),
322384,zyayoung,0.000 (76),0.000 (76),0.000 (75),0.000 (76),0.000 (76),
215411,sft,0.000 (76),0.000 (76),0.000 (75),0.000 (76),0.000 (76),
