submission_pk,User,DICE,DICE,HD,HD,ASSD,ASSD,b'CC',b'MAE',b'LOA',b'CRPS'
,b'Mean',b'SD',b'Mean',b'SD',b'Mean',b'SD'
467558,agaldran,0.093 (11),3.451 (14),0.864 (14),0.714 (13),20.352 (17),100.830 (18),0.000 (1),,,,,,,
464972,Erwan,0.039 (8),4.271 (16),0.310 (12),0.949 (11),9.964 (16),29.396 (16),0.016 (5),,,,,,,
466565,farheenramzan,0.040 (9),4.586 (17),0.272 (8),0.962 (10),9.639 (15),23.751 (13),0.016 (5),,,,,,,
467598,MYOSCANS,0.070 (10),12.271 (18),1.125 (15),0.885 (12),32.930 (18),74.469 (17),0.054 (6),,,,,,,
submission_pk,User,DICE,DICE,HD,HD,ASSD,ASSD,b'CC',b'MAE',b'LOA',b'CRPS'
,b'Mean',b'SD',b'Mean',b'SD',b'Mean',b'SD'
466621,akaroui,0.047 (4),6.711 (15),0.259 (8),0.964 (2),8.463 (2),24.263 (3),0.014 (3),,,,,,,
464660,KiwiYyy,0.048 (5),6.519 (14),0.242 (4),0.961 (3),8.608 (4),25.123 (5),0.014 (3),,,,,,,
465709,hoanguyen93,0.045 (2),6.037 (5),0.259 (8),0.967 (1),7.891 (1),22.251 (1),0.013 (2),,,,,,,
463059,gemr22,0.047 (4),6.365 (9),0.246 (5),0.958 (4),9.013 (5),26.664 (7),0.015 (4),,,,,,,
465653,ominous_ocelot,0.050 (6),7.144 (16),0.253 (7),0.954 (6),9.845 (10),25.686 (6),0.016 (5),,,,,,,
466381,rrosales,0.046 (3),6.432 (11),0.211 (1),0.946 (9),9.830 (9),28.245 (10),0.016 (5),,,,,,,
465678,calderds,0.051 (7),6.009 (4),0.236 (2),0.908 (12),12.069 (13),37.915 (14),0.020 (6),,,,,,,
467593,azanella,0.047 (4),6.436 (12),0.274 (10),0.964 (2),8.581 (3),22.659 (2),0.014 (3),,,,,,,
463373,Hairuiwang,0.047 (4),6.165 (6),0.246 (5),0.948 (8),9.209 (6),27.925 (9),0.015 (4),,,,,,,
463874,hang_jung,0.053 (8),6.482 (13),0.294 (12),0.948 (8),9.878 (12),29.510 (11),0.016 (5),,,,,,,
466252,Dolphins,0.054 (9),5.938 (3),0.271 (9),0.938 (10),9.847 (11),30.268 (12),0.016 (5),,,,,,,
467534,nicoco,0.041 (1),6.290 (8),0.237 (3),0.952 (7),9.517 (7),27.012 (8),0.128 (10),,,,,,,
463838,marwanabb,0.047 (4),6.402 (10),0.236 (2),0.920 (11),12.373 (14),35.471 (13),0.020 (6),,,,,,,
464972,Erwan,0.068 (11),5.712 (1),0.252 (6),0.956 (5),9.611 (8),24.868 (4),0.016 (5),,,,,,,
467367,luiskabongo-inheart,0.089 (12),6.244 (7),0.363 (13),0.872 (14),13.141 (15),42.220 (16),0.112 (9),,,,,,,
467558,agaldran,0.247 (14),15.641 (18),3.100 (15),0.434 (16),18.645 (17),87.990 (18),0.000 (1),,,,,,,
466565,farheenramzan,0.067 (10),5.865 (2),0.275 (11),0.885 (13),15.574 (16),38.051 (15),0.026 (7),,,,,,,
467598,MYOSCANS,0.099 (13),10.503 (17),1.114 (14),0.752 (15),39.781 (18),84.459 (17),0.065 (8),,,,,,,
submission_pk,User,DICE,DICE,HD,HD,ASSD,ASSD,b'CC',b'MAE',b'LOA',b'CRPS'
,b'Mean',b'SD',b'Mean',b'SD',b'Mean',b'SD'
465653,ominous_ocelot,0.161 (1),13.414 (3),1.377 (2),0.833 (4),4.044 (1),18.647 (4),0.007 (2),,,,,,,
463059,gemr22,0.171 (3),12.482 (1),1.431 (3),0.799 (7),4.510 (7),20.197 (8),0.008 (3),,,,,,,
466621,akaroui,0.174 (4),14.751 (9),1.666 (10),0.789 (9),4.582 (10),20.873 (9),0.008 (3),,,,,,,
466381,rrosales,0.169 (2),14.820 (10),1.603 (8),0.851 (2),4.327 (3),17.866 (1),0.040 (10),,,,,,,
464660,KiwiYyy,0.191 (12),14.277 (7),1.531 (5),0.793 (8),4.536 (8),19.880 (7),0.008 (3),,,,,,,
463373,Hairuiwang,0.184 (10),14.256 (6),1.732 (12),0.824 (5),4.355 (4),19.070 (5),0.019 (8),,,,,,,
467593,azanella,0.177 (6),14.005 (4),1.662 (9),0.700 (14),4.440 (6),23.655 (15),0.008 (3),,,,,,,
466252,Dolphins,0.175 (5),14.448 (8),1.435 (4),0.754 (10),4.818 (12),22.237 (12),0.020 (9),,,,,,,
465709,hoanguyen93,0.194 (13),13.106 (2),1.766 (14),0.695 (15),4.880 (15),24.353 (16),0.009 (4),,,,,,,
467534,nicoco,0.175 (5),14.123 (5),1.534 (6),0.855 (1),4.562 (9),18.115 (2),0.130 (12),,,,,,,
465678,calderds,0.183 (9),15.069 (12),1.549 (7),0.821 (6),4.048 (2),19.252 (6),0.018 (7),,,,,,,
463874,hang_jung,0.194 (13),15.735 (16),1.861 (15),0.720 (12),4.971 (16),23.109 (13),0.020 (9),,,,,,,
467558,agaldran,0.214 (14),15.182 (14),1.677 (11),0.753 (11),4.419 (5),21.163 (10),0.000 (1),,,,,,,
463838,marwanabb,0.175 (5),15.155 (13),1.310 (1),0.793 (8),4.638 (11),21.403 (11),0.020 (9),,,,,,,
467367,luiskabongo-inheart,0.178 (7),15.246 (15),1.754 (13),0.845 (3),4.876 (14),18.182 (3),0.122 (11),,,,,,,
464972,Erwan,0.189 (11),16.360 (17),2.479 (17),0.706 (13),4.867 (13),23.266 (14),0.008 (3),,,,,,,
466565,farheenramzan,0.180 (8),14.938 (11),1.985 (16),0.630 (16),5.784 (17),25.648 (17),0.010 (5),,,,,,,
467598,MYOSCANS,0.169 (2),21.846 (18),2.762 (18),0.582 (17),6.575 (18),27.663 (18),0.011 (6),,,,,,,
submission_pk,User,DICE,DICE,HD,HD,ASSD,ASSD,b'CC',b'MAE',b'LOA',b'CRPS'
,b'Mean',b'SD',b'Mean',b'SD',b'Mean',b'SD'
465653,ominous_ocelot,0.095 (2),14.261 (12),0.321 (2),0.985 (6),1.231 (2),3.106 (2),0.003 (2),,,,,,,
463373,Hairuiwang,0.131 (6),17.279 (16),0.466 (5),0.995 (1),2.233 (5),4.706 (4),0.104 (9),,,,,,,
467593,azanella,0.171 (11),5.682 (2),0.539 (7),0.986 (5),2.308 (6),4.502 (3),0.005 (3),,,,,,,
466621,akaroui,0.150 (8),10.092 (8),0.566 (8),0.984 (7),2.950 (10),6.671 (11),0.106 (10),,,,,,,
463059,gemr22,0.164 (9),9.187 (5),0.492 (6),0.987 (4),3.343 (13),7.516 (13),0.008 (6),,,,,,,
467367,luiskabongo-inheart,0.123 (4),14.512 (13),0.431 (3),0.979 (9),2.044 (4),5.292 (7),0.104 (9),,,,,,,
465709,hoanguyen93,0.167 (10),14.673 (14),0.740 (11),0.986 (5),2.592 (8),5.926 (8),0.006 (4),,,,,,,
463874,hang_jung,0.116 (3),10.183 (9),0.643 (9),0.985 (6),3.057 (11),6.633 (10),0.007 (5),,,,,,,
467534,nicoco,0.125 (5),14.512 (13),0.463 (4),0.976 (10),1.926 (3),4.882 (5),0.183 (12),,,,,,,
464660,KiwiYyy,0.225 (16),7.542 (4),0.803 (12),0.989 (3),2.563 (7),5.012 (6),0.006 (4),,,,,,,
466252,Dolphins,0.213 (15),17.277 (15),0.720 (10),0.983 (8),2.712 (9),5.943 (9),0.117 (11),,,,,,,
466381,rrosales,0.195 (12),9.475 (7),0.829 (13),0.993 (2),4.719 (17),8.932 (15),0.010 (7),,,,,,,
465678,calderds,0.202 (14),23.415 (17),1.024 (14),0.927 (11),3.336 (12),8.581 (14),0.106 (10),,,,,,,
467558,agaldran,0.229 (17),9.429 (6),NaN (1),0.985 (6),3.432 (14),6.716 (12),0.000 (1),,,,,,,
463838,marwanabb,0.261 (18),12.315 (11),2.927 (17),0.846 (12),4.378 (16),11.947 (17),0.229 (13),,,,,,,
464972,Erwan,0.196 (13),7.319 (3),1.047 (15),0.802 (13),4.373 (15),11.901 (16),0.008 (6),,,,,,,
466565,farheenramzan,0.138 (7),10.814 (10),2.398 (16),0.402 (14),6.397 (18),18.104 (18),0.012 (8),,,,,,,
467598,MYOSCANS,NaN (1),NaN (1),NaN (1),NaN (15),NaN (1),NaN (1),0.000 (1),,,,,,,
