submission_pk,User,b'AP_50',b'mAP'
334378,AIG,0.3600 (57),0.2210 (57),
341860,wjc,0.3570 (58),0.2220 (56),
335970,gugu,0.3570 (58),0.2160 (60),
324906,jing_xy,0.3570 (58),0.2400 (47),
292476,ouer666,0.3550 (59),0.2390 (48),
298395,likyoo,0.3540 (60),0.2190 (58),
293737,freakk_xd,0.3500 (61),0.2170 (59),
338279,FlowerCat,0.3480 (62),0.2060 (64),
329220,Yunchengli,0.3460 (63),0.2070 (63),
300377,CoffeeAndTea,0.3460 (63),0.2060 (64),
300095,okkkkkk,0.3440 (64),0.2070 (63),
319830,linjyan00,0.3430 (65),0.2020 (66),
289544,yaguo,0.3430 (65),0.2130 (61),
332786,cydiachen,0.3420 (66),0.2260 (53),
303469,Jitai,0.3420 (66),0.2090 (62),
341908,Jerho,0.3410 (67),0.2090 (62),
285580,liuyanyi,0.3400 (68),0.1970 (70),
339761,Celine,0.3390 (69),0.2210 (57),
334305,yfl,0.3380 (70),0.2000 (68),
330578,Rhythms,0.3350 (71),0.2010 (67),
341879,tzhhhh123,0.3340 (72),0.2070 (63),
299150,ShawnDong98,0.3340 (72),0.2040 (65),
323370,aaal,0.3300 (73),0.1980 (69),
300604,xiaojianzhong,0.3300 (73),0.2010 (67),
338470,adken,0.3290 (74),0.1900 (76),
324958,Zmr,0.3290 (74),0.1900 (76),
342787,gangtianLi,0.3270 (75),0.1980 (69),
318804,duraklefkan,0.3270 (75),0.2060 (64),
324724,Yunchenglee,0.3250 (76),0.2040 (65),
321413,karol,0.3240 (77),0.1970 (70),
340885,wangruirui,0.3210 (78),0.2070 (63),
293354,sjh_zjut,0.3200 (79),0.1950 (72),
313988,laxio,0.3190 (80),0.1960 (71),
327466,SEU-PH,0.3180 (81),0.2010 (67),
288674,DingyuanChen,0.3180 (81),0.2040 (65),
350548,mlxht,0.3170 (82),0.1920 (74),
333080,Younger,0.3170 (82),0.1950 (72),
322007,dundun,0.3160 (83),0.1920 (74),
337857,bright_light,0.3150 (84),0.1910 (75),
343374,wangheng,0.3140 (85),0.1890 (77),
350647,lonelyfish,0.3120 (86),0.1890 (77),
332519,drneget,0.3120 (86),0.1960 (71),
329347,XiaoZ,0.3120 (86),0.1870 (79),
317858,chengzi,0.3110 (87),0.1900 (76),
317698,yuyifenge,0.3110 (87),0.1900 (76),
337311,leaves,0.3100 (88),0.1930 (73),
328658,sakaiay,0.3100 (88),0.1890 (77),
325646,zhoujianzheng,0.3090 (89),0.1860 (80),
305867,tsekine,0.3090 (89),0.1850 (81),
321512,liuxingyu,0.3080 (90),0.1880 (78),
319885,xxxxbt,0.3080 (90),0.1880 (78),
345434,min_gao,0.3070 (91),0.1920 (74),
338976,Fly_Z,0.3070 (91),0.1830 (83),
336338,hwqstorm,0.3070 (91),0.1910 (75),
317324,ekinbeyazit,0.3070 (91),0.1900 (76),
345145,msitag,0.3060 (92),0.1810 (85),
330796,Rola2019,0.3060 (92),0.1830 (83),
330738,Shawn2023,0.3060 (92),0.1830 (83),
343333,lizx,0.3050 (93),0.1840 (82),
321709,Jiang,0.3050 (93),0.1780 (87),
288401,zhouzichao,0.3050 (93),0.1820 (84),
352371,shy,0.3040 (94),0.1820 (84),
341107,whydontyou,0.3030 (95),0.1860 (80),
292323,chenjw,0.3020 (96),0.1800 (86),
289117,cuiyc,0.3000 (97),0.1840 (82),
352742,Rser19979098131,0.2980 (98),0.1810 (85),
323337,HideOnBush,0.2920 (99),0.1590 (97),
339785,MahouShoujo,0.2890 (100),0.1770 (88),
319388,XuanJiaZ,0.2880 (101),0.1710 (90),
334189,w_wx,0.2840 (102),0.1680 (92),
336886,Turbo,0.2820 (103),0.1750 (89),
295847,yuanye,0.2800 (104),0.1670 (93),
319103,FanHao,0.2780 (105),0.1750 (89),
297816,chendong,0.2750 (106),0.1630 (95),
313647,Guneet,0.2710 (107),0.1690 (91),
307650,xyxy,0.2710 (107),0.1590 (97),
308835,ll,0.2700 (108),0.1280 (110),
331482,smswl,0.2670 (109),0.1640 (94),
291699,Zhou_ZM,0.2670 (109),0.1600 (96),
295968,huliang,0.2650 (110),0.1680 (92),
339427,Hush12306,0.2630 (111),0.1520 (99),
341798,venkanna37,0.2560 (112),0.1450 (101),
336684,Ritu,0.2550 (113),0.1440 (102),
345129,linxi_ice,0.2480 (114),0.1500 (100),
340212,lzg,0.2430 (115),0.1560 (98),
288130,erchan,0.2430 (115),0.1450 (101),
320686,dididi,0.2400 (116),0.1430 (103),
345047,qqy,0.2380 (117),0.1320 (108),
304188,JinghuaZhao,0.2380 (117),0.1380 (105),
291464,YangRuoyu,0.2360 (118),0.1360 (106),
337537,cmarellano,0.2340 (119),0.1440 (102),
337720,penghaoWu,0.2290 (120),0.1380 (105),
287565,Anti-Convolution,0.2290 (120),0.1340 (107),
341624,waitingfree,0.2260 (121),0.1390 (104),
311068,ccl,0.2240 (122),0.1240 (113),
349116,ahu_dwt,0.2230 (123),0.1250 (112),
336376,zhuzhu,0.2220 (124),0.1320 (108),
321426,sjm3610,0.2210 (125),0.1340 (107),
295777,liuqiang,0.2210 (125),0.1230 (114),
300242,cocobite,0.2200 (126),0.1220 (115),
319326,teerasitk,0.2190 (127),0.1230 (114),
320556,lyh,0.2160 (128),0.1300 (109),
313059,wuzm,0.2160 (128),0.1200 (116),
285523,Score,0.2130 (129),0.1190 (117),
338168,Sandhi,0.2120 (130),0.1230 (114),
337346,Aryabegin,0.2110 (131),0.1270 (111),
337341,LiuYujiang,0.2110 (131),0.1270 (111),
314218,hushuaiouc,0.2110 (131),0.1180 (118),
347419,cricket,0.2050 (132),0.1150 (119),
349052,emirhanboge,0.2020 (133),0.1150 (119),
312653,ganzoo,0.1900 (134),0.1070 (120),
324336,RE6113018,0.1360 (135),0.0750 (121),
317875,joochan,0.1340 (136),0.0720 (122),
317385,RenJianFengLu,0.1280 (137),0.0640 (125),
339860,ZZPM,0.1190 (138),0.0650 (124),
330963,mwd,0.1090 (139),0.0600 (126),
339905,capino,0.1050 (140),0.0660 (123),
336141,xixiha,0.1030 (141),0.0590 (127),
317540,cyf666,0.1000 (142),0.0420 (129),
320678,yt729,0.0910 (143),0.0450 (128),
332706,zhuangzhuangsun,0.0160 (144),0.0080 (130),
305208,mada,0.0130 (145),0.0080 (130),
288004,HAHAHAHA,0.0060 (146),0.0020 (131),
336211,FaryalJaved,0.0020 (147),0.0010 (132),
340976,HUKANGYU,0.0000 (148),0.0000 (133),
338481,DiaoWenxiu,0.0000 (148),0.0000 (133),
335842,Zzzzg,0.0000 (148),0.0000 (133),
335240,TechnoCc,0.0000 (148),0.0000 (133),
334851,cuixuan,0.0000 (148),0.0000 (133),
333139,Mr_Mzl,0.0000 (148),0.0000 (133),
331450,cssqingfeng,0.0000 (148),0.0000 (133),
331484,rollinglaxy,0.0000 (148),0.0000 (133),
288953,Endet,0.0000 (148),0.0000 (133),
