submission_pk,User,b'mIoU',b'ExecutionTime'
230914,mcer,0.51285 (77),173.87725 (74),
52080,shaorun,0.51192 (78),251.11807 (9),
464557,testify,0.51184 (79),186.36582 (57),
424040,xinnn,0.50940 (80),79.23737 (109),
392241,zhouhui,0.50914 (81),225.56588 (22),
52061,joyjia0413,0.50839 (82),145.47361 (102),
379113,skydragon,0.50694 (83),170.05266 (78),
236894,Sid,0.50691 (84),177.75287 (70),
465491,Jianfan,0.50580 (85),186.03782 (59),
256735,zhouyongxiu,0.50493 (86),192.51754 (51),
397479,shaoanhao,0.50368 (87),190.71221 (55),
158813,cug_lhy,0.50367 (88),204.91577 (28),
170015,xwtt,0.50312 (89),198.76231 (37),
447018,pavbal,0.50270 (90),159.56381 (95),
52073,leahyyy,0.50198 (91),197.72336 (41),
455661,MaC,0.50162 (92),132.93618 (104),
80637,powoade,0.49793 (93),199.40759 (36),
476576,wzzz,0.49643 (94),179.37343 (69),
387064,SY_SPWU,0.49341 (95),192.40923 (52),
135915,lcr,0.48970 (96),204.61899 (30),
47325,Sergio,0.48848 (97),210.10828 (26),
336515,BobWANG,0.48434 (98),167.84597 (83),
189000,tachyon,0.47373 (99),157.68226 (97),
88545,PanYang,0.47256 (100),257.32392 (4),
479380,CoffeeAndTea,0.46104 (101),195.85526 (44),
396169,feeling,0.45944 (102),277.27648 (3),
447429,liuwang20144623,0.45659 (103),67.97936 (110),
52074,xuebingjie,0.41323 (104),88.80729 (107),
493531,KunyeShen,0.39242 (105),185.19278 (60),
52072,wangtong,0.35087 (106),194.50903 (45),
82738,xumengqiu0910,0.30393 (107),115.84515 (105),
171470,tanmlh,0.29413 (108),92.69489 (106),
202054,PI,0.25529 (109),227.31130 (21),
353242,bodang1220,0.13987 (110),198.03689 (39),
489223,kangml,0.06338 (111),179.44396 (68),
23481,shata,0.00000 (112),0.00019 (112),
