submission_pk,User,b'Style transfer accuracy',b'Meaning preservation',b'Fluency',b'Joint score',b'ChrF1'
440810,toxicmopsic,0.71 (71),0.77 (67),0.85 (21),0.47 (46),0.55 (46),
289833,elias,0.77 (39),0.76 (73),0.79 (55),0.47 (47),0.54 (60),
287294,kurdym,0.78 (28),0.76 (76),0.78 (70),0.47 (48),0.54 (58),
409932,sand,0.74 (59),0.77 (58),0.80 (49),0.47 (49),0.56 (41),
282457,dporoh,0.70 (73),0.81 (17),0.81 (39),0.47 (50),0.58 (7),
400847,Alexei,0.74 (57),0.77 (68),0.80 (50),0.46 (51),0.54 (57),
257283,Insafq,0.75 (48),0.76 (72),0.79 (60),0.46 (52),0.54 (54),
433225,Nuzhnov_Mark,0.77 (34),0.75 (80),0.78 (64),0.46 (53),0.54 (65),
154466,gleb_zherr,0.75 (52),0.77 (66),0.78 (62),0.46 (54),0.54 (52),
156741,RaveNHol,0.78 (27),0.74 (83),0.77 (78),0.46 (55),0.53 (74),
290015,yaKate,0.73 (64),0.79 (41),0.78 (63),0.46 (56),0.57 (25),
411823,norekhov,0.73 (65),0.78 (53),0.79 (59),0.45 (57),0.55 (50),
281382,Mariia_Sosnovskaya,0.74 (56),0.77 (57),0.78 (72),0.45 (58),0.54 (56),
17254,dementyeva_ds,0.74 (62),0.76 (70),0.78 (66),0.45 (59),0.57 (34),
288576,Dast,0.76 (46),0.76 (77),0.78 (73),0.45 (60),0.54 (61),
155574,DanilaM,0.82 (21),0.68 (93),0.78 (69),0.45 (61),0.47 (90),
289253,alexander.khan,0.69 (75),0.81 (19),0.79 (61),0.44 (62),0.57 (30),
157327,Mikhail.Yatskov,0.78 (29),0.73 (89),0.76 (87),0.44 (63),0.51 (83),
288474,kalinin_vladimir,0.71 (70),0.79 (42),0.78 (68),0.44 (64),0.58 (14),
288166,Chirkov_Igor,0.82 (22),0.67 (96),0.76 (84),0.44 (65),0.83 (1),
157651,George_Kr,0.72 (67),0.77 (63),0.79 (58),0.44 (66),0.53 (67),
441185,aayugay99,0.71 (69),0.77 (61),0.77 (80),0.43 (67),0.54 (63),
289318,eglamozdina,0.71 (72),0.77 (64),0.78 (67),0.43 (68),0.52 (77),
443665,AlexeyKotcov,0.66 (84),0.77 (56),0.82 (37),0.42 (69),0.54 (64),
284016,ilya_flash,0.72 (68),0.76 (75),0.77 (79),0.42 (70),0.53 (73),
157196,NosenkoArtem,0.68 (80),0.80 (28),0.77 (75),0.42 (71),0.57 (23),
411553,zoya_osipova,0.69 (76),0.78 (48),0.76 (83),0.42 (72),0.55 (45),
280801,shitkov,0.68 (79),0.80 (32),0.76 (82),0.41 (73),0.57 (33),
289319,Rostislav_Korst,0.69 (78),0.75 (81),0.81 (45),0.41 (74),0.57 (21),
410946,albloodless,0.65 (87),0.81 (15),0.77 (76),0.40 (75),0.57 (29),
288385,Maxim_Markeev,0.69 (77),0.77 (55),0.75 (88),0.40 (76),0.54 (59),
47109,schwarzzzzz,0.55 (94),0.87 (3),0.89 (11),0.40 (77),0.53 (66),
289407,althg,0.66 (85),0.80 (30),0.77 (81),0.40 (78),0.57 (35),
424497,bogchamp,0.59 (90),0.82 (11),0.82 (32),0.40 (79),0.58 (11),
289997,kepolol,0.75 (55),0.74 (86),0.70 (96),0.39 (80),0.53 (70),
157827,MaksimB,0.77 (37),0.67 (97),0.76 (86),0.39 (81),0.47 (92),
436260,GlebMazanov,0.64 (88),0.76 (74),0.80 (52),0.39 (82),0.53 (71),
289742,pavel_ermolaev,0.77 (31),0.70 (91),0.70 (95),0.39 (83),0.50 (86),
289920,vlad_DVS,0.77 (30),0.68 (95),0.72 (93),0.39 (84),0.47 (91),
41258,Juwbasaurus,0.62 (89),0.77 (65),0.87 (16),0.39 (85),0.44 (93),
156917,Gleb_1,0.58 (91),0.81 (23),0.84 (23),0.38 (86),0.53 (69),
29671,polosataya,0.66 (86),0.76 (78),0.77 (74),0.38 (87),0.52 (78),
394412,russkikhsv,0.79 (26),0.68 (94),0.68 (97),0.37 (88),0.50 (85),
18213,Shibalda,0.52 (97),0.86 (6),0.85 (20),0.36 (89),0.52 (81),
289422,TimofeevNS,0.67 (82),0.73 (88),0.74 (91),0.36 (90),0.47 (89),
387700,lilaspourpre,0.53 (95),0.87 (4),0.82 (28),0.36 (91),0.52 (75),
438330,Nick,0.53 (96),0.87 (5),0.82 (29),0.36 (92),0.52 (75),
288318,EvgenyKH,0.67 (81),0.68 (92),0.79 (54),0.34 (93),0.42 (94),
287668,Mikhail_Bulkin,0.66 (83),0.71 (90),0.72 (94),0.34 (94),0.73 (2),
292965,Seradja,0.57 (92),0.81 (16),0.75 (89),0.33 (95),0.54 (55),
292664,irgaynulin,0.56 (93),0.81 (20),0.78 (71),0.33 (96),0.52 (80),
433569,sudarut,0.45 (98),0.81 (18),0.75 (90),0.25 (97),0.49 (87),
28638,eyevanya,0.99 (1),0.02 (98),0.76 (85),0.02 (98),0.01 (96),
153132,tony2022,0.21 (99),0.01 (99),0.84 (22),0.00 (99),0.06 (95),
