submission_pk,User,b'Overall',b'J_seen',b'J_unseen',b'F_seen',b'F_unseen'
119135,stacezhou,0.853 (32),0.828 (35),0.810 (19),0.883 (38),0.890 (24),
119152,videoseg2022,0.851 (33),0.833 (20),0.801 (42),0.887 (20),0.883 (42),
119584,coda_compete,0.851 (34),0.824 (49),0.812 (16),0.879 (52),0.890 (25),
120562,jingfa,0.851 (35),0.825 (46),0.810 (21),0.879 (49),0.888 (32),
120665,xing1,0.851 (36),0.825 (44),0.810 (20),0.879 (50),0.888 (34),
117071,LY,0.850 (37),0.825 (45),0.809 (28),0.879 (47),0.889 (31),
112806,txt,0.850 (38),0.826 (41),0.805 (36),0.883 (37),0.887 (37),
118621,longma,0.850 (39),0.823 (52),0.810 (22),0.878 (55),0.891 (22),
117149,ytbrush,0.850 (40),0.835 (16),0.798 (49),0.889 (16),0.877 (55),
118953,ojbk,0.850 (41),0.826 (39),0.803 (39),0.882 (40),0.888 (33),
119674,JerryX,0.850 (42),0.826 (40),0.803 (39),0.882 (41),0.888 (33),
120097,daqiang,0.850 (43),0.835 (17),0.798 (50),0.889 (17),0.877 (56),
120308,voszzx22,0.849 (44),0.830 (26),0.800 (45),0.885 (29),0.882 (46),
119147,tjyfight,0.848 (45),0.828 (32),0.798 (52),0.884 (30),0.883 (44),
116712,thisisanapple,0.848 (46),0.828 (34),0.798 (51),0.884 (33),0.883 (43),
115705,yydstxtxtyyds,0.848 (47),0.822 (55),0.804 (38),0.878 (54),0.886 (38),
118881,gogogofight,0.848 (48),0.828 (33),0.796 (55),0.884 (31),0.881 (49),
115580,yyyds,0.847 (49),0.830 (25),0.798 (48),0.884 (32),0.878 (54),
114975,Yong,0.847 (50),0.826 (42),0.800 (47),0.880 (44),0.884 (41),
116258,caoxmemcao,0.847 (51),0.824 (51),0.802 (40),0.879 (51),0.883 (45),
114344,txt2,0.846 (52),0.824 (50),0.801 (44),0.880 (46),0.881 (48),
113854,ffiisshh,0.846 (53),0.824 (47),0.800 (46),0.880 (45),0.881 (50),
119085,fzrs,0.846 (54),0.822 (56),0.796 (56),0.879 (48),0.885 (40),
114463,Man,0.844 (55),0.822 (54),0.797 (54),0.876 (57),0.880 (52),
115340,Law1357,0.840 (56),0.820 (58),0.794 (60),0.874 (59),0.873 (61),
119070,kuni,0.838 (57),0.818 (60),0.789 (61),0.872 (62),0.873 (62),
114232,wanghc,0.838 (58),0.819 (59),0.789 (62),0.875 (58),0.869 (63),
120692,oyasumi,0.838 (59),0.807 (64),0.801 (43),0.862 (64),0.880 (51),
119632,tk,0.836 (60),0.813 (63),0.787 (63),0.870 (63),0.874 (60),
120120,mjy,0.836 (61),0.820 (57),0.783 (70),0.877 (56),0.862 (73),
113444,cccwww,0.836 (62),0.823 (53),0.781 (73),0.878 (53),0.860 (75),
119774,kkks,0.834 (63),0.815 (62),0.780 (74),0.872 (61),0.867 (67),
119842,xiaonie,0.832 (64),0.799 (67),0.798 (53),0.855 (67),0.878 (53),
119203,unhzyx,0.832 (65),0.816 (61),0.779 (75),0.873 (60),0.861 (74),
120537,YMM,0.831 (66),0.799 (68),0.796 (57),0.854 (68),0.876 (57),
119832,njl,0.831 (67),0.800 (66),0.795 (59),0.855 (66),0.876 (58),
119396,pyw,0.831 (68),0.798 (69),0.796 (58),0.853 (69),0.876 (59),
120798,guluga,0.826 (69),0.801 (65),0.783 (69),0.858 (65),0.862 (72),
116842,XYY11,0.824 (70),0.795 (70),0.787 (64),0.850 (70),0.866 (68),
116401,JeozeW,0.822 (71),0.791 (73),0.786 (65),0.846 (74),0.868 (65),
119290,lily,0.822 (72),0.792 (71),0.784 (67),0.849 (71),0.863 (71),
116400,SA20,0.822 (73),0.790 (75),0.784 (66),0.845 (76),0.868 (64),
119059,tuple2,0.822 (74),0.791 (72),0.783 (71),0.849 (72),0.864 (70),
116869,stark-wy,0.821 (75),0.789 (77),0.784 (68),0.844 (77),0.867 (66),
116894,niceL,0.821 (76),0.790 (74),0.782 (72),0.846 (75),0.865 (69),
117168,yanliu,0.815 (77),0.788 (78),0.776 (76),0.844 (78),0.854 (77),
116055,Nicolas,0.815 (78),0.788 (79),0.775 (77),0.844 (79),0.854 (76),
113354,wchai2,0.814 (79),0.790 (76),0.768 (79),0.846 (73),0.851 (78),
118597,Mical,0.812 (80),0.787 (80),0.770 (78),0.844 (80),0.846 (79),
115689,VOS2022,0.794 (81),0.761 (81),0.761 (80),0.813 (81),0.842 (80),
115543,WangY,0.793 (82),0.760 (84),0.760 (81),0.812 (84),0.842 (81),
115566,xiaomai556,0.792 (83),0.761 (82),0.757 (83),0.813 (82),0.839 (83),
115558,mai556,0.792 (84),0.760 (83),0.757 (82),0.812 (83),0.839 (82),
120876,vos,0.709 (85),0.662 (85),0.693 (84),0.707 (85),0.776 (84),
112801,xlover,0.234 (86),0.262 (86),0.241 (85),0.201 (86),0.232 (85),
110838,yfan,0.234 (86),0.262 (86),0.241 (85),0.201 (86),0.232 (85),
