submission_pk,User,b'Accuracy',b'Wish F1 Score',b'Another F1 Score',b'Comfortably F1 Score',b'Money F1 Score',b'Breathe F1 Score',b'Time F1 Score',b'Brain F1 Score',b'Echoes F1 Score',b'Wearing F1 Score',b'Sorrow F1 Score',b'Hey F1 Score',b'Shine F1 Score'
269994,Erika,0.7521 (8),0.4444 (31),0.7126 (9),0.9613 (13),0.5929 (7),0.2143 (43),0.4167 (26),0.8930 (47),0.2143 (57),0.9524 (11),0.8029 (22),0.9434 (7),0.4615 (44),
268668,lorenzo.iovine,0.7521 (8),0.6316 (13),0.7179 (6),0.9560 (18),0.5627 (41),0.0000 (96),0.4272 (18),0.9032 (35),0.1379 (84),0.9383 (17),0.8116 (5),0.9615 (4),0.4000 (59),
273101,riccardo_donati,0.7509 (9),0.6000 (16),0.6829 (28),0.9617 (12),0.5471 (74),0.1667 (58),0.4340 (11),0.8651 (104),0.2759 (39),0.9877 (3),0.7993 (31),0.9615 (4),0.4615 (44),
273217,SadraMoghadam,0.7509 (9),0.6000 (16),0.7089 (11),0.9508 (23),0.5627 (41),0.0000 (96),0.2778 (159),0.9194 (11),0.2222 (55),0.9512 (12),0.7994 (30),0.9615 (4),0.2857 (81),
271606,Howny,0.7497 (10),0.5882 (17),0.7027 (14),0.9457 (29),0.5855 (10),0.0000 (96),0.3457 (97),0.9174 (13),0.1538 (78),0.9318 (19),0.8057 (17),0.9434 (7),0.2727 (83),
269857,PhatCat,0.7497 (10),0.6316 (13),0.6835 (27),0.9451 (30),0.5535 (61),0.0000 (96),0.3820 (53),0.9148 (16),0.2069 (61),0.9535 (10),0.8077 (13),0.9259 (11),0.5000 (35),
272035,Alejandro.Jaramillo,0.7497 (10),0.7368 (6),0.6818 (30),0.9681 (7),0.5210 (129),0.0000 (96),0.2778 (159),0.9378 (4),0.2759 (39),0.9500 (13),0.7900 (73),0.9804 (2),0.2857 (81),
271465,GiulioCielo,0.7485 (11),0.8889 (2),0.6234 (74),0.9783 (3),0.5228 (125),0.0000 (96),0.4694 (4),0.9450 (2),0.0000 (116),0.9524 (11),0.7789 (134),0.9600 (5),0.3200 (76),
271657,AlexRouge,0.7485 (11),0.2500 (50),0.6429 (57),0.9457 (29),0.5370 (94),0.2500 (30),0.4375 (10),0.8910 (50),0.4138 (12),0.9111 (31),0.8171 (2),0.9434 (7),0.4000 (59),
273030,andrearestelli,0.7485 (11),0.5882 (17),0.7000 (16),0.9282 (54),0.5583 (52),0.1667 (58),0.3659 (73),0.9091 (26),0.2857 (36),0.9639 (7),0.8035 (20),0.9434 (7),0.4286 (53),
271586,LorenzoCutrupi,0.7473 (12),0.6667 (10),0.6585 (41),0.9565 (17),0.5759 (22),0.1667 (58),0.4048 (35),0.8826 (63),0.0800 (101),0.9535 (10),0.7913 (64),0.8846 (23),0.5333 (27),
271565,francesco.leone,0.7461 (13),0.7000 (8),0.6154 (79),0.9503 (24),0.5861 (9),0.3333 (12),0.4038 (37),0.8624 (110),0.4375 (8),0.9512 (12),0.8029 (21),0.9057 (17),0.5333 (27),
268334,nicolo.fasulo,0.7461 (13),0.5556 (21),0.6829 (28),0.9556 (19),0.5487 (70),0.0800 (82),0.3377 (104),0.9151 (15),0.2963 (33),0.9412 (15),0.8007 (28),0.9615 (4),0.2727 (83),
264567,MattiaC,0.7461 (13),0.4762 (27),0.7013 (15),0.9368 (41),0.5560 (56),0.3704 (8),0.3670 (72),0.9167 (14),0.4000 (14),0.9756 (5),0.7966 (40),0.8511 (35),0.4706 (41),
271678,WangJiaxuan,0.7461 (13),0.5882 (17),0.7000 (16),0.9721 (6),0.5736 (26),0.0741 (84),0.3704 (67),0.8889 (54),0.3448 (25),0.9070 (33),0.7780 (143),0.9811 (1),0.6452 (6),
272543,giulia_palmieri,0.7461 (13),0.4706 (28),0.6190 (77),0.9457 (29),0.5725 (28),0.1333 (68),0.3596 (81),0.9268 (8),0.4138 (12),0.9880 (2),0.7919 (59),0.9057 (17),0.4828 (39),
272550,ploki99,0.7461 (13),0.5882 (17),0.6667 (37),0.9565 (17),0.5385 (92),0.0000 (96),0.4198 (25),0.9321 (6),0.1429 (82),0.9762 (4),0.7809 (119),0.9388 (9),0.4167 (55),
272778,matteocitterio,0.7461 (13),0.6316 (13),0.6591 (39),0.9392 (38),0.5744 (24),0.1600 (60),0.3582 (83),0.9064 (30),0.2857 (36),0.9647 (6),0.7897 (75),0.9123 (15),0.4444 (48),
273259,teobucci,0.7461 (13),0.5882 (17),0.6747 (34),0.9622 (11),0.5354 (96),0.0000 (96),0.4337 (12),0.9167 (14),0.1538 (78),0.9647 (6),0.7836 (103),0.9388 (9),0.4167 (55),
270474,Calonca,0.7449 (14),0.6316 (13),0.6923 (20),0.9462 (28),0.5627 (41),0.1429 (66),0.3404 (103),0.9577 (1),0.0741 (103),0.9880 (2),0.7973 (35),0.8511 (35),0.2500 (87),
270523,andreasanchini,0.7449 (14),0.5882 (17),0.6750 (33),0.9282 (54),0.5618 (43),0.2308 (38),0.3855 (49),0.8858 (57),0.2759 (39),0.9524 (11),0.8000 (29),0.9615 (4),0.3077 (78),
272459,facc,0.7449 (14),0.7000 (8),0.6977 (18),0.9444 (31),0.5811 (14),0.3529 (11),0.4045 (36),0.8744 (83),0.3030 (32),0.9647 (6),0.7892 (77),0.9615 (4),0.4500 (47),
272539,achgls,0.7449 (14),0.5556 (21),0.6353 (64),0.9444 (31),0.5811 (14),0.4000 (4),0.4950 (1),0.8826 (63),0.2143 (57),0.9762 (4),0.7782 (140),0.9057 (17),0.5517 (23),
272597,MohanadDiab,0.7449 (14),0.7000 (8),0.6977 (18),0.9444 (31),0.5811 (14),0.3529 (11),0.4045 (36),0.8744 (83),0.3030 (32),0.9647 (6),0.7892 (77),0.9615 (4),0.4500 (47),
267473,DecisionTree,0.7437 (15),0.6957 (9),0.6742 (36),0.9457 (29),0.5534 (62),0.1481 (64),0.3373 (105),0.9231 (9),0.2857 (36),0.9880 (2),0.7891 (78),0.9057 (17),0.4000 (60),
269637,Tommaso_Aiello,0.7437 (15),0.5556 (21),0.6988 (17),0.9556 (19),0.5474 (73),0.1538 (62),0.3291 (115),0.9100 (24),0.2963 (33),0.9412 (15),0.7940 (47),0.9615 (4),0.2727 (83),
272876,giovanni.chiurco,0.7437 (15),0.5556 (21),0.6585 (41),0.9405 (36),0.5588 (51),0.2162 (42),0.3733 (63),0.9057 (32),0.1481 (80),0.9762 (4),0.8027 (23),0.9600 (5),0.2500 (87),
273379,Jean-Louis,0.7437 (15),0.5556 (21),0.6585 (41),0.9180 (71),0.5625 (42),0.2400 (33),0.3704 (67),0.8837 (61),0.2963 (33),0.9383 (17),0.7993 (32),0.9412 (8),0.3704 (66),
273380,romcruise,0.7437 (15),0.6957 (9),0.6742 (36),0.9457 (29),0.5534 (62),0.1481 (64),0.3373 (105),0.9231 (9),0.2857 (36),0.9880 (2),0.7891 (78),0.9057 (17),0.4000 (60),
273443,SilviaVilla,0.7437 (15),0.5556 (21),0.6667 (37),0.9290 (53),0.5591 (49),0.2400 (33),0.3659 (73),0.8848 (59),0.2963 (33),0.9383 (17),0.7967 (38),0.9600 (5),0.3077 (78),
268756,claudiucsm,0.7424 (16),0.3000 (46),0.6154 (79),0.9670 (9),0.5489 (69),0.2222 (41),0.3778 (57),0.9074 (29),0.1600 (77),0.9157 (28),0.8108 (7),0.9615 (4),0.2609 (86),
271078,tinelli.chiara,0.7424 (16),0.6316 (13),0.6667 (37),0.9355 (43),0.5338 (98),0.0800 (82),0.3488 (94),0.9320 (7),0.2759 (39),0.9880 (2),0.8014 (26),0.9231 (12),0.3077 (78),
267519,EnricoZardi,0.7424 (16),0.5882 (17),0.6279 (70),0.9462 (28),0.5814 (13),0.0000 (96),0.3765 (58),0.9038 (34),0.0833 (100),0.9398 (16),0.7836 (103),0.9167 (14),0.5714 (17),
269914,LeaZancani,0.7424 (16),0.4444 (31),0.6585 (41),0.9333 (46),0.6036 (3),0.4286 (2),0.3556 (85),0.8815 (66),0.2143 (57),0.9756 (5),0.7937 (48),0.9259 (11),0.3529 (70),
273392,MelideCrippa,0.7424 (16),0.5556 (21),0.6500 (50),0.9239 (62),0.5603 (46),0.2400 (33),0.3659 (73),0.8796 (71),0.2963 (33),0.9383 (17),0.7993 (32),0.9600 (5),0.3077 (78),
271866,Pablo,0.7412 (17),0.7368 (6),0.6190 (77),0.9565 (17),0.5082 (168),0.2667 (26),0.4330 (13),0.9189 (12),0.2143 (57),0.9756 (5),0.7959 (43),0.9020 (18),0.3333 (73),
265920,giacomopalu,0.7412 (17),0.6316 (13),0.6265 (71),0.9399 (37),0.5704 (30),0.2857 (21),0.4330 (13),0.8673 (99),0.4571 (5),0.9630 (8),0.7912 (65),0.9434 (7),0.4242 (54),
272043,Topino_parmareggio,0.7412 (17),0.4000 (35),0.6329 (66),0.9444 (31),0.5651 (39),0.0000 (96),0.4167 (26),0.8919 (49),0.4516 (6),0.9268 (22),0.8000 (29),0.9412 (8),0.1739 (97),
273421,Budino,0.7412 (17),0.4706 (28),0.6905 (22),0.9274 (55),0.5797 (16),0.3571 (10),0.3409 (102),0.8622 (111),0.1429 (82),0.9639 (7),0.8007 (27),0.9412 (8),0.5000 (35),
270335,HaoyuWu,0.7400 (18),0.4706 (28),0.6429 (57),0.9836 (1),0.5571 (53),0.1379 (67),0.3250 (120),0.8955 (45),0.4000 (14),0.9176 (27),0.7812 (117),0.9811 (1),0.6667 (4),
269552,lucafornasari,0.7400 (18),0.5556 (21),0.7000 (16),0.9551 (20),0.5290 (108),0.1600 (60),0.3421 (100),0.9126 (20),0.2857 (36),0.9524 (11),0.7888 (79),0.9259 (11),0.3478 (71),
273133,ChiaraBoscarino,0.7400 (18),0.6364 (12),0.6667 (37),0.9570 (16),0.5669 (36),0.1600 (60),0.3617 (78),0.9057 (32),0.0667 (106),0.9647 (6),0.7869 (84),0.9412 (8),0.4571 (45),
269907,ubersandro_,0.7388 (19),0.5714 (19),0.7200 (5),0.9503 (24),0.5702 (31),0.2759 (24),0.3953 (41),0.8638 (107),0.2857 (36),0.8941 (40),0.7728 (173),0.9455 (6),0.5517 (23),
269959,Alem42,0.7388 (19),0.5455 (22),0.7000 (16),0.9451 (30),0.5536 (60),0.3226 (14),0.3721 (65),0.9116 (22),0.3333 (27),0.9639 (7),0.7934 (50),0.8421 (38),0.3750 (65),
271188,Gavrilo,0.7388 (19),0.6667 (10),0.6988 (17),0.9326 (47),0.5606 (45),0.0000 (96),0.3478 (95),0.9091 (26),0.0714 (104),0.9412 (15),0.7973 (35),0.9412 (8),0.1818 (96),
271975,antoniosgara,0.7388 (19),0.7368 (6),0.6829 (28),0.9503 (24),0.5426 (84),0.1739 (54),0.3269 (117),0.8638 (107),0.3448 (25),0.9176 (27),0.8104 (8),0.9455 (6),0.4000 (60),
272741,kodai,0.7388 (19),0.5263 (23),0.6744 (35),0.9503 (24),0.5490 (68),0.2069 (45),0.4286 (17),0.9038 (34),0.2143 (57),1.0000 (1),0.7730 (170),0.9412 (8),0.2609 (86),
272846,StefanoVannoni,0.7388 (19),0.6667 (10),0.5897 (103),0.9290 (53),0.5736 (26),0.3125 (17),0.4231 (22),0.8920 (48),0.1935 (67),0.9111 (31),0.8000 (29),0.9434 (7),0.5000 (36),
273187,dario.vernola,0.7388 (19),0.7368 (6),0.6829 (28),0.9503 (24),0.5426 (84),0.1739 (54),0.3269 (117),0.8638 (107),0.3448 (25),0.9176 (27),0.8104 (8),0.9455 (6),0.4000 (60),
271938,OttaviaBelotti,0.7376 (20),0.5833 (18),0.7160 (7),0.9333 (46),0.5328 (100),0.0000 (96),0.2308 (200),0.8839 (60),0.0833 (100),0.9639 (7),0.8048 (19),0.9600 (5),0.5385 (26),
270604,Giuseppe_Urso,0.7376 (20),0.4762 (27),0.6154 (79),0.9348 (44),0.5312 (103),0.2000 (46),0.3656 (74),0.9132 (19),0.5238 (1),0.9762 (4),0.8182 (1),0.9231 (12),0.3200 (76),
271641,LukeCassi,0.7376 (20),0.5000 (25),0.6905 (22),0.9341 (45),0.5735 (27),0.1667 (58),0.3505 (91),0.8811 (68),0.1600 (77),0.9268 (22),0.7916 (62),0.9388 (9),0.4800 (40),
271727,MarcoBendinelli,0.7376 (20),0.6316 (13),0.5783 (114),0.9081 (87),0.5887 (8),0.2400 (33),0.4842 (2),0.8837 (61),0.3636 (21),0.9630 (8),0.7805 (124),0.8846 (23),0.3704 (66),
272157,noe_manzo,0.7376 (20),0.5556 (21),0.6500 (50),0.9333 (46),0.5654 (38),0.0000 (96),0.1892 (227),0.9099 (25),0.0833 (100),0.9302 (20),0.8094 (10),0.9412 (8),0.1818 (96),
272513,Mousan,0.7376 (20),0.6000 (16),0.6824 (29),0.9462 (28),0.5461 (77),0.2581 (29),0.2927 (147),0.8900 (52),0.2143 (57),0.9639 (7),0.7932 (51),0.9600 (5),0.5455 (24),
273123,FedericoCaspani,0.7376 (20),0.6000 (16),0.6506 (49),0.9385 (39),0.5714 (29),0.3226 (14),0.2667 (170),0.9038 (34),0.2857 (36),0.9250 (23),0.7898 (74),0.8929 (21),0.4167 (55),
267314,MatBou,0.7364 (21),0.7000 (8),0.6897 (23),0.9570 (16),0.5942 (6),0.2703 (25),0.3269 (117),0.8932 (46),0.3750 (19),0.9756 (5),0.7607 (230),0.9804 (2),0.6471 (5),
268203,Lara,0.7364 (21),0.5556 (21),0.6133 (81),0.9379 (40),0.5420 (85),0.2759 (24),0.3478 (95),0.8959 (44),0.4571 (5),0.9880 (2),0.7829 (108),0.9600 (5),0.4444 (48),
271771,staiano99,0.7364 (21),0.5263 (23),0.7073 (12),0.9444 (31),0.5682 (34),0.0909 (79),0.3191 (125),0.8496 (136),0.1600 (77),0.8941 (40),0.8062 (16),0.9412 (8),0.4286 (53),
265925,gabriele_martinelli,0.7364 (21),0.6364 (12),0.6517 (47),0.9503 (24),0.5670 (35),0.2424 (32),0.4301 (16),0.8505 (134),0.4737 (3),0.9535 (10),0.7905 (69),0.9412 (8),0.3784 (64),
269624,andrea_moschetti,0.7352 (22),0.7000 (8),0.6265 (71),0.9392 (38),0.5768 (20),0.2143 (43),0.2500 (179),0.8739 (84),0.3784 (18),0.9195 (26),0.7986 (33),0.9434 (7),0.4000 (60),
272678,ClaudioMoriello,0.7352 (22),0.4706 (28),0.7143 (8),0.9457 (29),0.5507 (66),0.1538 (62),0.3721 (65),0.8829 (62),0.1212 (90),0.9412 (15),0.7858 (87),0.9600 (5),0.5385 (26),
273291,MartinBronzo,0.7352 (22),0.6667 (10),0.6250 (72),0.9348 (44),0.5536 (60),0.2069 (45),0.3333 (110),0.8959 (44),0.2069 (61),0.9524 (11),0.7964 (42),0.8889 (22),0.4667 (43),
272617,PietroCirino,0.7340 (23),0.6667 (10),0.6027 (92),0.9198 (69),0.5195 (131),0.2222 (41),0.4731 (3),0.8811 (68),0.0800 (101),0.9630 (8),0.7770 (148),0.9231 (12),0.4667 (43),
272674,aleasto,0.7340 (23),0.7619 (5),0.6410 (59),0.9399 (37),0.5683 (32),0.4286 (2),0.3373 (105),0.8837 (61),0.1429 (82),0.9639 (7),0.7676 (203),0.9259 (11),0.6471 (5),
273284,carlo_manenti,0.7340 (23),0.6667 (10),0.6429 (57),0.9274 (55),0.5773 (19),0.0000 (96),0.3404 (103),0.8850 (58),0.1935 (67),0.9250 (23),0.8094 (11),0.9057 (17),0.1905 (95),
273236,Alessandro,0.7328 (24),0.4000 (35),0.6933 (19),0.9670 (9),0.5259 (112),0.0000 (96),0.3860 (48),0.8761 (79),0.2500 (46),0.9756 (5),0.7973 (36),0.9412 (8),0.1739 (97),
271947,valentinalidoni,0.7316 (25),0.8696 (3),0.6250 (72),0.9670 (9),0.5462 (76),0.0000 (96),0.3529 (88),0.9217 (10),0.0000 (116),0.9268 (22),0.7667 (206),0.9259 (11),0.2609 (86),
271073,Gabrielecurti,0.7316 (25),0.6667 (10),0.6667 (37),0.9348 (44),0.5175 (138),0.0000 (96),0.4242 (21),0.9041 (33),0.2963 (33),0.9500 (13),0.7783 (137),0.8800 (25),0.1538 (101),
270470,LesSimon,0.7316 (25),0.6667 (10),0.6429 (57),0.9326 (47),0.5737 (25),0.3889 (5),0.3261 (118),0.8378 (161),0.1379 (84),0.9412 (15),0.7902 (71),0.9434 (7),0.5294 (28),
270715,filpagi,0.7316 (25),0.4000 (36),0.7000 (16),0.9213 (66),0.5779 (18),0.0870 (80),0.4211 (24),0.8378 (161),0.1538 (78),0.9535 (10),0.7823 (112),0.9412 (8),0.3636 (67),
271797,RizzoMarco,0.7316 (25),0.5000 (25),0.6400 (61),0.9560 (18),0.5428 (83),0.0000 (96),0.2162 (213),0.8868 (56),0.0833 (100),0.9302 (20),0.7923 (57),0.9412 (8),0.3478 (71),
273228,antonellalombardi,0.7316 (25),0.7619 (5),0.5556 (130),0.9727 (4),0.4922 (201),0.0800 (82),0.4000 (39),0.9406 (3),0.0000 (116),0.9647 (6),0.7839 (99),0.9231 (12),0.2000 (94),
273481,tataboxxe,0.7316 (25),0.4706 (28),0.6667 (37),0.9462 (28),0.5088 (166),0.0909 (79),0.4211 (24),0.8772 (76),0.1481 (80),0.9412 (15),0.7760 (155),0.9200 (13),0.3636 (67),
270733,nciola,0.7304 (26),0.6316 (13),0.6429 (57),0.9444 (31),0.5420 (85),0.3636 (9),0.3158 (127),0.9194 (11),0.2581 (43),0.9639 (7),0.7768 (151),0.9259 (11),0.4242 (54),
271844,Stefuma99,0.7304 (26),0.7619 (5),0.6500 (50),0.9355 (43),0.5547 (58),0.1714 (55),0.4167 (26),0.8558 (123),0.3529 (23),0.9136 (29),0.7951 (46),0.9057 (17),0.2857 (81),
272637,pedrohgian,0.7304 (26),0.4000 (35),0.6500 (50),0.9110 (83),0.5391 (91),0.0000 (96),0.2973 (143),0.8676 (98),0.2069 (61),0.9398 (16),0.8091 (12),0.8261 (44),0.3200 (76),
272687,bakirrajaa,0.7304 (26),0.6316 (13),0.6585 (41),0.9444 (31),0.5122 (157),0.2963 (19),0.4167 (26),0.8739 (84),0.0741 (103),0.9302 (20),0.7851 (91),0.9388 (9),0.4138 (57),
272744,Rick8399,0.7304 (26),0.6087 (15),0.7342 (3),0.9333 (46),0.5338 (98),0.0909 (79),0.2250 (205),0.8700 (94),0.0714 (104),0.9639 (7),0.7878 (81),0.9804 (2),0.5333 (27),
273234,FelipePascutti,0.7304 (26),0.4000 (35),0.6500 (50),0.9110 (83),0.5391 (91),0.0000 (96),0.2973 (143),0.8676 (98),0.2069 (61),0.9398 (16),0.8091 (12),0.8261 (44),0.3200 (76),
273328,checco4vittorini,0.7304 (26),0.8000 (4),0.7160 (7),0.9570 (16),0.5403 (90),0.1875 (49),0.3689 (69),0.8638 (107),0.1290 (87),0.9383 (17),0.7826 (109),0.9434 (7),0.4516 (46),
271943,VittorioAndreotti,0.7291 (27),0.4706 (28),0.6747 (34),0.9565 (17),0.5134 (153),0.0870 (80),0.2826 (153),0.8796 (71),0.1429 (82),0.9880 (2),0.7966 (39),0.9200 (13),0.3636 (67),
264212,DianaNigrisoli,0.7291 (27),0.6316 (13),0.6835 (27),0.9239 (62),0.5455 (79),0.0000 (96),0.3789 (56),0.8821 (64),0.0769 (102),0.9647 (6),0.7808 (120),0.8980 (19),0.3333 (73),
268395,Mapo,0.7291 (27),0.2857 (47),0.5867 (107),0.9565 (17),0.5329 (99),0.1600 (60),0.3736 (62),0.9143 (17),0.3571 (22),0.9176 (27),0.8014 (25),0.9615 (4),0.1000 (108),
264415,EleonoraTagarelli,0.7291 (27),0.2667 (49),0.6316 (67),0.9451 (30),0.5000 (188),0.2500 (30),0.4396 (9),0.9058 (31),0.2667 (41),0.8989 (37),0.7897 (75),0.8571 (33),0.2609 (86),
271876,LauraPozzi,0.7291 (27),0.6316 (13),0.6835 (27),0.9239 (62),0.5455 (79),0.0000 (96),0.3789 (56),0.8821 (64),0.0769 (102),0.9647 (6),0.7808 (120),0.8980 (19),0.3333 (73),
272052,marcotramontini,0.7291 (27),0.5000 (25),0.5185 (152),0.9282 (54),0.5985 (5),0.2143 (43),0.4651 (5),0.8839 (60),0.1333 (86),0.9620 (9),0.7590 (239),0.9231 (12),0.5000 (35),
273028,Crugio48,0.7291 (27),0.5263 (23),0.6667 (37),0.9255 (59),0.4901 (204),0.0800 (82),0.3117 (132),0.8785 (73),0.2308 (52),0.9639 (7),0.7908 (67),0.9167 (14),0.6061 (10),
264025,nympha,0.7279 (28),0.5556 (21),0.6824 (29),0.9348 (44),0.5373 (93),0.3750 (7),0.4536 (7),0.8598 (116),0.2286 (53),0.9756 (5),0.7842 (97),0.8846 (23),0.3226 (75),
270159,andremare99,0.7279 (28),0.6000 (16),0.6914 (21),0.9399 (37),0.5039 (178),0.1935 (48),0.3673 (71),0.8700 (94),0.3226 (28),0.9639 (7),0.7915 (63),0.9057 (17),0.4516 (46),
272724,AndreaAiello,0.7279 (28),0.3750 (38),0.6301 (68),0.9405 (36),0.5486 (71),0.2353 (36),0.3918 (42),0.8818 (65),0.2667 (41),0.9524 (11),0.7926 (54),0.9412 (8),0.4444 (48),
272900,andreacerasani,0.7279 (28),0.6316 (13),0.6190 (77),0.9724 (5),0.5490 (68),0.2308 (38),0.2899 (148),0.8980 (42),0.4138 (12),0.9647 (6),0.7595 (237),0.9630 (3),0.2609 (86),
273366,Pelle,0.7279 (28),0.5882 (17),0.6250 (72),0.9348 (44),0.5190 (134),0.1538 (62),0.3864 (47),0.8889 (54),0.2759 (39),0.9512 (12),0.7864 (86),0.8750 (27),0.6207 (9),
269167,Luca_Tombesi,0.7267 (29),0.4706 (28),0.6364 (63),0.9556 (19),0.5447 (80),0.2500 (30),0.3789 (56),0.8624 (110),0.2500 (46),0.9398 (16),0.7831 (106),0.9200 (13),0.5143 (32),
272903,Giova,0.7267 (29),0.6316 (13),0.5610 (127),0.9392 (38),0.6103 (2),0.0000 (96),0.3838 (51),0.8651 (104),0.1481 (80),0.9647 (6),0.7714 (182),0.9057 (17),0.3333 (73),
273308,crumb_er,0.7267 (29),0.6316 (13),0.6753 (32),0.8901 (119),0.5405 (88),0.0870 (80),0.3333 (110),0.9075 (28),0.0833 (100),0.9762 (4),0.7966 (39),0.6500 (92),0.2400 (88),
273420,saraghezzi,0.7267 (29),0.5556 (21),0.6410 (59),0.9613 (13),0.5410 (87),0.1481 (64),0.3908 (43),0.8407 (155),0.3429 (26),0.9412 (15),0.7703 (186),0.9259 (11),0.3704 (66),
268874,pollomarzo,0.7255 (30),0.5000 (26),0.5682 (120),0.9438 (32),0.5338 (98),0.1538 (62),0.4270 (19),0.8734 (85),0.3871 (17),0.9412 (15),0.7807 (121),0.9259 (11),0.2963 (80),
269114,LucaMolteni,0.7255 (30),0.3529 (41),0.6486 (52),0.9613 (13),0.5403 (90),0.0000 (96),0.2989 (142),0.8796 (71),0.0000 (116),0.9762 (4),0.7687 (192),0.9057 (17),0.5556 (21),
270499,SamueleMariani,0.7255 (30),0.6316 (13),0.6897 (23),0.9385 (39),0.5194 (132),0.0000 (96),0.3696 (68),0.8661 (102),0.1429 (82),0.9398 (16),0.7789 (133),0.9231 (12),0.4348 (50),
271150,dconsole,0.7255 (30),0.5556 (21),0.6173 (78),0.9451 (30),0.5467 (75),0.0000 (96),0.2353 (197),0.8919 (49),0.0714 (104),0.9398 (16),0.8049 (18),0.9412 (8),0.1000 (108),
272485,gabrielegine,0.7255 (30),0.6667 (10),0.6173 (78),0.9222 (64),0.5630 (40),0.0800 (82),0.3333 (110),0.8807 (69),0.2500 (46),0.9157 (28),0.7894 (76),0.8929 (21),0.4667 (43),
272501,mahshid.shiri,0.7255 (30),0.5714 (19),0.6234 (74),0.9392 (38),0.5040 (177),0.3226 (14),0.4082 (32),0.8597 (117),0.0800 (101),0.9070 (33),0.7911 (66),0.9804 (2),0.4138 (57),
272935,ItsAcol,0.7255 (30),0.6000 (16),0.6053 (89),0.9444 (31),0.5515 (65),0.2500 (30),0.3958 (40),0.8597 (117),0.3684 (20),0.9176 (27),0.7848 (94),0.9231 (12),0.4138 (57),
270421,Merimeri,0.7243 (31),0.7000 (8),0.6316 (67),0.9560 (18),0.5301 (106),0.2400 (33),0.3883 (44),0.8306 (173),0.2581 (43),0.8718 (55),0.7894 (76),0.9231 (12),0.3200 (76),
270483,LeoGori,0.7243 (31),0.5882 (17),0.5385 (143),0.9310 (50),0.5794 (17),0.0000 (96),0.3696 (68),0.8446 (146),0.2000 (65),0.9070 (33),0.7791 (131),0.9434 (7),0.4000 (59),
267613,EnricoSarneri,0.7243 (31),0.6400 (11),0.6889 (24),0.9198 (69),0.5075 (169),0.2778 (23),0.4091 (30),0.9005 (39),0.0645 (107),0.9302 (20),0.7870 (83),0.8800 (25),0.5000 (35),
271851,Priscilla_Lo_Bue,0.7243 (31),0.5882 (17),0.6750 (33),0.9222 (64),0.5563 (55),0.2667 (26),0.3333 (110),0.8145 (205),0.1481 (80),0.9318 (19),0.7972 (37),0.9600 (5),0.2400 (88),
