submission_pk,User,b'mean_dice',b'Dice_flat',b'Dice_construction',b'Dice_object',b'Dice_nature',b'Dice_sky',b'Dice_human',b'Dice_vehicle'
408266,jimvermunt,0.579 (19),0.87 (11),0.55 (16),0.25 (30),0.60 (27),0.86 (17),0.12 (28),0.60 (10),
408110,laixunqin,0.568 (20),0.83 (25),0.50 (22),0.35 (16),0.64 (24),0.79 (26),0.16 (19),0.53 (17),
407914,Yang_Bo,0.567 (21),0.83 (24),0.50 (23),0.34 (17),0.64 (22),0.79 (27),0.16 (20),0.53 (18),
409019,lynchwu,0.557 (22),0.87 (13),0.50 (24),0.28 (26),0.64 (23),0.82 (21),0.14 (22),0.43 (25),
408257,semdraaijer,0.547 (23),0.84 (23),0.53 (19),0.34 (18),0.65 (21),0.60 (36),0.18 (17),0.54 (16),
407758,scylla,0.524 (24),0.86 (16),0.46 (27),0.32 (21),0.61 (26),0.71 (32),0.11 (29),0.42 (28),
409071,ataMan,0.520 (25),0.87 (15),0.47 (26),0.00 (53),0.68 (19),0.93 (5),0.00 (54),0.43 (26),
387583,gdcc,0.517 (26),0.82 (26),0.41 (34),0.23 (34),0.60 (28),0.92 (9),0.07 (32),0.37 (30),
410018,Bratjay,0.515 (27),0.84 (20),0.45 (28),0.23 (33),0.56 (33),0.83 (20),0.09 (31),0.43 (27),
401050,scylla_,0.499 (28),0.86 (18),0.40 (36),0.23 (31),0.59 (29),0.75 (30),0.13 (26),0.37 (29),
419014,seb,0.491 (29),0.68 (43),0.50 (25),0.32 (22),0.66 (20),0.38 (41),0.22 (14),0.59 (12),
407766,thchrono,0.477 (30),0.75 (36),0.42 (31),0.21 (35),0.57 (31),0.82 (23),0.04 (44),0.32 (33),
409422,dp,0.464 (31),0.81 (28),0.42 (30),0.23 (32),0.53 (37),0.65 (34),0.19 (16),0.30 (39),
409370,wbrekelmans,0.449 (32),0.79 (32),0.35 (41),0.17 (40),0.48 (43),0.81 (24),0.04 (45),0.31 (36),
407262,rednas_,0.446 (33),0.79 (30),0.41 (33),0.20 (37),0.60 (28),0.58 (37),0.10 (30),0.29 (42),
409220,snkoenen,0.432 (34),0.67 (46),0.32 (45),0.27 (29),0.61 (25),0.67 (33),0.12 (27),0.21 (51),
376234,benjivdbrand,0.419 (35),0.74 (37),0.51 (21),0.00 (53),0.58 (30),0.61 (35),0.01 (53),0.30 (38),
365076,chenbh,0.400 (36),0.73 (38),0.38 (38),0.27 (28),0.56 (34),0.32 (45),0.07 (35),0.35 (31),
408636,vbfkuipers,0.397 (37),0.70 (41),0.40 (35),0.00 (53),0.44 (45),0.77 (29),0.00 (54),0.27 (43),
406280,LiuHaoRu,0.393 (38),0.52 (54),0.41 (32),0.00 (53),0.53 (36),0.80 (25),0.00 (54),0.26 (45),
407984,macobe,0.389 (39),0.80 (29),0.34 (42),0.19 (39),0.53 (38),0.39 (40),0.05 (40),0.26 (44),
409957,Xavier321456,0.388 (40),0.62 (48),0.37 (39),0.28 (25),0.57 (32),0.18 (50),0.16 (21),0.48 (20),
409294,Hheij,0.368 (41),0.72 (39),0.38 (37),0.21 (36),0.43 (47),0.36 (42),0.07 (33),0.25 (46),
367361,YaoSizhuo,0.359 (42),0.77 (33),0.37 (40),0.16 (41),0.52 (39),0.25 (48),0.05 (38),0.24 (48),
387505,WilliamHuang,0.346 (43),0.75 (35),0.33 (44),0.11 (45),0.54 (35),0.28 (47),0.05 (37),0.24 (49),
405340,a.brugnera,0.329 (44),0.56 (49),0.27 (49),0.31 (23),0.41 (51),0.29 (46),0.05 (39),0.30 (37),
408737,Ryo3231,0.326 (45),0.53 (52),0.22 (55),0.13 (43),0.32 (52),0.78 (28),0.01 (52),0.11 (57),
408723,Pokemon98,0.326 (45),0.53 (52),0.22 (55),0.13 (43),0.32 (52),0.78 (28),0.01 (52),0.11 (57),
370117,gzr,0.316 (46),0.51 (55),0.42 (29),0.00 (53),0.49 (42),0.33 (44),0.00 (54),0.32 (34),
405175,AI-overlord,0.312 (47),0.54 (51),0.27 (51),0.29 (24),0.43 (49),0.20 (49),0.06 (36),0.29 (40),
406290,mmacura9,0.311 (48),0.53 (53),0.24 (54),0.01 (51),0.50 (41),0.45 (38),0.04 (42),0.29 (41),
408004,Alex-AI-code,0.310 (49),0.68 (45),0.30 (47),0.00 (52),0.44 (46),0.36 (43),0.03 (48),0.23 (50),
368584,cmichiel,0.297 (50),0.33 (57),0.33 (43),0.14 (42),0.43 (48),0.40 (39),0.03 (50),0.31 (35),
482959,YoosefBidardel,0.294 (51),0.76 (34),0.32 (46),0.20 (38),0.24 (54),0.08 (55),0.04 (46),0.33 (32),
407377,Amin_SB,0.294 (52),0.62 (47),0.25 (52),0.12 (44),0.51 (40),0.16 (52),0.05 (41),0.25 (47),
409285,Vincentkuipers,0.285 (53),0.68 (42),0.27 (50),0.10 (46),0.46 (44),0.15 (53),0.04 (43),0.18 (52),
407851,MeloZhu,0.255 (54),0.71 (40),0.17 (57),0.10 (48),0.42 (50),0.12 (54),0.03 (49),0.12 (56),
408938,HeshengGong,0.215 (55),0.68 (44),0.25 (53),0.04 (50),0.21 (55),0.05 (56),0.03 (47),0.18 (53),
409403,PimvdVen,0.197 (56),0.55 (50),0.29 (48),0.10 (47),0.17 (56),0.01 (57),0.07 (34),0.15 (54),
407209,ykcheung,0.190 (57),0.41 (56),0.20 (56),0.06 (49),0.25 (53),0.16 (51),0.02 (51),0.15 (55),
