submission_pk,User,b'PSNR',b'muPSNR',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
71653,dq,38.91 (7),36.80 (14),0.00 (2),265.59 (19),394361.00 (15),
70833,xiaokaoji,38.58 (18),36.86 (9),0.00 (2),148.54 (6),401027.00 (16),
75901,XuZiyao,37.74 (34),36.48 (28),0.00 (3),501.21 (22),609499.00 (17),
65320,pepper26545,38.62 (15),36.68 (18),0.20 (19),199.98 (16),633691.00 (18),
70269,CUC,38.78 (12),36.65 (21),0.64 (24),2445.12 (29),1131515.00 (19),
70148,gaogao,36.84 (45),35.46 (48),0.72 (25),800.00 (24),1150000.00 (20),
142857,huent189,17.28 (64),14.32 (62),1.11 (28),4186.98 (30),1151183.00 (21),
68952,buzzli,38.11 (27),36.57 (26),0.05 (10),179.20 (10),1229609.00 (22),
67701,baolong,38.39 (23),36.64 (22),0.09 (13),335.15 (20),1338641.00 (23),
58959,Partisanen,24.66 (61),21.19 (60),0.15 (16),548.01 (23),1465923.00 (24),
71681,supperman,38.49 (20),36.59 (25),0.29 (20),192.88 (12),1628265.00 (25),
68522,dth914,38.49 (21),36.21 (38),0.29 (20),192.88 (12),1628265.00 (25),
70092,xixi,36.61 (46),36.44 (33),0.10 (14),168.10 (9),1801054.00 (26),
46384,waiman,35.99 (50),35.58 (47),0.08 (12),203.36 (17),2808771.00 (27),
62588,cilab,37.79 (30),36.52 (27),0.99 (27),2271.52 (28),3321382.00 (28),
66297,yarqian,37.60 (35),36.00 (40),0.07 (11),198.64 (13),5427262.00 (29),
64003,spiKe,38.36 (24),36.68 (19),1.27 (29),1245.78 (26),6533348.00 (30),
71634,leochangliu,37.25 (40),36.48 (29),0.37 (21),899.24 (25),10157383.00 (31),
75900,zhanzhan,32.43 (54),35.84 (42),0.05 (7),73.12 (3),20483395.00 (32),
