submission_pk,User,b'mean_dice',b'Dice_flat',b'Dice_construction',b'Dice_object',b'Dice_nature',b'Dice_sky',b'Dice_human',b'Dice_vehicle'
424494,seb,0.250 (29),0.71 (25),0.56 (25),0.08 (23),0.50 (28),0.24 (39),0.15 (20),0.40 (22),
409053,ataMan,0.233 (30),0.73 (22),0.49 (33),0.00 (51),0.51 (24),0.48 (23),0.00 (51),0.34 (29),
407909,WilliamHuang,0.202 (31),0.80 (15),0.54 (29),0.04 (40),0.19 (49),0.41 (33),0.09 (33),0.18 (40),
409369,wbrekelmans,0.202 (32),0.64 (34),0.49 (32),0.07 (31),0.29 (40),0.47 (27),0.05 (42),0.26 (34),
407213,macobe,0.199 (33),0.71 (26),0.55 (26),0.07 (29),0.47 (30),0.10 (46),0.08 (36),0.21 (37),
408701,KjeldZ,0.198 (34),0.40 (45),0.33 (50),0.10 (12),0.44 (31),0.43 (30),0.10 (30),0.28 (32),
386695,thchrono,0.191 (35),0.54 (40),0.53 (31),0.06 (34),0.37 (36),0.48 (24),0.07 (38),0.14 (44),
408635,vbfkuipers,0.187 (36),0.73 (24),0.44 (39),0.00 (51),0.38 (35),0.45 (28),0.00 (51),0.20 (38),
409421,dp,0.187 (37),0.55 (39),0.45 (37),0.04 (39),0.37 (37),0.27 (38),0.09 (32),0.19 (39),
408270,semdraaijer,0.175 (38),0.42 (43),0.44 (38),0.06 (33),0.33 (39),0.31 (35),0.04 (46),0.30 (31),
407850,MeloZhu,0.171 (39),0.56 (38),0.46 (36),0.04 (38),0.40 (33),0.20 (42),0.08 (34),0.16 (42),
409284,Vincentkuipers,0.158 (40),0.49 (41),0.48 (34),0.02 (46),0.40 (34),0.12 (44),0.06 (40),0.21 (36),
409963,Xavier321456,0.153 (41),0.41 (44),0.41 (42),0.06 (35),0.26 (41),0.09 (48),0.09 (31),0.27 (33),
407993,Alex-AI-code,0.143 (42),0.66 (30),0.39 (43),0.00 (50),0.34 (38),0.03 (51),0.08 (35),0.16 (43),
409404,PimvdVen,0.133 (43),0.65 (32),0.37 (44),0.02 (47),0.24 (43),0.01 (53),0.07 (37),0.13 (45),
409292,Hheij,0.122 (44),0.37 (48),0.44 (40),0.03 (44),0.15 (51),0.18 (43),0.04 (44),0.10 (47),
408724,Pokemon98,0.100 (45),0.38 (47),0.30 (52),0.05 (36),0.22 (46),0.30 (37),0.02 (48),0.08 (49),
408749,Ryo3231,0.099 (46),0.38 (46),0.30 (53),0.05 (37),0.21 (47),0.30 (36),0.01 (49),0.08 (50),
405170,AI-overlord,0.098 (47),0.24 (50),0.36 (47),0.03 (43),0.17 (50),0.03 (50),0.07 (39),0.24 (35),
409345,Amin_SB,0.096 (48),0.64 (35),0.32 (51),0.00 (49),0.00 (53),0.12 (45),0.00 (50),0.00 (53),
407220,ykcheung,0.095 (49),0.45 (42),0.35 (48),0.02 (48),0.25 (42),0.10 (47),0.04 (45),0.08 (48),
406284,LiuHaoRu,0.094 (50),0.25 (49),0.41 (41),0.00 (51),0.23 (45),0.23 (40),0.00 (51),0.04 (52),
368591,cmichiel,0.089 (51),0.07 (53),0.34 (49),0.04 (42),0.21 (48),0.21 (41),0.04 (47),0.13 (46),
405865,a.brugnera,0.086 (52),0.16 (52),0.37 (46),0.03 (45),0.10 (52),0.07 (49),0.05 (41),0.17 (41),
407106,HeshengGong,0.082 (53),0.17 (51),0.37 (45),0.04 (41),0.23 (44),0.02 (52),0.04 (43),0.07 (51),
