submission_pk,User,b'f1 (macro avg.)',b'f1 (weighted avg.)',b'U0104',b'U0108',b'U0110',b'U0203',b'U0204',b'U0207'
303829,tora,0.7328 (37),0.7405 (36),- (6),- (6),- (6),- (6),- (6),- (6),
304335,Nebibibi,0.7319 (38),0.7530 (33),- (6),- (6),- (6),- (6),- (6),- (6),
300272,RY,0.7266 (39),0.7296 (39),- (6),- (6),- (6),- (6),- (6),- (6),
297137,kurihara,0.7207 (40),0.7222 (41),- (6),- (6),- (6),- (6),- (6),- (6),
288075,ryuthe,0.7171 (41),0.7320 (38),- (6),- (6),- (6),- (6),- (6),- (6),
303633,joems,0.7151 (42),0.7216 (42),- (6),- (6),- (6),- (6),- (6),- (6),
296276,storm,0.7078 (43),0.7045 (45),- (6),- (6),- (6),- (6),- (6),- (6),
295688,ShungoTanaka,0.7051 (44),0.7109 (43),- (6),- (6),- (6),- (6),- (6),- (6),
303938,yoshiton,0.7049 (45),0.7079 (44),- (6),- (6),- (6),- (6),- (6),- (6),
304029,Tet115,0.7007 (46),0.6862 (47),- (6),- (6),- (6),- (6),- (6),- (6),
303628,UchidaGaku,0.6993 (47),0.6795 (49),- (6),- (6),- (6),- (6),- (6),- (6),
304106,T.H,0.6904 (48),0.7027 (46),- (6),- (6),- (6),- (6),- (6),- (6),
303263,Ryosuke,0.6760 (49),0.6741 (50),- (6),- (6),- (6),- (6),- (6),- (6),
304092,Towa,0.6731 (50),0.6849 (48),- (6),- (6),- (6),- (6),- (6),- (6),
304047,yuma246810,0.6550 (51),0.6453 (53),- (6),- (6),- (6),- (6),- (6),- (6),
303216,accel,0.6490 (52),0.6710 (51),- (6),- (6),- (6),- (6),- (6),- (6),
304133,Maaa,0.6414 (53),0.6382 (54),- (6),- (6),- (6),- (6),- (6),- (6),
301169,blackrock,0.6411 (54),0.6332 (56),- (6),- (6),- (6),- (6),- (6),- (6),
304070,koji,0.6379 (55),0.6328 (57),- (6),- (6),- (6),- (6),- (6),- (6),
304352,__i,0.6187 (56),0.6495 (52),- (6),- (6),- (6),- (6),- (6),- (6),
304086,syun,0.6126 (57),0.6177 (58),- (6),- (6),- (6),- (6),- (6),- (6),
299721,u636786c,0.6069 (58),0.5981 (60),- (6),- (6),- (6),- (6),- (6),- (6),
291200,TaniguchiRei,0.6042 (59),0.6365 (55),- (6),- (6),- (6),- (6),- (6),- (6),
296098,teteteshin,0.6027 (60),0.6011 (59),- (6),- (6),- (6),- (6),- (6),- (6),
301078,Naruto,0.5980 (61),0.5979 (61),- (6),- (6),- (6),- (6),- (6),- (6),
303873,br,0.5909 (62),0.5922 (62),- (6),- (6),- (6),- (6),- (6),- (6),
303687,devon2525,0.5625 (63),0.5587 (64),- (6),- (6),- (6),- (6),- (6),- (6),
304436,abcdef,0.5572 (64),0.5305 (70),- (6),- (6),- (6),- (6),- (6),- (6),
304198,MoTo,0.5523 (65),0.5503 (65),- (6),- (6),- (6),- (6),- (6),- (6),
300216,maniidayo,0.5515 (66),0.5609 (63),0.6107 (5),0.7104 (5),0.3302 (5),0.6979 (5),0.1920 (5),0.3708 (5),
303122,KoukiNakahama,0.5469 (67),0.5366 (69),- (6),- (6),- (6),- (6),- (6),- (6),
237180,SotaroFushimi,0.5457 (68),0.5426 (68),- (6),- (6),- (6),- (6),- (6),- (6),
304455,Ryo,0.5413 (69),0.5477 (66),- (6),- (6),- (6),- (6),- (6),- (6),
303717,k-kameda,0.5349 (70),0.5450 (67),- (6),- (6),- (6),- (6),- (6),- (6),
303787,Sayumi,0.5151 (71),0.5216 (71),- (6),- (6),- (6),- (6),- (6),- (6),
303835,Azuma,0.5112 (72),0.5005 (74),- (6),- (6),- (6),- (6),- (6),- (6),
303987,tukapon,0.5076 (73),0.5150 (72),- (6),- (6),- (6),- (6),- (6),- (6),
296659,kana01,0.4941 (74),0.4753 (76),- (6),- (6),- (6),- (6),- (6),- (6),
237929,crazy112,0.4841 (75),0.5063 (73),- (6),- (6),- (6),- (6),- (6),- (6),
303486,Takumi,0.4788 (76),0.4694 (77),- (6),- (6),- (6),- (6),- (6),- (6),
196281,sonnh,0.4329 (77),0.4871 (75),- (6),- (6),- (6),- (6),- (6),- (6),
303502,dddgreatking,0.4030 (78),0.4393 (78),- (6),- (6),- (6),- (6),- (6),- (6),
299936,k3290,0.3968 (79),0.4359 (79),- (6),- (6),- (6),- (6),- (6),- (6),
280951,niksss,0.3594 (80),0.3620 (81),- (6),- (6),- (6),- (6),- (6),- (6),
215573,tmaeosk07,0.2801 (81),0.3346 (82),- (6),- (6),- (6),- (6),- (6),- (6),
303980,Kaoru,0.2797 (82),0.3341 (83),- (6),- (6),- (6),- (6),- (6),- (6),
302346,husi,0.2794 (83),0.3335 (85),- (6),- (6),- (6),- (6),- (6),- (6),
401127,RyoShirai,0.2794 (84),0.3335 (84),- (6),- (6),- (6),- (6),- (6),- (6),
290185,asaa,0.2740 (85),0.3633 (80),- (6),- (6),- (6),- (6),- (6),- (6),
280312,Shinta04,0.2726 (86),0.3049 (86),- (6),- (6),- (6),- (6),- (6),- (6),
244426,bubble03,0.2706 (87),0.3033 (88),- (6),- (6),- (6),- (6),- (6),- (6),
221386,rainy_day,0.2576 (88),0.3048 (87),- (6),- (6),- (6),- (6),- (6),- (6),
287064,Tannt,0.2517 (89),0.2918 (89),- (6),- (6),- (6),- (6),- (6),- (6),
192571,Getty708,0.1301 (90),0.2165 (90),- (6),- (6),- (6),- (6),- (6),- (6),
304377,scs,0.1262 (91),0.1885 (91),- (6),- (6),- (6),- (6),- (6),- (6),
302413,ykkkkk,0.1262 (91),0.1885 (91),- (6),- (6),- (6),- (6),- (6),- (6),
286952,Oka,0.1262 (91),0.1885 (91),- (6),- (6),- (6),- (6),- (6),- (6),
282425,Malton,0.1262 (91),0.1885 (91),- (6),- (6),- (6),- (6),- (6),- (6),
282632,yqzhang147,0.1129 (92),0.1350 (92),- (6),- (6),- (6),- (6),- (6),- (6),
303701,sora,0.0217 (93),0.0197 (93),- (6),- (6),- (6),- (6),- (6),- (6),
304055,kani_ka,0.0119 (94),0.0078 (94),- (6),- (6),- (6),- (6),- (6),- (6),
303594,Naori,0.0104 (95),0.0057 (95),- (6),- (6),- (6),- (6),- (6),- (6),
297110,Tetsu_roo,0.0068 (96),0.0024 (96),- (6),- (6),- (6),- (6),- (6),- (6),
