submission_pk,User,b'Combined (\xe2\x86\x93)',b'T/F (\xe2\x86\x93)',b'MCQ (\xe2\x86\x93)',b'Numerical (\xe2\x86\x93)'
320188,huijyang,87.5 (95),25.0 (47),39.1 (96),23.3 (16),
365707,MohanThota,87.5 (96),25.0 (44),39.1 (100),23.3 (16),
328075,cxyan,87.5 (97),25.0 (48),39.1 (95),23.3 (16),
329037,DENGLingwen,87.5 (98),25.0 (36),39.1 (102),23.3 (16),
319963,ejpowell,87.5 (99),25.0 (63),39.1 (31),23.3 (16),
320050,YiranHuang,87.5 (100),25.0 (58),39.1 (77),23.3 (16),
320256,QuangTran,87.5 (101),25.0 (54),39.1 (92),23.3 (16),
223874,progin,87.5 (102),25.0 (59),39.1 (75),23.3 (16),
320845,yyhan123,87.5 (103),25.0 (61),39.1 (83),23.3 (16),
362764,Astalos,87.5 (104),25.0 (64),39.1 (88),23.3 (16),
186875,tinyswish,96.4 (105),25.0 (40),39.1 (54),32.3 (18),
381443,Zhandong_Jiao,102.5 (106),25.0 (55),54.2 (105),23.3 (16),
