submission_pk,User,b'F-1 sarcastic',b'F-score',b'Precision',b'Recall',b'Accuracy'
41836,VanditaGrover,0.3071 (24),0.5743 (21),0.5690 (22),0.5996 (23),0.7421 (20),
41773,zkchen1998,0.2763 (25),0.2959 (39),0.5559 (26),0.5646 (27),0.2964 (38),
42340,ragingmartyr,0.2700 (26),0.5675 (22),0.5639 (25),0.5733 (24),0.7721 (15),
41751,Ramdhanush,0.2637 (27),0.5532 (23),0.5499 (28),0.5675 (25),0.7407 (21),
42129,hamed,0.2599 (28),0.4992 (29),0.5290 (30),0.5558 (28),0.6136 (29),
41240,muizather,0.2478 (29),0.5288 (25),0.5331 (29),0.5521 (29),0.6964 (24),
40157,pabloi2c,0.2451 (30),0.3922 (38),0.5106 (32),0.5204 (30),0.4279 (37),
41246,robvanderg,0.2411 (31),0.5781 (20),0.6443 (6),0.5650 (26),0.8471 (2),
42322,iliketurtles,0.2403 (32),0.1332 (41),0.3651 (41),0.4792 (37),0.1464 (40),
42278,Ilan,0.2150 (33),0.4237 (35),0.4957 (35),0.4912 (35),0.4993 (34),
36813,xuyt3,0.2150 (33),0.4237 (35),0.4957 (35),0.4912 (35),0.4993 (34),
36808,SPDB,0.2150 (33),0.4237 (35),0.4957 (35),0.4912 (35),0.4993 (34),
41347,DragomirManoleasaSandu_FII_UAIC,0.2074 (34),0.4256 (34),0.4922 (37),0.4842 (36),0.5086 (33),
42214,Pat275,0.2024 (35),0.4777 (32),0.5016 (33),0.5029 (32),0.6229 (28),
42372,guillotine,0.2012 (36),0.5101 (27),0.5137 (31),0.5196 (31),0.7050 (23),
42095,oseibrefo,0.1945 (37),0.2401 (40),0.4306 (40),0.4083 (40),0.2429 (39),
42279,Yaakov,0.1836 (38),0.4236 (36),0.4810 (38),0.4617 (38),0.5236 (32),
40330,JoseAGD,0.1797 (39),0.4803 (31),0.4952 (36),0.4921 (34),0.6543 (26),
42275,Matan,0.1684 (40),0.3939 (37),0.4671 (39),0.4329 (39),0.4779 (35),
41987,abhayshukla9,0.1553 (41),0.4993 (28),0.5000 (34),0.5000 (33),0.7357 (22),
submission_pk,User,b'F-1 sarcastic',b'F-score',b'Precision',b'Recall',b'Accuracy'
42447,hudou,- (-),,,,,
42404,niksss,- (-),,,,,
42372,guillotine,- (-),,,,,
42340,ragingmartyr,- (-),,,,,
42322,iliketurtles,- (-),,,,,
42309,ShubhamKumarNigam,- (-),,,,,
42279,Yaakov,- (-),,,,,
42278,Ilan,- (-),,,,,
42275,Matan,- (-),,,,,
42263,fdabek,- (-),,,,,
42219,saroyehun,- (-),,,,,
42214,Pat275,- (-),,,,,
42187,mayukh,- (-),,,,,
42177,JumanaKhrais,- (-),,,,,
42162,maryam.najafi,- (-),,,,,
42142,cnxupupup,- (-),,,,,
42129,hamed,- (-),,,,,
42113,UTNLP,- (-),,,,,
42095,oseibrefo,- (-),,,,,
41987,abhayshukla9,- (-),,,,,
41869,abdessamad_benlahbib,- (-),,,,,
41836,VanditaGrover,- (-),,,,,
41834,leon14138,- (-),,,,,
41773,zkchen1998,- (-),,,,,
41751,Ramdhanush,- (-),,,,,
41701,emma,- (-),,,,,
41469,dartmouth,- (-),,,,,
41347,DragomirManoleasaSandu_FII_UAIC,- (-),,,,,
41329,rematchka,- (-),,,,,
41246,robvanderg,- (-),,,,,
41240,muizather,- (-),,,,,
41196,lizefeng,- (-),,,,,
41016,premjithb,- (-),,,,,
40886,tanuj22,- (-),,,,,
40864,jthomson,- (-),,,,,
40705,Abdelkader,- (-),,,,,
40330,JoseAGD,- (-),,,,,
40157,pabloi2c,- (-),,,,,
39914,stce,- (-),,,,,
37770,bilalghanem,- (-),,,,,
36813,xuyt3,- (-),,,,,
36808,SPDB,- (-),,,,,
36451,Olha_Kaminska,- (-),,,,,
submission_pk,User,b'macro F-score',b'F1-Sarcasm',b'F1-irony',b'F1-satire',b'F1-understatement',b'F1-overstatement',b'F1-rhetorical question'
42447,hudou,- (-),,,,,,,
42404,niksss,- (-),,,,,,,
42372,guillotine,- (-),,,,,,,
42340,ragingmartyr,- (-),,,,,,,
42322,iliketurtles,- (-),,,,,,,
42309,ShubhamKumarNigam,- (-),,,,,,,
42279,Yaakov,- (-),,,,,,,
42278,Ilan,- (-),,,,,,,
42275,Matan,- (-),,,,,,,
42263,fdabek,- (-),,,,,,,
42219,saroyehun,- (-),,,,,,,
42214,Pat275,- (-),,,,,,,
42187,mayukh,- (-),,,,,,,
42177,JumanaKhrais,- (-),,,,,,,
42162,maryam.najafi,- (-),,,,,,,
42142,cnxupupup,- (-),,,,,,,
42129,hamed,- (-),,,,,,,
42113,UTNLP,- (-),,,,,,,
42095,oseibrefo,- (-),,,,,,,
41987,abhayshukla9,- (-),,,,,,,
41869,abdessamad_benlahbib,- (-),,,,,,,
41836,VanditaGrover,- (-),,,,,,,
41834,leon14138,- (-),,,,,,,
41773,zkchen1998,- (-),,,,,,,
41751,Ramdhanush,- (-),,,,,,,
41701,emma,- (-),,,,,,,
41469,dartmouth,- (-),,,,,,,
41347,DragomirManoleasaSandu_FII_UAIC,- (-),,,,,,,
41329,rematchka,- (-),,,,,,,
41246,robvanderg,- (-),,,,,,,
41240,muizather,- (-),,,,,,,
41196,lizefeng,- (-),,,,,,,
41016,premjithb,- (-),,,,,,,
40886,tanuj22,- (-),,,,,,,
40864,jthomson,- (-),,,,,,,
40705,Abdelkader,- (-),,,,,,,
40330,JoseAGD,- (-),,,,,,,
40157,pabloi2c,- (-),,,,,,,
39914,stce,- (-),,,,,,,
37770,bilalghanem,- (-),,,,,,,
36813,xuyt3,- (-),,,,,,,
36808,SPDB,- (-),,,,,,,
36451,Olha_Kaminska,- (-),,,,,,,
submission_pk,User,b'Accuracy',b'F-Score'
42447,hudou,- (-),,
42404,niksss,- (-),,
42372,guillotine,- (-),,
42340,ragingmartyr,- (-),,
42322,iliketurtles,- (-),,
42309,ShubhamKumarNigam,- (-),,
42279,Yaakov,- (-),,
42278,Ilan,- (-),,
42275,Matan,- (-),,
42263,fdabek,- (-),,
42219,saroyehun,- (-),,
42214,Pat275,- (-),,
42187,mayukh,- (-),,
42177,JumanaKhrais,- (-),,
42162,maryam.najafi,- (-),,
42142,cnxupupup,- (-),,
42129,hamed,- (-),,
42113,UTNLP,- (-),,
42095,oseibrefo,- (-),,
41987,abhayshukla9,- (-),,
41869,abdessamad_benlahbib,- (-),,
41836,VanditaGrover,- (-),,
41834,leon14138,- (-),,
41773,zkchen1998,- (-),,
41751,Ramdhanush,- (-),,
41701,emma,- (-),,
41469,dartmouth,- (-),,
41347,DragomirManoleasaSandu_FII_UAIC,- (-),,
41329,rematchka,- (-),,
41246,robvanderg,- (-),,
41240,muizather,- (-),,
41196,lizefeng,- (-),,
41016,premjithb,- (-),,
40886,tanuj22,- (-),,
40864,jthomson,- (-),,
40705,Abdelkader,- (-),,
40330,JoseAGD,- (-),,
40157,pabloi2c,- (-),,
39914,stce,- (-),,
37770,bilalghanem,- (-),,
36813,xuyt3,- (-),,
36808,SPDB,- (-),,
36451,Olha_Kaminska,- (-),,
submission_pk,User,b'Accuracy',b'F-Score'
42447,hudou,- (-),,
42404,niksss,- (-),,
42372,guillotine,- (-),,
42340,ragingmartyr,- (-),,
42322,iliketurtles,- (-),,
42309,ShubhamKumarNigam,- (-),,
42279,Yaakov,- (-),,
42278,Ilan,- (-),,
42275,Matan,- (-),,
42263,fdabek,- (-),,
42219,saroyehun,- (-),,
42214,Pat275,- (-),,
42187,mayukh,- (-),,
42177,JumanaKhrais,- (-),,
42162,maryam.najafi,- (-),,
42142,cnxupupup,- (-),,
42129,hamed,- (-),,
42113,UTNLP,- (-),,
42095,oseibrefo,- (-),,
41987,abhayshukla9,- (-),,
41869,abdessamad_benlahbib,- (-),,
41836,VanditaGrover,- (-),,
41834,leon14138,- (-),,
41773,zkchen1998,- (-),,
41751,Ramdhanush,- (-),,
41701,emma,- (-),,
41469,dartmouth,- (-),,
41347,DragomirManoleasaSandu_FII_UAIC,- (-),,
41329,rematchka,- (-),,
41246,robvanderg,- (-),,
41240,muizather,- (-),,
41196,lizefeng,- (-),,
41016,premjithb,- (-),,
40886,tanuj22,- (-),,
40864,jthomson,- (-),,
40705,Abdelkader,- (-),,
40330,JoseAGD,- (-),,
40157,pabloi2c,- (-),,
39914,stce,- (-),,
37770,bilalghanem,- (-),,
36813,xuyt3,- (-),,
36808,SPDB,- (-),,
36451,Olha_Kaminska,- (-),,
