submission_pk,User,b'c5',b'c5',b'c5',b'c5',b'c5',b'c5',b'c5',b'c40',b'c40',b'c40',b'c40',b'c40',b'c40',b'c40'
405292,zhangys,0.84 (9),0.68 (15),0.53 (21),0.40 (26),1.32 (28),0.29 (32),0.60 (24),0.97 (11),0.91 (24),0.83 (27),0.72 (30),1.34 (28),0.39 (36),0.74 (28),
263559,confirm,0.83 (12),0.69 (12),0.54 (12),0.42 (11),1.40 (10),0.31 (5),0.61 (9),0.97 (12),0.93 (10),0.86 (10),0.76 (10),1.43 (10),0.41 (5),0.78 (6),
381505,weimingboya,0.83 (11),0.69 (10),0.55 (10),0.42 (10),1.37 (12),0.30 (15),0.61 (10),0.97 (13),0.93 (12),0.85 (12),0.75 (12),1.39 (12),0.40 (12),0.77 (10),
377603,test_kiwi,0.83 (15),0.68 (14),0.53 (14),0.41 (13),1.35 (14),0.30 (14),0.60 (14),0.97 (14),0.92 (13),0.85 (13),0.75 (13),1.38 (14),0.40 (13),0.76 (14),
489754,JayLi,0.83 (17),0.67 (21),0.53 (22),0.40 (25),1.34 (17),0.30 (20),0.60 (27),0.97 (15),0.92 (17),0.84 (19),0.74 (20),1.38 (15),0.39 (19),0.75 (24),
316164,noonisy,0.83 (18),0.68 (17),0.53 (17),0.41 (19),1.34 (19),0.30 (27),0.60 (22),0.97 (16),0.92 (14),0.84 (14),0.74 (15),1.36 (22),0.39 (24),0.75 (22),
374580,DSNT,0.83 (19),0.68 (18),0.53 (16),0.41 (16),1.33 (22),0.30 (25),0.60 (18),0.97 (17),0.92 (15),0.84 (15),0.74 (14),1.36 (23),0.39 (21),0.75 (19),
224494,wangxiuxian,0.82 (23),0.67 (23),0.52 (24),0.40 (24),1.36 (13),0.30 (18),0.60 (25),0.97 (18),0.92 (20),0.83 (22),0.73 (23),1.39 (13),0.39 (22),0.74 (29),
264048,wsr,0.83 (16),0.67 (24),0.52 (23),0.40 (23),1.34 (21),0.30 (26),0.60 (26),0.97 (19),0.92 (21),0.84 (21),0.74 (21),1.37 (19),0.39 (25),0.75 (25),
479013,tsukun,0.82 (26),0.67 (26),0.52 (25),0.40 (21),1.34 (20),0.30 (11),0.60 (15),0.97 (20),0.92 (16),0.84 (16),0.74 (17),1.36 (21),0.41 (9),0.76 (11),
493443,GGW,0.82 (20),0.68 (16),0.53 (15),0.41 (15),1.35 (15),0.30 (13),0.60 (17),0.97 (21),0.92 (19),0.84 (18),0.74 (16),1.37 (16),0.40 (14),0.76 (17),
228462,KIDLAB_AliceChang,0.83 (13),0.68 (13),0.54 (13),0.41 (14),1.33 (23),0.30 (17),0.60 (13),0.96 (22),0.92 (18),0.84 (17),0.74 (19),1.37 (18),0.40 (17),0.76 (12),
432126,zchiowal,0.82 (21),0.67 (19),0.53 (18),0.41 (17),1.33 (24),0.30 (21),0.60 (20),0.96 (23),0.91 (23),0.84 (20),0.74 (18),1.35 (24),0.40 (18),0.75 (18),
203383,hyfwyy0604,0.82 (25),0.67 (25),0.52 (26),0.40 (22),1.35 (16),0.30 (16),0.60 (16),0.96 (24),0.91 (22),0.83 (24),0.73 (25),1.37 (17),0.40 (16),0.76 (16),
431530,zchio,0.82 (22),0.67 (20),0.53 (19),0.41 (18),1.33 (25),0.30 (22),0.60 (21),0.96 (25),0.91 (25),0.83 (23),0.74 (22),1.35 (27),0.39 (23),0.75 (20),
400640,pqliao139,0.82 (27),0.67 (28),0.52 (28),0.40 (28),1.32 (27),0.30 (23),0.59 (28),0.96 (26),0.91 (27),0.83 (26),0.73 (26),1.35 (26),0.39 (27),0.74 (31),
258554,zzc,0.82 (28),0.67 (29),0.52 (29),0.40 (29),1.31 (29),0.29 (30),0.59 (29),0.96 (27),0.91 (28),0.83 (28),0.73 (27),1.34 (29),0.39 (31),0.74 (32),
262578,xiaoming555,0.82 (24),0.67 (22),0.53 (20),0.41 (20),1.34 (18),0.30 (24),0.60 (19),0.96 (28),0.91 (26),0.83 (25),0.73 (24),1.36 (20),0.39 (26),0.75 (21),
276955,wzx3387260,0.82 (29),0.66 (30),0.52 (30),0.40 (30),1.29 (36),0.29 (33),0.59 (30),0.96 (29),0.91 (29),0.83 (29),0.72 (28),1.31 (37),0.39 (29),0.75 (26),
206130,Li-Jingdan,0.81 (35),0.66 (35),0.51 (35),0.39 (35),1.28 (37),0.29 (38),0.59 (36),0.96 (30),0.91 (32),0.82 (32),0.72 (32),1.32 (36),0.38 (39),0.74 (38),
258438,YH,0.81 (32),0.66 (32),0.51 (33),0.39 (33),1.30 (33),0.29 (35),0.59 (35),0.96 (31),0.91 (31),0.82 (31),0.72 (31),1.32 (35),0.39 (35),0.74 (36),
368201,awen,0.82 (30),0.67 (27),0.52 (27),0.40 (27),1.33 (26),0.30 (19),0.60 (23),0.96 (32),0.91 (30),0.82 (30),0.72 (29),1.35 (25),0.39 (20),0.75 (23),
257585,tangdong,0.81 (33),0.66 (33),0.52 (32),0.39 (31),1.30 (32),0.29 (34),0.59 (33),0.96 (33),0.90 (33),0.82 (33),0.71 (33),1.32 (33),0.39 (32),0.74 (30),
228360,ACF,0.81 (34),0.66 (34),0.51 (34),0.39 (34),1.30 (34),0.29 (29),0.59 (31),0.96 (34),0.90 (34),0.82 (34),0.71 (34),1.32 (32),0.39 (28),0.74 (27),
353086,wangzihua,0.81 (38),0.65 (36),0.51 (36),0.39 (36),1.31 (31),0.30 (28),0.59 (34),0.96 (35),0.90 (36),0.81 (38),0.70 (39),1.34 (30),0.39 (30),0.74 (33),
397639,zhu_ruri,0.81 (37),0.65 (37),0.51 (37),0.39 (37),1.29 (35),0.29 (36),0.59 (38),0.96 (36),0.90 (37),0.81 (35),0.71 (35),1.32 (34),0.39 (37),0.74 (40),
398253,pqliao-hjf,0.81 (36),0.65 (38),0.51 (38),0.39 (38),1.28 (38),0.29 (37),0.58 (39),0.95 (37),0.90 (38),0.81 (37),0.71 (36),1.31 (38),0.38 (38),0.74 (39),
353281,mingzitainanqu,0.82 (31),0.66 (31),0.52 (31),0.39 (32),1.31 (30),0.29 (31),0.59 (32),0.95 (38),0.90 (35),0.81 (36),0.71 (37),1.33 (31),0.39 (34),0.74 (34),
486957,limjianhan,0.80 (41),0.65 (40),0.50 (40),0.38 (41),1.26 (39),0.29 (41),0.58 (41),0.95 (39),0.90 (39),0.81 (39),0.71 (38),1.28 (39),0.38 (41),0.73 (42),
353039,wzx3387260123,0.81 (40),0.65 (41),0.50 (41),0.38 (42),1.24 (41),0.29 (42),0.58 (42),0.95 (40),0.89 (40),0.80 (41),0.70 (41),1.27 (41),0.38 (42),0.73 (41),
296616,caption,0.79 (42),0.63 (42),0.49 (42),0.38 (40),1.21 (42),0.29 (39),0.58 (40),0.95 (41),0.89 (42),0.80 (42),0.70 (42),1.22 (42),0.39 (33),0.74 (35),
464723,wqz3,0.81 (39),0.65 (39),0.51 (39),0.39 (39),1.25 (40),0.29 (40),0.59 (37),0.95 (42),0.89 (41),0.81 (40),0.70 (40),1.28 (40),0.38 (40),0.74 (37),
262953,pokemon-master,0.78 (43),0.62 (43),0.47 (43),0.35 (43),1.16 (43),0.27 (44),0.56 (43),0.94 (43),0.87 (43),0.76 (43),0.64 (43),1.19 (43),0.35 (44),0.71 (44),
493371,ws6125,0.75 (44),0.59 (44),0.45 (44),0.33 (44),1.08 (44),0.27 (43),0.56 (44),0.92 (44),0.84 (44),0.74 (44),0.63 (44),1.10 (44),0.37 (43),0.71 (43),
281146,Daydreamer,0.72 (46),0.55 (46),0.42 (45),0.32 (45),0.97 (46),0.26 (46),0.54 (45),0.91 (45),0.82 (45),0.71 (45),0.61 (45),0.97 (46),0.35 (46),0.69 (45),
263469,coda_dongji,0.74 (45),0.56 (45),0.41 (46),0.30 (47),0.99 (45),0.24 (48),0.53 (47),0.90 (46),0.81 (46),0.69 (47),0.57 (47),1.03 (45),0.32 (48),0.67 (47),
432880,c-juhwan,0.72 (47),0.54 (47),0.41 (47),0.31 (46),0.97 (47),0.26 (45),0.53 (46),0.90 (47),0.81 (47),0.70 (46),0.59 (46),0.96 (48),0.35 (45),0.69 (46),
225347,jewega6474,0.71 (48),0.53 (48),0.39 (48),0.29 (48),0.93 (48),0.25 (47),0.53 (48),0.89 (48),0.79 (48),0.67 (48),0.56 (48),0.96 (47),0.34 (47),0.67 (48),
261702,superloser,0.71 (49),0.53 (49),0.38 (49),0.27 (49),0.85 (49),0.24 (49),0.51 (49),0.88 (49),0.78 (49),0.65 (49),0.53 (49),0.88 (49),0.31 (49),0.65 (49),
264617,rabbity,0.65 (50),0.47 (51),0.32 (51),0.23 (51),0.74 (50),0.22 (50),0.48 (51),0.84 (50),0.71 (51),0.58 (51),0.46 (51),0.77 (50),0.30 (50),0.61 (51),
279978,guoruibo,0.65 (51),0.47 (50),0.33 (50),0.23 (50),0.71 (51),0.22 (51),0.48 (50),0.84 (51),0.72 (50),0.58 (50),0.46 (50),0.74 (51),0.29 (51),0.62 (50),
263600,shriya22,0.65 (52),0.46 (52),0.32 (52),0.22 (52),0.67 (52),0.21 (52),0.47 (52),0.83 (52),0.70 (52),0.57 (52),0.45 (52),0.69 (52),0.28 (52),0.60 (52),
