submission_pk,User,b'EvaluationScore',b'MeanReconError',b'MeanCompressedSize (x10)',b'CodebookSize (x10^6)'
259057,AngQiXuan,20.39 (77),8.39 (81),10.00 (34),2.88 (47),
207779,Yoyoyo,20.41 (78),0.41 (19),16.00 (45),4.64 (60),
286386,Vito,20.50 (79),2.10 (45),14.40 (42),4.20 (57),
203262,twdent,20.54 (80),4.34 (61),15.20 (44),1.11 (26),
202224,Thiemo,20.57 (81),0.57 (22),16.00 (45),4.42 (59),
194494,dmuehlema,20.79 (82),12.79 (103),8.00 (31),0.79 (20),
221797,robycalzone,20.88 (83),4.28 (60),13.60 (41),3.98 (55),
224934,ekracik,21.06 (84),1.06 (36),16.00 (45),4.64 (60),
221839,lehnpa,21.28 (85),6.28 (70),12.00 (39),3.54 (51),
198070,gustafzach,21.36 (86),15.36 (114),4.00 (17),2.32 (43),
207896,natanael_hirzel,21.84 (87),1.84 (43),16.00 (45),4.64 (60),
274753,KVr,22.07 (88),10.27 (89),10.80 (36),1.05 (25),
277625,sastocke,22.15 (89),2.15 (46),16.00 (45),4.64 (60),
276867,Dyslit,22.15 (89),2.15 (46),16.00 (45),4.64 (60),
275153,Yuan_XU,22.42 (90),19.62 (126),1.80 (7),1.05 (25),
202141,etueschenboe,22.79 (91),5.79 (68),16.00 (45),1.62 (33),
221023,Francesco_Casucci,22.80 (92),6.20 (69),13.60 (41),3.98 (55),
301308,rancoder,23.17 (93),7.17 (77),12.00 (39),4.94 (61),
201741,likexi,23.37 (94),3.17 (51),19.20 (48),1.88 (39),
198124,tshpakov,23.62 (95),6.62 (71),8.00 (31),9.07 (64),
203239,aubingazhibo,24.31 (96),11.11 (93),10.20 (35),3.98 (55),
195793,zaBuka,24.34 (97),19.54 (125),0.80 (3),4.20 (57),
251145,matvogel,24.48 (98),18.48 (123),6.00 (25),0.61 (16),
226386,jaristegui,24.50 (99),22.10 (135),2.40 (9),0.72 (18),
202351,cyrknech,24.65 (100),10.05 (87),13.60 (41),1.33 (28),
218577,diegomachain,24.73 (101),9.33 (83),11.40 (38),4.42 (58),
197141,severinf,24.89 (102),20.29 (128),3.60 (14),1.05 (25),
222741,cdurrer_,25.22 (103),0.22 (7),20.00 (49),5.75 (63),
261717,doerk,25.55 (104),25.33 (148),0.22 (2),0.01 (4),
201411,omr100,25.70 (105),20.50 (131),4.20 (18),1.77 (36),
201660,luiten,25.84 (106),10.04 (86),12.80 (40),3.76 (53),
199847,lijzou,26.17 (107),1.17 (37),20.00 (49),5.75 (63),
221936,cmerk,26.30 (108),11.30 (95),12.00 (39),3.54 (51),
197026,simmlert,26.32 (109),20.32 (130),5.00 (22),1.41 (30),
202051,henzerf,26.66 (110),11.66 (97),12.00 (39),3.54 (51),
215934,kmosle,26.77 (111),9.77 (85),16.00 (45),1.62 (33),
278306,domimueller,26.89 (112),6.89 (74),16.00 (45),4.64 (60),
198714,ecorey,26.94 (113),17.94 (120),9.00 (32),0.33 (8),
215856,dennisv,27.10 (114),9.70 (84),14.40 (42),3.98 (56),
203018,tobiaste,27.20 (115),3.60 (57),21.60 (50),2.21 (42),
217693,yolo,27.49 (116),22.99 (137),4.50 (19),0.88 (21),
202294,ashenoi,27.95 (117),10.95 (91),16.00 (45),1.62 (33),
201463,bardhd,28.05 (118),8.05 (80),16.00 (45),4.64 (60),
207654,wueestry,28.09 (119),11.49 (96),13.60 (41),3.98 (55),
215221,Yulomja,28.36 (120),14.76 (110),13.60 (41),0.33 (9),
211602,bagbelese,28.54 (121),11.94 (98),13.60 (41),3.98 (55),
278114,user_123,28.84 (122),26.84 (178),2.00 (8),0.61 (16),
302902,fabmuel,29.09 (123),20.09 (127),6.00 (25),3.54 (51),
262966,Gronaldo,29.19 (124),25.79 (164),3.40 (13),1.00 (23),
210007,rosieber,29.19 (125),16.19 (118),12.00 (39),1.16 (27),
201753,Tobias,29.39 (126),15.19 (113),11.20 (37),3.32 (50),
274921,efunke,29.41 (127),26.01 (174),3.40 (13),1.00 (23),
262670,_esplanade,29.78 (128),12.78 (102),16.00 (45),1.16 (27),
228924,pafloria,29.90 (129),20.30 (129),7.60 (30),2.21 (42),
304666,jfricke,29.94 (130),10.94 (90),18.00 (47),1.71 (35),
267686,sarp,30.10 (131),24.10 (141),6.00 (25),0.61 (16),
216749,marcmi,30.14 (132),13.14 (107),16.00 (45),1.51 (32),
221816,Koala99,30.17 (133),25.57 (151),3.60 (14),1.05 (25),
221767,Anunay,30.17 (134),25.57 (152),3.60 (14),1.05 (25),
264220,dellalia,30.21 (135),25.61 (162),3.60 (14),1.05 (25),
304641,Tous_gigi_tous_rourou,30.37 (136),25.57 (154),3.80 (15),1.11 (26),
215076,Ssirya,30.40 (137),25.80 (165),3.60 (14),1.05 (25),
201631,simschla,30.40 (138),25.80 (166),3.60 (14),1.05 (25),
213053,spaetee,30.40 (139),25.80 (169),3.60 (14),1.05 (25),
221996,taners,30.41 (140),25.61 (161),3.80 (15),1.11 (26),
208620,wuxiny,30.51 (141),15.91 (116),13.60 (41),1.99 (40),
291896,baltani,30.57 (142),25.57 (153),4.00 (17),1.16 (27),
267852,kehpan,30.57 (142),25.57 (153),4.00 (17),1.16 (27),
262369,cehmke,30.57 (142),25.57 (153),4.00 (17),1.16 (27),
207612,med,30.57 (142),25.57 (153),4.00 (17),1.16 (27),
221831,rorobe,30.57 (143),25.57 (155),4.00 (17),1.16 (27),
215074,lian,30.57 (143),25.57 (155),4.00 (17),1.16 (27),
248874,bergar,30.60 (144),25.80 (167),3.80 (15),1.11 (26),
207825,ecetin,30.71 (145),27.31 (180),3.40 (13),1.00 (23),
304580,flacommare,30.77 (146),27.57 (185),3.20 (12),0.94 (22),
302840,annakiep,30.77 (146),27.57 (185),3.20 (12),0.94 (22),
220200,mcummins,30.77 (146),27.57 (185),3.20 (12),0.94 (22),
205527,martinjo,30.80 (147),25.80 (168),4.00 (17),1.16 (27),
201619,liangx,31.05 (148),2.65 (50),26.40 (52),2.65 (45),
210524,wensizhang,31.17 (149),25.57 (156),4.60 (20),1.33 (28),
271408,fe,31.40 (150),28.40 (190),3.00 (11),0.88 (21),
225057,dennisag,31.40 (150),28.40 (190),3.00 (11),0.88 (21),
215040,oliverbr,31.40 (150),28.40 (190),3.00 (11),0.88 (21),
201702,mi_pana_disecado,31.40 (151),28.40 (191),3.00 (11),0.88 (21),
255342,mdecke,31.40 (152),28.40 (192),3.00 (11),0.88 (21),
202860,iliadisa,31.43 (153),16.03 (117),14.40 (42),1.40 (29),
197921,appiusa,31.44 (154),12.84 (105),17.60 (46),1.84 (38),
272878,Max313,31.45 (155),25.85 (173),3.60 (14),2.10 (41),
198133,azuerrer,31.50 (156),24.10 (142),5.40 (24),2.10 (41),
200503,isalee,31.54 (157),22.54 (136),9.00 (32),0.88 (21),
199828,tonglu,31.58 (158),21.98 (134),7.60 (30),2.66 (46),
302572,kumarab,31.67 (159),28.67 (194),3.00 (11),0.88 (21),
214506,mskogli,31.78 (160),15.18 (112),13.60 (41),3.98 (55),
211664,traceelement,31.79 (161),27.59 (186),3.20 (12),1.88 (39),
220822,mglasder,31.96 (162),28.96 (195),3.00 (11),0.44 (11),
226391,jbagajo,31.99 (163),25.59 (157),3.40 (13),3.98 (55),
209729,andilic,32.06 (164),12.86 (106),19.20 (48),1.00 (24),
278442,lspecht,32.21 (165),7.21 (78),20.00 (49),5.53 (62),
301849,ruchen,32.72 (166),28.12 (188),3.60 (14),1.05 (25),
197075,jmatt,32.84 (167),25.84 (172),5.00 (22),2.88 (47),
192224,lpet,32.85 (168),20.85 (132),9.00 (32),3.54 (51),
208691,Arno,32.89 (169),23.69 (139),7.20 (29),2.88 (47),
208663,jbuerge,32.90 (170),18.10 (121),10.80 (36),4.20 (57),
197372,liblaser,33.12 (171),18.12 (122),12.00 (39),3.54 (51),
255101,flaviosc,33.20 (172),16.60 (119),13.60 (41),3.98 (55),
221810,gcuccorese,33.21 (173),25.61 (158),3.60 (14),4.20 (57),
221808,epalma,33.41 (174),25.61 (160),3.80 (15),4.42 (58),
301560,cl,33.51 (175),24.31 (144),7.20 (29),2.88 (47),
222013,cdeceuninck,33.55 (176),27.35 (181),3.20 (12),3.76 (53),
224220,vbrevig,33.65 (177),27.65 (187),6.00 (25),0.61 (16),
303617,yeehan,33.78 (178),28.38 (189),5.40 (24),0.55 (14),
229908,dstrassmann,33.81 (179),27.41 (183),3.40 (13),3.98 (56),
248046,scanico,33.84 (180),25.84 (171),4.00 (17),4.64 (60),
221991,gloorli,33.85 (181),26.05 (175),3.80 (15),4.42 (58),
197302,rjelitto,33.88 (182),23.68 (138),10.20 (35),1.00 (23),
233411,pp,34.00 (183),13.80 (108),19.20 (48),1.99 (40),
212875,greinema,34.03 (184),25.83 (170),7.20 (29),1.05 (25),
208238,sa_li,34.05 (185),26.05 (176),4.00 (17),4.64 (60),
207950,meryan,34.05 (185),26.05 (176),4.00 (17),4.64 (60),
227283,Blossomer,34.09 (186),23.89 (140),10.20 (35),1.00 (23),
303644,vwolfer,34.21 (187),25.21 (146),9.00 (32),0.88 (21),
271915,mflong,34.30 (188),26.70 (177),6.60 (27),1.33 (28),
201114,roberson,34.38 (189),21.18 (133),10.20 (35),3.98 (55),
220209,scalinda,34.42 (190),25.42 (149),9.00 (32),0.88 (21),
205571,rcasamitjana,34.43 (191),25.43 (150),9.00 (32),0.88 (21),
198791,esfalameh01,34.44 (192),24.84 (145),9.60 (33),0.94 (22),
223288,nargran,34.45 (193),28.45 (193),3.00 (11),3.54 (52),
251174,ullip,34.48 (194),26.98 (179),4.50 (19),3.54 (51),
197842,jinluo,34.50 (195),27.50 (184),4.00 (17),3.02 (48),
253586,heerdam,34.65 (196),25.65 (163),9.00 (32),0.88 (21),
256215,hlothar,34.80 (197),27.40 (182),6.40 (26),1.88 (39),
217819,Laura,34.81 (198),25.61 (159),7.20 (29),2.10 (41),
302537,zhatang,34.89 (199),25.29 (147),9.60 (33),0.94 (22),
199793,Anthony_Eid,34.91 (200),24.11 (143),10.80 (36),1.00 (23),
193337,IACV_BASELINE,35.00 (201),1.40 (38),7.60 (30),26.78 (66),
304751,Aron,55.83 (202),29.83 (196),24.00 (51),2.43 (44),
190032,brunnerg,2809.19 (203),44.39 (197),2764.80 (53),0.00 (1),
