submission_pk,User,b'Mean joint error (procrustes alignment)',b'Mean joint error (scale and trans alignment)',b'Mean joint AUC (procrustes alignment)',b'Mean joint AUC (scale and trans alignment)',b'Mesh error (procrustes alignment)',b'Mesh error AUC (procrustes alignment)',b'F-score@5mm (procrustes alignment)',b'F-score@15mm (procrustes alignment)'
305951,ziania,3.73 (29),0.370 (29),3.60 (26),0.384 (25),0.174 (24),0.577 (24),
97108,batofgo,4.59 (30),0.331 (30),4.44 (27),0.341 (26),0.164 (25),0.541 (25),
96971,gohar1328,5.31 (31),0.246 (31),5.25 (28),0.251 (27),0.129 (26),0.471 (26),
158128,dncfjy2013,5.52 (32),0.202 (32),5.51 (29),0.202 (29),0.106 (27),0.404 (27),
223752,hoseong,7.09 (33),0.103 (34),57.12 (38),0.000 (35),0.000 (35),0.000 (35),
493792,ddd1029,7.31 (34),0.198 (33),7.02 (30),0.203 (28),0.096 (28),0.365 (28),
208830,hsjk,9.17 (35),0.090 (35),107.30 (42),0.000 (35),0.000 (35),0.000 (35),
400534,merlinzfy,9.44 (36),0.037 (38),9.58 (31),0.037 (31),0.066 (30),0.329 (30),
483026,werty,10.75 (37),0.059 (37),11.08 (33),0.026 (32),0.082 (29),0.354 (29),
428766,Maskros,11.35 (38),0.070 (36),10.99 (32),0.061 (30),0.028 (31),0.192 (31),
404453,seoul,20.26 (39),0.006 (39),20.59 (34),0.006 (33),0.008 (32),0.037 (32),
101455,zijinxuxu,38.42 (40),0.000 (40),38.48 (35),0.000 (34),0.000 (33),0.001 (34),
151209,HUnique,54.39 (41),0.000 (41),54.84 (37),0.000 (35),0.000 (35),0.000 (35),
239019,NickNick2,60.73 (42),0.000 (41),60.72 (39),0.000 (35),0.000 (35),0.000 (35),
229474,hellolin,60.73 (43),0.000 (41),60.75 (40),0.000 (35),0.000 (35),0.000 (35),
95147,bullet,60.89 (44),0.000 (41),57.12 (38),0.000 (35),0.000 (35),0.000 (35),
166542,ETH,60.89 (45),0.000 (41),57.12 (38),0.000 (35),0.000 (35),0.000 (35),
397447,meecooo,61.14 (46),0.000 (41),57.12 (38),0.000 (35),0.000 (35),0.000 (35),
460964,alicezrzhao,61.17 (47),0.000 (41),54.66 (36),0.000 (35),0.000 (35),0.000 (35),
