submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'Parameters',b'Extra Data [1] / No Extra Data [0]'
360223,liuxin2,29.00 (15),0.83 (15),0.02 (4),306764.00 (29),1.00 (1),
360233,lxp0_0,29.00 (18),0.83 (29),0.04 (15),433448.00 (34),1.00 (1),
359890,Jinchen.Z,29.01 (8),0.83 (9),0.08 (25),115248.00 (7),1.00 (1),
359404,lsq510,28.87 (45),0.83 (45),0.02 (6),237920.00 (20),1.00 (1),
355822,TianleLiu,29.00 (11),0.83 (7),0.05 (16),178736.00 (14),1.00 (1),
351250,lqr,26.73 (56),0.76 (56),0.88 (38),402000.00 (33),1.00 (1),
351196,yhy_gogo,29.14 (2),0.83 (2),1.33 (39),1019000.00 (39),1.00 (1),
350592,Pan,28.95 (37),0.83 (41),0.00 (2),586472.00 (38),1.00 (1),
349907,yl12345,28.91 (43),0.83 (43),0.04 (15),433448.00 (34),1.00 (1),
344872,super_zys,19.44 (59),0.43 (59),0.03 (13),175600.00 (12),1.00 (1),
337370,shabirahmad,28.42 (52),0.82 (52),0.01 (3),161000.00 (10),1.00 (1),
331208,dalang,28.83 (48),0.83 (48),0.06 (19),241300.00 (21),1.00 (1),
326503,shigg,22.13 (58),0.69 (57),0.04 (15),433448.00 (34),1.00 (1),
322993,ofsoundof,29.04 (4),0.83 (4),0.04 (15),433448.00 (34),1.00 (1),
371067,MotaLee,28.98 (30),0.83 (19),0.07 (23),3426000.00 (41),0.00 (2),
368640,Alex_Huang,29.00 (17),0.83 (16),0.04 (15),433448.00 (34),0.00 (2),
365641,MahouShoujo,29.43 (1),0.84 (1),10.00 (40),0.00 (2),0.00 (2),
365286,Jayadeep.D,27.15 (54),0.78 (54),0.02 (7),19028.00 (4),0.00 (2),
362356,ChargeQQCoin,28.98 (28),0.83 (20),0.74 (37),77372000.00 (42),0.00 (2),
362354,zhengmingjun,28.95 (40),0.83 (37),0.05 (17),175883.00 (13),0.00 (2),
362084,Nerti,29.04 (5),0.83 (10),0.28 (34),540142.00 (37),0.00 (2),
359826,garasgaras,28.84 (46),0.83 (46),0.06 (21),256000.00 (25),0.00 (2),
353499,rishabh_rj11,25.96 (57),0.69 (58),0.09 (27),433448.00 (34),0.00 (2),
350469,zhongbao97,28.94 (42),0.83 (36),10.43 (41),0.00 (2),0.00 (2),
325816,zhouzhou,28.83 (47),0.83 (47),0.04 (15),220914.00 (19),0.00 (2),
361845,Layer,28.98 (29),0.83 (24),-1.00 (1),-1.00 (1),-1.00 (3),
360871,SreeRamaVamsidharS,26.83 (55),0.77 (55),0.02 (7),-1.00 (1),-1.00 (3),
360673,min_gao,29.09 (3),0.83 (3),-1.00 (1),-1.00 (1),-1.00 (3),
332153,Una,28.99 (26),0.83 (31),-1.00 (1),-1.00 (1),-1.00 (3),
