submission_pk,User,b'mAP',b'mAP_S',b'AP50_S',b'AP75_S',b'AR1_S',b'AR10_S',b'mAP_L',b'AP50_L',b'AP75_L',b'AR1_L',b'AR10_L'
461353,DeshuiMiao,0.487 (13),0.568 (11),0.787 (12),0.617 (13),0.474 (9),0.621 (12),0.406 (17),0.618 (21),0.434 (15),0.361 (11),0.440 (20),
300602,zhangtao-whu,0.486 (14),0.587 (10),0.804 (9),0.666 (8),0.475 (8),0.646 (5),0.386 (19),0.558 (32),0.425 (17),0.333 (22),0.428 (22),
120243,visioneve,0.473 (15),0.604 (5),0.823 (6),0.676 (5),0.475 (7),0.642 (9),0.342 (29),0.591 (26),0.337 (32),0.284 (34),0.398 (27),
105535,lyxok1,0.471 (16),0.528 (18),0.764 (20),0.584 (17),0.451 (18),0.599 (18),0.414 (14),0.645 (15),0.447 (11),0.369 (10),0.449 (18),
135244,NingYuanxiang,0.462 (17),0.517 (22),0.753 (22),0.558 (21),0.448 (20),0.583 (23),0.406 (16),0.666 (9),0.406 (19),0.383 (8),0.445 (19),
116798,M2F,0.458 (18),0.563 (13),0.797 (11),0.620 (12),0.464 (13),0.612 (14),0.353 (24),0.554 (33),0.406 (20),0.349 (16),0.398 (29),
224696,sjhwang,0.440 (19),0.548 (15),0.772 (15),0.603 (15),0.452 (17),0.603 (17),0.331 (33),0.548 (34),0.337 (33),0.295 (33),0.366 (35),
188682,happyresearch,0.437 (20),0.525 (20),0.772 (16),0.553 (23),0.446 (22),0.596 (20),0.350 (25),0.591 (25),0.347 (30),0.320 (27),0.398 (28),
77510,adamqian,0.434 (21),0.525 (19),0.766 (18),0.572 (20),0.447 (21),0.592 (21),0.343 (28),0.573 (30),0.360 (26),0.317 (28),0.409 (25),
394046,miranheo,0.418 (22),0.456 (30),0.647 (34),0.503 (28),0.407 (27),0.537 (28),0.380 (20),0.584 (28),0.479 (7),0.337 (21),0.421 (23),
356254,YINGKAINING_1,0.418 (23),0.473 (24),0.709 (24),0.531 (24),0.405 (29),0.551 (25),0.363 (22),0.631 (18),0.363 (25),0.323 (26),0.449 (17),
350195,otheraccount3,0.417 (24),0.462 (26),0.706 (25),0.509 (25),0.397 (34),0.537 (29),0.372 (21),0.663 (12),0.376 (24),0.315 (29),0.463 (15),
177101,JaehyunKang,0.406 (25),0.466 (25),0.702 (26),0.505 (27),0.400 (32),0.546 (26),0.345 (27),0.586 (27),0.359 (27),0.303 (30),0.407 (26),
81467,zljia,0.405 (26),0.449 (31),0.651 (32),0.489 (31),0.416 (24),0.565 (24),0.360 (23),0.594 (24),0.384 (23),0.354 (14),0.438 (21),
384596,fanghaook,0.397 (27),0.448 (32),0.674 (27),0.460 (34),0.416 (25),0.523 (33),0.346 (26),0.607 (22),0.391 (21),0.326 (25),0.376 (31),
370850,mahogany,0.397 (28),0.460 (29),0.652 (31),0.502 (29),0.410 (26),0.540 (27),0.334 (32),0.570 (31),0.356 (29),0.296 (32),0.372 (33),
372816,crowaffle,0.394 (29),0.461 (27),0.669 (28),0.496 (30),0.406 (28),0.534 (30),0.326 (35),0.536 (35),0.331 (34),0.278 (37),0.371 (34),
438349,Tanveer81,0.382 (30),0.461 (28),0.648 (33),0.507 (26),0.403 (30),0.528 (31),0.303 (37),0.514 (36),0.323 (35),0.255 (38),0.353 (37),
225827,jhyunaa,0.370 (31),0.431 (34),0.620 (37),0.471 (32),0.396 (35),0.512 (36),0.309 (36),0.491 (38),0.358 (28),0.281 (35),0.339 (38),
455121,lllllllllllllll,0.354 (32),0.407 (37),0.628 (35),0.424 (38),0.359 (38),0.486 (38),0.302 (38),0.502 (37),0.315 (36),0.281 (36),0.361 (36),
455665,NanNan,0.319 (33),0.399 (38),0.624 (36),0.426 (37),0.355 (39),0.479 (39),0.240 (39),0.477 (39),0.215 (39),0.227 (39),0.296 (39),
178936,lipengxiang,0.262 (34),0.523 (21),0.769 (17),0.577 (19),0.448 (19),0.597 (19),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
225312,AA250250,0.252 (35),0.505 (23),0.732 (23),0.556 (22),0.425 (23),0.588 (22),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
168026,bphengyan,0.238 (36),0.297 (40),0.497 (40),0.323 (40),0.290 (40),0.369 (40),0.179 (40),0.377 (40),0.091 (40),0.188 (40),0.242 (40),
166678,hyeonminkim,0.238 (36),0.297 (40),0.497 (40),0.323 (40),0.290 (40),0.369 (40),0.179 (40),0.377 (40),0.091 (40),0.188 (40),0.242 (40),
80610,HyeongchanHam,0.238 (36),0.297 (40),0.497 (40),0.323 (40),0.290 (40),0.369 (40),0.179 (40),0.377 (40),0.091 (40),0.188 (40),0.242 (40),
73844,yfan,0.238 (36),0.297 (40),0.497 (40),0.323 (40),0.290 (40),0.369 (40),0.179 (40),0.377 (40),0.091 (40),0.188 (40),0.242 (40),
180939,KL,0.222 (37),0.000 (54),0.000 (54),0.000 (51),0.000 (51),0.000 (52),0.445 (7),0.692 (4),0.430 (16),0.355 (13),0.498 (6),
337014,HarborY,0.221 (38),0.441 (33),0.669 (29),0.469 (33),0.400 (31),0.513 (35),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
159435,garvinxxx,0.214 (39),0.427 (35),0.652 (30),0.458 (35),0.398 (33),0.517 (34),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
183131,Carl_Huang,0.213 (40),0.000 (54),0.000 (54),0.000 (51),0.000 (51),0.000 (52),0.427 (12),0.628 (20),0.440 (12),0.351 (15),0.458 (16),
297558,jiney,0.204 (41),0.408 (36),0.609 (38),0.444 (36),0.394 (36),0.526 (32),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
237141,ID4,0.202 (42),0.000 (54),0.000 (54),0.000 (51),0.000 (51),0.000 (52),0.405 (18),0.676 (6),0.436 (14),0.348 (17),0.486 (9),
197949,l412198735,0.195 (43),0.390 (39),0.601 (39),0.416 (39),0.380 (37),0.508 (37),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
98456,hessed,0.191 (44),0.295 (41),0.476 (41),0.311 (41),0.254 (41),0.344 (41),0.088 (41),0.169 (41),0.070 (41),0.070 (41),0.123 (41),
349402,otheraccount1,0.170 (45),0.000 (54),0.000 (54),0.000 (51),0.000 (51),0.000 (52),0.341 (30),0.603 (23),0.313 (38),0.326 (24),0.413 (24),
348923,otheraccount2,0.170 (45),0.000 (54),0.000 (54),0.000 (51),0.000 (51),0.000 (52),0.341 (30),0.603 (23),0.313 (38),0.326 (24),0.413 (24),
349394,andreadps,0.168 (46),0.000 (54),0.000 (54),0.000 (51),0.000 (51),0.000 (52),0.336 (31),0.647 (14),0.315 (37),0.297 (31),0.391 (30),
120275,JZ,0.165 (47),0.000 (54),0.000 (54),0.000 (51),0.000 (51),0.000 (52),0.330 (34),0.573 (29),0.341 (31),0.329 (23),0.376 (32),
213137,wanghc,0.077 (48),0.154 (42),0.269 (42),0.153 (42),0.191 (42),0.257 (42),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
237045,hojin.kim,0.033 (49),0.066 (43),0.099 (43),0.065 (43),0.068 (43),0.089 (43),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
120134,Ach,0.008 (50),0.005 (44),0.010 (44),0.006 (44),0.042 (44),0.044 (44),0.011 (42),0.040 (42),0.000 (42),0.015 (42),0.015 (42),
431665,Sandy,0.001 (51),0.002 (45),0.003 (45),0.003 (45),0.006 (45),0.006 (45),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
169375,jf1115,0.000 (52),0.000 (46),0.000 (48),0.000 (46),0.004 (47),0.005 (47),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
182701,chakradar,0.000 (53),0.000 (47),0.000 (49),0.000 (48),0.005 (46),0.006 (46),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
346049,MasterBin-IIAU,0.000 (54),0.000 (48),0.000 (50),0.000 (47),0.003 (48),0.003 (48),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
141513,chansunsong,0.000 (55),0.000 (49),0.000 (46),0.000 (51),0.000 (50),0.000 (50),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
141330,gaseooo,0.000 (56),0.000 (50),0.000 (47),0.000 (51),0.000 (50),0.000 (50),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
205254,whf2022,0.000 (57),0.000 (51),0.000 (51),0.000 (49),0.002 (49),0.002 (49),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
182650,userkkk,0.000 (58),0.000 (52),0.000 (52),0.000 (50),0.002 (49),0.002 (49),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
290175,aylin,0.000 (59),0.000 (53),0.000 (53),0.000 (51),0.000 (51),0.000 (51),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
482812,kimhi,0.000 (60),0.000 (54),0.000 (54),0.000 (51),0.000 (51),0.000 (52),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
190292,shenhz,0.000 (60),0.000 (54),0.000 (54),0.000 (51),0.000 (51),0.000 (52),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
182580,qiqi77,0.000 (60),0.000 (54),0.000 (54),0.000 (51),0.000 (51),0.000 (52),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
176943,asdas,0.000 (60),0.000 (54),0.000 (54),0.000 (51),0.000 (51),0.000 (52),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
169378,wonjulee,0.000 (60),0.000 (54),0.000 (54),0.000 (51),0.000 (51),0.000 (52),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
162333,zhzhzhz,0.000 (60),0.000 (54),0.000 (54),0.000 (51),0.000 (51),0.000 (52),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
161042,phdfar,0.000 (60),0.000 (54),0.000 (54),0.000 (51),0.000 (51),0.000 (52),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
120278,xyg,0.000 (60),0.000 (54),0.000 (54),0.000 (51),0.000 (51),0.000 (52),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
112643,assassin567,0.000 (60),0.000 (54),0.000 (54),0.000 (51),0.000 (51),0.000 (52),0.000 (43),0.000 (43),0.000 (42),0.000 (43),0.000 (43),
