submission_pk,User,Click Log Loss,Improvement vs Naive (%),Degradation vs Oracle (%)
929759,learner,0.245865 (36),24.23 (32),-10.16 (35),
929773,ber2,0.246397 (37),24.06 (33),-10.40 (36),
949091,ritika,0.251862 (38),22.38 (34),-12.85 (37),
929786,ztskyer,0.251927 (39),22.36 (35),-12.88 (38),
929756,MukundS,0.252102 (40),22.30 (36),-12.96 (39),
929766,vadim,0.253295 (41),21.94 (37),-13.49 (40),
929760,demonic,0.254345 (42),21.61 (38),-13.96 (41),
929765,eddie77,0.254830 (43),21.46 (39),-14.18 (42),
950298,testeustache,0.254975 (44),21.42 (40),-14.24 (43),
929779,Shardb,0.254975 (44),21.42 (40),-14.24 (43),
929776,sriramv,0.254975 (44),21.42 (40),-14.24 (43),
929757,boel,0.254975 (44),21.42 (40),-14.24 (43),
929761,HugorHill,0.254976 (45),21.42 (40),-14.24 (43),
931135,mcabinaya,0.254977 (46),21.42 (40),-14.25 (44),
929790,humeilZeo1,0.254977 (46),21.42 (40),-14.25 (44),
929787,BerniceLim,0.254977 (46),21.42 (40),-14.25 (44),
929784,tetelias,0.254977 (46),21.42 (40),-14.25 (44),
929774,david-dobrinskiy,0.254977 (46),21.42 (40),-14.25 (44),
929753,shoelace,0.254977 (46),21.42 (40),-14.25 (44),
950846,amsqr,0.258088 (47),20.46 (41),-15.64 (45),
937251,rallesiardo,0.271392 (48),16.36 (42),-21.60 (46),
936376,manishm,0.289643 (49),10.73 (43),-29.78 (47),
929751,Adnan00,0.317866 (50),2.04 (44),-42.42 (48),
951417,mozart_of_madras,0.817803 (51),-152.04 (45),-266.43 (49),
submission_pk,User,Sales Log Loss,Improvement vs Naive (%),Degradation vs Oracle (%)
950031,fnoob,0.017583 (1),32.23 (1),-2.35 (1),
951629,ramezani,0.018008 (2),30.59 (2),-4.82 (2),
951450,or,0.018074 (3),30.34 (3),-5.21 (3),
949554,mbw1131,0.018119 (4),30.16 (4),-5.47 (4),
951610,ml314,0.018149 (5),30.05 (5),-5.65 (5),
949681,siudej,0.018224 (6),29.76 (6),-6.08 (6),
949237,dratewka,0.018242 (7),29.69 (7),-6.19 (7),
951736,kss,0.018253 (8),29.65 (8),-6.25 (8),
949146,kamile,0.018263 (9),29.61 (9),-6.31 (9),
949192,dvdu,0.018281 (10),29.54 (10),-6.42 (10),
951780,sanzgiri,0.018322 (11),29.38 (11),-6.66 (11),
950022,p_a_arty,0.018418 (12),29.01 (12),-7.21 (12),
937759,mgajek,0.018423 (13),28.99 (13),-7.24 (13),
939456,tEarth,0.018669 (14),28.05 (14),-8.67 (14),
951655,mlhusky,0.019096 (15),26.40 (15),-11.16 (15),
951165,sdadams,0.019123 (16),26.29 (16),-11.32 (16),
941888,mdecock,0.019140 (17),26.23 (17),-11.41 (17),
951346,ColdWheels,0.019872 (18),23.41 (18),-15.68 (18),
950846,amsqr,0.020421 (19),21.29 (19),-18.87 (19),
937251,rallesiardo,0.022001 (20),15.20 (20),-28.07 (20),
949924,steveng,0.029114 (21),-12.21 (21),-69.48 (21),
951097,will_go,0.128972 (22),-397.09 (22),-650.76 (22),
951417,mozart_of_madras,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
950359,zouwuhe,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
950298,testeustache,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
950041,yhdota,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
950020,guruqu,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
949960,rmckenna,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
949091,ritika,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
941285,meliodas,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
936465,lm81,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
936376,manishm,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
935648,ak_iyama,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
934078,knyght,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
931496,sergey_msu,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
931135,mcabinaya,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
931065,darya.gordiyuk,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
930589,RR,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929790,humeilZeo1,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929789,owruby,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929787,BerniceLim,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929786,ztskyer,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929784,tetelias,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929783,timlou,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929779,Shardb,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929777,rookie102,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929774,david-dobrinskiy,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929776,sriramv,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929773,ber2,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929766,vadim,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929767,biz00bask,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929765,eddie77,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929763,aflatoon,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929761,HugorHill,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929757,boel,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929756,MukundS,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929759,learner,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929760,demonic,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929754,ek,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929753,shoelace,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929751,Adnan00,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
929748,krosh17,10000.000000 (23),-38542532.70 (23),-58210714.29 (23),
