submission_pk,User,AUC,MRR,nDCG@5,nDCG@10
1075936,zclfe,0.6934 (60),0.3433 (57),0.3752 (59),0.4322 (59),
1058959,christineC2021,0.6932 (61),0.3419 (64),0.3733 (66),0.4303 (69),
744198,msj,0.6932 (61),0.3432 (58),0.3745 (62),0.4312 (62),
959064,kuailede_cr,0.6931 (62),0.3424 (61),0.3738 (64),0.4309 (64),
914488,wsm_victor,0.6926 (63),0.3441 (54),0.3762 (56),0.4325 (57),
914468,JamesCYL,0.6926 (63),0.3441 (54),0.3762 (56),0.4325 (57),
865701,chenyipu,0.6925 (64),0.3416 (65),0.3731 (68),0.4304 (68),
719779,Ironball,0.6923 (65),0.3440 (55),0.3778 (50),0.4351 (48),
856036,peijie,0.6918 (66),0.3393 (78),0.3708 (78),0.4282 (77),
1025896,zwt,0.6917 (67),0.3415 (66),0.3728 (70),0.4305 (67),
913694,breezedeus,0.6915 (68),0.3409 (70),0.3723 (73),0.4296 (73),
1049825,Zongzhihan,0.6912 (69),0.3421 (63),0.3731 (68),0.4306 (66),
1018718,Tmail,0.6912 (69),0.3425 (60),0.3733 (66),0.4301 (70),
720173,fit4you,0.6910 (70),0.3413 (68),0.3732 (67),0.4307 (65),
1106820,xyqq,0.6904 (71),0.3398 (75),0.3712 (76),0.4285 (75),
1147779,xiaoxiang,0.6903 (72),0.3407 (72),0.3717 (75),0.4288 (74),
912708,QQs,0.6903 (72),0.3419 (64),0.3735 (65),0.4299 (71),
719778,AndreaChao,0.6903 (72),0.3413 (68),0.3727 (71),0.4299 (71),
1035187,destinylu,0.6902 (73),0.3412 (69),0.3730 (69),0.4297 (72),
912876,Bravooo,0.6902 (73),0.3419 (64),0.3735 (65),0.4299 (71),
719769,Ivy,0.6901 (74),0.3414 (67),0.3726 (72),0.4299 (71),
915396,wsm_EasternHarvard,0.6899 (75),0.3385 (80),0.3685 (88),0.4255 (87),
1114817,Wales-Z,0.6897 (76),0.3408 (71),0.3712 (76),0.4283 (76),
778699,Nick1998,0.6897 (76),0.3380 (83),0.3686 (87),0.4258 (84),
1142048,laiping,0.6893 (77),0.3383 (81),0.3687 (86),0.4263 (80),
719867,changebin,0.6888 (78),0.3396 (77),0.3706 (79),0.4273 (79),
767857,saltyfish,0.6886 (79),0.3357 (99),0.3667 (98),0.4239 (98),
914917,Sony,0.6884 (80),0.3382 (82),0.3690 (83),0.4255 (87),
914120,chuyueh,0.6882 (81),0.3398 (75),0.3709 (77),0.4273 (79),
1062345,wzz2579421845,0.6878 (82),0.3386 (79),0.3695 (81),0.4261 (81),
780226,kkq10466,0.6872 (83),0.3359 (97),0.3665 (99),0.4239 (98),
965890,ReleaseWang,0.6867 (84),0.3372 (89),0.3674 (95),0.4248 (91),
678054,yupei,0.6867 (84),0.3404 (74),0.3721 (74),0.4288 (74),
810252,qxe34517,0.6866 (85),0.3344 (107),0.3651 (108),0.4226 (104),
770021,fzy37920,0.6866 (85),0.3357 (99),0.3664 (100),0.4236 (100),
978886,HJS_TJU,0.6865 (86),0.3377 (85),0.3681 (90),0.4252 (89),
763930,alexchiu,0.6864 (87),0.3360 (96),0.3659 (103),0.4234 (102),
1138816,Whonor,0.6863 (88),0.3371 (90),0.3674 (95),0.4245 (93),
719850,Tsar,0.6862 (89),0.3374 (87),0.3676 (93),0.4253 (88),
678107,majinc,0.6862 (89),0.3397 (76),0.3705 (80),0.4274 (78),
781435,Spring_945,0.6861 (90),0.3379 (84),0.3689 (84),0.4256 (86),
763156,NAML,0.6861 (90),0.3377 (85),0.3688 (85),0.4260 (82),
737262,ConnollyLeon,0.6860 (91),0.3363 (94),0.3668 (97),0.4237 (99),
1114755,DengLi,0.6859 (92),0.3385 (80),0.3688 (85),0.4260 (82),
1064472,nhom5,0.6858 (93),0.3369 (91),0.3676 (93),0.4249 (90),
913787,tingting0119,0.6858 (93),0.3358 (98),0.3664 (100),0.4234 (102),
1064087,nhom7-lopthaylinh,0.6854 (94),0.3372 (89),0.3672 (96),0.4243 (95),
936695,csb266,0.6853 (95),0.3377 (85),0.3678 (91),0.4247 (92),
802895,ybm15387,0.6851 (96),0.3322 (118),0.3624 (118),0.4201 (116),
1059572,Group_1_IT4613_20211_HUST,0.6848 (97),0.3367 (92),0.3672 (96),0.4242 (96),
1068828,Jyonn,0.6846 (98),0.3405 (73),0.3717 (75),0.4282 (77),
719770,heroddaji,0.6845 (99),0.3376 (86),0.3677 (92),0.4244 (94),
1045502,LURM,0.6844 (100),0.3361 (95),0.3654 (106),0.4229 (103),
786455,Cora,0.6836 (101),0.3356 (100),0.3665 (99),0.4235 (101),
721513,faysir,0.6836 (101),0.3343 (108),0.3644 (112),0.4219 (109),
675893,CyberFish,0.6834 (102),0.3373 (88),0.3683 (89),0.4258 (84),
802911,xqu19316,0.6832 (103),0.3324 (117),0.3623 (119),0.4200 (117),
784331,Codle,0.6828 (104),0.3347 (105),0.3648 (110),0.4219 (109),
719856,again_and_again,0.6828 (104),0.3365 (93),0.3665 (99),0.4240 (97),
719979,xinghuaz,0.6827 (105),0.3385 (80),0.3691 (82),0.4259 (83),
676628,amgis3,0.6827 (105),0.3320 (120),0.3615 (121),0.4196 (118),
911076,wsm_baseline,0.6824 (106),0.3351 (103),0.3656 (104),0.4225 (105),
1058756,hieunm,0.6823 (107),0.3326 (115),0.3630 (117),0.4203 (115),
1014920,raingstar,0.6820 (108),0.3353 (101),0.3660 (102),0.4226 (104),
913300,wsm-soslab,0.6815 (109),0.3358 (98),0.3663 (101),0.4234 (102),
719951,dengjia284,0.6814 (110),0.3325 (116),0.3614 (122),0.4192 (119),
1145046,pstkim,0.6812 (111),0.3350 (104),0.3650 (109),0.4224 (106),
1093735,feature,0.6812 (111),0.3379 (84),0.3690 (83),0.4257 (85),
1112325,TH_KIM,0.6810 (112),0.3322 (118),0.3624 (118),0.4200 (117),
975297,clilyn,0.6809 (113),0.3371 (90),0.3675 (94),0.4243 (95),
720042,ustc_jingang,0.6809 (113),0.3337 (112),0.3633 (116),0.4208 (112),
993034,AAU-Bruno,0.6807 (114),0.3338 (111),0.3634 (115),0.4207 (113),
1094891,unchat,0.6803 (115),0.3334 (114),0.3633 (116),0.4205 (114),
963013,yangyongqiang1,0.6800 (116),0.3337 (112),0.3638 (114),0.4207 (113),
720025,qqyysg,0.6799 (117),0.3336 (113),0.3644 (112),0.4213 (111),
830551,hvv,0.6798 (118),0.3352 (102),0.3655 (105),0.4223 (107),
816534,hapoyige,0.6793 (119),0.3341 (109),0.3647 (111),0.4215 (110),
734361,YHu,0.6790 (120),0.3338 (111),0.3624 (118),0.4192 (119),
939396,LiJT,0.6789 (121),0.3321 (119),0.3621 (120),0.4188 (120),
742370,finegrained,0.6787 (122),0.3346 (106),0.3653 (107),0.4221 (108),
1100866,Ala-Fu,0.6786 (123),0.3316 (121),0.3612 (123),0.4181 (122),
842011,wangwenhua,0.6785 (124),0.3316 (121),0.3611 (124),0.4181 (122),
676797,Reto-hitsz,0.6783 (125),0.3288 (125),0.3575 (129),0.4153 (125),
896849,xuhongqing,0.6779 (126),0.3287 (126),0.3567 (134),0.4140 (129),
1103762,fyzl,0.6776 (127),0.3339 (110),0.3640 (113),0.4213 (111),
720153,simple2better,0.6766 (128),0.3311 (122),0.3609 (125),0.4184 (121),
719771,shahnawaz,0.6766 (128),0.3282 (129),0.3576 (128),0.4149 (126),
854319,hmguo,0.6763 (129),0.3297 (123),0.3591 (126),0.4163 (123),
786700,Autumn,0.6754 (130),0.3292 (124),0.3581 (127),0.4154 (124),
913879,wsm_KoreaMoos,0.6748 (131),0.3285 (127),0.3569 (133),0.4140 (129),
1100919,ZgDaMoWang,0.6738 (132),0.3284 (128),0.3571 (131),0.4141 (128),
1062891,TranAnhVuNhom7,0.6738 (132),0.3288 (125),0.3570 (132),0.4135 (130),
1145048,DICELab,0.6735 (133),0.3292 (124),0.3573 (130),0.4144 (127),
1141949,cevahir,0.6725 (134),0.3242 (134),0.3519 (141),0.4100 (134),
719776,zidane4ever21,0.6710 (135),0.3236 (136),0.3523 (139),0.4093 (136),
914591,jaing885,0.6708 (136),0.3256 (132),0.3532 (137),0.4105 (133),
852115,ab25,0.6705 (137),0.3228 (137),0.3504 (142),0.4083 (137),
1060078,nhom5-nrms,0.6702 (138),0.3241 (135),0.3520 (140),0.4096 (135),
802010,OpenMind,0.6700 (139),0.3277 (130),0.3559 (135),0.4130 (131),
719955,dust,0.6691 (140),0.3267 (131),0.3539 (136),0.4109 (132),
903371,shuix007,0.6689 (141),0.3225 (138),0.3499 (144),0.4079 (138),
849125,Rachelxuan11,0.6687 (142),0.3254 (133),0.3525 (138),0.4096 (135),
833144,jazzzminewang,0.6659 (143),0.3236 (136),0.3502 (143),0.4074 (139),
741482,TJ_Arthur,0.6646 (144),0.3185 (143),0.3460 (148),0.4046 (140),
804202,akjindal53244,0.6638 (145),0.3191 (140),0.3466 (146),0.4042 (141),
1078202,yma2,0.6635 (146),0.3205 (139),0.3460 (148),0.4036 (143),
1064328,phucvh183608,0.6633 (147),0.3190 (141),0.3464 (147),0.4038 (142),
768072,freddy_2077,0.6614 (148),0.3205 (139),0.3473 (145),0.4042 (141),
1046414,hustnhom7,0.6605 (149),0.3181 (144),0.3435 (152),0.4009 (146),
869305,Hieulm,0.6594 (150),0.3169 (148),0.3436 (151),0.4005 (147),
839233,pd,0.6575 (151),0.3189 (142),0.3458 (149),0.4025 (144),
841817,xulongteng,0.6571 (152),0.3179 (145),0.3446 (150),0.4014 (145),
781351,Silence,0.6570 (153),0.3141 (152),0.3384 (159),0.3967 (153),
719760,aqweteddy,0.6566 (154),0.3173 (146),0.3425 (155),0.3989 (150),
719900,xcw,0.6554 (155),0.3172 (147),0.3434 (153),0.4000 (148),
901275,wsm_Mark4PM,0.6550 (156),0.3150 (150),0.3406 (157),0.3982 (151),
818135,christineC2021_1,0.6546 (157),0.3133 (153),0.3389 (158),0.3963 (154),
822050,jingqinghe,0.6543 (158),0.3166 (149),0.3428 (154),0.3995 (149),
866780,ThachAnh,0.6524 (159),0.3128 (154),0.3370 (160),0.3950 (155),
822498,mapingshuo,0.6521 (160),0.3147 (151),0.3408 (156),0.3978 (152),
719998,AND-OR,0.6506 (161),0.3079 (159),0.3320 (165),0.3898 (159),
719753,drew,0.6486 (162),0.3087 (157),0.3333 (163),0.3905 (158),
906500,changecandy,0.6481 (163),0.3114 (155),0.3352 (162),0.3922 (156),
1021892,KGN,0.6465 (164),0.3085 (158),0.3322 (164),0.3897 (160),
778285,cynricshu,0.6454 (165),0.3000 (161),0.3218 (167),0.3811 (161),
1089435,yjin48,0.6402 (166),0.3010 (160),0.3225 (166),0.3802 (162),
1027838,surupendu,0.6363 (167),0.2987 (162),0.3206 (168),0.3781 (164),
954724,tj2364,0.6354 (168),0.2986 (163),0.3205 (169),0.3784 (163),
675947,gaojx,0.6342 (169),0.3112 (156),0.3358 (161),0.3919 (157),
811087,TerryMa,0.6251 (170),0.2919 (165),0.3141 (171),0.3718 (166),
777023,ifan,0.6204 (171),0.2847 (167),0.3039 (173),0.3625 (168),
1080374,miabao,0.6174 (172),0.2882 (166),0.3059 (172),0.3646 (167),
913930,WSM_winwin,0.6166 (173),0.2949 (164),0.3166 (170),0.3730 (165),
719956,tcchiang,0.5950 (174),0.2794 (168),0.2974 (174),0.3551 (169),
1038962,saran_pandian,0.5861 (175),0.2717 (171),0.2877 (177),0.3448 (171),
820554,Mluleki,0.5848 (176),0.2641 (173),0.2778 (179),0.3352 (174),
675486,learner,0.5847 (177),0.2648 (172),0.2786 (178),0.3361 (172),
1048959,psasikarn,0.5825 (178),0.2731 (170),0.2885 (176),0.3448 (171),
1083392,liwencong,0.5821 (179),0.2626 (174),0.2759 (181),0.3341 (175),
1103889,nitesh.sawadia,0.5780 (180),0.2620 (175),0.2773 (180),0.3358 (173),
904044,chang861224,0.5703 (181),0.2769 (169),0.2945 (175),0.3495 (170),
1145042,group_5,0.5680 (182),0.2575 (176),0.2698 (182),0.3268 (176),
803861,lwj,0.5519 (183),0.2469 (178),0.2573 (184),0.3136 (177),
1064352,shoemaker,0.5397 (184),0.2475 (177),0.2574 (183),0.3135 (178),
900757,YJack0000,0.5246 (185),0.2364 (181),0.2422 (187),0.2990 (180),
886072,Brucenccu,0.5221 (186),0.2328 (184),0.2380 (192),0.2938 (186),
1102531,vancurv,0.5218 (187),0.2370 (180),0.2415 (189),0.2961 (183),
922090,Leon-chang,0.5207 (188),0.2318 (186),0.2385 (191),0.2948 (185),
764653,zichongli,0.5183 (189),0.2348 (182),0.2427 (186),0.2983 (181),
674857,cs880141,0.5180 (190),0.2327 (185),0.2395 (190),0.2953 (184),
764654,xhran2011,0.5170 (191),0.2339 (183),0.2416 (188),0.2972 (182),
764556,xhran2010,0.5170 (191),0.2339 (183),0.2416 (188),0.2972 (182),
1106863,usydnlp,0.5167 (192),0.2375 (179),0.2452 (185),0.2998 (179),
772798,christineC2021_2,0.5130 (193),0.2296 (188),0.2363 (193),0.2924 (187),
1039502,jingda_yu,0.5127 (194),0.2299 (187),0.2337 (196),0.2893 (190),
1116342,jkrse,0.5060 (195),0.2249 (193),0.2309 (200),0.2869 (193),
675571,cdj0311,0.5059 (196),0.2290 (189),0.2350 (194),0.2900 (188),
1144827,pneuma,0.5058 (197),0.2274 (190),0.2339 (195),0.2899 (189),
913274,DaveWuuu,0.5020 (198),0.2236 (196),0.2310 (199),0.2872 (192),
1129812,Jingqi_wang,0.5018 (199),0.2269 (191),0.2335 (197),0.2886 (191),
675784,zhoubang1,0.5009 (200),0.2256 (192),0.2316 (198),0.2869 (193),
1145001,Hakjong,0.5006 (201),0.2249 (193),0.2306 (201),0.2859 (195),
764009,rockandroll,0.5003 (202),0.2239 (195),0.2294 (203),0.2849 (196),
675352,bird,0.5002 (203),0.2248 (194),0.2304 (202),0.2862 (194),
1052423,PradaBear,0.5001 (204),0.2236 (196),0.2291 (204),0.2846 (197),
903347,david116711,0.5000 (205),0.2239 (195),0.2294 (203),0.2849 (196),
1040948,Yoon,0.4870 (206),0.2194 (197),0.2244 (205),0.2795 (198),
1108742,leemeng,0.4800 (207),0.2150 (198),0.2197 (207),0.2743 (200),
1120332,pevnak,0.4798 (208),0.2136 (199),0.2198 (206),0.2758 (199),
