submission_pk,User,All-Masked (MFR),Wild-Masked (MFR),Controlled-Masked (MFR),All (SFR),Wild (SFR),Controlled (SFR),Detection Time,Recognition Time,Total Time
954801,nayesoj,0.1389 (29),0.1725 (32),0.0814 (22),0.0498 (31),0.0761 (36),0.0042 (18),157.00 (17),315.00 (23),472.00 (25),
977561,i_chenning,0.1401 (30),0.1676 (29),0.0914 (32),0.0278 (18),0.0453 (23),0.0028 (11),147.00 (10),300.00 (21),447.00 (22),
958074,ncvl01,0.1433 (31),0.1712 (31),0.0951 (34),0.0293 (20),0.0473 (24),0.0030 (13),156.00 (16),357.00 (32),513.00 (31),
972484,Sungmin,0.1479 (32),0.1778 (33),0.0927 (33),0.0317 (23),0.0513 (27),0.0032 (14),124.00 (7),919.00 (66),1043.00 (63),
961058,xuyang1,0.1509 (33),0.1788 (34),0.1047 (38),0.0281 (19),0.0433 (21),0.0025 (8),233.00 (30),1050.00 (70),1283.00 (69),
956055,runauto,0.1526 (34),0.1832 (35),0.0974 (35),0.0486 (30),0.0719 (33),0.0042 (18),158.00 (18),1552.00 (77),1710.00 (75),
961590,ppnn,0.1575 (35),0.1876 (36),0.1018 (37),0.0528 (33),0.0765 (37),0.0055 (26),211.00 (29),1478.00 (75),1689.00 (74),
955896,jyf,0.1590 (36),0.2026 (38),0.0769 (19),0.0877 (51),0.1267 (55),0.0097 (38),158.00 (18),317.00 (25),475.00 (27),
955355,Wison,0.1597 (37),0.1906 (37),0.1092 (39),0.0386 (26),0.0624 (30),0.0037 (16),157.00 (17),564.00 (45),721.00 (44),
973453,MCPRL_aiwa,0.1703 (38),0.2041 (39),0.1094 (40),0.0575 (38),0.0847 (42),0.0052 (25),196.00 (27),1032.00 (69),1228.00 (67),
955351,Daniel2018,0.1736 (39),0.2172 (44),0.0994 (36),0.0722 (43),0.1115 (49),0.0075 (34),156.00 (16),329.00 (29),485.00 (30),
955352,simonss,0.1745 (40),0.2044 (40),0.1196 (43),0.0462 (28),0.0683 (31),0.0043 (19),156.00 (16),1149.00 (72),1305.00 (71),
954810,hihi123,0.1766 (41),0.2105 (42),0.1133 (41),0.0456 (27),0.0730 (34),0.0042 (18),157.00 (17),507.00 (42),664.00 (41),
955899,HIT_face,0.1780 (42),0.2083 (41),0.1224 (44),0.0470 (29),0.0701 (32),0.0041 (17),160.00 (20),500.00 (41),660.00 (40),
955346,thesherlock,0.1826 (43),0.2124 (43),0.1285 (47),0.0501 (32),0.0744 (35),0.0045 (20),156.00 (16),436.00 (39),592.00 (38),
955363,liu_xiang886,0.1858 (44),0.2329 (47),0.0897 (31),0.1103 (54),0.1544 (59),0.0127 (40),156.00 (16),316.00 (24),472.00 (25),
955364,billzeng,0.1923 (45),0.2246 (45),0.1332 (50),0.0529 (34),0.0792 (39),0.0048 (22),157.00 (17),318.00 (26),475.00 (27),
954790,tongtong,0.1923 (45),0.2246 (45),0.1331 (49),0.0529 (34),0.0792 (39),0.0047 (21),156.00 (16),316.00 (24),472.00 (25),
955360,yossibiton,0.1943 (46),0.2263 (46),0.1345 (51),0.0552 (36),0.0818 (41),0.0049 (23),168.00 (24),84.00 (5),252.00 (5),
954795,haoyayu365,0.1970 (47),0.2344 (48),0.1321 (48),0.0566 (37),0.0892 (43),0.0061 (27),159.00 (19),398.00 (37),557.00 (36),
954800,dler,0.2064 (48),0.2389 (49),0.1465 (58),0.0538 (35),0.0807 (40),0.0051 (24),163.00 (21),911.00 (65),1074.00 (64),
954788,f.gomes,0.2092 (49),0.2459 (50),0.1406 (54),0.0676 (41),0.0999 (46),0.0064 (29),156.00 (16),1283.00 (74),1439.00 (72),
955785,BigBrother,0.2102 (50),0.2612 (59),0.1143 (42),0.1178 (55),0.1687 (60),0.0181 (43),157.00 (17),317.00 (25),474.00 (26),
954785,linghu8812,0.2117 (51),0.2510 (52),0.1352 (52),0.0828 (49),0.1200 (54),0.0072 (33),156.00 (16),850.00 (63),1006.00 (62),
956842,ddddwee1,0.2140 (52),0.2525 (53),0.1381 (53),0.0790 (46),0.1131 (50),0.0090 (36),156.00 (16),173.00 (10),329.00 (11),
954806,tib6913,0.2142 (53),0.2501 (51),0.1453 (57),0.0721 (42),0.1044 (47),0.0066 (30),157.00 (17),190.00 (12),347.00 (14),
964488,bigbang,0.2147 (54),0.2594 (58),0.1268 (46),0.1045 (53),0.1464 (58),0.0165 (42),163.00 (21),1116.00 (71),1279.00 (68),
955349,meixitu2,0.2171 (55),0.2501 (51),0.1529 (66),0.0630 (39),0.0901 (44),0.0069 (31),159.00 (19),296.00 (19),455.00 (23),
954794,Cavall,0.2174 (56),0.2583 (57),0.1418 (56),0.0792 (47),0.1172 (52),0.0066 (30),157.00 (17),390.00 (36),547.00 (35),
955892,zhangge00hou,0.2187 (57),0.2566 (56),0.1469 (60),0.0742 (44),0.1090 (48),0.0071 (32),157.00 (17),648.00 (51),805.00 (50),
955358,maguih,0.2188 (58),0.2565 (55),0.1468 (59),0.0742 (44),0.1090 (48),0.0071 (32),156.00 (16),648.00 (51),804.00 (49),
955898,jinhong.zhang,0.2202 (59),0.2539 (54),0.1524 (65),0.0661 (40),0.0934 (45),0.0071 (32),10.00 (1),294.00 (17),304.00 (10),
986664,nhatnhm,0.2224 (60),0.2986 (64),0.0822 (23),0.1519 (58),0.2280 (66),0.0090 (36),146.00 (9),295.00 (18),441.00 (20),
986623,trambtn,0.2224 (60),0.2986 (64),0.0823 (24),0.1520 (59),0.2280 (66),0.0090 (36),145.00 (8),298.00 (20),443.00 (21),
955859,nhmquang,0.2270 (61),0.2667 (60),0.1499 (64),0.0776 (45),0.1140 (51),0.0077 (35),169.00 (25),100.00 (8),269.00 (9),
954789,cmkyec,0.2287 (62),0.2780 (62),0.1413 (55),0.0932 (52),0.1418 (57),0.0103 (39),157.00 (17),248.00 (15),405.00 (17),
954805,nikkonew,0.2295 (63),0.2681 (61),0.1545 (68),0.0816 (48),0.1185 (53),0.0077 (35),157.00 (17),322.00 (27),479.00 (28),
955900,litian1045,0.2342 (64),0.2816 (63),0.1483 (63),0.0871 (50),0.1341 (56),0.0094 (37),157.00 (17),172.00 (9),329.00 (11),
954784,azhangwei,0.2473 (65),0.2993 (65),0.1250 (45),0.1554 (60),0.2061 (63),0.0231 (46),158.00 (18),233.00 (14),391.00 (16),
957542,ks-haha,0.2579 (66),0.3072 (66),0.1543 (67),0.1249 (56),0.1753 (61),0.0134 (41),157.00 (17),280.00 (16),437.00 (19),
955344,ugtony,0.2762 (67),0.3416 (67),0.1472 (61),0.1571 (61),0.2250 (64),0.0199 (45),157.00 (17),96.00 (7),253.00 (6),
954804,ntutony,0.2762 (67),0.3416 (67),0.1473 (62),0.1571 (61),0.2250 (64),0.0199 (45),158.00 (18),96.00 (7),254.00 (7),
954816,wzy2021,0.2938 (68),0.3493 (68),0.1774 (70),0.1467 (57),0.2056 (62),0.0197 (44),165.00 (22),60.00 (2),225.00 (2),
955348,ThanVanQuang,0.2955 (69),0.3579 (69),0.1626 (69),0.1786 (63),0.2440 (67),0.0319 (47),158.00 (18),172.00 (9),330.00 (12),
955894,fyzeng,0.3143 (70),0.3608 (70),0.2036 (73),0.1717 (62),0.2253 (65),0.0400 (48),157.00 (17),174.00 (11),331.00 (13),
954811,ZHUPEI,0.3312 (71),0.3910 (71),0.1861 (71),0.2245 (65),0.2901 (69),0.0552 (51),166.00 (23),93.00 (6),259.00 (8),
954799,vig_kim1102,0.3517 (72),0.4146 (72),0.1990 (72),0.2281 (66),0.2959 (70),0.0523 (50),160.00 (20),532.00 (44),692.00 (42),
955338,sunhm15,0.3578 (73),0.4197 (73),0.2236 (74),0.2051 (64),0.2786 (68),0.0491 (49),159.00 (19),323.00 (28),482.00 (29),
954793,Mage,0.5566 (74),0.6261 (74),0.3453 (75),0.4393 (67),0.5256 (71),0.1689 (52),156.00 (16),78.00 (4),234.00 (3),
955354,xikj,0.5567 (75),0.6261 (74),0.3453 (75),0.4393 (67),0.5256 (71),0.1689 (52),157.00 (17),77.00 (3),234.00 (3),
954792,Cephalosporins,0.5567 (75),0.6261 (74),0.3453 (75),0.4393 (67),0.5256 (71),0.1689 (52),157.00 (17),78.00 (4),235.00 (4),
954809,PhanThanhTrung,0.7893 (76),0.8335 (75),0.6165 (76),0.7444 (68),0.7973 (72),0.5236 (53),157.00 (17),373.00 (34),530.00 (33),
958197,ngoanpv,0.9517 (77),0.9550 (76),0.8829 (77),0.9372 (69),0.9413 (73),0.8467 (54),157.00 (17),20.00 (1),177.00 (1),
955350,ctgushiwei,0.9780 (78),0.9733 (77),0.9425 (78),0.9707 (70),0.9644 (74),0.9233 (55),157.00 (17),197.00 (13),354.00 (15),
