submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
446281,yang,12.0000 (11),0.1377 (13),0.1095 (12),0.1353 (12),0.1975 (10),0.1846 (13),123.14 (13),
445416,PeterPan,12.4000 (12),0.2018 (12),0.1095 (12),0.1313 (13),0.0873 (13),0.2971 (12),2113.33 (37),
447191,buaa_nan,14.0000 (13),0.0637 (14),0.0427 (13),0.0395 (14),-0.0048 (15),0.0255 (14),62.07 (12),
445441,jie.,14.2000 (14),0.0278 (15),0.0175 (14),0.0016 (15),0.1060 (12),-0.0013 (15),5515.46 (42),
433494,plunkett,16.0000 (15),-1.0000 (16),-1.0000 (15),-1.0000 (16),-1.0000 (17),-1.0000 (16),0.00 (3),
434577,lise_sun,16.0000 (15),-1.0000 (16),-1.0000 (15),-1.0000 (16),-1.0000 (17),-1.0000 (16),0.00 (9),
447192,KaseyON,16.0000 (15),-1.0000 (16),-1.0000 (15),-1.0000 (16),-1.0000 (17),-1.0000 (16),42.05 (11),
445485,khdb,16.0000 (15),-1.0000 (16),-1.0000 (15),-1.0000 (16),-1.0000 (17),-1.0000 (16),0.00 (4),
445660,Mohammadreza,16.0000 (15),-1.0000 (16),-1.0000 (15),-1.0000 (16),-1.0000 (17),-1.0000 (16),0.00 (8),
447177,test_res_pakdd,16.0000 (15),-1.0000 (16),-1.0000 (15),-1.0000 (16),-1.0000 (17),-1.0000 (16),0.00 (1),
447189,Zhengying,16.0000 (15),-1.0000 (16),-1.0000 (15),-1.0000 (16),-1.0000 (17),-1.0000 (16),0.00 (7),
445998,z_black,16.0000 (15),-1.0000 (16),-1.0000 (15),-1.0000 (16),-1.0000 (17),-1.0000 (16),3.01 (10),
446022,ab1pradhan,16.0000 (15),-1.0000 (16),-1.0000 (15),-1.0000 (16),-1.0000 (17),-1.0000 (16),0.00 (5),
446273,xehivs,16.0000 (15),-1.0000 (16),-1.0000 (15),-1.0000 (16),-1.0000 (17),-1.0000 (16),2210.41 (38),
447190,TheWolf,16.0000 (15),-1.0000 (16),-1.0000 (15),-1.0000 (16),-1.0000 (17),-1.0000 (16),0.00 (6),
446282,Garvey,16.0000 (15),-1.0000 (16),-1.0000 (15),-1.0000 (16),-1.0000 (17),-1.0000 (16),0.00 (2),
