submission_pk,User,mAP,bicycle,bus,car,motorbike,person
855875,ps06,27.5226 (53),10.3233 (60),18.9489 (38),59.4659 (56),24.8565 (56),24.0184 (26),
872236,keamy,27.3430 (54),23.7662 (44),11.2269 (52),61.3583 (53),24.0495 (58),16.3139 (48),
856136,wangsssssss,27.3244 (55),25.8929 (40),14.7917 (46),57.1434 (58),28.1341 (55),10.6598 (59),
862870,admin_lxf,23.2151 (56),10.5230 (59),5.2435 (60),52.4195 (60),36.8248 (45),11.0649 (58),
835209,BreSee_A5,22.5176 (57),17.0635 (54),10.0294 (55),47.5477 (62),20.2388 (59),17.7088 (45),
867848,PB1705,21.1027 (58),16.3265 (56),10.9649 (53),47.0350 (63),18.4135 (60),12.7738 (54),
853371,Heyoungsen,20.1547 (59),19.6429 (49),4.3659 (62),44.6411 (64),24.4563 (57),7.6671 (62),
867843,ustc-nelslip,19.6458 (60),19.3878 (50),7.6211 (57),43.8452 (65),15.1895 (61),12.1856 (56),
865390,HP0745,17.8239 (61),20.0680 (48),6.6667 (59),39.4347 (66),13.0421 (62),9.9080 (61),
866418,Aric.Zhao,13.3326 (62),9.1837 (62),2.2727 (63),34.1026 (67),10.0121 (63),11.0921 (57),
869707,ltx,13.1502 (63),0.0000 (66),0.0000 (66),65.7510 (42),0.0000 (68),0.0000 (67),
870180,SA20006104,12.9197 (64),0.0000 (66),0.0000 (66),64.5984 (46),0.0000 (68),0.0000 (67),
869684,liuxiaodong,12.5826 (65),0.0000 (66),0.0000 (66),62.9128 (49),0.0000 (68),0.0000 (67),
865003,ctt,12.2548 (66),18.4255 (53),0.0000 (66),0.0000 (73),42.8393 (33),0.0094 (66),
870898,qq123,10.9460 (67),0.0000 (66),0.0000 (66),54.7300 (59),0.0000 (68),0.0000 (67),
847536,weeniedummy,10.7760 (68),10.7143 (58),1.6667 (64),26.9286 (68),7.7455 (64),6.8251 (63),
870653,lxd123,9.5828 (69),0.0000 (66),0.0000 (66),47.9142 (61),0.0000 (68),0.0000 (67),
853065,Jhilik,6.6132 (70),1.1905 (64),0.0000 (66),21.0325 (69),0.5873 (66),10.2555 (60),
871780,tongxiao.rtx,4.1848 (71),0.0000 (66),20.9242 (36),0.0000 (73),0.0000 (68),0.0000 (67),
872055,richardych,3.5768 (72),0.0291 (65),0.0328 (65),13.4070 (70),1.6838 (65),2.7313 (64),
841758,millendroy239,0.0267 (73),0.0000 (66),0.0000 (66),0.0588 (71),0.0748 (67),0.0000 (67),
855158,shakehealthy,0.0103 (74),0.0000 (66),0.0000 (66),0.0515 (72),0.0000 (68),0.0000 (67),
