submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
439190,quack,23.4000 (23),0.7688 (21),0.5919 (20),0.8593 (28),0.5492 (27),0.3162 (21),159.19 (32),
439938,mafnhe,23.4000 (23),0.7688 (21),0.5919 (20),0.8593 (28),0.5492 (27),0.3162 (21),152.14 (19),
444785,hugo.jair,23.4000 (23),0.7688 (21),0.5919 (20),0.8593 (28),0.5492 (27),0.3162 (21),156.18 (29),
440232,datawlb,23.4000 (23),0.7688 (21),0.5919 (20),0.8593 (28),0.5492 (27),0.3162 (21),162.17 (33),
434306,TheWolf,23.6000 (24),0.7688 (21),0.5856 (21),0.8593 (28),0.5492 (27),0.3162 (21),0.00 (6),
434328,Zhengying,23.6000 (24),0.7688 (21),0.5856 (21),0.8593 (28),0.5492 (27),0.3162 (21),0.00 (7),
436476,PeterPan,24.0000 (25),0.7688 (21),0.5919 (20),0.8455 (29),0.3397 (29),0.3162 (21),2449.16 (46),
443360,jie.,24.2000 (26),0.5605 (27),0.4212 (28),0.9117 (20),0.6576 (17),0.0649 (29),5526.45 (53),
434335,yang,24.6000 (27),0.7688 (21),0.5263 (25),0.8593 (28),0.5513 (26),0.2863 (23),117.14 (18),
441732,ClaudiaSanchez,24.8000 (28),0.7686 (22),0.5206 (26),0.8832 (26),0.5970 (25),0.2640 (25),2.01 (13),
434310,buaa_nan,25.8000 (29),0.2149 (28),0.6835 (14),0.7174 (31),0.3828 (28),0.0859 (28),64.08 (16),
435189,hehe,30.6000 (30),-1.0000 (29),-1.0000 (32),-1.0000 (32),-1.0000 (30),-1.0000 (30),451.48 (37),
435245,xehivs,30.6000 (30),-1.0000 (29),-1.0000 (32),-1.0000 (32),-1.0000 (30),-1.0000 (30),1680.77 (44),
434316,KaseyON,30.6000 (30),-1.0000 (29),-1.0000 (32),-1.0000 (32),-1.0000 (30),-1.0000 (30),38.05 (15),
434329,Garvey,30.6000 (30),-1.0000 (29),-1.0000 (32),-1.0000 (32),-1.0000 (30),-1.0000 (30),0.00 (4),
434333,test_res_pakdd,30.6000 (30),-1.0000 (29),-1.0000 (32),-1.0000 (32),-1.0000 (30),-1.0000 (30),0.00 (5),
440966,ab1pradhan,30.6000 (30),-1.0000 (29),-1.0000 (32),-1.0000 (32),-1.0000 (30),-1.0000 (30),0.00 (2),
