submission_pk,User,MainScore,Pearson,Spearman,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
781876,T-bug,1.4958 (58),0.7505 (58),0.7453 (58),1.0000 (3),0.0 (2),0.0 (2),
842480,zakajd,1.4787 (59),0.7502 (59),0.7285 (61),1.0000 (3),0.0 (2),0.0 (2),
821624,wonjkim,1.4755 (60),0.7349 (62),0.7406 (59),0.0000 (2),0.0 (2),0.0 (2),
1026806,zhbfysdyjc,1.4689 (61),0.7324 (63),0.7365 (60),1.0000 (3),1.0 (1),1.0 (1),
858014,mrc,1.4591 (62),0.7410 (60),0.7182 (64),1.0000 (3),0.0 (2),1.0 (1),
970570,shaoxiao,1.4591 (63),0.7365 (61),0.7226 (62),1.0000 (3),0.0 (2),1.0 (1),
786880,CLuigi,1.4446 (64),0.7290 (64),0.7156 (65),1.0000 (3),0.0 (2),1.0 (1),
851554,guohaiyang02,1.4358 (65),0.7235 (65),0.7123 (66),1.0000 (3),0.0 (2),0.0 (2),
837079,deadmarston,1.4218 (66),0.7017 (68),0.7200 (63),1.0000 (3),0.0 (2),0.0 (2),
836485,Pavan,1.4167 (67),0.7077 (67),0.7091 (67),0.0000 (2),0.0 (2),0.0 (2),
813007,sunguwei,1.3809 (68),0.7089 (66),0.6720 (71),1.0000 (3),0.0 (2),0.0 (2),
857251,bdseal,1.3776 (69),0.6856 (69),0.6920 (68),1.0000 (3),0.0 (2),0.0 (2),
823942,iit_jammu_vision,1.3576 (70),0.6853 (71),0.6723 (69),1.0000 (3),0.0 (2),0.0 (2),
923712,atranitell,1.3571 (71),0.6855 (70),0.6717 (72),1.0000 (3),0.0 (2),0.0 (2),
837228,tsubota,1.3471 (72),0.6750 (72),0.6721 (70),1.0000 (3),0.0 (2),1.0 (1),
828671,sad,1.3194 (73),0.6624 (73),0.6570 (73),0.0000 (2),0.0 (2),0.0 (2),
777175,LPIPS_Baseline,1.2739 (74),0.6463 (74),0.6276 (75),1.0000 (3),1.0 (1),1.0 (1),
828694,Ziheng,1.2658 (75),0.6229 (75),0.6429 (74),1.0000 (3),0.0 (2),0.0 (2),
816578,Xuhao-Jiang,1.1960 (76),0.6068 (76),0.5892 (76),0.0000 (2),0.0 (2),0.0 (2),
815445,baidut,1.1647 (77),0.5810 (78),0.5838 (77),1.0000 (3),0.0 (2),0.0 (2),
837906,Sigan_YAO,1.1593 (78),0.5819 (77),0.5773 (78),1.0000 (3),0.0 (2),0.0 (2),
976881,Srache,1.0123 (79),0.4988 (80),0.5135 (79),0.0000 (2),0.0 (2),1.0 (1),
818874,wantsu,0.9712 (80),0.4718 (82),0.4994 (80),1.0000 (3),1.0 (1),0.0 (2),
1123008,ysy,0.9583 (81),0.4793 (81),0.4790 (81),1.0000 (3),1.0 (1),0.0 (2),
778827,Abel,0.9183 (82),0.4507 (83),0.4676 (82),0.0000 (2),0.0 (2),0.0 (2),
1001733,r09922080,0.9002 (83),0.5074 (79),0.3928 (88),1.0000 (3),1.0 (1),0.0 (2),
804702,hbrachemi,0.8805 (84),0.4309 (84),0.4496 (83),0.0000 (2),0.0 (2),0.0 (2),
1119431,nanashi,0.8482 (85),0.4181 (85),0.4302 (84),0.0000 (2),0.0 (2),0.0 (2),
829450,hlab,0.8255 (86),0.4116 (86),0.4139 (86),0.0000 (2),0.0 (2),0.0 (2),
1111711,zwx8981,0.8138 (87),0.3961 (89),0.4177 (85),0.0000 (2),0.0 (2),0.0 (2),
801832,yangwx,0.8123 (88),0.4092 (87),0.4032 (87),0.0000 (2),1.0 (1),0.0 (2),
841264,haomingcai,0.7610 (89),0.3956 (90),0.3654 (89),1.0000 (3),1.0 (1),1.0 (1),
820799,parimalak,0.7486 (90),0.4040 (88),0.3446 (90),1.0000 (3),0.0 (2),0.0 (2),
818449,YunanZhu,0.5520 (91),0.2662 (91),0.2858 (91),0.0000 (2),0.0 (2),1.0 (1),
834956,the_clowns,0.5090 (92),0.2466 (92),0.2623 (92),1.0000 (3),0.0 (2),0.0 (2),
1093862,CCBIG,0.4318 (93),0.2073 (95),0.2245 (93),0.0000 (2),0.0 (2),0.0 (2),
815923,KAKU,0.3787 (94),0.2162 (93),0.1625 (95),0.0000 (2),0.0 (2),0.0 (2),
816893,vztu,0.3601 (95),0.1901 (96),0.1701 (94),0.0000 (2),0.0 (2),0.0 (2),
934906,rjj22,0.3111 (96),0.2140 (94),0.0971 (98),1.0000 (3),0.0 (2),0.0 (2),
1111756,bornlee,0.2369 (97),0.1292 (97),0.1077 (97),0.0000 (2),0.0 (2),0.0 (2),
820814,charantej,0.2072 (98),0.0990 (98),0.1082 (96),0.0000 (2),0.0 (2),0.0 (2),
