submission_pk,User,Pearson,Spearman,MAE,MSE,R2
768116,qnamqj,0.8246 (23),0.8227 (15),0.0787 (28),0.0094 (29),0.6097 (31),
772485,raksha297,0.8244 (24),0.8156 (21),0.0702 (46),0.0079 (45),0.6737 (15),
855053,iitkgp_cs60075_team26,0.8236 (25),0.8097 (27),0.0718 (40),0.0083 (41),0.6577 (19),
768068,mau_lih,0.8234 (26),0.8211 (17),0.0790 (26),0.0096 (28),0.6042 (32),
855513,IITKGP_CS60075_TEAM_8,0.8201 (27),0.8101 (25),0.0860 (14),0.0114 (14),0.5284 (46),
855355,bishal,0.8201 (27),0.8101 (25),0.0860 (14),0.0114 (14),0.5284 (46),
774854,SGombert,0.8190 (28),0.8091 (28),0.0711 (41),0.0080 (44),0.6677 (16),
853606,kgpnlp,0.8146 (29),0.8041 (30),0.8423 (1),0.7456 (1),-29.8882 (59),
853256,srivastavahv,0.8124 (30),0.7998 (32),0.0730 (36),0.0084 (38),0.6537 (22),
853112,cs60075_team12,0.8118 (31),0.8100 (26),0.0724 (38),0.0084 (37),0.6522 (23),
855658,iitkgp_cs60075_team3,0.8111 (32),0.7972 (34),0.0728 (37),0.0086 (35),0.6454 (25),
770816,amsqr,0.8093 (33),0.8017 (31),0.0731 (35),0.0084 (36),0.6519 (24),
854276,ravi_ghadia,0.8057 (34),0.7963 (35),0.0864 (13),0.0115 (13),0.5247 (47),
780962,sasi,0.8020 (35),0.7914 (36),0.0732 (34),0.0087 (34),0.6400 (26),
774641,LucasHub,0.8000 (36),0.7797 (40),0.0754 (33),0.0089 (32),0.6323 (28),
774889,eduardgzaharia,0.7962 (37),0.7988 (33),0.0788 (27),0.0099 (24),0.5917 (36),
772891,ninosource,0.7931 (38),0.7800 (39),0.0783 (30),0.0093 (30),0.6160 (30),
773430,justglowing,0.7902 (39),0.7851 (38),0.0786 (29),0.0092 (31),0.6169 (29),
775044,ai101,0.7898 (40),0.7769 (41),0.0903 (10),0.0124 (10),0.4858 (50),
852572,rupayan178,0.7881 (41),0.7706 (43),0.0776 (31),0.0096 (27),0.6027 (33),
775053,yomomissofat,0.7848 (42),0.7869 (37),0.0807 (23),0.0101 (23),0.5816 (37),
854242,sauravkoranga,0.7781 (43),0.7250 (49),0.0848 (17),0.0109 (19),0.5481 (41),
768268,_rjflynn,0.7611 (44),0.7711 (42),0.0806 (24),0.0102 (22),0.5770 (38),
769157,ghpaetzold,0.7601 (45),0.7504 (44),0.0817 (19),0.0102 (21),0.5754 (39),
774838,mking,0.7515 (46),0.7420 (46),0.0802 (25),0.0106 (20),0.5623 (40),
774755,chenshi,0.7500 (47),0.7497 (45),0.0867 (12),0.0112 (16),0.5365 (44),
770251,ManuAndOscar,0.7416 (48),0.7222 (50),0.0839 (18),0.0109 (18),0.5473 (42),
852670,iitkgp_cs60075_team4,0.7393 (49),0.7345 (47),0.0808 (22),0.0110 (17),0.5425 (43),
852641,podu,0.7393 (49),0.7345 (47),0.0808 (22),0.0110 (17),0.5425 (43),
855183,Koushik,0.7368 (50),0.7074 (51),0.0868 (11),0.0113 (15),0.5310 (45),
855156,Dot_G,0.7368 (50),0.7074 (51),0.0868 (11),0.0113 (15),0.5310 (45),
775001,snisioi,0.7232 (51),0.7301 (48),0.0851 (16),0.0117 (12),0.5144 (48),
793560,jodejetalo,0.6241 (52),0.6540 (52),0.0986 (9),0.0169 (9),0.2984 (51),
847829,ddaswdawdaw,0.4684 (53),0.4559 (53),0.1085 (8),0.0189 (8),0.2170 (52),
847889,ritikesh1999,0.4578 (54),0.4424 (54),0.1092 (7),0.0191 (7),0.2094 (53),
855491,kya_fayda_loss_toh_ghat_ni_rha,0.4479 (55),0.4252 (55),0.1137 (6),0.0194 (6),0.1962 (54),
773169,almeidaraul,0.3941 (56),0.3675 (56),0.1145 (5),0.0206 (5),0.1470 (55),
774757,amontejo,0.3197 (57),0.3508 (57),0.1217 (3),0.0243 (3),-0.0062 (57),
774613,leonwetzel,0.2821 (58),0.3138 (58),0.1202 (4),0.0226 (4),0.0624 (56),
775762,glitterosu,0.1860 (59),0.1316 (59),0.1332 (2),0.0255 (2),-0.0564 (58),
