submission_pk,User,SAUC,IG,NSS,CC,AUC,SIM,KL
456579,coolMatt1024,0.741 (10),0.818 (18),1.940 (29),0.891 (17),0.867 (3),0.773 (24),0.258 (15),
1017770,GQDing3,0.740 (11),0.839 (14),1.952 (24),0.892 (16),0.868 (2),0.772 (25),0.236 (12),
620703,ryanDINet,0.740 (11),0.436 (54),1.981 (13),0.905 (6),0.864 (6),0.798 (5),0.700 (60),
502863,YMO,0.740 (11),0.628 (44),1.975 (14),0.890 (18),0.864 (6),0.784 (17),0.532 (51),
655399,ACNet,0.739 (12),0.854 (12),1.948 (26),0.896 (12),0.866 (4),0.786 (16),0.228 (10),
515665,RJ13,0.739 (12),0.771 (28),1.925 (37),0.893 (15),0.866 (4),0.788 (14),0.340 (33),
435498,ysyscool,0.739 (12),0.195 (62),1.959 (21),0.902 (8),0.862 (8),0.795 (8),0.864 (64),
482873,codalabcdw,0.738 (13),0.337 (59),1.847 (48),0.873 (28),0.861 (9),0.771 (26),0.686 (59),
1121126,PHSalNet,0.737 (14),0.836 (15),1.932 (33),0.888 (20),0.863 (7),0.776 (22),0.239 (14),
607658,JingZhang,0.737 (14),0.807 (21),1.916 (40),0.880 (23),0.864 (6),0.771 (26),0.293 (26),
1129178,ani,0.736 (15),0.812 (20),1.931 (34),0.899 (11),0.866 (4),0.791 (11),0.272 (21),
608176,peggy202001,0.736 (15),0.825 (17),1.944 (27),0.892 (16),0.865 (5),0.779 (20),0.263 (18),
601549,codename1995,0.736 (15),0.742 (32),1.953 (23),0.878 (25),0.863 (7),0.773 (24),0.373 (37),
534585,MDN-Sal,0.736 (15),0.863 (11),1.935 (31),0.899 (11),0.865 (5),0.790 (12),0.221 (9),
499717,akroner,0.736 (15),0.793 (25),1.931 (34),0.889 (19),0.865 (5),0.784 (17),0.307 (27),
486256,codacscgaze,0.736 (15),0.720 (36),1.899 (45),0.879 (24),0.864 (6),0.773 (24),0.376 (38),
1124770,hahahahapu,0.734 (16),0.608 (48),1.970 (17),0.866 (32),0.860 (10),0.767 (29),0.529 (50),
1120177,Hertzzz,0.734 (16),0.430 (55),1.857 (47),0.863 (33),0.856 (12),0.751 (36),0.660 (57),
949801,zzzz1pppp,0.734 (16),0.804 (23),1.929 (35),0.888 (20),0.864 (6),0.781 (18),0.292 (25),
613559,hailing.zhou,0.734 (16),0.817 (19),1.921 (39),0.887 (21),0.866 (4),0.777 (21),0.266 (20),
939927,bigsun,0.733 (17),0.687 (40),1.909 (42),0.878 (25),0.862 (8),0.766 (30),0.414 (43),
626708,prevggssm,0.733 (17),0.802 (24),1.909 (42),0.875 (26),0.861 (9),0.764 (31),0.261 (16),
608103,jinganu,0.733 (17),0.718 (37),1.902 (44),0.879 (24),0.862 (8),0.773 (24),0.389 (40),
514261,Ronweiyi,0.733 (17),0.616 (45),1.937 (30),0.892 (16),0.863 (7),0.787 (15),0.507 (47),
485932,ZhaohuiChe,0.733 (17),0.696 (38),1.884 (46),0.872 (29),0.862 (8),0.766 (30),0.394 (41),
609198,charleshuhy,0.732 (18),0.770 (29),1.845 (49),0.874 (27),0.863 (7),0.768 (28),0.288 (23),
1106684,vozniakigor,0.730 (19),0.750 (31),1.833 (52),0.870 (30),0.862 (8),0.763 (32),0.308 (28),
739902,phanikumar,0.730 (19),0.691 (39),1.700 (57),0.847 (40),0.861 (9),0.756 (33),0.327 (31),
466523,lvjincheng,0.726 (20),0.613 (46),1.829 (53),0.856 (36),0.855 (13),0.705 (43),0.352 (35),
410382,zhewuucas,0.726 (20),0.738 (33),1.841 (50),0.860 (35),0.859 (11),0.756 (33),0.318 (29),
438366,hallazie,0.724 (21),0.640 (43),1.804 (55),0.844 (41),0.855 (13),0.714 (42),0.341 (34),
466362,RyanLui,0.724 (21),-0.187 (65),1.838 (51),0.855 (37),0.850 (16),0.746 (38),1.208 (69),
411515,sfdodge,0.720 (22),0.646 (42),1.911 (41),0.821 (43),0.856 (12),0.722 (41),0.527 (49),
441348,hrtavakoli,0.717 (23),0.541 (51),1.773 (56),0.848 (39),0.854 (14),0.684 (45),0.384 (39),
991905,FBNet,0.706 (24),0.343 (58),1.687 (59),0.785 (46),0.843 (18),0.694 (44),0.708 (61),
841079,fb2,0.705 (25),-0.036 (63),1.691 (58),0.786 (45),0.841 (19),0.694 (44),1.079 (68),
506859,syq_18,0.701 (26),0.419 (56),1.610 (61),0.757 (47),0.837 (21),0.662 (50),0.548 (53),
492856,claudiofdezmart,0.701 (26),-0.258 (66),1.530 (64),0.735 (50),0.823 (23),0.670 (49),1.040 (66),
872611,divyam28,0.698 (27),0.506 (53),1.581 (63),0.756 (48),0.839 (20),0.674 (46),0.471 (45),
828327,airc,0.697 (28),0.240 (61),1.584 (62),0.755 (49),0.836 (22),0.671 (48),0.758 (62),
456064,fwahhab,0.691 (29),-4.777 (68),1.611 (60),0.677 (51),0.794 (26),0.535 (52),4.942 (71),
828724,fb1,0.677 (30),0.255 (60),1.413 (65),0.677 (51),0.819 (24),0.627 (51),0.671 (58),
692345,cminkyu,0.613 (31),-5.676 (69),0.833 (67),0.412 (53),0.720 (27),0.479 (54),4.936 (70),
685865,mk2299,0.599 (32),-0.552 (67),0.734 (68),0.378 (54),0.685 (28),0.432 (55),1.060 (67),
