submission_pk,User,F_0.5,P,R,TP,FP,FN
893062,wuli,70.33 (25),72.51 (28),62.78 (7),3560.0 (7),1350.0 (19),2111.0 (45),
949435,melisa.stal,70.28 (26),72.71 (27),61.99 (9),3474.0 (10),1304.0 (22),2130.0 (43),
491205,Tomoya_Mizumoto,70.24 (27),74.71 (24),56.67 (21),2862.0 (31),969.0 (30),2188.0 (37),
525928,Masahiro,69.82 (28),72.31 (29),61.35 (11),3218.0 (16),1232.0 (24),2027.0 (47),
959822,aibowu,69.00 (29),70.18 (33),64.68 (3),3977.0 (1),1690.0 (13),2172.0 (40),
744543,khatrimann,68.85 (30),78.16 (20),46.62 (45),2373.0 (43),663.0 (41),2717.0 (7),
1045469,kyriez,68.01 (31),72.00 (30),55.66 (25),3073.0 (21),1195.0 (25),2448.0 (20),
904418,jordiclive,67.60 (32),70.40 (32),58.29 (17),3252.0 (14),1367.0 (18),2327.0 (31),
1132139,darlingdeli,67.00 (33),69.10 (34),59.75 (14),3249.0 (15),1453.0 (16),2189.0 (36),
651299,yungsung,66.92 (34),67.59 (37),64.33 (4),3838.0 (3),1840.0 (5),2128.0 (44),
723858,leodotnet,66.68 (35),68.49 (36),60.32 (13),3256.0 (13),1498.0 (15),2142.0 (41),
622791,zhoujunyu9102,66.05 (36),68.66 (35),57.35 (19),2927.0 (27),1336.0 (20),2177.0 (39),
899445,pygong,65.96 (37),66.43 (39),64.13 (5),3817.0 (4),1929.0 (3),2135.0 (42),
770927,jcli,65.91 (38),67.17 (38),61.29 (12),3720.0 (6),1818.0 (6),2350.0 (28),
536561,ying15,65.77 (39),71.12 (31),50.55 (39),2453.0 (38),996.0 (29),2400.0 (24),
1021841,bosslee,62.39 (40),64.69 (42),54.63 (31),2825.0 (32),1542.0 (14),2346.0 (30),
525904,gshan,58.82 (41),64.82 (41),42.94 (46),2194.0 (44),1191.0 (26),2916.0 (5),
1141529,lining,58.48 (42),65.26 (40),41.32 (47),1897.0 (45),1010.0 (28),2694.0 (8),
1145278,zangfenglei,55.48 (43),57.74 (44),47.99 (42),2384.0 (40),1745.0 (12),2584.0 (11),
1145223,wangkesong,55.48 (43),57.72 (45),48.01 (41),2385.0 (39),1747.0 (10),2583.0 (12),
1145148,ziyumeng,55.48 (43),57.74 (44),47.99 (42),2384.0 (40),1745.0 (12),2584.0 (11),
1144927,Yangyang_Shao,55.47 (44),57.72 (45),47.99 (42),2385.0 (39),1747.0 (10),2585.0 (10),
1145271,qiaoyi,55.46 (45),57.72 (45),47.96 (44),2382.0 (42),1745.0 (12),2585.0 (10),
1141600,nlplearner,55.46 (45),57.71 (46),47.97 (43),2383.0 (41),1746.0 (11),2585.0 (10),
1145275,yzharder,55.45 (46),57.70 (47),47.99 (42),2384.0 (40),1748.0 (9),2584.0 (11),
1145262,wxfon319,55.42 (47),57.65 (48),47.99 (42),2384.0 (40),1751.0 (8),2584.0 (11),
1141826,shixiufeng1234,55.42 (47),57.65 (48),47.99 (42),2384.0 (40),1751.0 (8),2584.0 (11),
490445,gec-beginner,50.12 (48),61.69 (43),28.63 (50),1211.0 (48),752.0 (39),3019.0 (4),
1114611,sunyi,46.65 (49),49.18 (49),38.67 (48),1837.0 (46),1898.0 (4),2914.0 (6),
1022619,raythx98,21.50 (50),24.33 (50),14.67 (52),577.0 (50),1795.0 (7),3356.0 (2),
1118865,sizuo,13.31 (51),11.71 (51),29.54 (49),1300.0 (47),9806.0 (2),3101.0 (3),
1116470,rasmusmaide,6.42 (52),5.58 (52),16.22 (51),662.0 (49),11212.0 (1),3419.0 (1),
