submission_pk,User,mAP,bicycle,bus,car,motorbike,person
872632,Klawens,44.2142 (18),37.3473 (4),19.1912 (22),81.1914 (17),44.2725 (13),39.0686 (21),
872490,ame_maybe,43.8630 (19),35.8386 (12),18.2604 (33),80.2743 (28),42.7479 (21),42.1940 (12),
872521,wudilailai,43.7960 (20),30.0714 (37),18.1212 (34),82.1577 (9),41.1567 (27),47.4727 (4),
872294,peng24,43.3822 (21),30.1104 (36),20.3432 (15),81.8360 (11),43.8225 (14),40.7991 (16),
872307,huyc1,43.3281 (22),36.7144 (7),19.8523 (17),82.8473 (8),40.5823 (32),36.6442 (27),
872499,invictus,43.3238 (23),33.6994 (22),17.9569 (35),80.9050 (18),40.6170 (31),43.4405 (8),
872372,tongxiao.rtx,42.9137 (24),34.2736 (18),17.8963 (37),80.4338 (24),42.4626 (25),39.5025 (19),
872337,Kaggle,42.8016 (25),33.8055 (21),17.6649 (38),80.4922 (22),42.5351 (24),39.5101 (18),
872518,HelloWorld1,42.7720 (26),32.7717 (31),23.5947 (9),81.2756 (16),37.1212 (42),39.0969 (20),
872437,proposals,42.3671 (27),21.8480 (53),18.7118 (29),79.8230 (30),38.8968 (35),52.5558 (2),
872025,SA20006104,42.3573 (28),34.1997 (19),18.7867 (28),81.5428 (15),40.0736 (33),37.1837 (25),
871628,ctt,42.3462 (29),36.0274 (10),17.9126 (36),76.7966 (39),46.3204 (7),34.6738 (34),
872284,liuxiaodong,42.2305 (30),37.3360 (5),18.4075 (31),81.5481 (14),40.7902 (28),33.0704 (41),
872485,zshaot123,42.0504 (31),35.9930 (11),19.0590 (25),80.5803 (19),37.1636 (41),37.4561 (24),
872224,luooofan,42.0332 (32),28.8155 (40),19.9898 (16),79.7801 (31),43.7593 (15),37.8211 (23),
872218,clevert,41.9602 (33),25.8492 (50),19.0876 (24),80.4858 (23),42.9665 (19),41.4118 (15),
872203,meyan,41.8530 (34),35.9930 (11),19.0590 (25),79.9005 (29),36.8562 (43),37.4561 (24),
872229,gujingxiao,41.7189 (35),33.3046 (26),18.8383 (27),78.9900 (32),45.3138 (9),32.1479 (42),
872390,hachreak,41.2891 (36),35.5603 (16),15.0079 (49),76.4187 (41),41.4835 (26),37.9752 (22),
872463,Emily123,41.1891 (37),33.2404 (27),19.8393 (18),80.4201 (25),35.2934 (46),37.1524 (26),
871521,vijaygao,41.1004 (38),29.6256 (38),13.3785 (52),71.5298 (47),45.3653 (8),45.6026 (6),
871565,worldpeace,40.7412 (39),30.4346 (35),21.5316 (13),80.2843 (27),36.4795 (45),34.9761 (32),
872038,pingan_wxd,39.7828 (40),30.6456 (34),22.1172 (11),77.9214 (34),36.5732 (44),31.6565 (44),
872634,kai_nwpu,39.4786 (41),33.1912 (28),15.1768 (48),76.7968 (38),45.2294 (10),26.9990 (52),
872193,peiyunwang,39.2259 (42),27.4806 (47),18.2832 (32),77.5771 (36),37.9207 (38),34.8681 (33),
872313,NWPU-ASGO,39.2259 (42),27.4806 (47),18.2832 (32),77.5771 (36),37.9207 (38),34.8681 (33),
872593,yuanyy,38.9858 (43),28.1931 (42),18.6146 (30),77.6831 (35),37.2771 (40),33.1610 (40),
872136,wnagpeiyu,38.7877 (44),27.7633 (45),16.9255 (41),76.6020 (40),37.4892 (39),35.1583 (31),
871928,sk15,38.4253 (45),33.6737 (23),16.8425 (42),73.7124 (45),33.9423 (48),33.9554 (37),
871946,lihua1234,38.0571 (46),33.0060 (30),15.1768 (48),75.4528 (43),39.6593 (34),26.9905 (53),
872269,hrishikeshps,37.7682 (47),26.3071 (48),17.0174 (39),77.4120 (37),33.9208 (49),34.1836 (36),
871478,thedarkknight,37.6379 (48),25.2720 (51),15.6467 (46),74.9232 (44),40.6563 (30),31.6912 (43),
872594,ElPsyCongroo,37.4400 (49),31.9724 (32),13.1476 (55),76.0814 (42),43.4079 (18),22.5907 (57),
872178,lxd123,37.0660 (50),28.2804 (41),19.8112 (19),64.1280 (55),42.5573 (22),30.5533 (46),
871926,xieyy,36.8893 (51),28.1304 (43),13.9464 (51),71.6454 (46),42.5572 (23),28.1672 (50),
871681,ltx,35.9913 (52),27.8069 (44),19.6204 (21),64.1037 (56),37.9887 (37),30.4371 (47),
871385,qq123,35.8321 (53),24.7326 (52),30.7204 (7),64.1336 (54),26.1035 (55),33.4706 (39),
871680,zhoufei,35.2414 (54),33.0169 (29),15.3558 (47),68.3312 (50),33.7836 (50),25.7193 (54),
872309,alasa,34.2984 (55),28.9277 (39),19.1001 (23),64.5493 (53),33.6133 (51),25.3018 (55),
871495,bugplayer,33.9231 (56),25.9157 (49),13.3161 (53),69.5391 (49),29.8558 (53),30.9888 (45),
872495,zekunzhang,33.0504 (57),20.7500 (54),16.0649 (45),70.8726 (48),28.8943 (54),28.6704 (49),
872501,keamy,33.0504 (57),20.7500 (54),16.0649 (45),70.8726 (48),28.8943 (54),28.6704 (49),
872621,daybreak,31.6813 (58),19.9262 (55),13.1851 (54),66.0251 (51),31.3359 (52),27.9341 (51),
871844,BreSee_A5,28.0148 (59),18.6556 (56),14.4516 (50),65.5358 (52),21.0586 (56),20.3726 (58),
872559,Yimi,25.7102 (60),3.4485 (58),16.9958 (40),60.9523 (57),13.2522 (58),33.9024 (38),
871689,PB1705,23.7042 (61),15.9564 (57),9.5086 (56),53.8364 (59),14.2997 (57),24.9198 (56),
871652,PLester,20.3397 (62),1.5612 (59),7.4782 (58),55.8778 (58),7.7857 (59),28.9957 (48),
761501,shakehealthy,10.7601 (63),0.3880 (60),7.9065 (57),31.2367 (60),1.7010 (60),12.5682 (59),
