submission_pk,User,Mean joint error (procrustes alignment),Mean joint error (scale and trans alignment),Mean joint AUC (procrustes alignment),Mean joint AUC (scale and trans alignment),Mesh error (procrustes alignment),Mesh error AUC (procrustes alignment),F-score@5mm (procrustes alignment),F-score@15mm (procrustes alignment)
762853,stnoah,1.10 (17),5.05 (32),0.781 (18),0.259 (33),1.09 (18),0.781 (18),0.448 (21),0.938 (16),
1147477,Harken,1.10 (18),2.66 (9),0.781 (17),0.531 (12),1.15 (25),0.771 (24),0.452 (20),0.929 (24),
1121101,ArtiBoost,1.12 (19),2.64 (8),0.777 (19),0.523 (14),5.47 (36),0.112 (36),0.000 (36),0.013 (36),
1111557,Jkpark,1.12 (20),3.78 (23),0.776 (20),0.412 (19),1.09 (17),0.782 (17),0.479 (16),0.935 (18),
1020994,Ziwei,1.13 (21),2.70 (10),0.775 (21),0.528 (13),1.13 (21),0.775 (20),0.470 (18),0.931 (23),
1018300,loopz23,1.14 (22),3.69 (21),0.773 (22),0.369 (24),1.14 (22),0.773 (22),0.428 (26),0.932 (22),
731353,zly123,1.14 (23),3.85 (25),0.772 (23),0.379 (22),1.13 (20),0.775 (21),0.445 (22),0.932 (21),
701347,haomeng,1.14 (24),4.22 (28),0.772 (24),0.335 (30),1.16 (26),0.768 (26),0.432 (24),0.929 (25),
815711,ALmadani,1.14 (25),3.69 (22),0.772 (25),0.369 (25),1.14 (23),0.772 (23),0.429 (25),0.933 (20),
1120052,Batofgo,1.16 (26),4.54 (29),0.769 (26),0.344 (27),1.11 (19),0.779 (19),0.466 (19),0.927 (26),
613184,lmc20,1.19 (27),14.68 (36),0.764 (27),0.073 (35),1.17 (27),0.768 (27),0.444 (23),0.924 (27),
718361,hpoes,1.26 (28),3.25 (18),0.750 (28),0.551 (9),5.47 (36),0.112 (36),0.000 (36),0.013 (36),
1145024,ataboukhadra,1.32 (29),3.08 (16),0.740 (29),0.481 (18),5.47 (36),0.112 (36),0.000 (36),0.013 (36),
722067,pgrady3,1.38 (30),3.52 (19),0.728 (30),0.401 (21),1.36 (30),0.731 (30),0.390 (28),0.885 (30),
679116,yhasson,1.39 (31),3.82 (24),0.725 (31),0.356 (26),1.14 (24),0.771 (25),0.425 (27),0.934 (19),
604298,fearos,1.51 (32),4.10 (27),0.700 (33),0.314 (31),1.50 (31),0.702 (31),0.334 (33),0.860 (31),
641079,Sguha,1.54 (33),2.72 (11),0.702 (32),0.531 (11),1.34 (29),0.734 (29),0.384 (30),0.902 (29),
811176,NadiaR,1.60 (34),2.80 (12),0.694 (34),0.539 (10),1.30 (28),0.742 (28),0.390 (29),0.912 (28),
1085217,Enric,1.61 (35),11.19 (34),0.689 (35),0.113 (34),1.61 (33),0.689 (33),0.339 (32),0.843 (33),
700031,jameel,1.72 (36),3.19 (17),0.683 (36),0.574 (3),1.59 (32),0.691 (32),0.373 (31),0.859 (32),
1125537,lzf123,1.73 (37),15.31 (39),0.655 (37),0.066 (39),1.61 (34),0.679 (34),0.328 (34),0.820 (34),
1056129,ZwZ,1.81 (38),5.10 (33),0.650 (38),0.336 (28),5.47 (36),0.112 (36),0.000 (36),0.013 (36),
839731,dongguadong,1.83 (39),4.73 (30),0.639 (39),0.336 (29),2.40 (35),0.539 (35),0.233 (35),0.766 (35),
684042,Moyingxu,2.88 (40),4.76 (31),0.471 (40),0.262 (32),5.47 (36),0.112 (36),0.000 (36),0.013 (36),
752131,wqdfj,4.53 (41),12.13 (35),0.235 (41),0.064 (40),1.01 (11),0.798 (11),0.492 (14),0.950 (10),
submission_pk,User,Mean joint error,Mean joint AUC,Mesh error,Mesh error AUC,F-score@5mm,F-score@15mm
813966,aspurr,1.92 (1),0.636 (1),1.89 (1),0.639 (1),0.333 (1),0.828 (1),
1141203,overleaf,2.28 (2),0.585 (4),2.27 (3),0.585 (3),0.287 (3),0.784 (3),
1076890,hogrp,2.33 (3),0.568 (8),2.28 (4),0.578 (4),0.281 (5),0.768 (5),
1062848,HybrIK,2.34 (4),0.572 (7),2.24 (2),0.586 (2),0.293 (2),0.766 (6),
641079,Sguha,2.38 (5),0.580 (5),2.30 (6),0.565 (6),0.268 (8),0.781 (4),
700031,jameel,2.46 (6),0.631 (2),2.70 (11),0.544 (10),0.284 (4),0.760 (7),
1119995,pfren,2.46 (7),0.537 (12),2.39 (7),0.549 (9),0.258 (11),0.727 (11),
1147477,Harken,2.47 (8),0.556 (9),2.44 (9),0.559 (7),0.271 (7),0.752 (8),
1113002,namepllet,2.49 (9),0.539 (10),2.42 (8),0.551 (8),0.260 (9),0.729 (10),
811176,NadiaR,2.52 (10),0.579 (6),2.28 (5),0.571 (5),0.275 (6),0.787 (2),
1121101,ArtiBoost,2.53 (11),0.537 (11),57.12 (30),0.000 (28),0.000 (28),0.000 (28),
1020994,Ziwei,2.61 (12),0.529 (13),2.54 (10),0.542 (11),0.259 (10),0.735 (9),
1042328,yao24,3.00 (13),0.490 (14),2.89 (12),0.503 (12),0.232 (12),0.685 (12),
915747,handtest,3.00 (13),0.490 (14),2.89 (12),0.503 (12),0.232 (12),0.685 (12),
1120779,Raywit,3.03 (14),0.483 (15),2.92 (13),0.496 (13),0.231 (13),0.677 (13),
1145024,ataboukhadra,3.12 (15),0.460 (16),57.12 (30),0.000 (28),0.000 (28),0.000 (28),
718361,hpoes,3.13 (16),0.587 (3),57.12 (30),0.000 (28),0.000 (28),0.000 (28),
731353,zly123,3.45 (17),0.402 (17),3.45 (14),0.403 (15),0.194 (15),0.650 (14),
701347,haomeng,3.63 (18),0.370 (20),3.64 (16),0.370 (17),0.186 (17),0.631 (15),
722067,pgrady3,3.65 (19),0.382 (19),3.53 (15),0.396 (16),0.189 (16),0.619 (16),
1111557,Jkpark,3.84 (20),0.398 (18),3.69 (17),0.413 (14),0.194 (14),0.601 (17),
1120052,Batofgo,4.59 (21),0.331 (21),4.44 (18),0.341 (18),0.164 (18),0.541 (18),
679116,yhasson,4.71 (22),0.297 (23),4.94 (19),0.261 (20),0.124 (20),0.451 (19),
1056129,ZwZ,5.08 (23),0.325 (22),57.12 (30),0.000 (28),0.000 (28),0.000 (28),
684042,Moyingxu,5.32 (24),0.212 (25),57.12 (30),0.000 (28),0.000 (28),0.000 (28),
1018300,loopz23,5.52 (25),0.202 (26),5.51 (20),0.202 (21),0.106 (22),0.404 (22),
815711,ALmadani,5.52 (26),0.202 (27),5.51 (21),0.202 (22),0.106 (21),0.406 (21),
762853,stnoah,7.63 (27),0.086 (28),7.60 (22),0.087 (23),0.063 (23),0.263 (24),
839731,dongguadong,8.05 (28),0.035 (29),8.52 (24),0.025 (24),0.063 (24),0.271 (23),
569201,bullet,8.42 (29),0.267 (24),8.34 (23),0.265 (19),0.136 (19),0.446 (20),
1085217,Enric,21.81 (30),0.013 (30),22.10 (25),0.013 (25),0.012 (25),0.051 (25),
965966,sean_9,23.91 (31),0.002 (31),23.88 (26),0.002 (26),0.004 (26),0.016 (26),
1106653,zijinxuxu,38.42 (32),0.000 (32),38.48 (27),0.000 (27),0.000 (27),0.001 (27),
1068036,GR,54.33 (33),0.000 (33),54.77 (28),0.000 (28),0.000 (28),0.000 (28),
729336,uriwolln,55.18 (34),0.000 (33),57.12 (30),0.000 (28),0.000 (28),0.000 (28),
613184,lmc20,56.57 (35),0.000 (33),57.10 (29),0.000 (28),0.000 (28),0.000 (28),
953512,daiheng,56.83 (36),0.000 (33),57.32 (31),0.000 (28),0.000 (28),0.000 (28),
752131,wqdfj,58.19 (37),0.000 (33),58.27 (32),0.000 (28),0.000 (28),0.000 (28),
1125537,lzf123,58.46 (38),0.000 (33),58.74 (33),0.000 (28),0.000 (28),0.000 (28),
604298,fearos,60.55 (39),0.000 (33),60.53 (34),0.000 (28),0.000 (28),0.000 (28),
1086632,ziania,61.20 (40),0.000 (33),61.13 (35),0.000 (28),0.000 (28),0.000 (28),
841297,algcd,114.60 (41),0.000 (33),115.56 (36),0.000 (28),0.000 (28),0.000 (28),
