submission_pk,User,meanAP,APpedestrian,APcyclist,APcar,APtruck,APtram,APtricycle
979689,Spring-flower,77.72 (20),77.54 (23),83.97 (26),90.17 (25),83.33 (26),80.94 (21),50.37 (18),
979693,Cocolili,77.66 (21),77.51 (24),83.88 (27),90.19 (24),83.41 (25),80.86 (23),50.12 (19),
984200,huangzhiyuan,77.66 (21),77.29 (25),84.40 (21),91.97 (8),84.79 (18),80.47 (25),47.03 (27),
969885,mirami,77.61 (22),77.80 (21),84.20 (24),90.52 (22),83.99 (24),80.34 (26),48.84 (22),
980137,a15900679583,77.44 (23),76.66 (29),84.24 (23),91.52 (14),84.46 (21),80.88 (22),46.86 (28),
985590,BreSee_A5,77.40 (24),81.05 (5),85.33 (11),89.30 (29),82.80 (28),77.82 (33),48.13 (23),
983162,keson26,77.06 (25),76.54 (30),84.08 (25),91.45 (15),84.15 (23),79.88 (27),46.25 (29),
985142,xuyuan,76.59 (26),76.25 (31),83.60 (28),90.23 (23),83.33 (26),78.46 (31),47.65 (25),
984113,BrusMars,76.28 (27),77.02 (27),83.57 (29),89.93 (26),82.72 (29),78.75 (30),45.66 (31),
982691,Xianshidisanzhongxue,76.23 (28),77.12 (26),83.01 (31),89.66 (28),81.95 (31),79.75 (28),45.90 (30),
980072,vablen,75.90 (29),76.95 (28),83.19 (30),89.91 (27),82.51 (30),78.40 (32),44.42 (32),
981060,never,75.58 (30),75.82 (32),82.85 (32),89.10 (30),82.95 (27),78.89 (29),43.86 (33),
979960,qazmlp,73.84 (31),74.35 (33),81.75 (34),88.96 (31),80.40 (33),77.04 (34),40.55 (34),
966769,ctt,71.59 (32),78.99 (15),80.66 (36),90.76 (21),84.15 (23),64.68 (45),30.28 (39),
1090336,MelaEric,71.43 (33),73.20 (35),79.71 (37),87.91 (36),78.89 (35),72.82 (37),36.04 (35),
970142,rengang,70.95 (34),72.64 (36),82.43 (33),88.21 (34),77.41 (36),75.02 (35),29.97 (41),
970139,yaqian_zhao,69.86 (35),68.61 (40),82.43 (33),88.21 (34),77.41 (36),75.02 (35),27.50 (43),
982452,humanbody,68.86 (36),68.58 (41),76.75 (41),88.29 (33),80.17 (34),72.68 (38),26.70 (44),
985077,izhik,68.62 (37),69.61 (38),78.16 (39),84.67 (40),74.61 (41),71.56 (40),33.08 (37),
976847,SongLin,68.58 (38),69.48 (39),76.72 (42),84.96 (39),77.20 (37),71.23 (41),31.87 (38),
973852,runzeer910922,68.00 (39),73.83 (34),81.40 (35),88.20 (35),76.92 (38),74.41 (36),13.22 (48),
974599,Ach,67.76 (40),67.69 (42),77.12 (40),85.59 (37),73.74 (42),68.60 (43),33.84 (36),
983647,luna555,65.77 (41),72.28 (37),78.92 (38),88.89 (32),80.88 (32),72.11 (39),1.53 (55),
970667,wangsiling,64.31 (42),66.28 (43),73.56 (44),85.25 (38),75.48 (39),68.72 (42),16.58 (47),
976312,cumtbAI,63.54 (43),66.28 (43),73.56 (44),85.25 (38),75.48 (39),68.72 (42),11.97 (49),
983002,BlackSmithM,62.68 (44),59.66 (46),69.65 (45),82.29 (42),70.79 (43),63.41 (46),30.27 (40),
977939,cenchaojun,62.63 (45),62.43 (45),73.95 (43),82.18 (43),70.09 (44),61.38 (47),25.73 (45),
968559,qq3394101,59.88 (46),64.39 (44),69.29 (46),84.41 (41),75.05 (40),66.11 (44),0.00 (56),
972583,caijiYANG,57.83 (47),55.71 (47),66.34 (47),79.72 (44),66.73 (45),56.41 (48),22.04 (46),
985037,NikolaJov96,52.39 (48),51.00 (48),63.68 (48),78.56 (45),61.60 (46),51.20 (49),8.34 (51),
983850,aaasusual,44.10 (49),42.42 (50),52.80 (50),71.78 (46),52.50 (48),41.33 (51),3.75 (53),
984170,xubocheng,43.95 (50),43.39 (49),55.54 (49),67.08 (47),49.99 (49),36.37 (52),11.33 (50),
985847,wcy,41.90 (51),32.39 (52),48.96 (51),62.04 (48),52.99 (47),46.95 (50),8.06 (52),
985677,Knightcrusader,27.31 (52),19.30 (53),37.32 (52),51.11 (49),28.23 (50),24.81 (53),3.06 (54),
969158,b10756041,14.85 (53),37.80 (51),2.29 (53),48.99 (50),0.00 (52),0.00 (54),0.00 (56),
970005,xiaohuiwang,4.91 (54),0.00 (55),0.00 (54),0.00 (52),0.00 (52),0.00 (54),29.48 (42),
984872,zzzzzzzzzzzzzzzzzz,0.08 (55),0.42 (54),0.00 (54),0.01 (51),0.04 (51),0.00 (54),0.00 (56),
