submission_pk,User,Task B
1080244,vishesh_gupta,0.634 (66),
1071495,Levante,0.634 (67),
1075720,Aily,0.632 (68),
1087252,YahyaD11,0.621 (69),
1080079,Jhermosillo,0.620 (70),
1088802,charicfc,0.620 (71),
1088742,patrickliu2011,0.619 (72),
1088787,rhitabrat,0.609 (73),
1075876,jofuepa,0.608 (74),
1086230,OrionXV,0.606 (75),
1069465,milan_kalkenings,0.603 (76),
1075839,a-lit-iteration,0.596 (77),
1075176,SakshiSingh,0.579 (78),
1087661,Baseline_Image_Text,0.543 (79),
1074381,areen,0.524 (80),
1084279,RajalakshmiS,0.522 (81),
1081177,tamtamxtamtam,0.481 (82),
1087666,Baseline_Flat_Multilabel,0.437 (83),
