submission_pk,User,Prediction score,Duration
784182,melancholy,0.6406 (40),0.0000 (1),
658274,JingChao.Liu,0.6403 (41),0.0000 (1),
1147576,afperezm,0.6401 (42),0.0000 (1),
1144677,BBYZ,0.6397 (43),0.0000 (1),
579907,kr_fool,0.6388 (44),0.0000 (1),
496869,dcjt_gjy,0.6369 (45),0.0000 (1),
479439,LinYi,0.6365 (46),0.0000 (1),
457761,AutonomousSatelliteDrivers,0.6361 (47),0.0000 (1),
524570,XingqunQi,0.6357 (48),0.0000 (1),
838937,kangkai,0.6355 (49),0.0000 (1),
635907,gsh,0.6348 (50),0.0000 (1),
1056896,jyn244636695,0.6327 (51),0.0000 (1),
493675,HornGate,0.6308 (52),0.0000 (1),
457757,jxd,0.6306 (53),0.0000 (1),
620565,Katherine_Yan,0.6301 (54),0.0000 (1),
535377,zhuozheng,0.6292 (55),0.0000 (1),
555370,zaoyifan,0.6253 (56),0.0000 (1),
503663,dofx,0.6245 (57),0.0000 (1),
458315,maksimovka,0.6230 (58),0.0000 (1),
455831,rshvetsov,0.6223 (59),0.0000 (1),
483584,siyu,0.6223 (60),0.0000 (1),
458110,deepjoker,0.6221 (61),0.0000 (1),
495556,canaltinigne,0.6173 (62),0.0000 (1),
458284,ipraznik,0.6164 (63),0.0000 (1),
456405,heisai20170724,0.6156 (64),0.0000 (1),
456632,Titannet,0.6153 (65),0.0000 (1),
458081,dtomek,0.6150 (66),0.0000 (1),
458387,littleaich,0.6143 (67),0.0000 (1),
746415,lhc741,0.6143 (68),0.0000 (1),
531079,zhanglz,0.6122 (69),0.0000 (1),
457000,snp,0.6120 (70),0.0000 (1),
455493,liduo,0.6107 (71),0.0000 (1),
1122556,forbe6,0.6105 (72),0.0000 (1),
456073,eladbb,0.6085 (73),0.0000 (1),
458479,Joost,0.6066 (74),0.0000 (1),
458511,alina.marcu,0.6059 (75),0.0000 (1),
455217,xuebin_ualberta,0.6041 (76),0.0000 (1),
458441,anil2185,0.6033 (77),0.0000 (1),
458480,youyanan,0.6030 (78),0.0000 (1),
458574,lvyansong,0.6025 (79),0.0000 (1),
1087633,xavi,0.6023 (80),0.0000 (1),
456392,shida_he,0.6020 (81),0.0000 (1),
571340,hehao,0.6012 (82),0.0000 (1),
473597,zzy,0.6006 (83),0.0000 (1),
1141223,ConnoRoR,0.5982 (84),0.0000 (1),
1131680,Booligan,0.5970 (85),0.0000 (1),
454859,sshuair,0.5944 (86),0.0000 (1),
473196,bgong,0.5933 (87),0.0000 (1),
458362,vessemer,0.5923 (88),0.0000 (1),
452289,atlas,0.5911 (89),0.0000 (1),
456302,suntao1603,0.5907 (90),0.0000 (1),
845987,xiaojian,0.5899 (91),0.0000 (1),
458495,murat,0.5898 (92),0.0000 (1),
454820,andrewekhalel,0.5887 (93),0.0000 (1),
456550,nz,0.5878 (94),0.0000 (1),
449860,Fromandtozh,0.5872 (95),0.0000 (1),
453571,fbastani,0.5869 (96),0.0000 (1),
458545,jigardoshi,0.5841 (97),0.0000 (1),
458453,geoAIgo,0.5809 (98),0.0000 (1),
455706,neneko,0.5787 (99),0.0000 (1),
456474,hama,0.5785 (100),0.0000 (1),
455939,Pepslee,0.5783 (101),0.0000 (1),
775177,rock4you,0.5782 (102),0.0000 (1),
457079,naman,0.5775 (103),0.0000 (1),
457768,karimmamer,0.5718 (104),0.0000 (1),
455689,maybe_forever,0.5693 (105),0.0000 (1),
451038,nickdebu,0.5680 (106),0.0000 (1),
453970,xindou,0.5610 (107),0.0000 (1),
458433,TIANCHAO,0.5541 (108),0.0000 (1),
456217,AlekseyShabanov,0.5532 (109),0.0000 (1),
454806,Lito,0.5528 (110),0.0000 (1),
568160,Bodhiswatta,0.5501 (111),0.0000 (1),
451136,harveyla,0.5421 (112),0.0000 (1),
448592,CSU-DEEP-LEARNING,0.5416 (113),0.0000 (1),
456469,Tvix,0.5361 (114),0.0000 (1),
454756,fanneilyang,0.5281 (115),0.0000 (1),
1126672,liwensheng,0.5267 (116),0.0000 (1),
704703,the123avatar,0.5265 (117),0.0000 (1),
453775,boris097156,0.5236 (118),0.0000 (1),
453046,songtao,0.5194 (119),0.0000 (1),
456660,ashiyasu1014,0.5162 (120),0.0000 (1),
448958,stanking,0.5147 (121),0.0000 (1),
457903,shriphani,0.5123 (122),0.0000 (1),
822863,liuqiang,0.5108 (123),0.0000 (1),
457681,wyj,0.5107 (124),0.0000 (1),
450591,birolkuyumcu,0.5048 (125),0.0000 (1),
450185,sk2018,0.5025 (126),0.0000 (1),
453483,trongdat3011,0.5003 (127),0.0000 (1),
448852,zijundeng,0.4924 (128),0.0000 (1),
449803,rlit,0.4834 (129),0.0000 (1),
454729,wangyupei,0.4829 (130),0.0000 (1),
454789,CSU-CHEN,0.4791 (131),0.0000 (1),
458456,nikhalster,0.4739 (132),0.0000 (1),
449037,sshekhar,0.4710 (133),0.0000 (1),
449752,kj,0.4589 (134),0.0000 (1),
907557,Floko,0.4483 (135),0.0000 (1),
456247,PeterFischer,0.4452 (136),0.0000 (1),
448560,network,0.4421 (137),0.0000 (1),
451623,ckwang,0.4319 (138),0.0000 (1),
487440,funkunlong,0.4278 (139),0.0000 (1),
448581,Penn,0.3671 (140),0.0000 (1),
455650,golovanov,0.3473 (141),0.0000 (1),
450744,wei,0.3004 (142),0.0000 (1),
455720,Temigo,0.2959 (143),0.0000 (1),
450316,yky,0.2884 (144),0.0000 (1),
545747,cupsnake,0.2877 (145),0.0000 (1),
458558,jjohnson44,0.2127 (146),0.0000 (1),
602503,eatyou,0.2120 (147),0.0000 (1),
1134827,gjustin,0.1257 (148),0.0000 (1),
451982,sandeep,0.0467 (149),0.0000 (1),
451140,gpascualg,0.0296 (150),0.0000 (1),
451464,all_over,0.0003 (151),0.0000 (1),
940268,yanfeiliu,0.0000 (152),0.0000 (1),
923683,HeNan_zhouhuafei,0.0000 (152),0.0000 (1),
856781,chengliao,0.0000 (152),0.0000 (1),
764628,Allen_NCHU,0.0000 (152),0.0000 (1),
607758,CP_V1,0.0000 (152),0.0000 (1),
636227,yangjialin1996,0.0000 (152),0.0000 (1),
570590,ZLei,0.0000 (152),0.0000 (1),
577499,sabarinathan,0.0000 (152),0.0000 (1),
513060,hongbin_wang,0.0000 (152),0.0000 (1),
516828,Parveen,0.0000 (152),0.0000 (1),
449857,truncs,0.0000 (152),0.0000 (1),
456407,JingZhang,0.0000 (152),0.0000 (1),
