submission_pk,User,correct
569490,ayan7246,0.677 (67),
749290,Aadilmoeen_234_C,0.676 (68),
749271,Adnan_078_D,0.675 (69),
748824,Zahra_316_B,0.675 (70),
745756,ZahraAziz,0.673 (71),
749261,Zubaria_231_E,0.672 (72),
748036,Saqib_099_D,0.672 (73),
748856,Rawan_025_D,0.672 (74),
748727,Mariam_165_B,0.671 (75),
561354,rachel,0.671 (76),
560673,the0ne,0.671 (77),
749340,Ammad_092_C,0.670 (78),
749684,Sana_341_C,0.670 (79),
749068,Syedadil_096_C,0.670 (80),
748413,HyderAbbasNaqvi_009_B,0.669 (81),
555429,anuragvij264,0.668 (82),
748218,Huzaifa_305_B,0.668 (83),
747881,Ayesha_010_B,0.668 (84),
748033,Sarah_082_A,0.667 (85),
748310,Yumna_215_B,0.667 (86),
745339,MuhammadBilal_317_B,0.666 (87),
744270,ShayaanFarooq_093_B,0.666 (88),
748360,Ali_069_B,0.666 (89),
747869,Hassan_281_A,0.666 (90),
749379,Dania_175_E,0.665 (91),
569585,RAMANDEEP,0.665 (92),
748885,Rabbia_293_A,0.665 (93),
565931,pribanp,0.665 (94),
748903,Ahsan_21,0.665 (95),
749559,ArmaghanUrRasool,0.664 (96),
748822,hanzalah_107_B,0.664 (97),
748974,Armaghan_147_A,0.663 (98),
747376,Azfar_158_E,0.663 (99),
748858,Ali_261_B,0.663 (100),
555816,sainik.mahata,0.662 (101),
570000,buraka,0.661 (102),
574103,souryadipta,0.661 (103),
748173,HamzaMahmood_054_A,0.661 (104),
563426,pratikbhavsar,0.661 (105),
748618,SyedMustafaAli_0253_B,0.661 (106),
569990,mohitasudani,0.657 (107),
749685,Hamzaamir_125_C,0.655 (108),
556048,sjmaharjan,0.655 (109),
555867,lakshadvani,0.655 (109),
749676,Hamza_023_C,0.655 (110),
567450,suraj1ly,0.654 (111),
749616,talha_nazir,0.651 (112),
749220,Shazil_298_E,0.650 (113),
748233,Shazil,0.650 (113),
561003,dhruvrnaik,0.650 (114),
749131,Saud_344_A,0.649 (115),
570035,Sugeeth14,0.648 (116),
748890,shehroz_308_c,0.648 (117),
749612,Salib_171_D,0.644 (118),
748860,AliHamza_0254_C,0.642 (119),
748826,drklrd56,0.642 (119),
570084,ugrganesh,0.641 (120),
570083,KalyanGvs,0.637 (121),
749473,i170170_C,0.628 (122),
749476,Aman123,0.627 (123),
749436,salarhussain4,0.627 (124),
563632,abestard,0.626 (125),
562557,Manmeet,0.626 (126),
749548,AmnaZahid_286_B,0.625 (127),
749004,MuhammadTauseeq_277_B,0.623 (128),
748876,Muhammad_Tauseeq,0.623 (128),
569616,riveill,0.620 (129),
575724,rns2020,0.617 (130),
749843,Ayesha_313_E,0.613 (131),
749455,Mazarib,0.613 (132),
748368,Aimen_156_D,0.612 (133),
748852,hihi_09,0.607 (134),
748837,OXY,0.607 (134),
748623,Hamza_041_E,0.607 (135),
748586,Irfan_006_E,0.607 (135),
748563,hamzaayad000,0.607 (135),
748447,IrfanKarim,0.603 (136),
748399,hamzaayad0,0.603 (137),
748438,hamzaayad,0.602 (138),
748437,hamzaayad07,0.602 (138),
561541,vivek_IITGN,0.600 (139),
559139,gagan42,0.589 (140),
749134,tauseefnawaz_i171049_C,0.584 (141),
749106,tauseefnawaz075,0.584 (141),
574372,himanshu366,0.580 (142),
574225,Abhilash,0.463 (143),
749660,uzair3212,0.400 (144),
749764,Nouman_235_C,0.396 (145),
563523,Lavinia_Ap,0.324 (146),
749533,Zainab_225_C,0.323 (147),
749424,Musa_037_C,0.318 (148),
749743,ahsaan_ullah_133_D,0.249 (149),
