submission_pk,User,All-Masked (MFR),Wild-Masked (MFR),Controlled-Masked (MFR),All (SFR),Wild (SFR),Controlled (SFR),Detection Time,Recognition Time,Total Time
951195,betterone,0.1341 (11),0.1608 (9),0.0882 (13),0.0291 (8),0.0476 (9),0.0032 (6),157.00 (6),948.00 (58),1105.00 (59),
953070,cheng3qing,0.1377 (12),0.1685 (12),0.0812 (8),0.0538 (24),0.0782 (24),0.0062 (20),159.00 (8),688.00 (44),847.00 (45),
932466,nayesoj,0.1389 (13),0.1724 (14),0.0814 (9),0.0498 (19),0.0761 (23),0.0042 (11),164.00 (12),346.00 (26),510.00 (27),
935390,amyburden,0.1503 (14),0.1807 (15),0.0996 (17),0.0413 (13),0.0639 (14),0.0048 (16),158.00 (7),659.00 (43),817.00 (43),
931483,mind_ft,0.1503 (14),0.1813 (16),0.1003 (18),0.0377 (10),0.0603 (11),0.0040 (9),160.00 (9),340.00 (24),500.00 (26),
930637,jyf,0.1591 (15),0.2026 (19),0.0769 (7),0.0878 (41),0.1267 (42),0.0097 (30),158.00 (7),320.00 (20),478.00 (23),
931486,Wison,0.1596 (16),0.1906 (17),0.1093 (20),0.0386 (11),0.0624 (12),0.0037 (8),164.00 (12),570.00 (37),734.00 (38),
941460,ncvl01,0.1685 (17),0.1996 (18),0.1133 (21),0.0457 (15),0.0683 (16),0.0042 (11),157.00 (6),819.00 (49),976.00 (50),
952464,Daniel2018,0.1736 (18),0.2172 (26),0.0994 (16),0.0723 (33),0.1115 (38),0.0075 (26),158.00 (7),330.00 (22),488.00 (24),
930642,simonss,0.1745 (19),0.2043 (20),0.1196 (22),0.0462 (16),0.0682 (15),0.0043 (12),157.00 (6),1164.00 (61),1321.00 (62),
933188,hihi123,0.1767 (20),0.2106 (23),0.1133 (21),0.0456 (14),0.0730 (19),0.0042 (11),184.00 (16),644.00 (39),828.00 (44),
936234,Sungmin,0.1780 (21),0.2086 (22),0.1210 (24),0.0473 (18),0.0697 (17),0.0044 (13),136.00 (4),1160.00 (60),1296.00 (61),
931699,HIT_face,0.1780 (21),0.2083 (21),0.1224 (25),0.0470 (17),0.0701 (18),0.0041 (10),226.00 (19),639.00 (38),865.00 (46),
930624,thesherlock,0.1826 (22),0.2124 (24),0.1285 (28),0.0501 (21),0.0744 (21),0.0045 (14),162.00 (10),439.00 (31),601.00 (32),
932211,fh_nj,0.1827 (23),0.2144 (25),0.1249 (26),0.0508 (22),0.0758 (22),0.0048 (16),158.00 (7),316.00 (16),474.00 (20),
930648,liu_xiang886,0.1859 (24),0.2329 (32),0.0897 (14),0.1103 (46),0.1543 (48),0.0127 (33),157.00 (6),317.00 (17),474.00 (20),
932256,ppnn,0.1867 (25),0.2251 (29),0.1056 (19),0.0937 (44),0.1282 (43),0.0133 (34),159.00 (8),827.00 (50),986.00 (52),
931317,MCPRL_aiwa,0.1882 (26),0.2182 (27),0.1328 (30),0.0500 (20),0.0741 (20),0.0045 (14),158.00 (7),657.00 (42),815.00 (42),
930635,tongtong,0.1923 (27),0.2246 (28),0.1332 (31),0.0529 (23),0.0792 (25),0.0047 (15),159.00 (8),318.00 (18),477.00 (22),
930634,billzeng,0.1923 (27),0.2246 (28),0.1332 (31),0.0529 (23),0.0792 (25),0.0048 (16),157.00 (6),319.00 (19),476.00 (21),
953423,runauto,0.1938 (28),0.2311 (31),0.1224 (25),0.0741 (34),0.1066 (35),0.0071 (24),157.00 (6),733.00 (45),890.00 (47),
952344,yossibiton,0.1944 (29),0.2263 (30),0.1345 (32),0.0552 (25),0.0818 (27),0.0049 (17),167.00 (13),83.00 (4),250.00 (6),
930646,haoyayu365,0.1970 (30),0.2345 (33),0.1321 (29),0.0566 (26),0.0892 (28),0.0061 (19),156.00 (5),396.00 (30),552.00 (30),
932055,dler,0.2064 (31),0.2389 (34),0.1464 (41),0.0538 (24),0.0807 (26),0.0051 (18),181.00 (15),1060.00 (59),1241.00 (60),
930871,f.gomes,0.2092 (32),0.2459 (36),0.1407 (34),0.0676 (30),0.0999 (32),0.0064 (21),157.00 (6),1285.00 (62),1442.00 (63),
931479,AntonS,0.2093 (33),0.2450 (35),0.1411 (35),0.0698 (31),0.1017 (33),0.0069 (23),157.00 (6),337.00 (23),494.00 (25),
931482,Jim_1021,0.2106 (34),0.2553 (40),0.1204 (23),0.0978 (45),0.1384 (46),0.0101 (31),156.00 (5),829.00 (51),985.00 (51),
930644,linghu8812,0.2117 (35),0.2510 (38),0.1352 (33),0.0828 (39),0.1200 (41),0.0072 (25),157.00 (6),857.00 (53),1014.00 (55),
930631,tib6913,0.2141 (36),0.2501 (37),0.1453 (39),0.0720 (32),0.1044 (34),0.0066 (22),157.00 (6),192.00 (10),349.00 (13),
931481,meixitu2,0.2171 (37),0.2501 (37),0.1529 (46),0.0630 (28),0.0901 (29),0.0069 (23),157.00 (6),295.00 (15),452.00 (18),
948885,Cavall,0.2174 (38),0.2583 (44),0.1418 (37),0.0792 (37),0.1172 (39),0.0066 (22),157.00 (6),389.00 (29),546.00 (29),
930625,HYL_Dave,0.2174 (38),0.2562 (41),0.1444 (38),0.0751 (36),0.1112 (37),0.0069 (23),157.00 (6),173.00 (7),330.00 (10),
930645,zhangge00hou,0.2187 (39),0.2565 (42),0.1469 (42),0.0742 (35),0.1090 (36),0.0071 (24),157.00 (6),647.00 (40),804.00 (40),
930655,maguih,0.2188 (40),0.2566 (43),0.1469 (42),0.0742 (35),0.1090 (36),0.0071 (24),158.00 (7),651.00 (41),809.00 (41),
932773,jinhong.zhang,0.2202 (41),0.2539 (39),0.1524 (45),0.0661 (29),0.0934 (31),0.0071 (24),12.00 (1),341.00 (25),353.00 (14),
930651,cmkyec,0.2286 (42),0.2781 (46),0.1413 (36),0.0932 (43),0.1419 (47),0.0103 (32),158.00 (7),247.00 (12),405.00 (16),
930639,nikkonew,0.2295 (43),0.2681 (45),0.1545 (47),0.0816 (38),0.1185 (40),0.0077 (27),156.00 (5),321.00 (21),477.00 (22),
931697,litian1045,0.2342 (44),0.2816 (48),0.1483 (44),0.0871 (40),0.1341 (45),0.0094 (29),157.00 (6),172.00 (6),329.00 (9),
948296,nhmquang,0.2384 (45),0.2803 (47),0.1569 (48),0.0909 (42),0.1317 (44),0.0088 (28),167.00 (13),850.00 (52),1017.00 (56),
930640,azhangwei,0.2473 (46),0.2993 (49),0.1250 (27),0.1554 (48),0.2061 (50),0.0231 (38),157.00 (6),254.00 (13),411.00 (17),
931490,ugtony,0.2761 (47),0.3416 (51),0.1472 (43),0.1571 (49),0.2250 (51),0.0199 (37),157.00 (6),95.00 (5),252.00 (7),
931491,ntutony,0.2762 (48),0.3415 (50),0.1472 (43),0.1571 (49),0.2250 (51),0.0199 (37),157.00 (6),95.00 (5),252.00 (7),
932132,wzy2021,0.2938 (49),0.3493 (52),0.1775 (50),0.1467 (47),0.2056 (49),0.0197 (36),163.00 (11),60.00 (1),223.00 (1),
951235,ThanVanQuang,0.2956 (50),0.3579 (53),0.1625 (49),0.1786 (52),0.2439 (54),0.0319 (39),157.00 (6),172.00 (6),329.00 (9),
931485,trambtn,0.3006 (51),0.3764 (55),0.1459 (40),0.2116 (54),0.2918 (57),0.0404 (41),157.00 (6),188.00 (9),345.00 (12),
952139,fyzeng,0.3143 (52),0.3608 (54),0.2035 (54),0.1717 (51),0.2252 (52),0.0399 (40),157.00 (6),175.00 (8),332.00 (11),
954597,Aristarh,0.3225 (53),0.3807 (56),0.1943 (52),0.1669 (50),0.2330 (53),0.0177 (35),157.00 (6),172.00 (6),329.00 (9),
930652,ZHUPEI,0.3312 (54),0.3910 (57),0.1861 (51),0.2245 (55),0.2901 (56),0.0552 (44),162.00 (10),95.00 (5),257.00 (8),
939667,vig_kim1102,0.3517 (55),0.4146 (58),0.1989 (53),0.2280 (56),0.2959 (58),0.0522 (43),158.00 (7),529.00 (36),687.00 (36),
939761,sunhm15,0.3578 (56),0.4197 (59),0.2236 (55),0.2051 (53),0.2786 (55),0.0491 (42),178.00 (14),364.00 (27),542.00 (28),
954463,GosNIIAS,0.5566 (57),0.6261 (60),0.3453 (56),0.4393 (57),0.5256 (59),0.1689 (45),158.00 (7),77.00 (2),235.00 (3),
930654,sinica,0.5566 (57),0.6261 (60),0.3453 (56),0.4393 (57),0.5256 (59),0.1689 (45),158.00 (7),78.00 (3),236.00 (4),
930629,Cephalosporins,0.5566 (57),0.6261 (60),0.3453 (56),0.4393 (57),0.5256 (59),0.1689 (45),157.00 (6),77.00 (2),234.00 (2),
930632,xikj,0.5567 (58),0.6261 (60),0.3453 (56),0.4393 (57),0.5256 (59),0.1689 (45),162.00 (10),78.00 (3),240.00 (5),
930627,Mage,0.5567 (58),0.6261 (60),0.3453 (56),0.4393 (57),0.5256 (59),0.1689 (45),158.00 (7),78.00 (3),236.00 (4),
931599,PhanThanhTrung,0.7893 (59),0.8334 (61),0.6166 (57),0.7444 (58),0.7972 (60),0.5237 (46),212.00 (18),499.00 (35),711.00 (37),
930643,ctgushiwei,0.9780 (60),0.9733 (62),0.9425 (58),0.9707 (59),0.9644 (61),0.9233 (47),160.00 (9),200.00 (11),360.00 (15),
