submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
53111,bryantravissmith,98.40 (120),0.3375 (31),0.6598 (110),0.2932 (139),0.3553 (97),0.1910 (115),694.42 (22),
59851,nadinehajj,98.40 (120),0.3375 (31),0.6598 (110),0.2932 (139),0.3553 (97),0.1910 (115),704.89 (21),
60001,yar01,98.40 (120),0.3375 (31),0.6598 (110),0.2932 (139),0.3553 (97),0.1910 (115),823.97 (19),
71531,Achler,98.40 (120),0.3375 (31),0.6598 (110),0.2932 (139),0.3553 (97),0.1910 (115),865.58 (18),
52381,rthomas,98.80 (121),0.3375 (31),0.6598 (110),0.2334 (141),0.3553 (97),0.1910 (115),691.99 (23),
52651,coorsbenjamin,98.80 (121),0.3375 (31),0.6598 (110),0.2334 (141),0.3553 (97),0.1910 (115),690.27 (24),
62751,Aleksandr_Sizov,99.20 (122),0.3375 (31),0.6590 (112),-0.0390 (146),0.3553 (97),0.2339 (110),391.05 (26),
55181,ellante,99.60 (123),0.3513 (8),0.2367 (117),0.0263 (145),0.2285 (110),0.1203 (118),3.03 (38),
58891,Polina_Zablotskaya,100.20 (124),0.3053 (61),0.6597 (111),0.3363 (132),0.3643 (96),0.2613 (101),2.03 (43),
69941,kmaster,100.60 (125),0.3053 (61),0.6597 (111),0.3367 (131),0.3767 (94),0.2605 (106),2.01 (120),
57571,shcodalab,101.20 (126),0.3243 (48),0.6597 (111),0.3352 (134),0.3050 (105),0.2597 (108),1.01 (133),
71521,fatima,102.00 (127),0.3334 (38),0.5809 (115),0.3100 (137),0.2891 (106),0.2012 (114),4002.31 (8),
98161,automl.chalearn,102.80 (128),0.3248 (46),0.6364 (113),0.3061 (138),0.3079 (104),0.2154 (113),4837.90 (3),
74861,Maryam,104.00 (129),0.3168 (55),0.5809 (115),0.3100 (137),0.3225 (101),0.2233 (112),4717.59 (4),
51501,slllll,104.60 (130),0.3100 (58),0.5809 (115),0.3100 (137),0.3225 (101),0.2233 (112),4892.58 (2),
73361,Fahimeh,105.00 (131),0.3216 (53),0.5809 (115),0.3100 (137),0.2891 (106),0.2012 (114),4079.71 (7),
59021,sjahandideh,106.40 (132),0.3071 (60),0.5809 (115),0.3100 (137),0.2891 (106),0.2012 (114),4121.12 (6),
72811,shamimSarhadi,106.80 (133),0.2857 (62),0.5809 (115),0.3100 (137),0.2891 (106),0.2012 (114),3833.97 (9),
74481,E_saghapour,110.80 (134),0.3104 (57),-0.2501 (118),-0.1867 (148),0.0040 (112),-0.1489 (119),2.03 (46),
