submission_pk,User,Subtask A Accuracy,Subtask B Accuracy,Subtask C BLEU
751101,mhmdahmed97,49.7 (102),0.0 (22),0.0 (15),
749009,Tayyab_087_A,49.2 (103),0.0 (22),0.0 (15),
749055,bazil_238_E,49.1 (104),0.0 (22),0.0 (15),
749572,Shahzaib_251_D,30.8 (105),0.0 (22),0.0 (15),
749556,Huda_153_D,30.5 (106),0.0 (22),0.0 (15),
749534,Ammar_002_D,29.7 (107),0.0 (22),0.0 (15),
749334,abdulhanan287,29.7 (107),0.0 (22),0.0 (15),
929322,ayah,0.0 (108),0.0 (22),13.7 (10),
902364,m.khanddorj,0.0 (108),92.0 (7),0.0 (15),
748760,Zarak_515_E,0.0 (108),0.0 (22),0.0 (15),
749234,Abeer_152_B,0.0 (108),0.0 (22),0.0 (15),
749355,SaadMushtaq,0.0 (108),0.0 (22),0.0 (15),
749338,Nomanali,0.0 (108),0.0 (22),0.0 (15),
748170,yesyes1,0.0 (108),0.0 (22),0.0 (15),
748156,yeayea1,0.0 (108),0.0 (22),0.0 (15),
678688,KEISatJUST,0.0 (108),0.0 (22),0.0 (15),
669540,Lingeng,0.0 (108),88.4 (10),0.0 (15),
658004,dongfanker,0.0 (108),0.0 (22),15.6 (9),
618904,huangxt39,0.0 (108),0.0 (22),20.4 (2),
611911,rahaf,0.0 (108),0.0 (22),0.0 (15),
603045,bhu,0.0 (108),0.0 (22),0.0 (15),
600567,Sumeha,0.0 (108),0.0 (22),19.6 (3),
595880,guo222,0.0 (108),94.9 (1),0.0 (15),
595054,anandhperumal02,0.0 (108),0.0 (22),16.7 (6),
593721,Kayal_Sampath,0.0 (108),83.9 (13),0.0 (15),
579417,KerenzaDoxolodeo,0.0 (108),80.5 (16),0.0 (15),
579386,wqmike123,0.0 (108),75.8 (18),0.0 (15),
576181,daminglu123,0.0 (108),73.5 (19),0.0 (15),
575704,lukez,0.0 (108),85.2 (12),0.0 (15),
