submission_pk,User,Dice per case,Dice global,VOE,RVD,ASSD,MSD,RMSD,Precision at 50% overlap,Recall at 50% overlap,Precision at >0% overlap,Recall at >0% overlap
Exception parsing scores!
submission_pk,User,Dice per case,Dice global,VOE,RVD,ASSD,MSSD,MSSD
1007886,tiffanyliao,0.9530 (16),0.9580 (14),0.088 (27),-0.004 (40),5.884 (182),197.159 (205),18.255 (196),
931319,HUSTWH402,0.9530 (16),0.9580 (14),0.089 (28),0.016 (60),1.756 (103),32.750 (108),3.945 (110),
897639,ivanshih,0.9530 (16),0.9550 (17),0.090 (29),-0.007 (37),1.427 (67),25.729 (45),2.746 (54),
867971,habhangale3,0.9530 (16),0.9560 (16),0.089 (28),-0.001 (43),4.142 (168),201.954 (207),15.733 (190),
761152,da_lao_dai_dai_w,0.9530 (16),0.9580 (14),0.089 (28),0.016 (60),1.756 (103),32.750 (108),3.945 (110),
655389,VincentHan,0.9530 (16),0.9510 (21),0.088 (27),-0.001 (43),1.589 (85),27.382 (73),3.231 (82),
492147,tuongvi_cnu,0.9530 (16),0.9570 (15),0.090 (29),0.035 (76),3.202 (153),171.949 (201),12.003 (180),
510406,dawn,0.9530 (16),0.9530 (19),0.089 (28),0.021 (65),2.758 (137),86.174 (169),7.855 (153),
507623,mcmong,0.9530 (16),0.9520 (20),0.087 (26),0.003 (47),3.143 (152),68.100 (158),9.243 (165),
978203,hrbustWH402,0.9520 (17),0.9560 (16),0.092 (31),0.013 (57),2.648 (134),42.987 (138),6.404 (140),
948795,kangzhang2,0.9520 (17),0.9560 (16),0.091 (30),0.033 (74),1.550 (81),27.346 (71),3.092 (76),
604330,davidlinhl,0.9520 (17),0.9500 (22),0.089 (28),0.006 (50),2.953 (147),65.440 (157),8.001 (154),
623653,NE6084020,0.9520 (17),0.9540 (18),0.090 (29),-0.027 (24),1.447 (72),28.533 (82),2.946 (68),
485374,Namho,0.9520 (17),0.9570 (15),0.090 (29),0.009 (53),1.601 (88),31.997 (104),3.507 (93),
460269,kirakirai,0.9520 (17),0.9590 (13),0.089 (28),-0.028 (23),3.490 (163),114.479 (183),8.732 (160),
1010869,lits-seu,0.9510 (18),0.9540 (18),0.093 (32),0.010 (54),3.283 (156),87.446 (171),9.003 (163),
752108,stray_dove,0.9510 (18),0.9550 (17),0.092 (31),0.033 (74),2.959 (148),78.354 (166),8.995 (161),
489271,xyang,0.9510 (18),0.9550 (17),0.091 (30),0.019 (63),1.592 (86),31.490 (103),3.602 (95),
493165,yoy,0.9510 (18),0.9540 (18),0.088 (27),0.045 (79),2.890 (141),133.594 (190),11.010 (176),
484053,easycui,0.9510 (18),0.9500 (22),0.091 (30),-0.022 (27),2.288 (123),38.268 (121),5.505 (132),
465843,xubaoquan33,0.9510 (18),0.9560 (16),0.094 (33),0.034 (75),1.493 (79),29.350 (90),3.138 (78),
725411,CYNSAHZU,0.9500 (19),0.9600 (12),0.084 (23),-0.006 (38),2.100 (117),25.645 (43),3.449 (90),
528592,MengLei1,0.9500 (19),0.9450 (27),0.093 (32),0.010 (54),2.229 (119),36.231 (118),5.223 (130),
432226,MEDDIIR,0.9500 (19),0.9550 (17),0.094 (33),0.047 (80),1.597 (87),28.911 (85),3.366 (87),
833400,qqyyhh,0.9490 (20),0.9500 (22),0.095 (34),0.013 (57),1.740 (101),32.388 (107),3.989 (114),
785914,qqqyyy,0.9490 (20),0.9500 (22),0.095 (34),0.013 (57),1.740 (101),32.388 (107),3.989 (114),
477039,Jason0907,0.9490 (20),0.9520 (20),0.095 (34),0.028 (71),1.854 (108),33.276 (112),4.028 (116),
466071,KBA,0.9490 (20),0.9560 (16),0.095 (34),0.025 (69),1.839 (106),32.147 (106),3.770 (106),
969533,zhangkang5,0.9480 (21),0.9460 (26),0.096 (35),-0.015 (33),2.921 (144),42.629 (135),6.646 (143),
934569,kangzhang,0.9480 (21),0.9540 (18),0.098 (37),0.006 (50),5.874 (181),146.746 (195),16.590 (192),
630884,kartmannXu,0.9480 (21),0.9450 (27),0.095 (34),0.008 (52),3.434 (161),86.434 (170),9.601 (169),
622959,inovake111,0.9480 (21),0.9460 (26),0.096 (35),-0.015 (33),2.921 (144),42.629 (135),6.646 (143),
516246,MIP_HQU,0.9480 (21),0.9460 (26),0.096 (35),-0.015 (33),2.923 (145),42.628 (134),6.650 (144),
482601,stevelee_001,0.9480 (21),0.9460 (26),0.096 (35),-0.015 (33),2.921 (144),42.629 (135),6.646 (143),
487442,xbsj_ldx0908,0.9480 (21),0.9460 (26),0.096 (35),-0.015 (33),2.921 (144),42.629 (135),6.646 (143),
460897,mercury825,0.9480 (21),0.9480 (24),0.097 (36),-0.046 (15),1.774 (104),32.013 (105),3.754 (104),
1014663,minimini,0.9470 (22),0.9540 (18),0.099 (38),-0.003 (41),2.933 (146),39.894 (124),5.955 (137),
1010713,mi_ni,0.9470 (22),0.9540 (18),0.099 (38),-0.003 (41),2.933 (146),39.896 (125),5.955 (137),
1006401,yjdst,0.9470 (22),0.9540 (18),0.096 (35),0.063 (83),2.550 (128),73.225 (160),7.228 (149),
914210,aha_Zeng,0.9470 (22),0.9510 (21),0.101 (40),-0.053 (13),1.688 (99),26.656 (62),3.104 (77),
492565,YQ,0.9470 (22),0.9510 (21),0.100 (39),-0.066 (9),1.621 (93),28.242 (78),2.993 (70),
1106019,gsh554710917,0.9460 (23),0.9450 (27),0.098 (37),0.010 (54),2.701 (136),38.317 (122),5.766 (135),
1113341,YangKe_Mind,0.9460 (23),0.9520 (20),0.100 (39),0.010 (54),4.753 (173),108.825 (180),13.589 (185),
922384,dzerzhinski01,0.9460 (23),0.9510 (21),0.102 (41),0.031 (73),1.965 (111),34.773 (115),4.313 (122),
644203,hikariCITI,0.9460 (23),0.9520 (20),0.103 (42),-0.074 (6),1.993 (113),33.866 (114),4.064 (117),
458417,kirai,0.9460 (23),0.9520 (20),0.100 (39),-0.022 (27),3.685 (165),104.403 (176),11.913 (179),
1140425,harshavengama,0.9450 (24),0.9500 (22),0.103 (42),0.034 (75),3.520 (164),90.681 (172),9.350 (166),
