submission_pk,User,RMSE,RMSE@10,RMSE@20,RMSE@30,RMSE@40
818651,nc1517,0.65117 (97),1.06655 (6),0.90758 (7),0.79811 (8),0.71513 (11),
598130,sid.mahurkar,0.66760 (98),1.00237 (11),0.87185 (10),0.78359 (10),0.71809 (10),
679652,jerryzjy,0.66949 (99),1.00851 (9),0.87556 (9),0.78554 (9),0.71867 (9),
579317,heidy,0.68338 (100),1.04967 (7),0.90567 (8),0.80625 (7),0.73594 (8),
680294,Gao123456,0.70450 (101),0.95838 (54),0.85010 (13),0.78258 (11),0.73815 (7),
679941,HaoyueFeng,0.73725 (102),1.13846 (5),0.98148 (5),0.87572 (5),0.79711 (5),
680384,kilometer,0.73937 (103),1.04104 (8),0.92921 (6),0.83709 (6),0.78514 (6),
647221,Lewis_LuHaoNan,1.14749 (104),1.28976 (4),1.23357 (4),1.19522 (4),1.16889 (4),
680338,zztxnh,1.17806 (105),1.32969 (3),1.27088 (3),1.22954 (3),1.20061 (3),
680297,this-is-Aaron,1.82031 (106),1.87332 (2),1.84972 (2),1.83505 (2),1.82979 (2),
678518,peishibo,2.11726 (107),2.13218 (1),2.12829 (1),2.11748 (1),2.12344 (1),
submission_pk,User,Accuracy,Reward
679941,HaoyueFeng,- (-),,
816141,Qingwei_Li,- (-),,
816145,wang007123,- (-),,
684051,Rick1984,- (-),,
576532,uir,- (-),,
640022,rabbitsheep,- (-),,
838170,yyh13231728895,- (-),,
819236,lupos,- (-),,
694315,Zexuj,- (-),,
675892,VoMinhTam,- (-),,
647221,Lewis_LuHaoNan,- (-),,
639546,Snow_MingXueLiu,- (-),,
814144,ali.ghachem17,- (-),,
659009,jam,- (-),,
606390,aniton,- (-),,
586253,oyx,- (-),,
571065,yanghaocsg,- (-),,
629855,VMAtm,- (-),,
895593,kdehumor,- (-),,
570476,Ferryman,- (-),,
586864,Farah,- (-),,
598130,sid.mahurkar,- (-),,
678518,peishibo,- (-),,
815466,GeorgePereteanu,- (-),,
818814,kk617,- (-),,
604439,Pramodith,- (-),,
818322,xuming5849,- (-),,
816789,JiayingCai,- (-),,
