submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
554440,HakureiReimu,18.91 (14),0.66 (9),0.58 (18),0.00 (2),0.00 (2),
546565,GT,17.98 (27),0.62 (36),2.00 (13),0.00 (2),0.00 (2),
546153,HatsuneMiku,19.25 (9),0.66 (8),0.58 (18),0.00 (2),0.00 (2),
545008,proteus1991,17.15 (37),0.61 (44),3.04 (11),0.00 (2),0.00 (2),
539164,Songsaris,17.93 (29),0.64 (20),0.00 (36),0.00 (2),0.00 (2),
537426,xdhm2017,16.28 (54),0.61 (46),0.14 (26),0.00 (2),0.00 (2),
765418,hrishikeshps,9.72 (77),0.11 (78),-1.00 (39),-1.00 (3),-1.00 (3),
630718,tomwang221812,15.64 (65),0.57 (54),-1.00 (39),-1.00 (3),-1.00 (3),
604768,excited,19.41 (6),0.67 (5),-1.00 (39),-1.00 (3),-1.00 (3),
593392,signupagain,15.93 (61),0.60 (48),-1.00 (39),-1.00 (3),-1.00 (3),
593379,workharder,15.94 (60),0.57 (56),-1.00 (39),-1.00 (3),-1.00 (3),
588434,kmet,18.92 (13),0.65 (15),-1.00 (39),-1.00 (3),-1.00 (3),
588395,optimistic,19.05 (11),0.65 (12),-1.00 (39),-1.00 (3),-1.00 (3),
588291,venkat2,17.23 (36),0.63 (33),-1.00 (39),-1.00 (3),-1.00 (3),
588237,chongya,16.06 (57),0.56 (58),-1.00 (39),-1.00 (3),-1.00 (3),
587453,wechat,18.73 (17),0.65 (17),-1.00 (39),-1.00 (3),-1.00 (3),
587197,chongchongchong,18.67 (19),0.64 (27),-1.00 (39),-1.00 (3),-1.00 (3),
575536,ir1d,16.01 (59),0.58 (53),-1.00 (39),-1.00 (3),-1.00 (3),
575372,Joyies_yi,16.59 (48),0.61 (43),-1.00 (39),-1.00 (3),-1.00 (3),
570378,myscattering,15.16 (69),0.39 (73),-1.00 (39),-1.00 (3),-1.00 (3),
567394,amorsy,18.75 (16),0.64 (26),-1.00 (39),-1.00 (3),-1.00 (3),
566151,exciting,19.82 (1),0.67 (1),-1.00 (39),-1.00 (3),-1.00 (3),
565373,metwaly.kareem,19.11 (10),0.64 (24),-1.00 (39),-1.00 (3),-1.00 (3),
565280,ecsuiplab,14.47 (72),0.54 (65),-1.00 (39),-1.00 (3),-1.00 (3),
563703,krm,18.91 (15),0.63 (31),-1.00 (39),-1.00 (3),-1.00 (3),
558396,ranjanisi,16.18 (56),0.51 (69),-1.00 (39),-1.00 (3),-1.00 (3),
555914,lj1995,19.60 (3),0.67 (3),-1.00 (39),-1.00 (3),-1.00 (3),
555238,yu.2359,17.85 (31),0.63 (32),-1.00 (39),-1.00 (3),-1.00 (3),
544898,HaoqiangYang,11.93 (75),0.50 (70),-1.00 (39),-1.00 (3),-1.00 (3),
544852,q935970314,16.27 (55),0.62 (38),-1.00 (39),-1.00 (3),-1.00 (3),
542037,dehazing,18.95 (12),0.66 (7),-1.00 (39),-1.00 (3),-1.00 (3),
539406,splinter23,19.27 (8),0.66 (10),-1.00 (39),-1.00 (3),-1.00 (3),
539397,emmm,18.40 (24),0.65 (16),-1.00 (39),-1.00 (3),-1.00 (3),
