submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
101051,pak63,22.20 (20),0.3304 (30),0.6669 (14),0.3343 (18),0.3989 (31),0.2815 (18),2.01 (146),
100931,omares,22.60 (21),0.3355 (16),0.6668 (24),0.3342 (29),0.4016 (23),0.2815 (21),2.02 (113),
99741,ash712,23.00 (22),0.3361 (11),0.6667 (51),0.3344 (9),0.4025 (19),0.2815 (25),2.02 (99),
100411,dioexul,25.80 (23),0.3359 (14),0.6667 (40),0.3344 (8),0.3986 (34),0.2812 (33),2.02 (129),
100591,rufus16,26.00 (24),0.3361 (13),0.6667 (52),0.3344 (12),0.3994 (29),0.2815 (24),2.02 (93),
100431,AuroTripathy,26.40 (25),0.3359 (14),0.6667 (39),0.3342 (25),0.3994 (30),0.2815 (24),2.02 (114),
99721,Charlene,26.80 (26),0.3359 (14),0.6667 (48),0.3343 (17),0.3987 (33),0.2815 (22),1.01 (153),
100271,Yuantao,26.80 (26),0.3355 (16),0.6667 (44),0.3343 (14),0.3998 (28),0.2813 (32),2.02 (72),
100191,brunoseznec,27.40 (27),0.3361 (13),0.6668 (36),0.3342 (28),0.4025 (21),0.2812 (39),2.03 (56),
101441,anton.rodomanov,28.20 (28),0.3324 (24),0.6668 (29),0.3341 (30),0.4016 (23),0.2812 (35),2.02 (85),
100661,Maria,28.80 (29),0.3358 (15),0.6668 (34),0.3283 (56),0.4025 (21),0.2815 (18),2.02 (89),
100761,morphism,30.20 (30),0.3343 (22),0.6668 (34),0.3284 (51),0.4038 (13),0.2814 (31),2.02 (78),
99851,kirilligum,32.80 (31),0.3361 (11),0.6668 (34),0.3282 (84),0.4044 (9),0.2815 (26),2.02 (81),
100541,reza_sanatkar,33.20 (32),0.3318 (26),0.6668 (30),0.3284 (53),0.4005 (27),0.2814 (30),2.03 (52),
99571,voddan,34.00 (33),0.3321 (25),0.6669 (15),0.3283 (63),0.4007 (26),0.2811 (41),2.76 (44),
100901,rdautov,35.60 (34),0.3355 (16),0.6668 (23),0.3282 (82),0.3994 (29),0.2814 (28),2.03 (66),
100771,annaveronika,36.20 (35),0.3321 (25),0.6667 (52),0.3283 (58),0.3994 (30),0.2815 (16),2.86 (39),
101001,lex_t,37.00 (36),0.3312 (29),0.6667 (45),0.3284 (55),0.4014 (25),0.2814 (31),3.02 (37),
100471,Ryup,37.20 (37),0.3351 (18),0.6667 (45),0.3283 (58),0.4005 (27),0.2812 (38),2.01 (143),
101451,skanajan,37.60 (38),0.3343 (22),0.6666 (55),0.3284 (52),0.3974 (37),0.2815 (22),2.02 (121),
99971,efumeo,37.80 (39),0.3321 (25),0.6667 (49),0.3287 (41),0.3974 (37),0.2812 (37),2.64 (46),
99631,Julie,38.40 (40),0.3312 (29),0.6667 (46),0.3282 (71),0.4025 (19),0.2815 (27),5.68 (27),
99591,SvetlanaKomar,39.20 (41),0.3358 (15),0.6668 (26),0.3281 (86),0.3994 (30),0.2812 (39),2.01 (150),
99521,alex_,40.20 (42),0.3318 (26),0.6667 (40),0.3283 (64),0.3994 (29),0.2810 (42),2.02 (108),
101091,pturkov,40.20 (42),0.3355 (16),0.6667 (43),0.3342 (23),0.3915 (61),0.2803 (58),2.01 (144),
100851,ggamble,40.60 (43),0.3347 (21),0.6667 (41),0.3281 (87),0.4025 (20),0.2812 (34),2.01 (149),
99761,Kovalenko,40.80 (44),0.3304 (30),0.6669 (16),0.3282 (76),0.3967 (41),0.2811 (41),2.02 (109),
100721,Kivi,41.20 (45),0.3302 (31),0.6665 (58),0.3283 (59),0.4137 (5),0.2805 (53),2.03 (64),
99601,mondgottin,41.40 (46),0.3355 (16),0.6667 (46),0.3282 (72),0.3969 (40),0.2812 (33),4.04 (32),
100801,olegharacidi,42.40 (47),0.3315 (27),0.6669 (16),0.3281 (94),0.3998 (28),0.2809 (47),2.02 (130),
101151,eyad.alsibai,42.60 (48),0.3343 (22),0.6667 (42),0.3282 (70),0.3973 (39),0.2811 (40),2.02 (90),
100481,kudkudak,43.00 (49),0.3343 (22),0.6667 (47),0.3283 (61),0.3955 (46),0.2812 (39),2.03 (57),
100461,francis,43.80 (50),0.3321 (25),0.6668 (25),0.3282 (80),0.3956 (45),0.2810 (44),2.02 (123),
100981,meelis,44.40 (51),0.3312 (29),0.6667 (41),0.3282 (69),0.3961 (43),0.2811 (40),2.02 (104),
100701,atanna,44.60 (52),0.3315 (27),0.6668 (23),0.3281 (85),0.3974 (37),0.2806 (51),2.02 (107),
101011,sangha123,45.80 (53),0.3315 (27),0.6669 (22),0.3282 (83),0.3956 (45),0.2806 (52),2.03 (62),
101291,alxndrkalinin,45.80 (53),0.3294 (33),0.6669 (17),0.3281 (88),0.3955 (46),0.2809 (45),2.03 (59),
100381,artix41,46.20 (54),0.3314 (28),0.6664 (63),0.3287 (42),0.3961 (44),0.2805 (54),2.03 (55),
100061,system29a,47.20 (55),0.3287 (34),0.6669 (19),0.3282 (66),0.3933 (52),0.2800 (65),1.01 (154),
100341,karanc,47.60 (56),0.3312 (29),0.6667 (44),0.3280 (101),0.3967 (42),0.2815 (22),2.75 (45),
100741,fmu,47.60 (56),0.3285 (36),0.6665 (60),0.3289 (36),0.3948 (48),0.2803 (58),2.02 (86),
99831,ilya.shenbin,47.80 (57),0.3315 (27),0.6669 (16),0.3281 (95),0.3894 (65),0.2812 (36),2.02 (128),
99981,pluh889,47.80 (57),0.3287 (34),0.6668 (37),0.3282 (81),0.3967 (41),0.2809 (46),2.64 (47),
100941,gladnik,48.00 (58),0.3318 (26),0.6667 (40),0.3280 (106),0.3974 (37),0.2814 (31),4.03 (34),
100261,mitchellowen,48.80 (59),0.3312 (29),0.6666 (56),0.3283 (60),0.3945 (50),0.2808 (49),2.02 (126),
99861,shapovalov,49.00 (60),0.3318 (26),0.6668 (23),0.3280 (99),0.3961 (44),0.2805 (53),1.01 (152),
100621,jumpseven,49.00 (60),0.3318 (26),0.6666 (53),0.3281 (90),0.3985 (35),0.2811 (41),2.02 (87),
99621,mikhail,49.60 (61),0.3314 (28),0.6663 (70),0.3289 (35),0.3955 (47),0.2800 (68),2.02 (112),
100861,chandrak1907,50.60 (62),0.3312 (29),0.6664 (61),0.3282 (74),0.3973 (38),0.2806 (51),2.03 (54),
100711,scorpeus,51.20 (63),0.3294 (33),0.6666 (54),0.3282 (75),0.3961 (44),0.2807 (50),4.04 (31),
101131,MaheshGoud,51.80 (64),0.3302 (31),0.6664 (62),0.3282 (68),0.3979 (36),0.2801 (62),2.02 (127),
100451,jupiter,52.40 (65),0.3578 (5),0.6661 (87),0.3281 (91),0.3961 (43),0.2812 (36),5.05 (28),
100951,UNdedss,52.40 (65),0.3300 (32),0.6663 (67),0.3288 (39),0.3922 (56),0.2800 (68),2.02 (96),
100811,b.yergesh,52.80 (66),0.3302 (31),0.6662 (80),0.3287 (40),0.3933 (52),0.2801 (61),2.02 (75),
99701,barmaglot0,53.80 (67),0.3300 (32),0.6668 (33),0.3280 (103),0.3988 (32),0.2800 (69),2.01 (137),
100331,alexeigor,53.80 (67),0.3300 (32),0.6662 (82),0.3289 (34),0.3934 (51),0.2799 (70),2.82 (40),
100921,V9,53.80 (67),0.3318 (26),0.6667 (50),0.3282 (65),0.3868 (71),0.2803 (57),2.01 (136),
100911,QChaos,54.00 (68),0.3285 (36),0.6664 (64),0.3286 (44),0.3916 (60),0.2800 (66),2.04 (51),
99501,tambetm,54.60 (69),0.3287 (34),0.6663 (66),0.3289 (33),0.3872 (70),0.2799 (70),2.02 (94),
100781,lebedev,55.00 (70),0.3287 (34),0.6666 (57),0.3282 (77),0.3947 (49),0.2803 (58),2.02 (124),
101111,rezident624,55.20 (71),0.3314 (28),0.6663 (68),0.3282 (67),0.3894 (65),0.2808 (48),2.02 (100),
100891,dustalov,56.00 (72),0.3315 (27),0.6663 (69),0.3282 (73),0.3948 (48),0.2800 (63),2.02 (74),
99891,rusposevkin,56.40 (73),0.3287 (34),0.6662 (79),0.3284 (50),0.3900 (63),0.2804 (56),2.53 (49),
100751,buribayeva,56.40 (73),0.3318 (26),0.6668 (33),0.3281 (93),0.2985 (98),0.2813 (32),2.02 (83),
100311,dobrogodin,57.80 (74),0.3294 (33),0.6663 (72),0.3286 (43),0.3922 (56),0.2757 (85),2.01 (147),
100141,Ectelion,58.00 (75),0.3314 (28),0.6664 (63),0.3284 (54),0.3566 (87),0.2803 (58),2.02 (79),
99651,filcand,59.40 (76),0.3285 (36),0.6662 (80),0.3285 (47),0.3846 (75),0.2803 (59),2.02 (73),
100531,tairi,60.00 (77),0.3287 (34),0.6661 (87),0.3283 (57),0.3904 (62),0.2802 (60),2.02 (97),
100251,super_tacos,61.20 (78),0.3312 (29),0.6666 (57),0.3281 (94),0.3868 (71),0.2804 (55),2.02 (118),
99801,back4good,62.00 (79),0.3314 (28),0.6661 (86),0.3284 (49),0.3861 (73),0.2798 (74),2.02 (95),
100871,arpan,62.00 (79),0.3274 (38),0.6662 (78),0.3285 (45),0.3658 (85),0.2800 (64),2.01 (141),
99511,hihelga,62.60 (80),0.3300 (32),0.6661 (87),0.3282 (78),0.3947 (49),0.2800 (67),2.02 (84),
99961,vladislav.dolganov,64.00 (81),0.3285 (36),0.6662 (77),0.3285 (46),0.3539 (89),0.2799 (72),2.02 (88),
99841,sauravmaximus,64.40 (82),0.3315 (27),0.6663 (69),0.3281 (89),0.3922 (56),0.2797 (81),2.01 (132),
100281,vuthuyfo,65.00 (83),0.3266 (40),0.6661 (84),0.3284 (48),0.3868 (72),0.2797 (81),4.03 (33),
101021,tigvarts,65.20 (84),0.3314 (28),0.6663 (70),0.3288 (38),0.3554 (88),0.2631 (102),2.02 (117),
101861,tadej,65.80 (85),0.3287 (34),0.6661 (88),0.3282 (79),0.3918 (57),0.2799 (71),2.03 (67),
101031,solhewe,66.40 (86),0.3287 (34),0.6661 (86),0.3284 (54),0.2738 (102),0.2804 (56),2.02 (120),
101311,bihaqo,68.60 (87),0.3267 (39),0.6664 (63),0.3279 (111),0.3923 (54),0.2798 (76),1.01 (155),
100151,alkaee,69.80 (88),0.3251 (41),0.6663 (75),0.3279 (114),0.3827 (76),0.2810 (43),2.02 (105),
99821,alfiel,72.60 (89),0.3266 (40),0.6659 (96),0.3283 (62),0.3626 (86),0.2798 (79),2.01 (131),
100841,natali_kozlo,72.80 (90),0.3314 (28),0.6661 (90),0.3281 (92),0.3876 (67),0.2756 (87),4.03 (35),
100491,igla,73.40 (91),0.3287 (34),0.6658 (99),0.3277 (117),0.3923 (55),0.2801 (62),2.01 (140),
99941,alexryan,74.40 (92),0.3287 (35),0.6661 (88),0.3279 (108),0.3915 (61),0.2797 (80),2.03 (53),
99641,jperolat,74.60 (93),0.3302 (31),0.6662 (76),0.3144 (125),0.3930 (53),0.2755 (88),2.02 (101),
100731,Alina,75.40 (94),0.3274 (38),0.6660 (94),0.3280 (100),0.3868 (72),0.2799 (73),2.03 (63),
100641,bdexpert,76.00 (95),0.3274 (38),0.6661 (91),0.3280 (105),0.3875 (68),0.2798 (78),2.01 (135),
100171,fatima,76.20 (96),0.3239 (45),0.7183 (6),0.2470 (130),0.3375 (93),0.2419 (107),3941.24 (8),
100421,eandrews,76.20 (96),0.3266 (40),0.6657 (100),0.3280 (98),0.3887 (66),0.2798 (77),2.01 (134),
101301,abhishek4,76.60 (97),0.3221 (46),0.7861 (5),0.1933 (133),0.3321 (94),0.2567 (105),2.01 (145),
99561,neptune,76.80 (98),0.3041 (53),0.6816 (7),0.2677 (128),0.2847 (101),0.2723 (95),767.07 (20),
99991,jaychen,77.00 (99),0.3267 (39),0.6663 (74),0.3280 (102),0.3788 (77),0.2733 (93),1271.51 (12),
99901,pradeepbn,77.20 (100),0.3274 (38),0.6659 (95),0.3279 (113),0.3916 (59),0.2797 (81),2.03 (69),
100441,afenster,77.20 (100),0.3251 (41),0.6663 (74),0.3281 (96),0.3736 (81),0.2732 (94),1273.45 (11),
101061,MInenr,77.20 (100),0.3267 (39),0.6660 (94),0.3279 (107),0.3896 (64),0.2796 (82),2.03 (61),
100821,achehrehsaz,77.40 (101),0.3283 (37),0.6659 (97),0.3281 (96),0.3850 (74),0.2795 (83),2.02 (119),
100791,danielec,77.80 (102),0.3247 (42),0.6662 (76),0.3144 (125),0.3917 (58),0.2755 (88),2.77 (43),
100291,SemanticPrincess,78.20 (103),0.3287 (35),0.6657 (101),0.3278 (116),0.3894 (65),0.2798 (74),2.04 (50),
100671,Krisgrey,78.60 (104),0.3251 (41),0.6665 (59),0.3279 (114),0.3722 (83),0.2679 (96),1294.73 (10),
99541,andrey.u,79.00 (105),0.3251 (41),0.6663 (74),0.3279 (110),0.3785 (78),0.2733 (92),1248.44 (15),
100031,mikedamour,80.20 (106),0.3241 (44),0.6665 (59),0.3278 (116),0.3730 (82),0.2674 (100),1264.63 (13),
101041,JuliaK,80.60 (107),0.3251 (41),0.6661 (92),0.3279 (112),0.3873 (69),0.2754 (89),2.02 (110),
100041,alena.prytkova,81.20 (108),0.3274 (38),0.6661 (85),0.3280 (104),0.2265 (104),0.2798 (75),2.02 (103),
100241,bodomo,81.80 (109),0.3242 (43),0.6664 (65),0.3279 (109),0.2036 (105),0.2756 (87),2.02 (77),
100611,Tatyana,82.00 (110),0.3241 (44),0.6661 (89),0.3275 (120),0.3876 (67),0.2753 (90),1249.51 (14),
100881,tderibina,82.40 (111),0.3207 (48),0.6663 (73),0.3278 (115),0.3766 (79),0.2679 (97),2.02 (106),
100011,Nadya,82.80 (112),0.3266 (40),0.6659 (98),0.3280 (97),0.3212 (95),0.2795 (84),2.02 (80),
99751,AlexeyGavron,83.00 (113),0.3241 (44),0.6660 (93),0.3275 (120),0.3876 (67),0.2753 (91),1240.80 (16),
100971,elena_s,83.20 (114),0.3207 (48),0.6663 (71),0.3277 (117),0.3730 (82),0.2677 (98),1344.46 (9),
101081,SergeyM,84.40 (115),0.3267 (39),0.6662 (83),0.3276 (118),0.3164 (96),0.2757 (86),2.78 (42),
100991,alekseiprokopev,85.80 (116),0.3361 (12),0.6655 (102),0.2038 (132),0.3739 (80),0.2612 (103),478.13 (24),
100601,ralexstokes,86.20 (117),0.3304 (30),0.6662 (81),0.3276 (119),0.3440 (92),0.2194 (109),2.03 (58),
100111,hamnox,86.60 (118),0.3304 (30),0.6662 (81),0.3167 (121),0.3440 (92),0.2194 (109),2.03 (70),
101721,marc.boulle,88.00 (119),0.3533 (6),0.4561 (107),0.2130 (131),0.3692 (84),0.1434 (112),4397.25 (5),
99681,nadinehajj,88.20 (120),0.3304 (30),0.6662 (81),0.2647 (129),0.3440 (92),0.2194 (109),804.19 (18),
99731,coorsbenjamin,88.20 (120),0.3304 (30),0.6662 (81),0.2647 (129),0.3440 (92),0.2194 (109),726.63 (23),
99781,rthomas,88.20 (120),0.3304 (30),0.6662 (81),0.2647 (129),0.3440 (92),0.2194 (109),816.15 (17),
100021,yar01,88.20 (120),0.3304 (30),0.6662 (81),0.2647 (129),0.3440 (92),0.2194 (109),738.92 (22),
100051,bryantravissmith,88.20 (120),0.3304 (30),0.6662 (81),0.2647 (129),0.3440 (92),0.2194 (109),784.45 (19),
100691,Achler,88.20 (120),0.3304 (30),0.6662 (81),0.2647 (129),0.3440 (92),0.2194 (109),754.03 (21),
100511,Aleksandr_Sizov,93.00 (121),0.3304 (30),0.6655 (103),-0.0262 (134),0.3440 (92),0.2479 (106),382.27 (25),
100371,ellante,94.00 (122),0.3456 (7),-0.2500 (108),-0.1803 (135),0.0000 (107),-0.1496 (113),2.02 (98),
100091,kmaster,94.20 (123),0.3004 (54),0.6652 (104),0.3167 (122),0.3536 (90),0.2650 (101),1.01 (156),
101071,Polina_Zablotskaya,94.20 (123),0.3004 (54),0.6652 (104),0.3167 (123),0.3497 (91),0.2676 (99),2.02 (91),
100651,shcodalab,95.00 (124),0.3241 (44),0.6652 (104),0.3165 (124),0.2966 (99),0.2610 (104),2.01 (133),
100301,slllll,97.20 (125),0.3121 (49),0.5915 (106),0.2976 (126),0.3027 (97),0.2202 (108),4850.67 (2),
99551,sjahandideh,97.40 (126),0.3098 (50),0.5915 (106),0.2976 (126),0.3027 (97),0.2202 (108),4793.09 (3),
99771,helentr,97.80 (127),0.3333 (23),-0.2500 (110),-0.1810 (136),0.0070 (106),-0.1496 (114),2.02 (125),
99881,automl.chalearn,97.80 (127),0.3208 (47),0.6325 (105),0.2915 (127),0.2884 (100),0.2154 (110),4383.51 (6),
99911,Fahimeh,97.80 (127),0.3089 (52),0.5915 (106),0.2976 (126),0.3027 (97),0.2202 (108),4898.57 (1),
99931,Maryam,99.00 (128),0.2857 (55),0.5915 (106),0.2976 (126),0.3027 (97),0.1997 (111),4062.35 (7),
100831,shamimSarhadi,99.40 (129),0.3094 (51),0.5915 (106),0.2976 (126),0.2667 (103),0.1997 (111),4463.67 (4),
100501,E_saghapour,105.00 (130),-0.1850 (56),-0.2500 (109),-0.1810 (137),-0.0103 (108),-0.1496 (115),2.02 (92),
