submission_pk,User,Graph Identity,Duration,PyLint Score
725732,pasha0708,0.0000 (27),0.0000 (6),0.11 (24),
725730,Sergey_rsa,0.0000 (27),0.0000 (1),0.11 (24),
725713,Puzankov,0.0000 (27),0.0000 (14),0.11 (24),
725677,vladsmnv,0.0000 (27),0.0000 (12),0.11 (24),
725648,AVF1311,0.0000 (27),0.0000 (1),0.11 (24),
725602,gganastasiya,0.0000 (27),0.0000 (4),0.11 (24),
725606,slava43212,0.0000 (27),0.0000 (4),0.11 (24),
725590,annetalllll,0.0000 (27),0.0000 (6),0.11 (24),
725354,nna,0.0000 (27),0.0000 (8),0.11 (24),
725288,YasinetsM,0.0000 (27),0.0000 (8),0.11 (24),
725069,SergeyVM,0.0000 (27),0.0000 (6),0.11 (24),
725002,IlyaMossur,0.0000 (27),0.0000 (2),0.11 (24),
724993,IldarVS,0.0000 (27),0.0000 (1),0.11 (24),
724913,A_A_Rudenko,0.0000 (27),0.0000 (7),0.11 (24),
724776,tsykin-aa,0.0000 (27),0.0000 (12),0.11 (24),
724332,Alex_s,0.0000 (27),0.0000 (15),0.11 (24),
724216,andrsl,0.0000 (27),0.0000 (10),0.11 (24),
724162,Litvinov_dmitriy,0.0000 (27),0.0000 (4),0.11 (24),
724146,Belov_SV,0.0000 (27),0.0000 (2),0.11 (24),
724138,Mityunina_Natasha,0.0000 (27),0.0000 (1),0.11 (24),
724125,Bagdasaryan_Dmitry,0.0000 (27),0.0000 (7),0.11 (24),
724113,Angalina,0.0000 (27),0.0000 (13),0.11 (24),
724112,Romanov_Alexandr,0.0000 (27),0.0000 (7),0.11 (24),
724091,Mushkudiani_Roman,0.0000 (27),0.0000 (7),0.11 (24),
724085,Banakh_Rostislav,0.0000 (27),0.0000 (7),0.11 (24),
724076,Zagrebelny_Alexander,0.0000 (27),0.0000 (6),0.11 (24),
724053,andrey_mak,0.0000 (27),0.0000 (3),0.11 (24),
724049,Mikhalev_Stepan,0.0000 (27),0.0000 (11),0.11 (24),
724031,Andrei,0.0000 (27),0.0000 (9),0.11 (24),
724008,Darmorezov_Vadim,0.0000 (27),0.0000 (6),0.11 (24),
723996,alex61r,0.0000 (27),0.0000 (5),0.11 (24),
723951,_Konstantin_,0.0000 (27),0.0000 (15),0.11 (24),
723919,Dadikm,0.0000 (27),0.0000 (10),0.11 (24),
723822,Igumnov-YG,0.0000 (27),0.0000 (8),0.11 (24),
723445,EgorSavkin,0.0000 (27),0.0000 (2),0.11 (24),
722340,MiKonstantin,0.0000 (27),0.0000 (7),0.11 (24),
718430,DmitriySamus,0.0000 (27),0.0000 (15),0.11 (24),
718426,e.tsynskiy,0.0000 (27),0.0000 (2),0.11 (24),
718420,Mikhailov,0.0000 (27),0.0000 (6),0.11 (24),
718415,IRVarakin,0.0000 (27),0.0030 (16),0.62 (12),
716457,vitkovay,0.0000 (27),0.0000 (2),0.11 (24),
716087,Milovanov-MV,0.0000 (27),0.0000 (5),0.11 (24),
