submission_pk,User,bestDice,absDiffFG,diffFG,FgBgDice
922508,Sandesh,0.55 (24),0.97 (5),-0.06 (18),1.03 (4),
717667,manan,0.92 (7),0.97 (6),-0.55 (15),1.15 (5),
872822,phirxian,0.69 (22),0.96 (7),2.09 (23),3.00 (17),
479025,thetweak,0.91 (11),0.96 (8),-1.45 (10),1.52 (9),
912519,jaweyl,0.87 (16),0.96 (9),0.58 (21),1.79 (10),
632734,yukinohana,0.88 (14),0.96 (10),0.18 (20),0.85 (1),
646369,wuzi,0.89 (13),0.96 (11),-0.24 (17),0.91 (2),
780066,grace_yi,0.88 (15),0.96 (12),0.15 (19),1.00 (3),
638987,looooong,0.89 (12),0.96 (13),-0.58 (14),1.30 (6),
929087,Steven_Yuan,0.92 (4),0.95 (14),-1.24 (11),1.30 (6),
640375,LfB,0.92 (6),0.95 (15),-3.64 (4),3.64 (18),
747359,guoruohao,0.92 (3),0.94 (16),-2.00 (9),2.06 (12),
747364,dougpsg,0.92 (8),0.94 (17),-2.36 (7),2.36 (13),
536487,dliu5812,0.91 (10),0.92 (18),-2.97 (5),2.97 (16),
519588,ntkhoa,0.75 (21),0.91 (19),1.76 (22),2.48 (14),
491960,anhtuanhsgs,0.80 (19),0.91 (20),-0.33 (16),1.36 (7),
533684,UPGen,0.87 (18),0.87 (21),-7.09 (3),7.09 (20),
1138330,annah,0.03 (25),0.83 (22),217.03 (24),217.03 (23),
533700,DanielWard,0.78 (20),0.82 (23),-9.09 (2),9.09 (21),
970682,sumin,0.94 (1),0.82 (24),-9.39 (1),9.39 (22),
457402,issamo,0.61 (23),0.82 (25),1.76 (22),3.70 (19),
submission_pk,User,bestDice,FgBgDice,diffFG,absDiffFG
1130809,lds,0.34 (14),1.00 (1),-10.11 (2),10.11 (12),
912958,awolny,0.34 (14),1.00 (1),-10.11 (2),10.11 (12),
536487,dliu5812,0.34 (14),1.00 (1),-10.11 (2),10.11 (12),
717667,manan,0.34 (14),1.00 (1),-10.11 (2),10.11 (12),
491960,anhtuanhsgs,0.34 (14),1.00 (1),-10.11 (2),10.11 (12),
529606,Fr_AB,0.34 (14),1.00 (1),-10.11 (2),10.11 (12),
519588,ntkhoa,0.34 (14),1.00 (1),-10.11 (2),10.11 (12),
457402,issamo,0.34 (14),1.00 (1),-10.11 (2),10.11 (12),
922508,Sandesh,0.50 (13),0.94 (2),0.22 (12),0.89 (2),
632734,yukinohana,0.86 (6),0.94 (3),0.44 (13),1.33 (5),
872822,phirxian,0.69 (12),0.93 (4),1.78 (14),3.11 (9),
929087,Steven_Yuan,0.90 (3),0.93 (5),-0.78 (10),0.78 (1),
747364,dougpsg,0.90 (2),0.92 (6),-1.56 (7),1.56 (6),
780066,grace_yi,0.84 (9),0.92 (7),0.11 (11),1.22 (4),
638987,looooong,0.86 (7),0.92 (8),-0.89 (9),1.56 (6),
646369,wuzi,0.85 (8),0.91 (9),-1.11 (8),1.11 (3),
747359,guoruohao,0.90 (4),0.88 (10),-2.11 (5),2.11 (8),
533700,DanielWard,0.80 (11),0.87 (11),-1.11 (8),1.11 (3),
640375,LfB,0.92 (1),0.86 (12),-3.78 (4),3.78 (10),
533684,UPGen,0.82 (10),0.84 (13),-2.00 (6),2.00 (7),
1138330,annah,0.03 (15),0.83 (14),215.67 (15),215.67 (14),
970682,sumin,0.89 (5),0.75 (15),-6.89 (3),6.89 (11),
912519,jaweyl,0.00 (16),0.00 (16),-11.11 (1),11.11 (13),
479025,thetweak,0.00 (16),0.00 (16),-11.11 (1),11.11 (13),
478044,uslee,0.00 (16),0.00 (16),-11.11 (1),11.11 (13),
submission_pk,User,bestDice,FgBgDice,diffFG,absDiffFG
1130809,lds,0.58 (13),1.00 (1),-4.98 (2),4.98 (13),
912958,awolny,0.58 (13),1.00 (1),-4.98 (2),4.98 (13),
536487,dliu5812,0.58 (13),1.00 (1),-4.98 (2),4.98 (13),
717667,manan,0.58 (13),1.00 (1),-4.98 (2),4.98 (13),
491960,anhtuanhsgs,0.58 (13),1.00 (1),-4.98 (2),4.98 (13),
529606,Fr_AB,0.58 (13),1.00 (1),-4.98 (2),4.98 (13),
519588,ntkhoa,0.58 (13),1.00 (1),-4.98 (2),4.98 (13),
457402,issamo,0.58 (13),1.00 (1),-4.98 (2),4.98 (13),
872822,phirxian,0.68 (12),0.97 (2),14.93 (15),21.29 (15),
747364,dougpsg,0.93 (1),0.97 (3),-1.09 (9),1.23 (4),
646369,wuzi,0.88 (4),0.96 (4),-0.57 (11),1.04 (2),
922508,Sandesh,0.40 (14),0.95 (5),1.32 (14),2.25 (10),
638987,looooong,0.84 (7),0.94 (6),-0.18 (13),2.14 (9),
632734,yukinohana,0.88 (5),0.94 (7),-0.77 (10),1.09 (3),
640375,LfB,0.81 (10),0.93 (8),-1.57 (7),3.32 (11),
929087,Steven_Yuan,0.91 (3),0.93 (9),-1.34 (8),1.38 (5),
747359,guoruohao,0.92 (2),0.91 (10),-1.70 (6),1.73 (6),
533684,UPGen,0.83 (8),0.90 (11),-2.04 (4),2.11 (8),
780066,grace_yi,0.81 (11),0.89 (12),-0.23 (12),0.91 (1),
533700,DanielWard,0.82 (9),0.88 (13),-1.77 (5),1.84 (7),
1138330,annah,0.01 (15),0.78 (14),205.21 (16),205.21 (16),
970682,sumin,0.85 (6),0.72 (15),-4.20 (3),4.20 (12),
912519,jaweyl,0.00 (16),0.00 (16),-5.98 (1),5.98 (14),
479025,thetweak,0.00 (16),0.00 (16),-5.98 (1),5.98 (14),
478044,uslee,0.00 (16),0.00 (16),-5.98 (1),5.98 (14),
submission_pk,User,bestDice,FgBgDice,diffFG,absDiffFG
1130809,lds,0.32 (14),1.00 (1),-12.23 (2),12.23 (14),
912958,awolny,0.32 (14),1.00 (1),-12.23 (2),12.23 (14),
536487,dliu5812,0.32 (14),1.00 (1),-12.23 (2),12.23 (14),
717667,manan,0.32 (14),1.00 (1),-12.23 (2),12.23 (14),
491960,anhtuanhsgs,0.32 (14),1.00 (1),-12.23 (2),12.23 (14),
529606,Fr_AB,0.32 (14),1.00 (1),-12.23 (2),12.23 (14),
519588,ntkhoa,0.32 (14),1.00 (1),-12.23 (2),12.23 (14),
457402,issamo,0.32 (14),1.00 (1),-12.23 (2),12.23 (14),
922508,Sandesh,0.58 (13),0.96 (2),-0.27 (10),1.01 (5),
632734,yukinohana,0.87 (7),0.95 (3),0.38 (15),0.82 (2),
929087,Steven_Yuan,0.91 (2),0.95 (4),-0.79 (9),1.03 (6),
646369,wuzi,0.88 (6),0.95 (5),-0.04 (12),0.76 (1),
747364,dougpsg,0.89 (4),0.94 (6),-1.27 (7),1.51 (8),
872822,phirxian,0.80 (12),0.94 (7),0.09 (13),1.62 (9),
780066,grace_yi,0.86 (9),0.94 (8),0.38 (14),0.95 (4),
747359,guoruohao,0.89 (5),0.94 (9),-0.92 (8),1.12 (7),
638987,looooong,0.87 (8),0.94 (10),-0.20 (11),0.92 (3),
640375,LfB,0.91 (3),0.93 (11),-4.18 (5),4.18 (10),
533700,DanielWard,0.82 (10),0.88 (12),-4.11 (6),4.24 (11),
533684,UPGen,0.82 (11),0.85 (13),-4.34 (4),4.43 (12),
970682,sumin,0.91 (1),0.71 (14),-8.47 (3),8.74 (13),
1138330,annah,0.01 (15),0.40 (15),104.22 (16),113.47 (16),
912519,jaweyl,0.00 (16),0.00 (16),-13.23 (1),13.23 (15),
479025,thetweak,0.00 (16),0.00 (16),-13.23 (1),13.23 (15),
478044,uslee,0.00 (16),0.00 (16),-13.23 (1),13.23 (15),
submission_pk,User,bestDice,FgBgDice,diffFG,absDiffFG
1130809,lds,0.38 (14),1.00 (1),-10.42 (2),10.42 (13),
912958,awolny,0.38 (14),1.00 (1),-10.42 (2),10.42 (13),
536487,dliu5812,0.38 (14),1.00 (1),-10.42 (2),10.42 (13),
717667,manan,0.38 (14),1.00 (1),-10.42 (2),10.42 (13),
491960,anhtuanhsgs,0.38 (14),1.00 (1),-10.42 (2),10.42 (13),
529606,Fr_AB,0.38 (14),1.00 (1),-10.42 (2),10.42 (13),
519588,ntkhoa,0.38 (14),1.00 (1),-10.42 (2),10.42 (13),
457402,issamo,0.38 (14),1.00 (1),-10.42 (2),10.42 (13),
922508,Sandesh,0.53 (13),0.96 (2),0.13 (13),1.31 (6),
747364,dougpsg,0.90 (2),0.95 (3),-1.23 (7),1.43 (7),
872822,phirxian,0.77 (12),0.95 (4),3.61 (15),6.29 (11),
632734,yukinohana,0.87 (6),0.95 (5),0.06 (12),0.88 (1),
929087,Steven_Yuan,0.91 (1),0.95 (6),-0.94 (9),1.11 (4),
646369,wuzi,0.87 (7),0.94 (7),-0.03 (11),0.97 (3),
638987,looooong,0.86 (8),0.94 (8),-0.26 (10),1.23 (5),
747359,guoruohao,0.90 (3),0.93 (9),-1.16 (8),1.31 (6),
780066,grace_yi,0.85 (9),0.93 (10),0.20 (14),0.94 (2),
640375,LfB,0.88 (5),0.91 (11),-3.51 (6),4.03 (10),
533700,DanielWard,0.82 (11),0.88 (12),-3.51 (5),3.63 (8),
533684,UPGen,0.82 (10),0.86 (13),-3.74 (4),3.83 (9),
970682,sumin,0.90 (4),0.72 (14),-7.36 (3),7.55 (12),
1138330,annah,0.01 (15),0.51 (15),133.53 (16),140.14 (15),
912519,jaweyl,0.00 (16),0.00 (16),-11.42 (1),11.42 (14),
479025,thetweak,0.00 (16),0.00 (16),-11.42 (1),11.42 (14),
478044,uslee,0.00 (16),0.00 (16),-11.42 (1),11.42 (14),
