submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605604,bdd100k,66.66 (1),83.74 (2),129959.00 (1),68110.00 (2),11546.00 (2),13774.00 (1),3428.00 (1),6716.00 (1),
620717,zhaoxingjie,0.18 (2),86.62 (1),627490.00 (2),71.00 (1),35.00 (1),18.00 (2),23890.00 (2),10.00 (2),
620725,suntinger,0.18 (2),86.62 (1),627490.00 (2),71.00 (1),35.00 (1),18.00 (2),23890.00 (2),10.00 (2),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605604,bdd100k,18.69 (1),84.77 (2),7625.00 (1),4547.00 (2),76.00 (2),69.00 (1),174.00 (1),101.00 (1),
620717,zhaoxingjie,0.54 (2),88.14 (1),14980.00 (2),0.00 (1),2.00 (1),1.00 (2),342.00 (2),1.00 (2),
620725,suntinger,0.54 (2),88.14 (1),14980.00 (2),0.00 (1),2.00 (1),1.00 (2),342.00 (2),1.00 (2),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605604,bdd100k,20.55 (1),83.68 (1),30447.00 (1),8606.00 (2),165.00 (2),157.00 (1),730.00 (1),403.00 (1),
620717,zhaoxingjie,-0.03 (2),NaN (2),49359.00 (2),14.00 (1),0.00 (1),0.00 (2),1290.00 (2),0.00 (2),
620725,suntinger,-0.03 (2),NaN (2),49359.00 (2),14.00 (1),0.00 (1),0.00 (2),1290.00 (2),0.00 (2),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
620717,zhaoxingjie,0.00 (1),NaN (1),503.00 (1),0.00 (1),0.00 (1),0.00 (1),11.00 (1),0.00 (1),
620725,suntinger,0.00 (1),NaN (1),503.00 (1),0.00 (1),0.00 (1),0.00 (1),11.00 (1),0.00 (1),
605604,bdd100k,0.00 (1),NaN (1),503.00 (1),0.00 (1),0.00 (1),0.00 (1),11.00 (1),0.00 (1),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605604,bdd100k,19.01 (1),74.70 (1),2667.00 (1),404.00 (2),18.00 (2),15.00 (1),133.00 (1),60.00 (1),
620717,zhaoxingjie,0.00 (2),NaN (2),3814.00 (2),0.00 (1),0.00 (1),0.00 (2),208.00 (2),0.00 (2),
620725,suntinger,0.00 (2),NaN (2),3814.00 (2),0.00 (1),0.00 (1),0.00 (2),208.00 (2),0.00 (2),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605604,bdd100k,18.09 (1),73.97 (1),5307.00 (1),1249.00 (2),64.00 (2),62.00 (1),262.00 (1),157.00 (1),
620717,zhaoxingjie,0.00 (2),NaN (2),8082.00 (2),0.00 (1),0.00 (1),0.00 (2),481.00 (2),0.00 (2),
620725,suntinger,0.00 (2),NaN (2),8082.00 (2),0.00 (1),0.00 (1),0.00 (2),481.00 (2),0.00 (2),
