submission_pk,User,Log of MAE score
994371,Chatmethar,1.2427111358 (56),
988476,bay,1.2434320840 (57),
993653,namsarad,1.2440094469 (58),
998156,gunsodo,1.2441424220 (59),
998840,Pattama_t,1.2446496068 (60),
997171,TMLCC0623,1.2447128905 (61),
1000295,Max_p,1.2453006665 (62),
999618,panatchakorn_a,1.2467690264 (63),
999399,DanaiSaengbuamad,1.2474575226 (64),
999204,Askas,1.2474575226 (64),
999409,TMLCC0897,1.2475466090 (65),
990556,litapi,1.2497298833 (66),
992884,pirchq,1.2541171574 (67),
988728,Karn,1.2555847896 (68),
1000149,stpayu,1.2561990604 (69),
999567,makkawan,1.2566721552 (70),
989785,TMLCC0416,1.2575015928 (71),
999103,Kittichat,1.2580578088 (72),
996218,AlphaMOF,1.2582112637 (73),
1000259,Nita_nat,1.2630317679 (74),
989324,Marine38,1.2632586560 (75),
1000291,Pinyawat,1.2634625383 (76),
999087,Chayapol,1.2655335306 (77),
1000292,ChalothornYn,1.2662692262 (78),
1000285,pepper,1.2668117271 (79),
1000059,SF_Biw,1.2714569203 (80),
997691,TMLCC0147,1.2722816905 (81),
988330,thanaphatlertmo,1.2727406044 (82),
996722,Suphakorn,1.2750399992 (83),
999313,_721945,1.2754350476 (84),
999311,moblerone,1.2754350476 (84),
999332,senmeetechin,1.2764095927 (85),
996672,napat.lertth,1.2773085566 (86),
987762,Wachi,1.2800221372 (87),
996650,EntropyP,1.2803115167 (88),
990605,TMLCC0948-sirawizz,1.2813697357 (89),
1000271,Tarastream,1.2827397312 (90),
988972,Anann,1.2829623051 (91),
990429,Tak_nb,1.2967861725 (92),
992898,P.Untarabut,1.2987871424 (93),
988349,namirinz,1.2991219454 (94),
996418,Praew,1.3001364352 (95),
991019,wdmk,1.3040483272 (96),
997160,nyodsin,1.3043126517 (97),
1000012,Naphasadon,1.3049231937 (98),
999641,paopeaw,1.3053947575 (99),
992647,Manotham,1.3079147032 (100),
996508,Psikam,1.3096531952 (101),
999919,phoenix2004,1.3104312211 (102),
989293,Phyme,1.3136442877 (103),
998993,Jiraphat_thongyoo,1.3139041249 (104),
999845,waritt,1.3183229568 (105),
993557,LinuxGuy,1.3221014209 (106),
994571,tanachote_r,1.3254916059 (107),
1000039,pxst,1.3258587671 (108),
989400,Hand,1.3262210264 (109),
998433,OrnlyP,1.3284730197 (110),
989901,TMLCC0071-auuuuum,1.3306606263 (111),
988479,tanapat.rue,1.3334791432 (112),
998642,zixsf,1.3335097006 (113),
988985,Varinpond,1.3406699313 (114),
999156,RuffLogix,1.3414464403 (115),
988520,Pa1,1.3422219906 (116),
1000235,Chayawat,1.3543533156 (117),
997815,dheerapat,1.3559874976 (118),
990025,MeenN,1.3612951637 (119),
992775,Sapon,1.3668442612 (120),
996196,Pakkawatk,1.3713094398 (121),
999762,TMLCC092-sarun,1.3722203252 (122),
992676,TMLCC0995-suphakorn.s,1.3734831365 (123),
991112,surat,1.3735895878 (124),
1000203,TMLCC0332_JameWM,1.3814282097 (125),
1000247,Suttikiat,1.3815457945 (126),
994138,tkthanatorn,1.3844173325 (127),
999365,Trin_nithiroj,1.3887532784 (128),
994367,MooNey,1.3989143332 (129),
997901,daranpop.s,1.4039478909 (130),
1000096,Kittapask,1.4056669178 (131),
1000200,aabbyy,1.4057514514 (132),
993576,aaaaaaa,1.4075944322 (133),
988379,earthium,1.4087024868 (134),
999086,kbd,1.4126521518 (135),
999884,Glueman,1.4148568783 (136),
995765,TMLCC0677Tanaket,1.4163094612 (137),
999207,Teekhathat,1.4188286170 (138),
991732,Rattametb,1.4304213685 (139),
987674,Pat_Tana,1.4371326552 (140),
998845,legend5555,1.4384086009 (141),
988354,sponiparty,1.4398675389 (142),
1000199,kasidit,1.4401920668 (143),
988177,Apinya,1.4409074748 (144),
1000083,Natthapol,1.4434256111 (145),
1000284,TMLCC0661-nutchanun1,1.4472282286 (146),
989206,ssingsen,1.4478196971 (147),
996366,thummarat,1.4553366196 (148),
998059,nuttanai,1.4578007410 (149),
989654,Parinthon_Nearmnala,1.4648016558 (150),
999110,Pongsakon,1.5181103373 (151),
999241,TMLCC0977,1.5394778348 (152),
988019,pchinave,1.5425713198 (153),
1000234,swuicj,1.5663797121 (154),
998528,Nooperman,1.6177469653 (155),
997773,portunwa,1.6628857379 (156),
990626,Weerawich,1.6726527221 (157),
998689,apimuk25,1.8145207237 (158),
989236,For_raiden,1.8317717783 (159),
999834,Kotchakorn,1.8556344133 (160),
999617,charmingchoops,2.0153229694 (161),
999747,PatrickChoDev,2.0386968736 (162),
1000141,TMLCC0574,2.1389559664 (163),
987714,chem_1,2.1423017966 (164),
997237,Tarapong,2.4961625544 (165),
