submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
578465,Anonymous,36.90 (24),0.95 (18),0.00 (23),0.00 (2),0.00 (2),
578434,Anonymous,36.52 (49),0.95 (46),0.00 (23),0.00 (2),0.00 (2),
578064,Anonymous,36.54 (46),0.95 (44),0.00 (23),0.00 (2),0.00 (2),
577881,Anonymous,35.81 (64),0.94 (72),0.00 (23),0.00 (2),0.00 (2),
577776,Anonymous,37.33 (1),0.96 (9),0.00 (23),0.00 (2),0.00 (2),
577423,Anonymous,36.23 (57),0.95 (60),0.00 (23),0.00 (2),0.00 (2),
576409,Anonymous,21.03 (76),0.71 (75),1.00 (9),1.00 (1),0.00 (2),
576392,Anonymous,36.98 (19),0.96 (5),0.00 (23),0.00 (2),0.00 (2),
575486,Anonymous,36.51 (50),0.95 (53),0.00 (23),0.00 (2),0.00 (2),
575388,Anonymous,36.86 (27),0.95 (33),2.20 (7),0.00 (2),0.00 (2),
575384,Anonymous,36.59 (42),0.95 (52),8.14 (1),0.00 (2),0.00 (2),
574296,Anonymous,36.22 (58),0.94 (66),0.00 (23),0.00 (2),0.00 (2),
574020,Anonymous,36.79 (31),0.95 (45),0.00 (23),0.00 (2),0.00 (2),
571393,Anonymous,35.81 (63),0.94 (69),0.00 (23),0.00 (2),0.00 (2),
571169,Anonymous,36.68 (37),0.95 (48),0.15 (16),0.00 (2),0.00 (2),
571105,Anonymous,35.05 (70),0.94 (63),0.07 (18),0.00 (2),0.00 (2),
571104,Anonymous,34.93 (71),0.95 (40),0.00 (23),0.00 (2),0.00 (2),
570872,Anonymous,36.32 (54),0.95 (57),0.00 (23),0.00 (2),0.00 (2),
570481,Anonymous,37.11 (9),0.95 (17),2.25 (6),0.00 (2),0.00 (2),
570437,Anonymous,37.04 (13),0.95 (37),2.42 (5),0.00 (2),0.00 (2),
568774,Anonymous,36.78 (32),0.95 (43),0.00 (23),0.00 (2),0.00 (2),
568250,Anonymous,35.80 (65),0.95 (27),0.00 (23),0.00 (2),0.00 (2),
568221,Anonymous,35.74 (66),0.94 (67),0.00 (23),0.00 (2),0.00 (2),
567822,Anonymous,36.61 (39),0.95 (25),0.00 (23),0.00 (2),0.00 (2),
565785,Anonymous,37.14 (8),0.95 (14),0.00 (23),0.00 (2),0.00 (2),
561179,Anonymous,36.55 (45),0.95 (49),0.76 (10),0.00 (2),0.00 (2),
560505,Anonymous,36.89 (25),0.96 (2),0.00 (23),0.00 (2),0.00 (2),
558597,Anonymous,37.15 (7),0.96 (7),0.00 (23),0.00 (2),0.00 (2),
558588,Anonymous,36.97 (21),0.95 (24),0.00 (23),0.00 (2),0.00 (2),
558485,Anonymous,36.85 (28),0.95 (36),0.00 (23),0.00 (2),0.00 (2),
558481,Anonymous,37.04 (14),0.95 (21),0.00 (23),0.00 (2),0.00 (2),
558332,Anonymous,37.29 (4),0.95 (15),0.00 (23),0.00 (2),0.00 (2),
556836,Anonymous,37.24 (5),0.95 (13),0.00 (23),0.00 (2),0.00 (2),
555607,Anonymous,36.56 (44),0.95 (55),0.52 (13),0.00 (2),0.00 (2),
555405,Anonymous,37.31 (2),0.96 (4),0.00 (23),0.00 (2),0.00 (2),
555287,Anonymous,35.26 (69),0.95 (59),0.00 (23),0.00 (2),0.00 (2),
554346,Anonymous,36.87 (26),0.95 (16),0.00 (23),0.00 (2),0.00 (2),
550717,Anonymous,37.03 (15),0.96 (6),0.00 (23),0.00 (2),0.00 (2),
550714,Anonymous,36.99 (17),0.95 (12),0.00 (23),0.00 (2),0.00 (2),
549613,Anonymous,36.76 (33),0.95 (35),0.00 (23),0.00 (2),0.00 (2),
547857,Anonymous,36.58 (43),0.95 (29),0.00 (23),0.00 (2),0.00 (2),
547855,Anonymous,36.72 (36),0.95 (19),0.00 (23),0.00 (2),0.00 (2),
546275,Anonymous,37.03 (16),0.95 (22),0.00 (23),0.00 (2),0.00 (2),
545686,Anonymous,36.82 (29),0.96 (8),2.00 (8),0.00 (2),0.00 (2),
544827,Anonymous,36.01 (61),0.94 (61),0.05 (21),0.00 (2),0.00 (2),
542864,Anonymous,36.98 (20),0.95 (26),0.00 (23),0.00 (2),0.00 (2),
540375,Anonymous,35.65 (67),0.94 (71),0.76 (10),0.00 (2),0.00 (2),
540305,Anonymous,36.19 (59),0.94 (64),0.25 (15),0.00 (2),0.00 (2),
539620,Anonymous,6.71 (78),0.03 (78),0.07 (17),0.00 (2),0.00 (2),
539207,Anonymous,37.07 (12),0.95 (28),0.59 (12),0.00 (2),0.00 (2),
538978,Anonymous,37.07 (11),0.96 (3),2.00 (8),0.00 (2),0.00 (2),
536770,Anonymous,36.76 (35),0.95 (42),1.00 (9),0.00 (2),0.00 (2),
536028,Anonymous,36.60 (40),0.95 (34),0.00 (23),0.00 (2),0.00 (2),
532473,Anonymous,26.63 (75),0.66 (76),1.00 (9),1.00 (1),0.00 (2),
578942,Anonymous,35.95 (62),0.94 (68),0.02 (22),-1.00 (3),-1.00 (3),
550920,Anonymous,36.32 (55),0.95 (47),0.07 (20),-1.00 (3),-1.00 (3),
