submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
801825,priyakansal,17.6014 (88),0.6998 (100),-1.0000 (1),-1.0 (3),-1.0 (1),
793759,GOOOODNIGHT,19.8144 (35),0.8085 (29),-1.0000 (1),-1.0 (3),-1.0 (1),
787067,Park-Jong-min,18.8223 (59),0.7738 (63),-1.0000 (1),-1.0 (3),-1.0 (1),
786781,CacacaLalala,19.8811 (32),0.8018 (37),-1.0000 (1),-1.0 (3),-1.0 (1),
779456,exciting,20.1956 (23),0.8168 (19),-1.0000 (1),-1.0 (3),-1.0 (1),
779150,excited,20.3975 (18),0.8171 (18),-1.0000 (1),-1.0 (3),-1.0 (1),
778926,pushthebell,18.1453 (75),0.7632 (71),-1.0000 (1),-1.0 (3),-1.0 (1),
777235,debut_kele,19.8603 (33),0.8204 (11),-1.0000 (1),-1.0 (3),-1.0 (1),
774573,Lotayou,18.6690 (62),0.6987 (101),-1.0000 (1),-1.0 (3),-1.0 (1),
771640,splinter23,20.5803 (16),0.8182 (15),-1.0000 (1),-1.0 (3),-1.0 (1),
763445,Radu,10.9362 (123),0.5654 (118),-1.0000 (1),-1.0 (3),-1.0 (1),
838863,R0use,11.5394 (122),0.1253 (124),10.4000 (40),0.0 (2),0.0 (2),
837910,caikunlun,18.9030 (57),0.6706 (107),0.8300 (25),0.0 (2),0.0 (2),
837458,ms_ipcv,19.6899 (37),0.8127 (25),0.1000 (10),0.0 (2),0.0 (2),
837000,BFZhang,17.5072 (93),0.7055 (99),0.0180 (5),0.0 (2),0.0 (2),
830888,ajslfy,19.0090 (54),0.8007 (41),0.5000 (18),0.0 (2),0.0 (2),
830751,Geethu,18.0993 (76),0.7591 (73),2.8175 (33),0.0 (2),0.0 (2),
829759,CHIPPYMMANU,18.5509 (63),0.6376 (110),1.0000 (27),0.0 (2),0.0 (2),
828005,ecu-2021,17.0251 (103),0.7703 (65),1.0000 (27),0.0 (2),0.0 (2),
827238,adityac8,18.6958 (61),0.8034 (35),0.2000 (14),0.0 (2),0.0 (2),
826730,swz30,19.0485 (52),0.8008 (40),0.2000 (14),0.0 (2),0.0 (2),
826299,qxyan,20.3982 (17),0.8151 (23),0.0000 (2),0.0 (2),0.0 (2),
825353,yzy,17.4808 (94),0.7584 (75),0.5600 (21),0.0 (2),0.0 (2),
822888,xiaocaiji,19.6242 (41),0.8057 (32),0.0000 (2),0.0 (2),0.0 (2),
822400,cvlab_aicte,18.3154 (70),0.5967 (115),1.0000 (27),0.0 (2),0.0 (2),
821098,aijisong,18.7876 (60),0.7938 (48),0.5000 (18),0.0 (2),0.0 (2),
818958,pawan.prasad,14.6335 (115),0.6905 (103),3.8700 (36),0.0 (2),0.0 (2),
815030,akhilkashok,16.2978 (109),0.6836 (104),1.1700 (29),0.0 (2),0.0 (2),
814310,testdn,19.0861 (50),0.8046 (34),0.0000 (2),0.0 (2),0.0 (2),
812981,specialre,19.2803 (48),0.8021 (36),-1.0000 (1),0.0 (2),0.0 (2),
811651,Chippy,16.1111 (110),0.3246 (121),1.0000 (27),0.0 (2),0.0 (2),
808229,Pinkamena,18.2784 (72),0.7694 (68),4.6000 (38),0.0 (2),0.0 (2),
807454,eppark,17.6031 (87),0.6589 (109),0.0100 (4),0.0 (2),0.0 (2),
806859,xiaoran_IDAM,16.0896 (111),0.7517 (79),0.9300 (26),0.0 (2),0.0 (2),
806338,xiaozhazha,18.4956 (66),0.7414 (85),-1.0000 (1),0.0 (2),0.0 (2),
805599,ahhhhhh,18.8891 (58),0.8061 (31),0.0000 (2),0.0 (2),0.0 (2),
805514,Non_persuit,18.5451 (64),0.7976 (46),0.0000 (2),0.0 (2),0.0 (2),
805388,Yangwj,19.0343 (53),0.7996 (42),0.0000 (2),0.0 (2),0.0 (2),
804442,NamhoKim,17.3693 (96),0.7507 (80),0.1281 (12),0.0 (2),0.0 (2),
783003,whu_NERCMS,17.1971 (99),0.7239 (95),0.7100 (23),0.0 (2),0.0 (2),
782934,congxiaofeng,17.1968 (100),0.7325 (89),1.4440 (30),0.0 (2),0.0 (2),
782592,sudo,19.0001 (55),0.7932 (51),0.0750 (9),0.0 (2),0.0 (2),
782523,deluious,16.7656 (107),0.6791 (105),2.2819 (32),0.0 (2),0.0 (2),
781181,oaDsis,17.9645 (79),0.7732 (64),0.0200 (6),0.0 (2),0.0 (2),
773193,whu_xiaokuihua,17.9498 (80),0.7692 (69),0.7100 (23),0.0 (2),0.0 (2),
770535,BUUMASRC.,10.2061 (124),0.3676 (120),530.4059 (43),1.0 (1),0.0 (2),
769801,MKFMIKU,19.4130 (45),0.8054 (33),1.0000 (27),0.0 (2),0.0 (2),
768703,wjj_xd,15.1146 (114),0.5968 (114),0.7760 (24),0.0 (2),0.0 (2),
764705,Null,13.9655 (117),0.3172 (122),-1.0000 (1),0.0 (2),0.0 (2),
1147018,ZonyangTong,20.3500 (20),0.8165 (21),10.4300 (41),1.0 (1),1.0 (3),
1146997,Skyman,20.5921 (15),0.8227 (4),0.1329 (13),0.0 (2),1.0 (3),
1101285,chenzhaojie1997,18.4198 (67),0.7965 (47),10.4300 (41),1.0 (1),1.0 (3),
913727,Fatha,9.8633 (126),0.6011 (113),0.1070 (11),0.0 (2),1.0 (3),
853755,Jerome_Chang,21.1414 (2),0.8314 (2),60.0000 (42),0.0 (2),1.0 (3),
837807,VanDarkH,19.6294 (40),0.7899 (56),0.5300 (19),0.0 (2),1.0 (3),
837565,junedgar,20.9027 (6),0.7976 (45),4.5000 (37),0.0 (2),1.0 (3),
837483,clean,19.9359 (30),0.8143 (24),1.5580 (31),0.0 (2),1.0 (3),
836792,ChangSung,20.0102 (28),0.8109 (26),-1.0000 (1),0.0 (2),1.0 (3),
831831,jerryF,18.2862 (71),0.7699 (66),1.1000 (28),0.0 (2),1.0 (3),
830701,Eun-Sung,17.6202 (86),0.7698 (67),0.0518 (8),0.0 (2),1.0 (3),
830545,kalpesh_svnit,17.0652 (101),0.7678 (70),1.0000 (27),0.0 (2),1.0 (3),
830360,usercyq,19.5431 (44),0.8200 (13),0.4000 (16),0.0 (2),1.0 (3),
830229,yunfeng,18.4976 (65),0.7534 (78),10.4300 (41),1.0 (1),1.0 (3),
828761,kuchbhi,19.0725 (51),0.8097 (27),0.2000 (14),0.0 (2),1.0 (3),
828376,fcataman,14.2565 (116),0.7079 (97),-1.0000 (1),1.0 (1),1.0 (3),
824239,YiqunChen1999,19.6615 (39),0.8220 (6),0.4000 (16),0.0 (2),1.0 (3),
823509,PLester,17.5188 (90),0.7796 (60),10.4300 (41),0.0 (2),1.0 (3),
822538,mbzuai,15.6738 (113),0.6681 (108),1.0000 (27),0.0 (2),1.0 (3),
819239,wonderfour,19.9160 (31),0.8219 (8),0.4000 (16),0.0 (2),1.0 (3),
818364,bulletbible,18.2218 (74),0.6240 (111),10.4300 (41),0.0 (2),1.0 (3),
818321,virialdi,17.8920 (81),0.7264 (93),0.5300 (19),0.0 (2),1.0 (3),
812960,JunweiZha2021,18.3977 (68),0.7585 (74),0.5478 (20),0.0 (2),1.0 (3),
812728,aricsong1995,19.3781 (47),0.6956 (102),0.4300 (17),0.0 (2),1.0 (3),
807779,xuanzhao,13.2642 (118),0.6753 (106),10.4300 (41),0.0 (2),1.0 (3),
804470,vishalchudasama,17.0623 (102),0.7401 (86),3.2500 (35),0.0 (2),1.0 (3),
793232,r08921051,19.1737 (49),0.7366 (87),2.8620 (34),0.0 (2),1.0 (3),
785826,jnucyq,17.5292 (89),0.6071 (112),10.0000 (39),0.0 (2),1.0 (3),
785738,sabarinathan,16.6938 (108),0.4354 (119),10.4300 (41),1.0 (1),1.0 (3),
784145,NicolasGUO,17.6877 (85),0.7814 (59),0.0300 (7),0.0 (2),1.0 (3),
784110,clearme,18.0034 (78),0.7473 (81),0.2378 (15),1.0 (1),1.0 (3),
780282,snail_in_sky,17.4428 (95),0.7562 (76),0.0064 (3),0.0 (2),1.0 (3),
773342,CoderV,15.8678 (112),0.7317 (90),0.6000 (22),0.0 (2),1.0 (3),
772244,Hogwarts-Transformer,19.8003 (36),0.8086 (28),1.0000 (27),0.0 (2),1.0 (3),
771632,xsourse,16.7820 (105),0.7431 (83),0.0000 (2),0.0 (2),1.0 (3),
770355,Z-S-L,16.8173 (104),0.7242 (94),1.0000 (27),0.0 (2),1.0 (3),
767611,Joyies_yi,17.5090 (92),0.7197 (96),0.0000 (2),0.0 (2),1.0 (3),
