submission_pk,User,mIoU,accuracy,Ground,High Vegetation,Buildings,Walls,Bridge,Parking,Rail,traffic Roads,Street Furniture,Cars,Footpath,Bikes,Water
951480,subury,0.5820 (30),0.9190 (21),0.8440 (20),0.9820 (8),0.9440 (18),0.5570 (38),0.4630 (37),0.5380 (29),0.2180 (24),0.5450 (33),0.4060 (36),0.8070 (25),0.3930 (32),0.0960 (14),0.7680 (17),
974087,JieyunPan,0.5780 (31),0.9220 (18),0.8450 (19),0.9830 (7),0.9460 (16),0.5740 (34),0.5930 (20),0.5590 (19),0.1410 (37),0.5650 (29),0.4030 (38),0.8120 (22),0.3930 (32),0.0000 (28),0.6970 (35),
977799,sevententwo,0.5760 (32),0.9210 (19),0.8390 (24),0.9830 (7),0.9450 (17),0.5800 (31),0.3330 (47),0.5570 (21),0.1650 (34),0.5720 (25),0.4490 (27),0.8110 (23),0.4040 (26),0.1620 (8),0.6920 (37),
977121,dirlifttree42,0.5740 (33),0.9260 (15),0.8510 (15),0.9860 (4),0.9500 (13),0.5940 (26),0.6940 (1),0.5080 (34),0.0000 (49),0.5650 (29),0.4530 (26),0.7960 (30),0.3960 (30),0.0000 (28),0.6730 (42),
1144466,wuweichao,0.5730 (34),0.9200 (20),0.8420 (21),0.9830 (7),0.9400 (22),0.5520 (39),0.4890 (34),0.5770 (12),0.2000 (28),0.5730 (24),0.3930 (43),0.7930 (32),0.4070 (24),0.0000 (28),0.7010 (34),
1096088,flysnow_hxb_2,0.5700 (35),0.9140 (26),0.8280 (29),0.9830 (7),0.9310 (30),0.5570 (38),0.5710 (24),0.5690 (15),0.0000 (49),0.5910 (19),0.4040 (37),0.8290 (11),0.3820 (35),0.0000 (28),0.7700 (15),
950093,yangpq,0.5700 (35),0.9190 (21),0.8450 (19),0.9820 (8),0.9460 (16),0.5790 (32),0.4970 (32),0.5670 (16),0.1740 (33),0.5580 (31),0.3900 (44),0.7900 (34),0.3830 (34),0.0070 (26),0.6880 (38),
1101963,flysnow_hxb_ntu_yahoo,0.5680 (36),0.9160 (24),0.8340 (28),0.9830 (7),0.9360 (26),0.5480 (42),0.5540 (27),0.5580 (20),0.0000 (49),0.5890 (20),0.3990 (39),0.8280 (12),0.4060 (25),0.0000 (28),0.7530 (21),
959897,wusize,0.5600 (37),0.9090 (30),0.8150 (34),0.9810 (9),0.9280 (31),0.5410 (43),0.6120 (15),0.5500 (24),0.0000 (49),0.5970 (17),0.3500 (56),0.8040 (27),0.3770 (37),0.0000 (28),0.7200 (31),
1142922,zyangtudelft,0.5590 (38),0.9150 (25),0.8350 (27),0.9820 (8),0.9440 (18),0.6310 (15),0.4610 (38),0.5400 (27),0.1740 (33),0.5280 (35),0.3940 (42),0.7950 (31),0.3540 (43),0.0000 (28),0.6270 (49),
