submission_pk,User,F-Score,Accuracy
784211,abdelkader,0.5108 (22),
784340,zhaoyingjia123,0.5204 (23),
786226,razvan.smadu,0.5270 (24),
784080,Han_Jiawei,0.5281 (25),
784371,GuanZhengyi,0.5419 (26),
783878,tathagataraha,0.5574 (27),
844671,jam,0.5770 (28),
784106,Anik,0.5800 (29),
803287,Maoqin,0.6079 (30),
786643,CHaines,0.6473 (31),
810164,ryanachi,0.7229 (32),
784299,JAGD,0.8740 (33),
784224,chilai1996,0.9587 (34),
976044,apostaremczak,2.1835 (35),
1129311,Pooja01,- (36),
960656,csecudsg,- (36),
874286,ltjuatja,- (36),
846102,bholeshwar,- (36),
820530,zaak,- (36),
809386,mengyuan_jiayi,- (36),
808695,Zehao_Liu,- (36),
804587,PattonX,- (36),
793680,tmarchitan,- (36),
784188,alexkara23,- (36),
