submission_pk,User,AP,AP IoU=.50,AP IoU=.75,AP large,AP medium,AP small,AR large,AR max=1,AR max=10,AR max=100,AR medium,AR small
491348,ZhuXiongwei24,0.42 (27),0.65 (24),0.45 (25),0.60 (22),0.44 (32),0.21 (39),0.70 (33),0.33 (24),0.51 (36),0.53 (33),0.57 (39),0.32 (36),
502218,JLU_thunder,0.42 (28),0.65 (25),0.45 (24),0.60 (21),0.44 (32),0.20 (42),0.72 (27),0.34 (21),0.53 (27),0.56 (24),0.59 (29),0.36 (23),
681155,JiaLiangMa,0.42 (29),0.64 (26),0.45 (26),0.55 (30),0.44 (30),0.23 (26),0.70 (35),0.33 (24),0.51 (35),0.53 (31),0.57 (39),0.33 (33),
905522,p5351280,0.41 (30),0.63 (30),0.45 (28),0.55 (31),0.44 (31),0.22 (29),0.71 (30),0.33 (22),0.52 (30),0.55 (27),0.60 (25),0.35 (28),
641289,qiaofeili,0.41 (31),0.64 (28),0.45 (27),0.55 (32),0.44 (32),0.23 (27),0.72 (28),0.34 (21),0.53 (26),0.56 (24),0.60 (27),0.36 (25),
1057651,luyao_qq,0.40 (32),0.64 (29),0.43 (32),0.54 (35),0.43 (37),0.22 (33),0.74 (20),0.33 (26),0.52 (29),0.56 (23),0.60 (26),0.35 (29),
957198,guoruohao,0.40 (32),0.61 (36),0.43 (30),0.73 (2),0.59 (2),0.10 (64),0.73 (22),0.33 (27),0.51 (34),0.54 (29),0.59 (30),0.30 (46),
1141119,sbchoi,0.40 (33),0.62 (34),0.43 (31),0.52 (38),0.43 (36),0.22 (28),0.69 (36),0.33 (23),0.51 (33),0.54 (30),0.57 (36),0.33 (33),
1010229,HUJINWU,0.40 (33),0.62 (35),0.43 (31),0.74 (1),0.60 (1),0.10 (63),0.75 (16),0.33 (25),0.52 (32),0.54 (28),0.60 (25),0.30 (48),
897313,b03505036,0.40 (33),0.61 (38),0.44 (29),0.56 (28),0.43 (35),0.19 (45),0.74 (17),0.32 (30),0.53 (28),0.56 (22),0.60 (24),0.35 (27),
829307,twanging,0.40 (34),0.60 (45),0.44 (29),0.58 (24),0.43 (33),0.18 (50),0.70 (34),0.32 (37),0.48 (53),0.50 (48),0.54 (48),0.25 (57),
623546,EOM_Seg,0.40 (35),0.62 (35),0.43 (32),0.51 (42),0.42 (39),0.23 (27),0.68 (44),0.33 (27),0.51 (37),0.53 (32),0.56 (40),0.34 (32),
1106483,JialeCao,0.40 (36),0.62 (35),0.43 (35),0.53 (36),0.42 (41),0.21 (35),0.70 (33),0.33 (28),0.51 (38),0.53 (31),0.57 (34),0.32 (36),
955088,lzk,0.40 (36),0.62 (33),0.43 (33),0.52 (39),0.42 (38),0.22 (30),0.67 (47),0.32 (31),0.50 (45),0.52 (40),0.55 (43),0.32 (37),
898154,kljbg,0.40 (37),0.61 (40),0.43 (34),0.58 (25),0.43 (34),0.17 (53),0.73 (26),0.32 (30),0.50 (40),0.53 (35),0.58 (32),0.28 (51),
602958,Scalsol,0.39 (38),0.62 (31),0.42 (38),0.51 (41),0.42 (40),0.22 (32),0.68 (42),0.32 (34),0.50 (42),0.53 (33),0.57 (35),0.34 (30),
1138834,chentianyou,0.39 (39),0.61 (39),0.42 (37),0.52 (40),0.43 (36),0.21 (36),0.67 (48),0.32 (36),0.49 (49),0.51 (45),0.54 (47),0.31 (44),
562493,cheryl_cap,0.39 (39),0.61 (40),0.42 (38),0.50 (45),0.42 (42),0.22 (31),0.71 (31),0.32 (29),0.52 (31),0.56 (25),0.60 (27),0.36 (26),
1090668,HuYunlong,0.39 (40),0.60 (43),0.42 (38),0.51 (42),0.41 (43),0.21 (38),0.68 (43),0.33 (28),0.50 (41),0.52 (36),0.56 (41),0.31 (38),
819599,jinhou,0.39 (40),0.61 (37),0.42 (36),0.52 (38),0.43 (36),0.21 (37),0.69 (37),0.32 (30),0.51 (39),0.54 (30),0.57 (38),0.34 (31),
1111425,mjx,0.39 (41),0.60 (42),0.42 (39),0.71 (3),0.58 (3),0.10 (65),0.72 (29),0.32 (32),0.50 (40),0.53 (33),0.58 (33),0.30 (47),
920807,noobying,0.39 (42),0.62 (32),0.41 (41),0.56 (29),0.41 (44),0.18 (49),0.71 (30),0.32 (35),0.50 (42),0.53 (34),0.57 (39),0.31 (39),
1109810,ZCMaxin,0.38 (43),0.59 (49),0.41 (40),0.50 (44),0.40 (45),0.20 (40),0.68 (40),0.32 (31),0.50 (43),0.52 (39),0.55 (45),0.31 (39),
1088602,aanna,0.38 (44),0.60 (41),0.40 (42),0.49 (49),0.40 (47),0.21 (34),0.67 (45),0.32 (33),0.50 (44),0.52 (38),0.56 (42),0.33 (34),
759896,Shaun,0.37 (45),0.59 (48),0.40 (43),0.50 (48),0.39 (49),0.20 (41),0.67 (46),0.31 (39),0.49 (50),0.51 (43),0.55 (45),0.31 (41),
962562,Austin_1901,0.37 (46),0.60 (44),0.40 (44),0.48 (50),0.40 (46),0.20 (41),0.65 (52),0.31 (41),0.48 (52),0.50 (47),0.54 (50),0.31 (44),
523094,Rosemei,0.37 (47),0.59 (46),0.40 (44),0.52 (37),0.40 (48),0.17 (52),0.66 (49),0.31 (40),0.48 (51),0.51 (44),0.55 (44),0.31 (40),
667711,amit256,0.37 (48),0.58 (50),0.39 (45),0.47 (56),0.39 (51),0.21 (38),0.65 (51),0.31 (38),0.49 (47),0.51 (41),0.54 (48),0.33 (35),
546609,Govolkin,0.36 (49),0.59 (47),0.39 (46),0.48 (53),0.39 (50),0.19 (46),0.65 (54),0.31 (43),0.48 (52),0.50 (46),0.54 (49),0.31 (43),
648429,Zhihao,0.36 (50),0.57 (53),0.39 (47),0.50 (43),0.39 (52),0.16 (54),0.65 (51),0.30 (45),0.47 (56),0.49 (52),0.52 (54),0.27 (53),
748000,uclcmic11,0.36 (51),0.58 (52),0.38 (48),0.47 (59),0.38 (55),0.20 (43),0.64 (55),0.30 (44),0.47 (54),0.50 (49),0.52 (53),0.30 (45),
767347,rentianhe,0.36 (52),0.57 (54),0.38 (49),0.47 (58),0.39 (53),0.19 (48),0.69 (39),0.31 (42),0.49 (46),0.52 (37),0.57 (37),0.31 (39),
628086,xuanthuy1995,0.36 (53),0.58 (50),0.38 (51),0.47 (59),0.38 (55),0.19 (47),0.64 (56),0.30 (46),0.47 (55),0.49 (50),0.52 (53),0.30 (49),
621554,eddywang,0.35 (54),0.57 (54),0.38 (52),0.54 (34),0.38 (54),0.13 (61),0.69 (38),0.30 (48),0.46 (59),0.48 (54),0.54 (46),0.22 (58),
1056465,zxdong123,0.35 (55),0.55 (56),0.38 (50),0.45 (62),0.37 (56),0.20 (44),0.66 (50),0.31 (39),0.49 (48),0.51 (42),0.54 (47),0.31 (42),
754308,huangh2018,0.34 (56),0.56 (55),0.36 (53),0.47 (55),0.36 (57),0.16 (55),0.61 (61),0.29 (49),0.45 (60),0.47 (55),0.51 (55),0.28 (50),
937401,phil0525,0.34 (57),0.53 (58),0.36 (55),0.50 (47),0.35 (61),0.13 (58),0.68 (41),0.30 (47),0.46 (57),0.49 (51),0.53 (52),0.26 (55),
1086493,zhangtao_whu,0.33 (58),0.52 (61),0.35 (56),0.50 (46),0.36 (58),0.13 (60),0.65 (53),0.29 (50),0.46 (58),0.48 (53),0.53 (51),0.27 (53),
772660,Huang96,0.33 (59),0.58 (51),0.34 (59),0.44 (64),0.36 (59),0.17 (51),0.61 (62),0.28 (51),0.44 (61),0.46 (56),0.50 (58),0.28 (52),
730610,Suqi.lmh,0.33 (59),0.53 (59),0.35 (57),0.52 (37),0.35 (62),0.11 (62),0.64 (57),0.29 (50),0.42 (64),0.43 (59),0.48 (59),0.20 (59),
1105620,YidianHuang,0.33 (60),0.52 (62),0.36 (54),0.48 (51),0.35 (60),0.14 (56),0.56 (67),0.28 (54),0.39 (68),0.40 (65),0.43 (64),0.18 (64),
588643,zxy1996,0.32 (61),0.54 (57),0.34 (58),0.48 (52),0.34 (63),0.13 (59),0.63 (58),0.28 (51),0.44 (62),0.46 (57),0.50 (56),0.25 (56),
782522,Amandaaluo,0.32 (62),0.53 (60),0.33 (60),0.45 (63),0.34 (64),0.14 (57),0.61 (62),0.28 (53),0.43 (63),0.45 (58),0.50 (57),0.27 (54),
725545,zfengwei,0.29 (63),0.48 (64),0.31 (62),0.47 (57),0.31 (67),0.10 (66),0.61 (59),0.28 (52),0.40 (65),0.42 (60),0.45 (61),0.19 (60),
590313,rt73w12qw,0.29 (64),0.52 (62),0.29 (66),0.47 (54),0.32 (65),0.08 (71),0.57 (65),0.26 (57),0.37 (69),0.38 (66),0.42 (65),0.16 (68),
577418,yjl376,0.29 (64),0.47 (66),0.31 (61),0.46 (60),0.31 (66),0.10 (67),0.54 (68),0.26 (58),0.37 (70),0.38 (67),0.39 (67),0.18 (65),
961463,coco2017,0.29 (65),0.48 (65),0.30 (63),0.46 (60),0.30 (68),0.09 (68),0.59 (63),0.27 (55),0.40 (66),0.41 (62),0.44 (62),0.19 (61),
1076591,xieying,0.29 (66),0.47 (67),0.30 (64),0.45 (61),0.30 (69),0.09 (69),0.59 (64),0.27 (55),0.39 (67),0.40 (63),0.44 (62),0.19 (62),
660937,liumin,0.28 (67),0.47 (68),0.30 (65),0.45 (62),0.29 (70),0.09 (69),0.59 (64),0.27 (56),0.39 (68),0.40 (64),0.44 (63),0.18 (63),
1135791,lwt_zju,0.28 (68),0.48 (63),0.28 (67),0.42 (66),0.29 (71),0.09 (70),0.61 (60),0.25 (59),0.39 (67),0.41 (61),0.46 (60),0.18 (66),
1138993,ansh_kumar,0.26 (69),0.44 (69),0.26 (68),0.41 (67),0.26 (72),0.08 (77),0.53 (69),0.24 (60),0.35 (71),0.36 (68),0.39 (66),0.15 (71),
1110043,gwjCOCO,0.24 (70),0.41 (70),0.24 (69),0.43 (65),0.23 (73),0.04 (83),0.56 (66),0.23 (61),0.32 (73),0.33 (70),0.35 (69),0.09 (80),
1113350,iason1907,0.21 (71),0.35 (76),0.21 (70),0.34 (68),0.20 (74),0.05 (82),0.51 (70),0.23 (62),0.33 (72),0.34 (69),0.35 (68),0.14 (74),
1136845,samyuz,0.13 (72),0.38 (71),0.07 (71),0.16 (70),0.14 (75),0.10 (67),0.27 (80),0.14 (63),0.21 (80),0.22 (78),0.21 (78),0.15 (70),
1134315,peiyunwang,0.13 (73),0.37 (72),0.06 (72),0.17 (69),0.13 (76),0.08 (72),0.32 (71),0.14 (63),0.23 (74),0.25 (71),0.24 (70),0.17 (67),
1025324,luoyufan,0.12 (74),0.36 (73),0.06 (74),0.16 (71),0.13 (77),0.08 (73),0.28 (77),0.14 (64),0.21 (79),0.22 (76),0.22 (75),0.14 (73),
756339,Yolo-Test,0.12 (75),0.36 (74),0.06 (76),0.16 (72),0.13 (78),0.08 (74),0.30 (74),0.13 (68),0.21 (76),0.23 (72),0.23 (72),0.15 (69),
775359,langhu26,0.12 (76),0.36 (75),0.06 (76),0.15 (74),0.12 (79),0.08 (75),0.28 (79),0.13 (68),0.20 (81),0.22 (77),0.22 (76),0.15 (72),
744448,sanghunpark,0.12 (76),0.35 (77),0.06 (75),0.15 (73),0.12 (80),0.07 (78),0.29 (75),0.13 (65),0.21 (77),0.22 (75),0.23 (73),0.14 (75),
678153,sunhanbo,0.12 (76),0.36 (75),0.06 (76),0.15 (74),0.12 (79),0.08 (75),0.28 (79),0.13 (68),0.20 (81),0.22 (77),0.22 (76),0.15 (72),
660221,tcchiang,0.12 (76),0.36 (75),0.06 (76),0.15 (74),0.12 (79),0.08 (75),0.28 (79),0.13 (68),0.20 (81),0.22 (77),0.22 (76),0.15 (72),
1045810,TXZ,0.12 (77),0.34 (78),0.06 (73),0.16 (71),0.12 (80),0.06 (79),0.31 (73),0.13 (66),0.22 (75),0.23 (72),0.24 (71),0.14 (76),
1129566,behappya,0.12 (78),0.35 (77),0.05 (78),0.15 (75),0.12 (81),0.08 (76),0.29 (76),0.13 (67),0.21 (78),0.23 (73),0.23 (73),0.15 (69),
675577,sawwhite,0.11 (79),0.33 (80),0.06 (76),0.15 (76),0.12 (82),0.06 (80),0.28 (78),0.13 (67),0.20 (83),0.21 (79),0.21 (77),0.13 (78),
1097256,shikhad,0.11 (80),0.33 (79),0.05 (77),0.16 (72),0.11 (83),0.06 (81),0.32 (72),0.12 (70),0.20 (83),0.22 (74),0.22 (74),0.12 (79),
706309,zhaotao,0.10 (81),0.30 (81),0.04 (80),0.14 (77),0.11 (84),0.04 (83),0.26 (81),0.11 (71),0.17 (84),0.18 (81),0.19 (79),0.08 (81),
1136150,fireworks_fall_down,0.10 (82),0.29 (82),0.05 (79),0.12 (78),0.10 (85),0.06 (81),0.28 (79),0.13 (69),0.20 (82),0.21 (80),0.21 (78),0.13 (77),
941730,icecreamztq,0.07 (83),0.22 (83),0.03 (82),0.12 (79),0.07 (86),0.01 (85),0.23 (82),0.09 (72),0.13 (85),0.14 (82),0.14 (80),0.02 (84),
1126673,jicheng,0.05 (84),0.16 (84),0.02 (83),0.06 (80),0.06 (87),0.03 (84),0.14 (84),0.07 (73),0.11 (86),0.11 (83),0.11 (81),0.06 (82),
746812,huanyushi,0.04 (85),0.13 (85),0.01 (84),0.06 (82),0.03 (88),0.01 (86),0.15 (83),0.06 (74),0.10 (87),0.10 (84),0.10 (82),0.04 (83),
724418,ischiopu,0.04 (86),0.05 (86),0.04 (81),0.06 (81),0.03 (88),0.01 (87),0.06 (85),0.03 (75),0.04 (88),0.04 (85),0.04 (83),0.01 (85),
1133007,yang11,0.00 (87),0.00 (88),0.00 (85),0.00 (83),0.00 (89),0.00 (88),0.00 (86),0.00 (76),0.00 (89),0.00 (86),0.00 (84),0.00 (86),
950745,tuffy,0.00 (87),0.00 (87),0.00 (85),0.00 (83),0.00 (89),0.00 (88),0.00 (86),0.00 (76),0.00 (89),0.00 (86),0.00 (84),0.00 (86),
